T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 AL MO 0.0 1.0 -8515.141 -0.002619643 28.559915 -8515.13865725 0.0 0.0 -8515.141 0.0 -0.0
298.15 AL MO 1.0 0.0 210.3581 10083.0 33.112997 -9872.640055549999 0.0 0.0 210.3581 0.0 -0.0
298.15 AL MO 0.01 0.99 -9542.338 -948.2954 28.824561 -8594.04286215 0.0 0.0 -8427.886009 -138.82602141683572 -0.0
298.15 AL MO 0.02 0.98 -10496.12 -1855.715 28.980043 -8640.399820449999 0.0 0.0 -8340.631017999998 -243.03584172567548 -0.0
298.15 AL MO 0.03 0.97 -11399.15 -2723.563 29.098052 -8675.5842038 0.0 0.0 -8253.376027 -334.02154674813943 -0.0
298.15 AL MO 0.04 0.96 -12257.23 -3553.111 29.193771 -8704.12282365 0.0 0.0 -8166.121035999999 -416.3281974105132 -0.0
298.15 AL MO 0.05 0.95 -13073.76 -4345.603 29.274376 -8728.1552044 0.0 0.0 -8078.866045 -492.11297050679866 -0.0
298.15 AL MO 0.06 0.94 -13851.18 -5102.251 29.344063 -8748.93238345 0.0 0.0 -7991.611053999999 -562.6452650375949 -0.0
298.15 AL MO 0.07 0.93 -14591.52 -5824.243 29.405584 -8767.2748696 0.0 0.0 -7904.356062999998 -628.7628773593874 -0.0
298.15 AL MO 0.08 0.92 -15296.49 -6512.735 29.460872 -8783.7589868 0.0 0.0 -7817.101072 -691.0604007790716 -0.0
298.15 AL MO 0.09 0.91 -15967.67 -7168.855 29.511356 -8798.8107914 0.0 0.0 -7729.846081 -749.9816351924776 -0.0
298.15 AL MO 0.1 0.9 -16606.46 -7793.703 29.558128 -8812.7558632 0.0 0.0 -7642.59109 -805.870345271772 -0.0
298.15 AL MO 0.11 0.89 -17214.2 -8388.347 29.602049 -8825.85090935 0.0 0.0 -7555.336099 -859.000492370776 -0.0
298.15 AL MO 0.12 0.88 -17792.13 -8953.831 29.643806 -8838.300758899999 0.0 0.0 -7468.081107999999 -909.5953759771999 -0.0
298.15 AL MO 0.13 0.87 -18341.44 -9491.167 29.683961 -8850.27297215 0.0 0.0 -7380.826117 -957.840348132521 -0.0
298.15 AL MO 0.14 0.86 -18863.25 -10001.34 29.722979 -8861.906188849998 0.0 0.0 -7293.571126 -1003.8915915105914 -0.0
298.15 AL MO 0.15 0.85 -19358.62 -10485.3 29.761246 -8873.3154949 0.0 0.0 -7206.316134999999 -1047.882375954332 -0.0
298.15 AL MO 0.16 0.84 -19828.58 -10943.98 29.799087 -8884.59778905 0.0 0.0 -7119.061143999999 -1089.9276385420173 -0.0
298.15 AL MO 0.17 0.83 -20274.11 -11378.28 29.836779 -8895.83565885 0.0 0.0 -7031.8061529999995 -1130.1274135160918 -0.0
298.15 AL MO 0.18 0.82 -20696.16 -11789.06 29.874555 -8907.09857325 0.0 0.0 -6944.551162000001 -1168.5694517045056 -0.0
298.15 AL MO 0.19 0.81 -21095.61 -12177.16 29.912616 -8918.446460399999 0.0 0.0 -6857.296171 -1205.3312553507326 -0.0
298.15 AL MO 0.2 0.8 -21473.33 -12543.4 29.951132 -8929.930005799999 0.0 0.0 -6770.04118 -1240.4816826440385 -0.0
298.15 AL MO 0.21 0.79 -21830.15 -12888.56 29.99025 -8941.593037499999 0.0 0.0 -6682.786189 -1274.08222978906 -0.0
298.15 AL MO 0.22 0.78 -22166.86 -13213.39 30.030094 -8953.472526099999 0.0 0.0 -6595.531198 -1306.188067542519 -0.0
298.15 AL MO 0.23 0.77 -22484.21 -13518.61 30.070772 -8965.600671799999 0.0 0.0 -6508.276207 -1336.8488881016199 -0.0
298.15 AL MO 0.24 0.76 -22782.93 -13804.93 30.112374 -8978.004308099999 0.0 0.0 -6421.021216 -1366.1096036088943 -0.0
298.15 AL MO 0.25 0.75 -23063.71 -14073.0 30.154976 -8990.7060944 0.0 0.0 -6333.766224999999 -1394.0109271940482 -0.0
298.15 AL MO 0.26 0.74 -23327.2 -14323.48 30.198643 -9003.725410449999 0.0 0.0 -6246.511234 -1420.5898600324033 -0.0
298.15 AL MO 0.27 0.73 -23574.03 -14556.96 30.243428 -9017.0780582 0.0 0.0 -6159.256243 -1445.8801024662048 -0.0
298.15 AL MO 0.28 0.72 -23804.8 -14774.02 30.289374 -9030.776858099998 0.0 0.0 -6072.001251999999 -1469.9124032129614 -0.0
298.15 AL MO 0.29 0.71 -24020.06 -14975.23 30.336515 -9044.831947249999 0.0 0.0 -5984.746260999999 -1492.7148576699553 -0.0
298.15 AL MO 0.3 0.7 -24220.35 -15161.1 30.384877 -9059.25107755 0.0 0.0 -5897.4912699999995 -1514.313164037668 -0.0
298.15 AL MO 0.31 0.69 -24406.17 -15332.13 30.434479 -9074.03991385 0.0 0.0 -5810.236278999999 -1534.730844232385 -0.0
298.15 AL MO 0.32 0.68 -24577.99 -15488.78 30.485333 -9089.20203395 0.0 0.0 -5722.981287999999 -1553.9894352015579 -0.0
298.15 AL MO 0.33 0.67 -24736.23 -15631.5 30.537446 -9104.739524899998 0.0 0.0 -5635.726296999999 -1572.1086551954763 -0.0
298.15 AL MO 0.34 0.66 -24881.33 -15760.68 30.590818 -9120.6523867 0.0 0.0 -5548.471305999999 -1589.1065487133012 -0.0
298.15 AL MO 0.35 0.65 -25013.64 -15876.7 30.645445 -9136.93942675 0.0 0.0 -5461.216315000001 -1604.9996131775667 -0.0
298.15 AL MO 0.36 0.64 -25133.52 -15979.93 30.701316 -9153.597365399999 0.0 0.0 -5373.961324 -1619.8029098595373 -0.0
298.15 AL MO 0.37 0.63 -25241.29 -16070.67 30.758419 -9170.622624849999 0.0 0.0 -5286.706332999999 -1633.5301611487748 -0.0
298.15 AL MO 0.38 0.62 -25337.24 -16149.23 30.816734 -9188.009242099999 0.0 0.0 -5199.451342 -1646.193835911596 -0.0
298.15 AL MO 0.39 0.61 -25421.61 -16215.86 30.876239 -9205.75065785 0.0 0.0 -5112.196351 -1657.8052243977716 -0.0
