T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 AL TI 0.0 1.0 -4597.55 6475.8 37.1402 -11073.350629999999 0.0 0.0 -4597.55 0.0 -0.0
298.15 AL TI 1.0 0.0 210.3581 10083.0 33.112997 -9872.640055549999 0.0 0.0 210.3581 0.0 -0.0
298.15 AL TI 0.01 0.99 -5929.727 5152.49 37.169939 -11082.21731285 0.0 0.0 -4549.470918999999 -138.82602141683572 -0.0
298.15 AL TI 0.02 0.98 -7200.595 3858.255 37.091567 -11058.850701049998 0.0 0.0 -4501.3918380000005 -243.03584172567548 -0.0
298.15 AL TI 0.03 0.97 -8431.588 2593.055 36.976833 -11024.642758949998 0.0 0.0 -4453.312757 -334.02154674813943 -0.0
298.15 AL TI 0.04 0.96 -9627.289 1356.85 36.840982 -10984.138783299999 0.0 0.0 -4405.233676 -416.3281974105132 -0.0
298.15 AL TI 0.05 0.95 -10789.9 149.5988 36.691249 -10939.495889349999 0.0 0.0 -4357.154595 -492.11297050679866 -0.0
298.15 AL TI 0.06 0.94 -11920.72 -1028.74 36.531891 -10891.98330165 0.0 0.0 -4309.075514 -562.6452650375949 -0.0
298.15 AL TI 0.07 0.93 -13020.65 -2178.208 36.365718 -10842.4388217 0.0 0.0 -4260.996432999999 -628.7628773593874 -0.0
298.15 AL TI 0.08 0.92 -14090.3 -3298.847 36.194724 -10791.456960599999 0.0 0.0 -4212.917352 -691.0604007790716 -0.0
298.15 AL TI 0.09 0.91 -15130.18 -4390.699 36.020399 -10739.481961849999 0.0 0.0 -4164.8382710000005 -749.9816351924776 -0.0
298.15 AL TI 0.1 0.9 -16140.66 -5453.807 35.843895 -10686.85729425 0.0 0.0 -4116.75919 -805.870345271772 -0.0
298.15 AL TI 0.11 0.89 -17122.07 -6488.215 35.666131 -10633.85695765 0.0 0.0 -4068.680109 -859.000492370776 -0.0
298.15 AL TI 0.12 0.88 -18074.67 -7493.965 35.487855 -10580.70396825 0.0 0.0 -4020.601028 -909.5953759771999 -0.0
298.15 AL TI 0.13 0.87 -18998.69 -8471.102 35.30969 -10527.5840735 0.0 0.0 -3972.521947 -957.840348132521 -0.0
298.15 AL TI 0.14 0.86 -19894.32 -9419.67 35.13216 -10474.653503999998 0.0 0.0 -3924.442866 -1003.8915915105914 -0.0
298.15 AL TI 0.15 0.85 -20761.76 -10339.71 34.955711 -10422.045234649999 0.0 0.0 -3876.363785 -1047.882375954332 -0.0
298.15 AL TI 0.16 0.84 -21601.15 -11231.28 34.780728 -10369.874053200001 0.0 0.0 -3828.284704 -1089.9276385420173 -0.0
298.15 AL TI 0.17 0.83 -22412.65 -12094.41 34.607548 -10318.2404362 0.0 0.0 -3780.205623 -1130.1274135160918 -0.0
298.15 AL TI 0.18 0.82 -23196.38 -12929.15 34.436465 -10267.232039749999 0.0 0.0 -3732.1265420000004 -1168.5694517045056 -0.0
298.15 AL TI 0.19 0.81 -23952.48 -13735.55 34.267739 -10216.926382849999 0.0 0.0 -3684.0474610000006 -1205.3312553507326 -0.0
298.15 AL TI 0.2 0.8 -24681.05 -14513.66 34.1016 -10167.392039999999 0.0 0.0 -3635.9683800000003 -1240.4816826440385 -0.0
298.15 AL TI 0.21 0.79 -25382.21 -15263.51 33.938255 -10118.690728249998 0.0 0.0 -3587.8892990000004 -1274.08222978906 -0.0
298.15 AL TI 0.22 0.78 -26056.05 -15985.17 33.777889 -10070.87760535 0.0 0.0 -3539.8102180000005 -1306.188067542519 -0.0
298.15 AL TI 0.23 0.77 -26702.68 -16678.67 33.620668 -10024.0021642 0.0 0.0 -3491.731137 -1336.8488881016199 -0.0
298.15 AL TI 0.24 0.76 -27322.18 -17344.07 33.466744 -9978.109723599999 0.0 0.0 -3443.6520560000004 -1366.1096036088943 -0.0
298.15 AL TI 0.25 0.75 -27914.65 -17981.41 33.316253 -9933.240831950001 0.0 0.0 -3395.5729750000005 -1394.0109271940482 -0.0
298.15 AL TI 0.26 0.74 -28480.18 -18590.75 33.169318 -9889.432161699999 0.0 0.0 -3347.4938939999997 -1420.5898600324033 -0.0
298.15 AL TI 0.27 0.73 -29018.84 -19172.12 33.026053 -9846.717701949998 0.0 0.0 -3299.414813 -1445.8801024662048 -0.0
298.15 AL TI 0.28 0.72 -29530.72 -19725.59 32.886561 -9805.12816215 0.0 0.0 -3251.335732 -1469.9124032129614 -0.0
298.15 AL TI 0.29 0.71 -30015.89 -20251.2 32.750937 -9764.69186655 0.0 0.0 -3203.2566509999997 -1492.7148576699553 -0.0
298.15 AL TI 0.3 0.7 -30474.43 -20749.0 32.619266 -9725.434157900001 0.0 0.0 -3155.17757 -1514.313164037668 -0.0
298.15 AL TI 0.31 0.69 -30906.42 -21219.04 32.491627 -9687.378590049999 0.0 0.0 -3107.098489 -1534.730844232385 -0.0
298.15 AL TI 0.32 0.68 -31311.93 -21661.38 32.368093 -9650.54692795 0.0 0.0 -3059.0194079999997 -1553.9894352015579 -0.0
298.15 AL TI 0.33 0.67 -31691.02 -22076.06 32.24873 -9614.9588495 0.0 0.0 -3010.940327 -1572.1086551954763 -0.0
298.15 AL TI 0.34 0.66 -32043.77 -22463.14 32.133598 -9580.6322437 0.0 0.0 -2962.861246 -1589.1065487133012 -0.0
298.15 AL TI 0.35 0.65 -32370.26 -22822.67 32.022753 -9547.58380695 0.0 0.0 -2914.782165 -1604.9996131775667 -0.0
298.15 AL TI 0.36 0.64 -32670.53 -23154.7 31.916244 -9515.8281486 0.0 0.0 -2866.703084 -1619.8029098595373 -0.0
298.15 AL TI 0.37 0.63 -32944.67 -23459.29 31.814119 -9485.37957985 0.0 0.0 -2818.6240030000004 -1633.5301611487748 -0.0
298.15 AL TI 0.38 0.62 -33192.74 -23736.49 31.716419 -9456.250324849998 0.0 0.0 -2770.544922 -1646.193835911596 -0.0
298.15 AL TI 0.39 0.61 -33414.8 -23986.35 31.623181 -9428.451415149999 0.0 0.0 -2722.465841 -1657.8052243977716 -0.0
298.15 AL TI 0.4 0.6 -33610.92 -24208.92 31.534441 -9401.99358415 0.0 0.0 -2674.3867600000003 -1668.3745039196444 -0.0
298.15 AL TI 0.41 0.59 -33781.16 -24404.27 31.450228 -9376.8854782 0.0 0.0 -2626.3076790000005 -1677.9107963326926 -0.0
298.15 AL TI 0.42 0.58 -33925.58 -24572.45 31.370569 -9353.13514735 0.0 0.0 -2578.2285980000006 -1686.4222181834425 -0.0
298.15 AL TI 0.43 0.57 -34044.26 -24713.51 31.29549 -9330.7503435 0.0 0.0 -2530.1495170000003 -1693.9159242532326 -0.0
298.15 AL TI 0.44 0.56 -34137.24 -24827.5 31.22501 -9309.7367315 0.0 0.0 -2482.070436 -1700.3981451097393 -0.0
