T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 AL YB 0.0 1.0 -17525.05 354.2762 59.967549 -17879.324734349997 0.0 0.0 -17525.05 0.0 -0.0
298.15 AL YB 1.0 0.0 210.3581 10083.0 33.112997 -9872.640055549999 0.0 0.0 210.3581 0.0 -0.0
298.15 AL YB 0.01 0.99 -17743.01 195.0738 60.164629 -17938.084136349997 0.0 0.0 -17347.695918999998 -138.82602141683572 -0.0
298.15 AL YB 0.02 0.98 -17921.17 41.05308 60.245605 -17962.227130749998 0.0 0.0 -17170.341838 -243.03584172567548 -0.0
298.15 AL YB 0.03 0.97 -18080.93 -107.7861 60.282227 -17973.145980049998 0.0 0.0 -16992.987757 -334.02154674813943 -0.0
298.15 AL YB 0.04 0.96 -18226.83 -251.4436 60.28974 -17975.385981 0.0 0.0 -16815.633675999998 -416.3281974105132 -0.0
298.15 AL YB 0.05 0.95 -18361.02 -389.9196 60.275378 -17971.1039507 0.0 0.0 -16638.279594999996 -492.11297050679866 -0.0
298.15 AL YB 0.06 0.94 -18484.78 -523.2139 60.243399 -17961.569411849996 0.0 0.0 -16460.925514 -562.6452650375949 -0.0
298.15 AL YB 0.07 0.93 -18598.95 -651.3266 60.196614 -17947.620464099997 0.0 0.0 -16283.571433 -628.7628773593874 -0.0
298.15 AL YB 0.08 0.92 -18704.11 -774.2578 60.137015 -17929.851022249997 0.0 0.0 -16106.217352 -691.0604007790716 -0.0
298.15 AL YB 0.09 0.91 -18800.71 -892.0073 60.066093 -17908.70562795 0.0 0.0 -15928.863271 -749.9816351924776 -0.0
298.15 AL YB 0.1 0.9 -18889.1 -1004.575 59.984999 -17884.52745185 0.0 0.0 -15751.50919 -805.870345271772 -0.0
298.15 AL YB 0.11 0.89 -18969.55 -1111.961 59.894653 -17857.59079195 0.0 0.0 -15574.155109 -859.000492370776 -0.0
298.15 AL YB 0.12 0.88 -19042.29 -1214.166 59.795804 -17828.118962599998 0.0 0.0 -15396.801028 -909.5953759771999 -0.0
298.15 AL YB 0.13 0.87 -19107.49 -1311.189 59.689073 -17796.297114949997 0.0 0.0 -15219.446947 -957.840348132521 -0.0
298.15 AL YB 0.14 0.86 -19165.31 -1403.031 59.574984 -17762.2814796 0.0 0.0 -15042.092865999999 -1003.8915915105914 -0.0
298.15 AL YB 0.15 0.85 -19215.9 -1489.691 59.453985 -17726.205627749998 0.0 0.0 -14864.738785 -1047.882375954332 -0.0
298.15 AL YB 0.16 0.84 -19259.35 -1571.169 59.32646 -17688.184049 0.0 0.0 -14687.384704 -1089.9276385420173 -0.0
298.15 AL YB 0.17 0.83 -19295.78 -1647.466 59.192745 -17648.31692175 0.0 0.0 -14510.030622999999 -1130.1274135160918 -0.0
298.15 AL YB 0.18 0.82 -19325.27 -1718.581 59.053135 -17606.69220025 0.0 0.0 -14332.676542000001 -1168.5694517045056 -0.0
298.15 AL YB 0.19 0.81 -19347.9 -1784.514 58.90789 -17563.3874035 0.0 0.0 -14155.322461000002 -1205.3312553507326 -0.0
298.15 AL YB 0.2 0.8 -19363.74 -1845.266 58.757239 -17518.470807849997 0.0 0.0 -13977.96838 -1240.4816826440385 -0.0
298.15 AL YB 0.21 0.79 -19372.84 -1900.836 58.601391 -17472.004726649997 0.0 0.0 -13800.614299 -1274.08222978906 -0.0
298.15 AL YB 0.22 0.78 -19375.27 -1951.225 58.440529 -17424.043721349997 0.0 0.0 -13623.260218000001 -1306.188067542519 -0.0
