T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 B MO 0.0 1.0 -8515.141 -0.002619643 28.559915 -8515.13865725 0.0 0.0 -8515.141 0.0 -0.0
298.15 B MO 1.0 0.0 38112.42 43514.0 18.116999 -5401.583251849999 0.0 0.0 38112.42 0.0 -0.0
298.15 B MO 0.01 0.99 -8484.692 138.1374 28.921111 -8622.82924465 0.0 0.0 -8048.865389999999 -138.82602141683572 -0.0
298.15 B MO 0.02 0.98 -8413.626 282.2774 29.166203 -8695.90342445 0.0 0.0 -7582.589779999998 -243.03584172567548 -0.0
298.15 B MO 0.03 0.97 -8323.336 432.4175 29.366942 -8755.753757299999 0.0 0.0 -7116.314170000001 -334.02154674813943 -0.0
298.15 B MO 0.04 0.96 -8218.368 588.5575 29.538571 -8806.92494365 0.0 0.0 -6650.038559999999 -416.3281974105132 -0.0
298.15 B MO 0.05 0.95 -8100.877 750.6975 29.688326 -8851.5743969 0.0 0.0 -6183.762949999999 -492.11297050679866 -0.0
298.15 B MO 0.06 0.94 -7972.134 918.8375 29.820463 -8890.97104345 0.0 0.0 -5717.48734 -562.6452650375949 -0.0
298.15 B MO 0.07 0.93 -7832.976 1092.978 29.937794 -8925.953281099999 0.0 0.0 -5251.211729999999 -628.7628773593874 -0.0
298.15 B MO 0.08 0.92 -7683.998 1273.118 30.042312 -8957.115322799998 0.0 0.0 -4784.93612 -691.0604007790716 -0.0
298.15 B MO 0.09 0.91 -7525.644 1459.258 30.135506 -8984.9011139 0.0 0.0 -4318.66051 -749.9816351924776 -0.0
298.15 B MO 0.1 0.9 -7358.257 1651.398 30.218529 -9009.65442135 0.0 0.0 -3852.3849 -805.870345271772 -0.0
298.15 B MO 0.11 0.89 -7182.111 1849.538 30.292299 -9031.648946849999 0.0 0.0 -3386.1092900000003 -859.000492370776 -0.0
298.15 B MO 0.12 0.88 -6997.431 2053.678 30.357566 -9051.108302899998 0.0 0.0 -2919.8336799999997 -909.5953759771999 -0.0
298.15 B MO 0.13 0.87 -6804.4 2263.818 30.414952 -9068.217938799999 0.0 0.0 -2453.55807 -957.840348132521 -0.0
298.15 B MO 0.14 0.86 -6603.176 2479.958 30.464979 -9083.133488849999 0.0 0.0 -1987.2824599999994 -1003.8915915105914 -0.0
298.15 B MO 0.15 0.85 -6393.891 2702.098 30.508096 -9095.988822399999 0.0 0.0 -1521.0068499999998 -1047.882375954332 -0.0
298.15 B MO 0.16 0.84 -6176.661 2930.238 30.544688 -9106.8987272 0.0 0.0 -1054.73124 -1089.9276385420173 -0.0
298.15 B MO 0.17 0.83 -5951.585 3164.378 30.575089 -9115.962785349999 0.0 0.0 -588.4556299999995 -1130.1274135160918 -0.0
298.15 B MO 0.18 0.82 -5718.752 3404.518 30.599596 -9123.2695474 0.0 0.0 -122.1800200000016 -1168.5694517045056 -0.0
298.15 B MO 0.19 0.81 -5478.238 3650.658 30.618466 -9128.8956379 0.0 0.0 344.0955899999999 -1205.3312553507326 -0.0
298.15 B MO 0.2 0.8 -5230.113 3902.798 30.631933 -9132.91082395 0.0 0.0 810.3712000000005 -1240.4816826440385 -0.0
298.15 B MO 0.21 0.79 -4974.438 4160.938 30.6402 -9135.375629999999 0.0 0.0 1276.6468099999993 -1274.08222978906 -0.0
298.15 B MO 0.22 0.78 -4711.268 4425.078 30.643455 -9136.34610825 0.0 0.0 1742.922419999999 -1306.188067542519 -0.0
298.15 B MO 0.23 0.77 -4440.653 4695.218 30.641863 -9135.87145345 0.0 0.0 2209.1980299999996 -1336.8488881016199 -0.0
298.15 B MO 0.24 0.76 -4162.639 4971.358 30.635575 -9133.996686249999 0.0 0.0 2675.4736399999992 -1366.1096036088943 -0.0
298.15 B MO 0.25 0.75 -3877.264 5253.498 30.624727 -9130.76235505 0.0 0.0 3141.74925 -1394.0109271940482 -0.0
298.15 B MO 0.26 0.74 -3584.568 5541.638 30.609444 -9126.2057286 0.0 0.0 3608.0248600000004 -1420.5898600324033 -0.0
298.15 B MO 0.27 0.73 -3284.582 5835.778 30.589839 -9120.360497849999 0.0 0.0 4074.30047 -1445.8801024662048 -0.0
298.15 B MO 0.28 0.72 -2977.339 6135.918 30.566015 -9113.25737225 0.0 0.0 4540.576080000001 -1469.9124032129614 -0.0
