T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 BE PU 0.0 1.0 -13303.91 7559.133 69.975006 -20863.048038899997 0.0 0.0 -13303.91 0.0 -0.0
298.15 BE PU 1.0 0.0 2440.239 6389.39 13.245518 -3949.1511917 0.0 0.0 2440.239 0.0 -0.0
298.15 BE PU 0.01 0.99 -13028.89 7856.058 70.048467 -20884.95043605 0.0 0.0 -13146.46851 -138.82602141683572 -0.0
298.15 BE PU 0.02 0.98 -12725.09 8144.279 69.996211 -20869.37030965 0.0 0.0 -12989.02702 -243.03584172567548 -0.0
298.15 BE PU 0.03 0.97 -12413.88 8423.871 69.890173 -20837.75507995 0.0 0.0 -12831.58553 -334.02154674813943 -0.0
298.15 BE PU 0.04 0.96 -12099.8 8694.91 69.745784 -20794.705499599997 0.0 0.0 -12674.14404 -416.3281974105132 -0.0
298.15 BE PU 0.05 0.95 -11784.96 8957.471 69.570463 -20742.43354345 0.0 0.0 -12516.70255 -492.11297050679866 -0.0
298.15 BE PU 0.06 0.94 -11470.63 9211.63 69.368656 -20682.2647864 0.0 0.0 -12359.261059999999 -562.6452650375949 -0.0
298.15 BE PU 0.07 0.93 -11157.63 9457.463 69.143358 -20615.0921877 0.0 0.0 -12201.819569999998 -628.7628773593874 -0.0
298.15 BE PU 0.08 0.92 -10846.52 9695.045 68.896749 -20541.56571435 0.0 0.0 -12044.37808 -691.0604007790716 -0.0
298.15 BE PU 0.09 0.91 -10537.73 9924.452 68.630505 -20462.18506575 0.0 0.0 -11886.93659 -749.9816351924776 -0.0
298.15 BE PU 0.1 0.9 -10231.59 10145.76 68.345963 -20377.348868449997 0.0 0.0 -11729.4951 -805.870345271772 -0.0
298.15 BE PU 0.11 0.89 -9928.345 10359.04 68.044228 -20287.3865782 0.0 0.0 -11572.05361 -859.000492370776 -0.0
298.15 BE PU 0.12 0.88 -9628.201 10564.38 67.726237 -20192.57756155 0.0 0.0 -11414.61212 -909.5953759771999 -0.0
298.15 BE PU 0.13 0.87 -9331.323 10761.84 67.392796 -20093.1621274 0.0 0.0 -11257.17063 -957.840348132521 -0.0
298.15 BE PU 0.14 0.86 -9037.848 10951.5 67.044614 -19989.3516641 0.0 0.0 -11099.72914 -1003.8915915105914 -0.0
298.15 BE PU 0.15 0.85 -8747.889 11133.45 66.682327 -19881.33579505 0.0 0.0 -10942.28765 -1047.882375954332 -0.0
298.15 BE PU 0.16 0.84 -8461.54 11307.74 66.306503 -19769.28386945 0.0 0.0 -10784.84616 -1089.9276385420173 -0.0
298.15 BE PU 0.17 0.83 -8178.881 11474.47 65.917666 -19653.352117899998 0.0 0.0 -10627.404669999998 -1130.1274135160918 -0.0
298.15 BE PU 0.18 0.82 -7899.981 11633.7 65.516296 -19533.6836524 0.0 0.0 -10469.96318 -1168.5694517045056 -0.0
298.15 BE PU 0.19 0.81 -7624.896 11785.52 65.102838 -19410.4111497 0.0 0.0 -10312.521690000001 -1205.3312553507326 -0.0
298.15 BE PU 0.2 0.8 -7353.674 11929.98 64.677709 -19283.658938349996 0.0 0.0 -10155.0802 -1240.4816826440385 -0.0
298.15 BE PU 0.21 0.79 -7086.358 12067.19 64.241302 -19153.5441913 0.0 0.0 -9997.638710000001 -1274.08222978906 -0.0
298.15 BE PU 0.22 0.78 -6822.983 12197.19 63.793988 -19020.1775222 0.0 0.0 -9840.19722 -1306.188067542519 -0.0
298.15 BE PU 0.23 0.77 -6563.577 12320.09 63.336119 -18883.66387985 0.0 0.0 -9682.75573 -1336.8488881016199 -0.0
298.15 BE PU 0.24 0.76 -6308.167 12435.94 62.868032 -18744.103740799997 0.0 0.0 -9525.314240000002 -1366.1096036088943 -0.0
298.15 BE PU 0.25 0.75 -6056.771 12544.82 62.39005 -18601.5934075 0.0 0.0 -9367.872749999999 -1394.0109271940482 -0.0
298.15 BE PU 0.26 0.74 -5809.408 12646.82 61.902482 -18456.2250083 0.0 0.0 -9210.43126 -1420.5898600324033 -0.0
298.15 BE PU 0.27 0.73 -5566.09 12742.0 61.405629 -18308.088286349997 0.0 0.0 -9052.989769999998 -1445.8801024662048 -0.0
