T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 BI LA 0.0 1.0 -15085.65 2932.558 60.433381 -18018.212545149996 0.0 0.0 -15085.65 0.0 -0.0
298.15 BI LA 1.0 0.0 -9762.825 11297.0 70.635001 -21059.82554815 0.0 0.0 -9762.825 0.0 -0.0
298.15 BI LA 0.01 0.99 -17663.38 291.6403 60.22145 -17955.025317499996 0.0 0.0 -15032.42175 -138.82602141683572 -0.0
298.15 BI LA 0.02 0.98 -20156.15 -2294.236 59.909164 -17861.917246599998 0.0 0.0 -14979.1935 -243.03584172567548 -0.0
298.15 BI LA 0.03 0.97 -22585.35 -4825.07 59.568273 -17760.28059495 0.0 0.0 -14925.96525 -334.02154674813943 -0.0
298.15 BI LA 0.04 0.96 -24955.52 -7300.863 59.214022 -17654.6606593 0.0 0.0 -14872.737 -416.3281974105132 -0.0
298.15 BI LA 0.05 0.95 -27268.83 -9721.614 58.853645 -17547.214256749998 0.0 0.0 -14819.508749999999 -492.11297050679866 -0.0
298.15 BI LA 0.06 0.94 -29526.53 -12087.32 58.4914 -17439.210909999998 0.0 0.0 -14766.280499999999 -562.6452650375949 -0.0
298.15 BI LA 0.07 0.93 -31729.48 -14397.99 58.130098 -17331.4887187 0.0 0.0 -14713.052249999999 -628.7628773593874 -0.0
298.15 BI LA 0.08 0.92 -33878.26 -16653.62 57.771731 -17224.64159765 0.0 0.0 -14659.824 -691.0604007790716 -0.0
298.15 BI LA 0.09 0.91 -35973.32 -18854.2 57.417789 -17119.11379035 0.0 0.0 -14606.59575 -749.9816351924776 -0.0
298.15 BI LA 0.1 0.9 -38014.99 -20999.74 57.069425 -17015.249063749998 0.0 0.0 -14553.367499999998 -805.870345271772 -0.0
298.15 BI LA 0.11 0.89 -40003.57 -23090.25 56.727558 -16913.3214177 0.0 0.0 -14500.13925 -859.000492370776 -0.0
298.15 BI LA 0.12 0.88 -41939.26 -25125.71 56.392936 -16813.5538684 0.0 0.0 -14446.911 -909.5953759771999 -0.0
298.15 BI LA 0.13 0.87 -43822.26 -27106.12 56.066182 -16716.132163299997 0.0 0.0 -14393.68275 -957.840348132521 -0.0
298.15 BI LA 0.14 0.86 -45652.71 -29031.5 55.747818 -16621.211936699998 0.0 0.0 -14340.4545 -1003.8915915105914 -0.0
298.15 BI LA 0.15 0.85 -47430.76 -30901.83 55.438293 -16528.92705795 0.0 0.0 -14287.22625 -1047.882375954332 -0.0
298.15 BI LA 0.16 0.84 -49156.52 -32717.13 55.137992 -16439.3923148 0.0 0.0 -14233.998 -1089.9276385420173 -0.0
298.15 BI LA 0.17 0.83 -50830.09 -34477.38 54.847249 -16352.707289349999 0.0 0.0 -14180.76975 -1130.1274135160918 -0.0
298.15 BI LA 0.18 0.82 -52451.55 -36182.59 54.56636 -16268.960234 0.0 0.0 -14127.5415 -1168.5694517045056 -0.0
298.15 BI LA 0.19 0.81 -54020.98 -37832.76 54.295585 -16188.22866775 0.0 0.0 -14074.313250000001 -1205.3312553507326 -0.0
298.15 BI LA 0.2 0.8 -55538.46 -39427.88 54.035154 -16110.581165099999 0.0 0.0 -14021.085000000001 -1240.4816826440385 -0.0
298.15 BI LA 0.21 0.79 -57004.05 -40967.97 53.785273 -16036.079144949997 0.0 0.0 -13967.85675 -1274.08222978906 -0.0
298.15 BI LA 0.22 0.78 -58417.79 -42453.01 53.546128 -15964.7780632 0.0 0.0 -13914.6285 -1306.188067542519 -0.0
298.15 BI LA 0.23 0.77 -59779.74 -43883.01 53.317885 -15896.727412749999 0.0 0.0 -13861.40025 -1336.8488881016199 -0.0
298.15 BI LA 0.24 0.76 -61089.94 -45257.97 53.100696 -15831.972512399998 0.0 0.0 -13808.171999999999 -1366.1096036088943 -0.0
298.15 BI LA 0.25 0.75 -62348.44 -46577.89 52.894696 -15770.5536124 0.0 0.0 -13754.943749999999 -1394.0109271940482 -0.0
