T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 C NB 0.0 1.0 -10813.9 0.0003004229 36.270001 -10813.90079815 0.0 0.0 -10813.9 0.0 -0.0
298.15 C NB 1.0 0.0 430398.9 446349.0 53.496953 -15950.116536949998 0.0 0.0 430398.9 0.0 -0.0
298.15 C NB 0.01 0.99 -12076.8 -588.4401 38.532146 -11488.359329899999 0.0 0.0 -6401.772 -138.82602141683572 -0.0
298.15 C NB 0.02 0.98 -13129.62 -1074.821 40.431981 -12054.79513515 0.0 0.0 -1989.6439999999984 -243.03584172567548 -0.0
298.15 C NB 0.03 0.97 -14036.53 -1459.143 42.184754 -12577.384405099998 0.0 0.0 2422.4840000000004 -334.02154674813943 -0.0
298.15 C NB 0.04 0.96 -14811.17 -1741.406 43.836199 -13069.76273185 0.0 0.0 6834.612000000003 -416.3281974105132 -0.0
298.15 C NB 0.05 0.95 -15460.01 -1921.61 45.408019 -13538.40086485 0.0 0.0 11246.740000000003 -492.11297050679866 -0.0
298.15 C NB 0.06 0.94 -15986.86 -1999.754 46.912989 -13987.10767035 0.0 0.0 15658.868000000002 -562.6452650375949 -0.0
298.15 C NB 0.07 0.93 -16394.24 -1975.839 48.359538 -14418.3962547 0.0 0.0 20070.996000000006 -628.7628773593874 -0.0
298.15 C NB 0.08 0.92 -16683.92 -1849.865 49.753649 -14834.05044935 0.0 0.0 24483.124000000003 -691.0604007790716 -0.0
298.15 C NB 0.09 0.91 -16857.23 -1621.832 51.099788 -15235.401792199998 0.0 0.0 28895.252 -749.9816351924776 -0.0
298.15 C NB 0.1 0.9 -16915.22 -1291.74 52.401413 -15623.481285949998 0.0 0.0 33307.380000000005 -805.870345271772 -0.0
298.15 C NB 0.11 0.89 -16858.7 -859.5882 53.661281 -15999.11093015 0.0 0.0 37719.508 -859.000492370776 -0.0
298.15 C NB 0.12 0.88 -16688.34 -325.3774 54.881639 -16362.960667849999 0.0 0.0 42131.636 -909.5953759771999 -0.0
298.15 C NB 0.13 0.87 -16404.69 310.8926 56.064353 -16715.58684695 0.0 0.0 46543.764 -957.840348132521 -0.0
298.15 C NB 0.14 0.86 -16008.24 1049.222 57.210993 -17057.45756295 0.0 0.0 50955.892000000014 -1003.8915915105914 -0.0
298.15 C NB 0.15 0.85 -15499.36 1889.61 58.3229 -17388.972635 0.0 0.0 55368.020000000004 -1047.882375954332 -0.0
298.15 C NB 0.16 0.84 -14878.42 2832.058 59.401232 -17710.477320799997 0.0 0.0 59780.14800000001 -1089.9276385420173 -0.0
298.15 C NB 0.17 0.83 -14145.71 3876.565 60.446994 -18022.2712611 0.0 0.0 64192.27600000001 -1130.1274135160918 -0.0
298.15 C NB 0.18 0.82 -13301.49 5023.131 61.46107 -18324.6180205 0.0 0.0 68604.404 -1168.5694517045056 -0.0
298.15 C NB 0.19 0.81 -12345.99 6271.756 62.444239 -18617.749857849998 0.0 0.0 73016.532 -1205.3312553507326 -0.0
298.15 C NB 0.2 0.8 -11279.43 7622.44 63.397194 -18901.873391099998 0.0 0.0 77428.66000000002 -1240.4816826440385 -0.0
298.15 C NB 0.21 0.79 -10101.99 9075.184 64.320554 -19177.1731751 0.0 0.0 81840.788 -1274.08222978906 -0.0
298.15 C NB 0.22 0.78 -8813.828 10629.99 65.214875 -19443.81498125 0.0 0.0 86252.916 -1306.188067542519 -0.0
298.15 C NB 0.23 0.77 -7415.099 12286.85 66.080655 -19701.947288249998 0.0 0.0 90665.04400000001 -1336.8488881016199 -0.0
298.15 C NB 0.24 0.76 -5905.936 14045.77 66.918348 -19951.705456199998 0.0 0.0 95077.172 -1366.1096036088943 -0.0
298.15 C NB 0.25 0.75 -4286.461 15906.75 67.728362 -20193.2111303 0.0 0.0 99489.3 -1394.0109271940482 -0.0
298.15 C NB 0.26 0.74 -2556.786 17869.79 68.511071 -20426.57581865 0.0 0.0 103901.42800000001 -1420.5898600324033 -0.0
298.15 C NB 0.27 0.73 -717.0115 19934.89 69.266812 -20651.8999978 0.0 0.0 108313.55600000001 -1445.8801024662048 -0.0
298.15 C NB 0.28 0.72 1232.77 22102.05 69.995896 -20869.2763924 0.0 0.0 112725.68400000002 -1469.9124032129614 -0.0
298.15 C NB 0.29 0.71 3292.475 24371.26 70.698605 -21078.789080749997 0.0 0.0 117137.81199999999 -1492.7148576699553 -0.0
298.15 C NB 0.3 0.7 5462.025 26742.54 71.375198 -21280.5152837 0.0 0.0 121549.94 -1514.313164037668 -0.0
298.15 C NB 0.31 0.69 7741.35 29215.88 72.025912 -21474.5256628 0.0 0.0 125962.06800000001 -1534.730844232385 -0.0
298.15 C NB 0.32 0.68 10130.39 31791.27 72.650963 -21660.88461845 0.0 0.0 130374.19600000001 -1553.9894352015579 -0.0
298.15 C NB 0.33 0.67 12629.07 34468.72 73.250549 -21839.65118435 0.0 0.0 134786.32400000002 -1572.1086551954763 -0.0
298.15 C NB 0.34 0.66 15237.36 37248.24 73.824852 -22010.8796238 0.0 0.0 139198.45200000002 -1589.1065487133012 -0.0
298.15 C NB 0.35 0.65 17955.19 40129.81 74.374039 -22174.619727849997 0.0 0.0 143610.58 -1604.9996131775667 -0.0
298.15 C NB 0.36 0.64 20782.53 43113.44 74.89826 -22330.916218999995 0.0 0.0 148022.70799999998 -1619.8029098595373 -0.0
298.15 C NB 0.37 0.63 23719.32 46199.13 75.397654 -22479.8105401 0.0 0.0 152434.83599999998 -1633.5301611487748 -0.0
298.15 C NB 0.38 0.62 26765.54 49386.88 75.872346 -22621.339959899997 0.0 0.0 156846.96400000004 -1646.193835911596 -0.0
298.15 C NB 0.39 0.61 29921.15 52676.69 76.32245 -22755.5384675 0.0 0.0 161259.09200000003 -1657.8052243977716 -0.0
298.15 C NB 0.4 0.6 33186.12 56068.56 76.748068 -22882.4364742 0.0 0.0 165671.22000000003 -1668.3745039196444 -0.0
298.15 C NB 0.41 0.59 36560.43 59562.49 77.149293 -23002.061707949997 0.0 0.0 170083.348 -1677.9107963326926 -0.0
298.15 C NB 0.42 0.58 40044.04 63158.47 77.526205 -23114.43802075 0.0 0.0 174495.476 -1686.4222181834425 -0.0
298.15 C NB 0.43 0.57 43636.93 66856.52 77.878876 -23219.586879399998 0.0 0.0 178907.604 -1693.9159242532326 -0.0
298.15 C NB 0.44 0.56 47339.1 70656.63 78.20737 -23317.5273655 0.0 0.0 183319.732 -1700.3981451097393 -0.0
298.15 C NB 0.45 0.55 51150.51 74558.79 78.51174 -23408.275281 0.0 0.0 187731.86000000002 -1705.8742191782392 -0.0
298.15 C NB 0.46 0.54 55071.17 78563.01 78.792032 -23491.8443408 0.0 0.0 192143.988 -1710.3486197582595 -0.0
298.15 C NB 0.47 0.53 59101.05 82669.3 79.048281 -23568.24498015 0.0 0.0 196556.116 -1713.8249773357109 -0.0
298.15 C NB 0.48 0.52 63240.15 86877.64 79.280515 -23637.485547249995 0.0 0.0 200968.244 -1716.3060974737868 -0.0
298.15 C NB 0.49 0.51 67488.47 91188.04 79.488756 -23699.572601399996 0.0 0.0 205380.372 -1717.7939745058845 -0.0
298.15 C NB 0.5 0.5 71845.99 95600.5 79.673014 -23754.509124099997 0.0 0.0 209792.5 -1718.289801199083 -0.0
298.15 C NB 0.51 0.49 76312.72 100115.0 79.833295 -23802.29690425 0.0 0.0 214204.62800000003 -1717.7939745058845 -0.0
298.15 C NB 0.52 0.48 80888.66 104731.6 79.969593 -23842.934152949998 0.0 0.0 218616.75600000002 -1716.3060974737868 -0.0
298.15 C NB 0.53 0.47 85573.82 109450.2 80.081898 -23876.417888699998 0.0 0.0 223028.88400000002 -1713.8249773357109 -0.0
298.15 C NB 0.54 0.46 90368.19 114270.9 80.170188 -23902.741552199997 0.0 0.0 227441.01200000002 -1710.3486197582595 -0.0
298.15 C NB 0.55 0.45 95271.79 119193.7 80.234436 -23921.8970934 0.0 0.0 231853.14 -1705.8742191782392 -0.0
298.15 C NB 0.56 0.44 100284.6 124218.5 80.274605 -23933.873480749997 0.0 0.0 236265.26800000004 -1700.3981451097393 -0.0
298.15 C NB 0.57 0.43 105406.7 129345.4 80.29065 -23938.657297499998 0.0 0.0 240677.39599999998 -1693.9159242532328 -0.0
298.15 C NB 0.58 0.42 110638.1 134574.3 80.282517 -23936.232443549998 0.0 0.0 245089.524 -1686.4222181834425 -0.0
298.15 C NB 0.59 0.41 115978.7 139905.3 80.250144 -23926.5804336 0.0 0.0 249501.652 -1677.910796332693 -0.0
298.15 C NB 0.6 0.4 121428.7 145338.4 80.193459 -23909.67980085 0.0 0.0 253913.78 -1668.3745039196444 -0.0
298.15 C NB 0.61 0.39 126988.0 150873.5 80.11238 -23885.506096999998 0.0 0.0 258325.90800000002 -1657.8052243977716 -0.0
298.15 C NB 0.62 0.38 132656.6 156510.6 80.006815 -23854.031892249997 0.0 0.0 262738.036 -1646.193835911596 -0.0
298.15 C NB 0.63 0.37 138434.6 162249.9 79.876662 -23815.226775299998 0.0 0.0 267150.16400000005 -1633.5301611487748 -0.0
298.15 C NB 0.64 0.36 144322.1 168091.2 79.721807 -23769.05675705 0.0 0.0 271562.292 -1619.8029098595373 -0.0
298.15 C NB 0.65 0.35 150319.0 174034.5 79.542125 -23715.48456875 0.0 0.0 275974.42000000004 -1604.9996131775667 -0.0
