T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CD PR 0.0 1.0 -20016.35 2491.059 75.490228 -22507.4114782 0.0 0.0 -20016.35 0.0 -0.0
298.15 CD PR 1.0 0.0 -14444.17 1000.002 51.800005 -15444.171490749999 0.0 0.0 -14444.17 0.0 -0.0
298.15 CD PR 0.01 0.99 -20945.71 1495.715 75.268898 -22441.421938699998 0.0 0.0 -19960.6282 -138.82602141683572 -0.0
298.15 CD PR 0.02 0.98 -21842.07 498.7639 74.931539 -22340.838352849998 0.0 0.0 -19904.906399999996 -243.03584172567548 -0.0
298.15 CD PR 0.03 0.97 -22726.28 -499.1402 74.550179 -22227.135868849997 0.0 0.0 -19849.184599999997 -334.02154674813943 -0.0
298.15 CD PR 0.04 0.96 -23602.28 -1497.341 74.140337 -22104.94147655 0.0 0.0 -19793.462799999998 -416.3281974105132 -0.0
298.15 CD PR 0.05 0.95 -24471.68 -2495.184 73.709524 -21976.4945806 0.0 0.0 -19737.740999999998 -492.11297050679866 -0.0
298.15 CD PR 0.06 0.94 -25335.16 -3492.013 73.262275 -21843.14729125 0.0 0.0 -19682.0192 -562.6452650375949 -0.0
298.15 CD PR 0.07 0.93 -26192.99 -4487.172 72.801674 -21705.8191031 0.0 0.0 -19626.297399999996 -628.7628773593874 -0.0
298.15 CD PR 0.08 0.92 -27045.19 -5480.006 72.329993 -21565.18741295 0.0 0.0 -19570.575599999996 -691.0604007790716 -0.0
298.15 CD PR 0.09 0.91 -27891.64 -6469.86 71.848996 -21421.7781574 0.0 0.0 -19514.853799999997 -749.9816351924776 -0.0
298.15 CD PR 0.1 0.9 -28732.09 -7456.077 71.360112 -21276.0173928 0.0 0.0 -19459.132 -805.870345271772 -0.0
298.15 CD PR 0.11 0.89 -29566.26 -8438.002 70.864535 -21128.261110249998 0.0 0.0 -19403.4102 -859.000492370776 -0.0
298.15 CD PR 0.12 0.88 -30393.8 -9414.98 70.363291 -20978.81521165 0.0 0.0 -19347.6884 -909.5953759771999 -0.0
298.15 CD PR 0.13 0.87 -31214.3 -10386.36 69.857277 -20827.947137549996 0.0 0.0 -19291.9666 -957.840348132521 -0.0
298.15 CD PR 0.14 0.86 -32027.37 -11351.47 69.347294 -20675.8957061 0.0 0.0 -19236.244799999997 -1003.8915915105914 -0.0
298.15 CD PR 0.15 0.85 -32832.55 -12309.67 68.834064 -20522.876181599997 0.0 0.0 -19180.523 -1047.882375954332 -0.0
298.15 CD PR 0.16 0.84 -33629.39 -13260.31 68.318248 -20369.085641199996 0.0 0.0 -19124.801199999998 -1089.9276385420173 -0.0
298.15 CD PR 0.17 0.83 -34417.42 -14202.72 67.800459 -20214.706850849998 0.0 0.0 -19069.0794 -1130.1274135160918 -0.0
298.15 CD PR 0.18 0.82 -35196.15 -15136.24 67.281266 -20059.909457899998 0.0 0.0 -19013.3576 -1168.5694517045056 -0.0
298.15 CD PR 0.19 0.81 -35965.09 -16060.23 66.761206 -19904.8535689 0.0 0.0 -18957.6358 -1205.3312553507326 -0.0
298.15 CD PR 0.2 0.8 -36723.72 -16974.03 66.240785 -19749.69004775 0.0 0.0 -18901.914 -1240.4816826440385 -0.0
298.15 CD PR 0.21 0.79 -37471.55 -17876.98 65.720485 -19594.562602749997 0.0 0.0 -18846.192199999998 -1274.08222978906 -0.0
298.15 CD PR 0.22 0.78 -38208.04 -18768.43 65.200769 -19439.609277349995 0.0 0.0 -18790.4704 -1306.188067542519 -0.0
298.15 CD PR 0.23 0.77 -38932.68 -19647.72 64.682077 -19284.96125755 0.0 0.0 -18734.7486 -1336.8488881016199 -0.0
298.15 CD PR 0.24 0.76 -39644.95 -20514.2 64.164838 -19130.7464497 0.0 0.0 -18679.0268 -1366.1096036088943 -0.0
298.15 CD PR 0.25 0.75 -40344.29 -21367.21 63.649464 -18977.087691599998 0.0 0.0 -18623.305 -1394.0109271940482 -0.0
298.15 CD PR 0.26 0.74 -41030.19 -22206.09 63.136354 -18824.103945099996 0.0 0.0 -18567.583199999997 -1420.5898600324033 -0.0
298.15 CD PR 0.27 0.73 -41702.1 -23030.19 62.625897 -18671.91119055 0.0 0.0 -18511.861399999998 -1445.8801024662048 -0.0
298.15 CD PR 0.28 0.72 -42359.47 -23838.85 62.118474 -18520.623023099997 0.0 0.0 -18456.1396 -1469.9124032129614 -0.0
298.15 CD PR 0.29 0.71 -43001.77 -24631.42 61.614454 -18370.3494601 0.0 0.0 -18400.4178 -1492.7148576699553 -0.0
298.15 CD PR 0.3 0.7 -43628.45 -25407.25 61.114199 -18221.19843185 0.0 0.0 -18344.695999999996 -1514.313164037668 -0.0
298.15 CD PR 0.31 0.69 -44238.95 -26165.67 60.618064 -18073.275781599998 0.0 0.0 -18288.974199999997 -1534.730844232385 -0.0
298.15 CD PR 0.32 0.68 -44832.72 -26906.03 60.126397 -17926.685265549997 0.0 0.0 -18233.252399999998 -1553.9894352015579 -0.0
298.15 CD PR 0.33 0.67 -45409.21 -27627.68 59.639541 -17781.52914915 0.0 0.0 -18177.5306 -1572.1086551954763 -0.0
298.15 CD PR 0.34 0.66 -45967.87 -28329.96 59.157832 -17637.907610799997 0.0 0.0 -18121.8088 -1589.1065487133012 -0.0
298.15 CD PR 0.35 0.65 -46508.14 -29012.22 58.681602 -17495.919636299997 0.0 0.0 -18066.087 -1604.9996131775667 -0.0
298.15 CD PR 0.36 0.64 -47029.45 -29673.79 58.211176 -17355.662124399998 0.0 0.0 -18010.3652 -1619.8029098595373 -0.0
298.15 CD PR 0.37 0.63 -47531.26 -30314.03 57.746877 -17217.231377549997 0.0 0.0 -17954.6434 -1633.5301611487748 -0.0
298.15 CD PR 0.38 0.62 -48012.99 -30932.27 57.289023 -17080.72220745 0.0 0.0 -17898.921599999998 -1646.193835911596 -0.0
298.15 CD PR 0.39 0.61 -48474.1 -31527.87 56.837928 -16946.2282332 0.0 0.0 -17843.1998 -1657.8052243977716 -0.0
298.15 CD PR 0.4 0.6 -48914.01 -32100.16 56.393901 -16813.84158315 0.0 0.0 -17787.478 -1668.3745039196444 -0.0
298.15 CD PR 0.41 0.59 -49332.15 -32648.5 55.95725 -16683.6540875 0.0 0.0 -17731.7562 -1677.9107963326926 -0.0
298.15 CD PR 0.42 0.58 -49727.98 -33172.22 55.528277 -16555.75578755 0.0 0.0 -17676.0344 -1686.4222181834425 -0.0
298.15 CD PR 0.43 0.57 -50100.91 -33670.67 55.107283 -16430.23642645 0.0 0.0 -17620.312599999997 -1693.9159242532326 -0.0
298.15 CD PR 0.44 0.56 -50450.39 -34143.2 54.694564 -16307.1842566 0.0 0.0 -17564.5908 -1700.3981451097393 -0.0
298.15 CD PR 0.45 0.55 -50775.83 -34589.15 54.290415 -16186.68723225 0.0 0.0 -17508.869 -1705.8742191782392 -0.0
298.15 CD PR 0.46 0.54 -51076.69 -35007.86 53.895126 -16068.831816899998 0.0 0.0 -17453.1472 -1710.3486197582595 -0.0
298.15 CD PR 0.47 0.53 -51352.38 -35398.67 53.508985 -15953.70387775 0.0 0.0 -17397.4254 -1713.8249773357109 -0.0
298.15 CD PR 0.48 0.52 -51602.33 -35760.94 53.132279 -15841.388983849998 0.0 0.0 -17341.7036 -1716.3060974737868 -0.0
298.15 CD PR 0.49 0.51 -51825.98 -36094.01 52.765289 -15731.970915349999 0.0 0.0 -17285.9818 -1717.7939745058845 -0.0
298.15 CD PR 0.5 0.5 -52022.75 -36397.22 52.408296 -15625.533452399999 0.0 0.0 -17230.26 -1718.289801199083 -0.0
298.15 CD PR 0.51 0.49 -52192.07 -36669.91 52.061576 -15522.1588844 0.0 0.0 -17174.5382 -1717.7939745058845 -0.0
298.15 CD PR 0.52 0.48 -52333.37 -36911.44 51.725406 -15421.929798899999 0.0 0.0 -17118.8164 -1716.3060974737868 -0.0
298.15 CD PR 0.53 0.47 -52446.06 -37121.14 51.400056 -15324.926696399998 0.0 0.0 -17063.0946 -1713.8249773357109 -0.0
298.15 CD PR 0.54 0.46 -52529.59 -37298.36 51.085796 -15231.2300774 0.0 0.0 -17007.372799999997 -1710.3486197582595 -0.0
298.15 CD PR 0.55 0.45 -52583.36 -37442.44 50.782892 -15140.919249799997 0.0 0.0 -16951.650999999998 -1705.8742191782392 -0.0
298.15 CD PR 0.56 0.44 -52606.8 -37552.73 50.491609 -15054.073223349998 0.0 0.0 -16895.9292 -1700.3981451097393 -0.0
298.15 CD PR 0.57 0.43 -52599.34 -37628.57 50.212208 -14970.769815199998 0.0 0.0 -16840.2074 -1693.9159242532328 -0.0
298.15 CD PR 0.58 0.42 -52560.39 -37669.31 49.944945 -14891.085351749998 0.0 0.0 -16784.4856 -1686.4222181834425 -0.0
298.15 CD PR 0.59 0.41 -52489.39 -37674.29 49.690078 -14815.096755699999 0.0 0.0 -16728.7638 -1677.910796332693 -0.0
298.15 CD PR 0.6 0.4 -52385.73 -37642.86 49.447856 -14742.8782664 0.0 0.0 -16673.042 -1668.3745039196444 -0.0
298.15 CD PR 0.61 0.39 -52248.86 -37574.35 49.218531 -14674.505017649999 0.0 0.0 -16617.3202 -1657.8052243977716 -0.0
298.15 CD PR 0.62 0.38 -52078.17 -37468.12 49.002345 -14610.04916175 0.0 0.0 -16561.5984 -1646.193835911596 -0.0
298.15 CD PR 0.63 0.37 -51873.1 -37323.51 48.799543 -14549.58374545 0.0 0.0 -16505.8766 -1633.5301611487748 -0.0
298.15 CD PR 0.64 0.36 -51633.05 -37139.87 48.610361 -14493.179132149999 0.0 0.0 -16450.1548 -1619.8029098595373 -0.0
298.15 CD PR 0.65 0.35 -51357.43 -36916.53 48.435035 -14440.905685249998 0.0 0.0 -16394.433 -1604.9996131775667 -0.0
298.15 CD PR 0.66 0.34 -51045.67 -36652.84 48.273793 -14392.831382949998 0.0 0.0 -16338.7112 -1589.106548713301 -0.0
298.15 CD PR 0.67 0.33 -50697.18 -36348.15 48.126861 -14349.023607149998 0.0 0.0 -16282.989399999999 -1572.1086551954763 -0.0
298.15 CD PR 0.68 0.32 -50311.35 -36001.8 47.994461 -14309.54854715 0.0 0.0 -16227.2676 -1553.9894352015576 -0.0
298.15 CD PR 0.69 0.31 -49887.61 -35613.14 47.876807 -14274.470007049998 0.0 0.0 -16171.5458 -1534.730844232385 -0.0
298.15 CD PR 0.7 0.3 -49425.36 -35181.51 47.774109 -14243.85059835 0.0 0.0 -16115.824 -1514.313164037668 -0.0
298.15 CD PR 0.71 0.29 -48924.0 -34706.25 47.686572 -14217.7514418 0.0 0.0 -16060.1022 -1492.7148576699553 -0.0
298.15 CD PR 0.72 0.28 -48382.95 -34186.71 47.614392 -14196.230974799999 0.0 0.0 -16004.380400000002 -1469.9124032129614 -0.0
298.15 CD PR 0.73 0.27 -47801.59 -33622.24 47.557759 -14179.345845849997 0.0 0.0 -15948.658599999999 -1445.8801024662048 -0.0
298.15 CD PR 0.74 0.26 -47179.32 -33012.17 47.516854 -14167.1500201 0.0 0.0 -15892.9368 -1420.5898600324033 -0.0
298.15 CD PR 0.75 0.25 -46515.55 -32355.86 47.491852 -14159.695673799999 0.0 0.0 -15837.215 -1394.0109271940482 -0.0
298.15 CD PR 0.76 0.24 -45809.67 -31652.64 47.482914 -14157.030809099999 0.0 0.0 -15781.493199999999 -1366.1096036088943 -0.0
298.15 CD PR 0.77 0.23 -45061.07 -30901.86 47.490193 -14159.201042949999 0.0 0.0 -15725.771400000001 -1336.8488881016199 -0.0
298.15 CD PR 0.78 0.22 -44269.12 -30102.87 47.513827 -14166.24752005 0.0 0.0 -15670.049599999998 -1306.188067542519 -0.0
298.15 CD PR 0.79 0.21 -43433.22 -29255.01 47.553943 -14178.208105449998 0.0 0.0 -15614.3278 -1274.08222978906 -0.0
298.15 CD PR 0.8 0.2 -42552.74 -28357.63 47.61065 -14195.115297499999 0.0 0.0 -15558.606 -1240.4816826440385 -0.0
298.15 CD PR 0.81 0.19 -41627.06 -27410.06 47.684039 -14216.996227849999 0.0 0.0 -15502.884199999999 -1205.3312553507324 -0.0
298.15 CD PR 0.82 0.18 -40655.53 -26411.66 47.774179 -14243.871468849999 0.0 0.0 -15447.162400000001 -1168.5694517045058 -0.0
298.15 CD PR 0.83 0.17 -39637.51 -25361.76 47.881115 -14275.75443725 0.0 0.0 -15391.4406 -1130.127413516092 -0.0
298.15 CD PR 0.84 0.16 -38572.37 -24259.72 48.004864 -14312.650201599998 0.0 0.0 -15335.718799999999 -1089.9276385420173 -0.0
298.15 CD PR 0.85 0.15 -37459.42 -23104.87 48.145407 -14354.553097049999 0.0 0.0 -15279.997 -1047.882375954332 -0.0
298.15 CD PR 0.86 0.14 -36298.01 -21896.56 48.302685 -14401.445532749998 0.0 0.0 -15224.2752 -1003.8915915105914 -0.0
298.15 CD PR 0.87 0.13 -35087.44 -20634.14 48.476588 -14453.294712199999 0.0 0.0 -15168.5534 -957.840348132521 -0.0
298.15 CD PR 0.88 0.12 -33827.0 -19316.95 48.666945 -14510.049651749998 0.0 0.0 -15112.8316 -909.5953759771999 -0.0
298.15 CD PR 0.89 0.11 -32515.97 -17944.34 48.873508 -14571.636410199999 0.0 0.0 -15057.109799999998 -859.000492370776 -0.0
298.15 CD PR 0.9 0.1 -31153.59 -16515.64 49.095933 -14637.952423949999 0.0 0.0 -15001.387999999999 -805.870345271772 -0.0
298.15 CD PR 0.91 0.09 -29739.06 -15030.21 49.333745 -14708.856071749999 0.0 0.0 -14945.6662 -749.9816351924775 -0.0
298.15 CD PR 0.92 0.08 -28271.54 -13487.38 49.586301 -14784.15564315 0.0 0.0 -14889.9444 -691.0604007790713 -0.0
298.15 CD PR 0.93 0.07 -26750.1 -11886.51 49.852726 -14863.590256899997 0.0 0.0 -14834.2226 -628.762877359387 -0.0
298.15 CD PR 0.94 0.06 -25173.73 -10226.93 50.131806 -14946.797958899999 0.0 0.0 -14778.500800000002 -562.6452650375951 -0.0
298.15 CD PR 0.95 0.05 -23541.27 -8508.0 50.421823 -15033.26652745 0.0 0.0 -14722.779 -492.1129705067989 -0.0
298.15 CD PR 0.96 0.04 -21851.29 -6729.05 50.720243 -15122.24045045 0.0 0.0 -14667.0572 -416.3281974105133 -0.0
