T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CD TI 0.0 1.0 -4597.55 6475.8 37.1402 -11073.350629999999 0.0 0.0 -4597.55 0.0 -0.0
298.15 CD TI 1.0 0.0 -14444.17 1000.002 51.800005 -15444.171490749999 0.0 0.0 -14444.17 0.0 -0.0
298.15 CD TI 0.01 0.99 -4621.943 6648.447 37.801072 -11270.3896168 0.0 0.0 -4696.0162 -138.82602141683572 -0.0
298.15 CD TI 0.02 0.98 -4626.304 6806.215 38.344857 -11432.519114549998 0.0 0.0 -4794.4824 -243.03584172567548 -0.0
298.15 CD TI 0.03 0.97 -4631.105 6950.027 38.843306 -11581.1316839 0.0 0.0 -4892.9486 -334.02154674813943 -0.0
298.15 CD TI 0.04 0.96 -4639.996 7080.776 39.311663 -11720.77232345 0.0 0.0 -4991.4148000000005 -416.3281974105132 -0.0
298.15 CD TI 0.05 0.95 -4654.264 7199.333 39.757162 -11853.597850299999 0.0 0.0 -5089.880999999999 -492.11297050679866 -0.0
298.15 CD TI 0.06 0.94 -4674.333 7306.544 40.184061 -11980.877787149999 0.0 0.0 -5188.3472 -562.6452650375949 -0.0
298.15 CD TI 0.07 0.93 -4700.221 7403.229 40.595171 -12103.450233649999 0.0 0.0 -5286.8134 -628.7628773593874 -0.0
298.15 CD TI 0.08 0.92 -4731.726 7490.183 40.992485 -12221.90940275 0.0 0.0 -5385.2796 -691.0604007790716 -0.0
298.15 CD TI 0.09 0.91 -4768.522 7568.177 41.377492 -12336.699239799998 0.0 0.0 -5483.745800000001 -749.9816351924776 -0.0
298.15 CD TI 0.1 0.9 -4810.208 7637.956 41.751346 -12448.1638099 0.0 0.0 -5582.212 -805.870345271772 -0.0
298.15 CD TI 0.11 0.89 -4856.336 7700.24 42.114964 -12556.576516599998 0.0 0.0 -5680.6782 -859.000492370776 -0.0
298.15 CD TI 0.12 0.88 -4906.435 7755.726 42.469096 -12662.160972399999 0.0 0.0 -5779.1444 -909.5953759771999 -0.0
298.15 CD TI 0.13 0.87 -4960.019 7805.083 42.814364 -12765.102626599999 0.0 0.0 -5877.6106 -957.840348132521 -0.0
298.15 CD TI 0.14 0.86 -5016.599 7848.958 43.151291 -12865.55741165 0.0 0.0 -5976.076800000001 -1003.8915915105914 -0.0
298.15 CD TI 0.15 0.85 -5075.688 7887.971 43.480324 -12963.6586006 0.0 0.0 -6074.543 -1047.882375954332 -0.0
298.15 CD TI 0.16 0.84 -5136.805 7922.717 43.80185 -13059.5215775 0.0 0.0 -6173.0092 -1089.9276385420173 -0.0
298.15 CD TI 0.17 0.83 -5199.478 7953.767 44.116202 -13153.245626299999 0.0 0.0 -6271.4754 -1130.1274135160918 -0.0
