T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CE MN 0.0 1.0 -6300.583 3888.498 34.174348 -10189.0818562 580.0 0.27 -6300.583 0.0 -413.1990706628121
298.15 CE MN 1.0 0.0 -19160.05 1966.432 70.858565 -21126.48115475 5.8e-10 2.7e-13 -19160.05 0.0 -7.960477393113495e-70
298.15 CE MN 0.01 0.99 -6303.004 4135.187 35.009863 -10438.19065345 574.2 0.2673 -6429.177669999999 -138.82602141683572 -400.11873971202965
298.15 CE MN 0.02 0.98 -6277.038 4375.69 35.729427 -10652.72866005 568.4 0.2646 -6557.7723399999995 -243.03584172567548 -387.2173699841187
298.15 CE MN 0.03 0.97 -6244.053 4610.036 36.404795 -10854.089629249998 562.6 0.2619 -6686.367009999999 -334.02154674813943 -374.4959039837361
298.15 CE MN 0.04 0.96 -6208.568 4838.252 37.051215 -11046.81975225 556.8 0.2592 -6814.961679999999 -416.3281974105132 -361.9553094428378
298.15 CE MN 0.05 0.95 -6172.712 5060.366 37.675929 -11233.078231349999 551.0 0.2565 -6943.556349999999 -492.11297050679866 -349.5965808491786
298.15 CE MN 0.06 0.94 -6137.731 5276.406 38.283201 -11414.136378149999 545.2 0.2538 -7072.151019999999 -562.6452650375949 -337.4207411003242
298.15 CE MN 0.07 0.93 -6104.435 5486.399 38.875846 -11590.8334849 539.4 0.2511 -7200.74569 -628.7628773593874 -325.42884329593306
298.15 CE MN 0.08 0.92 -6073.393 5690.373 39.455866 -11763.7664479 533.6 0.2484 -7329.34036 -691.0604007790716 -313.6219726826328
298.15 CE MN 0.09 0.91 -6045.024 5888.358 40.024757 -11933.38129955 527.8 0.2457 -7457.93503 -749.9816351924776 -302.00124876764124
298.15 CE MN 0.1 0.9 -6019.644 6080.38 40.583679 -12100.023893849999 522.0 0.243 -7586.5297 -805.870345271772 -290.5678276193599
298.15 CE MN 0.11 0.89 -5997.503 6266.468 41.133559 -12263.97061585 516.2 0.2403 -7715.1243699999995 -859.000492370776 -279.32290437558953
298.15 CE MN 0.12 0.88 -5978.797 6446.651 41.675156 -12425.447761399999 510.4 0.2376 -7843.71904 -909.5953759771999 -268.26771598281533
298.15 CE MN 0.13 0.87 -5963.686 6620.956 42.209099 -12584.64286685 504.6 0.2349 -7972.31371 -957.840348132521 -257.4035441932757
298.15 CE MN 0.14 0.86 -5952.301 6789.414 42.735922 -12741.7151443 498.8 0.2322 -8100.90838 -1003.8915915105914 -246.73171885032912
298.15 CE MN 0.15 0.85 -5944.75 6952.052 43.256084 -12896.8014446 493.0 0.2295 -8229.50305 -1047.882375954332 -236.2536214971058
298.15 CE MN 0.16 0.84 -5941.12 7108.899 43.76998 -13050.019536999998 487.2 0.2268 -8358.09772 -1089.9276385420173 -225.9706893486869
298.15 CE MN 0.17 0.83 -5941.488 7259.985 44.277958 -13201.473177699998 481.4 0.2241 -8486.69239 -1130.1274135160918 -215.88441967426377
298.15 CE MN 0.18 0.82 -5945.915 7405.339 44.780326 -13351.2541969 475.6 0.2214 -8615.28706 -1168.5694517045056 -205.99637464310814
298.15 CE MN 0.19 0.81 -5954.453 7544.991 45.277358 -13499.444287699998 469.8 0.2187 -8743.881730000001 -1205.3312553507326 -196.3081866969676
298.15 CE MN 0.2 0.8 -5967.146 7678.971 45.769298 -13646.1161987 464.0 0.216 -8872.4764 -1240.4816826440385 -186.8215645220292
298.15 CE MN 0.21 0.79 -5984.029 7807.308 46.256371 -13791.33701365 458.2 0.2133 -9001.07107 -1274.08222978906 -177.53829970625475
298.15 CE MN 0.22 0.78 -6005.134 7930.033 46.738778 -13935.1666607 452.4 0.2106 -9129.66574 -1306.188067542519 -168.46027418318286
298.15 CE MN 0.23 0.77 -6030.483 8047.177 47.216705 -14077.660595749998 446.6 0.2079 -9258.260409999999 -1336.8488881016199 -159.58946858190757
298.15 CE MN 0.24 0.76 -6060.098 8158.772 47.690323 -14218.869802449999 440.8 0.2052 -9386.85508 -1366.1096036088943 -150.92797162561936
298.15 CE MN 0.25 0.75 -6093.993 8264.849 48.159792 -14358.8419848 435.0 0.2025 -9515.44975 -1394.0109271940482 -142.4779907489894
298.15 CE MN 0.26 0.74 -6132.182 8365.439 48.625259 -14497.62097085 429.2 0.1998 -9644.04442 -1420.5898600324033 -134.24186413906912
298.15 CE MN 0.27 0.73 -6174.673 8460.577 49.086866 -14635.2490979 423.4 0.1971 -9772.63909 -1445.8801024662048 -126.22207444709913
298.15 CE MN 0.28 0.72 -6221.471 8550.294 49.544745 -14771.765721749998 417.6 0.1944 -9901.23376 -1469.9124032129614 -118.42126447195103
298.15 CE MN 0.29 0.71 -6272.582 8634.627 49.999023 -14907.20870745 411.8 0.1917 -10029.828429999998 -1492.7148576699553 -110.84225518292723
298.15 CE MN 0.3 0.7 -6328.006 8713.609 50.449823 -15041.61472745 406.0 0.189 -10158.4231 -1514.313164037668 -103.48806653431616
298.15 CE MN 0.31 0.69 -6387.743 8787.276 50.897263 -15175.01896345 400.2 0.1863 -10287.017769999999 -1534.730844232385 -96.36194163179907
298.15 CE MN 0.32 0.68 -6451.79 8855.667 51.341462 -15307.456895299998 394.4 0.1836 -10415.61244 -1553.9894352015579 -89.4673749486668
298.15 CE MN 0.33 0.67 -6520.144 8918.819 51.782537 -15438.963406549998 388.6 0.1809 -10544.20711 -1572.1086551954763 -82.80814546742717
298.15 CE MN 0.34 0.66 -6592.799 8976.774 52.220605 -15569.573380749998 382.8 0.1782 -10672.80178 -1589.1065487133012 -76.38835585283799
298.15 CE MN 0.35 0.65 -6669.75 9029.574 52.655788 -15699.3231922 377.0 0.1755 -10801.396449999998 -1604.9996131775667 -70.21247906337287
298.15 CE MN 0.36 0.64 -6750.987 9077.262 53.08821 -15828.249811499998 371.2 0.1728 -10929.991119999999 -1619.8029098595373 -64.2854142040503
298.15 CE MN 0.37 0.63 -6836.504 9119.889 53.518003 -15956.392594449999 365.4 0.1701 -11058.58579 -1633.5301611487748 -58.61255394807436
298.15 CE MN 0.38 0.62 -6926.29 9157.504 53.945309 -16083.79387835 359.6 0.1674 -11187.18046 -1646.193835911596 -53.199866554699554
298.15 CE MN 0.39 0.61 -7020.337 9190.163 54.370282 -16210.4995783 353.8 0.1647 -11315.77513 -1657.8052243977716 -48.053996451810505
298.15 CE MN 0.4 0.6 -7118.633 9217.927 54.793091 -16336.560081649997 348.0 0.162 -11444.3698 -1668.3745039196444 -43.18238862650855
298.15 CE MN 0.41 0.59 -7221.168 9240.865 55.213931 -16462.03352765 342.2 0.1593 -11572.964469999999 -1677.9107963326926 -38.593443807215635
298.15 CE MN 0.42 0.58 -7327.933 9259.052 55.633021 -16586.985211149997 336.4 0.1566 -11701.55914 -1686.4222181834425 -34.296713814977196
298.15 CE MN 0.43 0.57 -7438.916 9272.576 56.050619 -16711.492054849998 330.6 0.1539 -11830.15381 -1693.9159242532326 -30.303149781815836
298.15 CE MN 0.44 0.56 -7554.109 9281.536 56.467032 -16835.6455908 324.8 0.1512 -11958.74848 -1700.3981451097393 -26.62542057567921
298.15 CE MN 0.45 0.55 -7673.503 9286.052 56.882628 -16959.5555382 319.0 0.1485 -12087.343149999999 -1705.8742191782392 -23.27832531436875
298.15 CE MN 0.46 0.54 -7797.09 9286.266 57.297858 -17083.356362699997 313.2 0.1458 -12215.93782 -1710.3486197582595 -20.279333151045506
298.15 CE MN 0.47 0.53 -7924.866 9282.349 57.713283 -17207.215326449998 307.4 0.1431 -12344.532489999998 -1713.8249773357109 -17.649296846774906
298.15 CE MN 0.48 0.52 -8056.829 9274.514 58.12961 -17331.3432215 301.6 0.1404 -12473.127159999998 -1716.3060974737868 -15.413405926521396
298.15 CE MN 0.49 0.51 -8192.972 9260.538 58.539358 -17453.5095877 295.8 0.1377 -12601.721829999999 -1717.7939745058845 -13.582650584043105
298.15 CE MN 0.5 0.5 -8333.189 9236.788 58.929993 -17569.97741295 290.0 0.135 -12730.316499999999 -1718.289801199083 -11.99245718632246
298.15 CE MN 0.51 0.49 -8477.401 9206.241 59.311223 -17683.64113745 284.2 0.1323 -12858.91117 -1717.7939745058845 -10.577631986474884
298.15 CE MN 0.52 0.48 -8625.545 9169.319 59.684266 -17794.8639079 278.4 0.1296 -12987.50584 -1716.3060974737868 -9.316671650047802
298.15 CE MN 0.53 0.47 -8777.569 9126.343 60.050016 -17903.9122704 272.6 0.1269 -13116.10051 -1713.8249773357109 -8.191880298216564
298.15 CE MN 0.54 0.46 -8933.42 9077.564 60.409138 -18010.9844947 266.8 0.1242 -13244.695179999999 -1710.3486197582595 -7.188403822482785
298.15 CE MN 0.55 0.45 -9093.05 9023.18 60.762135 -18116.23055025 261.0 0.1215 -13373.28985 -1705.8742191782392 -6.293547292912227
298.15 CE MN 0.56 0.44 -9256.412 8963.354 61.109395 -18219.766119249998 255.2 0.1188 -13501.88452 -1700.3981451097393 -5.496289281914093
298.15 CE MN 0.57 0.43 -9423.459 8898.224 61.451224 -18321.6824356 249.4 0.1161 -13630.47919 -1693.9159242532328 -4.786933377317526
298.15 CE MN 0.58 0.42 -9594.146 8827.905 61.787862 -18422.0510553 243.6 0.1134 -13759.073859999999 -1686.4222181834425 -4.1568555415311295
298.15 CE MN 0.59 0.41 -9768.428 8752.503 62.119507 -18520.931012049998 237.8 0.1107 -13887.668529999999 -1677.910796332693 -3.598318702405723
298.15 CE MN 0.6 0.4 -9946.261 8672.108 62.446316 -18618.3691154 232.0 0.108 -14016.2632 -1668.3745039196444 -3.1043347496103713
298.15 CE MN 0.61 0.39 -10127.6 8586.805 62.76842 -18714.404423 226.2 0.1053 -14144.85787 -1657.8052243977716 -2.6685601661133065
298.15 CE MN 0.62 0.38 -10312.4 8496.669 63.085926 -18809.068836899998 220.4 0.1026 -14273.45254 -1646.193835911596 -2.285215694192901
298.15 CE MN 0.63 0.37 -10500.62 8401.772 63.39892 -18902.387998 214.6 0.0999 -14402.04721 -1633.5301611487748 -1.9490233085600828
298.15 CE MN 0.64 0.36 -10692.2 8302.18 63.707472 -18994.3827768 208.8 0.0972 -14530.641880000001 -1619.8029098595373 -1.6551557533859713
298.15 CE MN 0.65 0.35 -10887.11 8197.956 64.011636 -19085.069273399997 203.0 0.0945 -14659.23655 -1604.9996131775667 -1.399195275822243
298.15 CE MN 0.66 0.34 -11085.3 8089.158 64.311452 -19174.4594138 197.2 0.0918 -14787.83122 -1589.106548713301 -1.1770991480097552
