T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CE SN 0.0 1.0 -12648.2 4400.0 57.179958 -17048.204477699997 0.0 0.0 -12648.2 0.0 -0.0
298.15 CE SN 1.0 0.0 -19160.05 1966.432 70.858565 -21126.48115475 0.0 0.0 -19160.05 0.0 -0.0
298.15 CE SN 0.01 0.99 -14138.95 3148.064 57.980944 -17287.018453599998 0.0 0.0 -12713.318500000001 -138.82602141683572 -0.0
298.15 CE SN 0.02 0.98 -15569.09 1920.929 58.661814 -17490.0198441 0.0 0.0 -12778.437000000002 -243.03584172567548 -0.0
298.15 CE SN 0.03 0.97 -16960.01 718.5929 59.294319 -17678.60120985 0.0 0.0 -12843.5555 -334.02154674813943 -0.0
298.15 CE SN 0.04 0.96 -18316.25 -458.9428 59.893702 -17857.307251299997 0.0 0.0 -12908.674 -416.3281974105132 -0.0
298.15 CE SN 0.05 0.95 -19639.97 -1611.678 60.467199 -18028.29538185 0.0 0.0 -12973.792500000001 -492.11297050679866 -0.0
298.15 CE SN 0.06 0.94 -20932.45 -2739.614 61.019068 -18192.8351242 0.0 0.0 -13038.911 -562.6452650375949 -0.0
298.15 CE SN 0.07 0.93 -22194.51 -3842.75 61.552119 -18351.76427985 0.0 0.0 -13104.029499999999 -628.7628773593874 -0.0
298.15 CE SN 0.08 0.92 -23426.76 -4921.086 62.068345 -18505.67706175 0.0 0.0 -13169.148000000001 -691.0604007790716 -0.0
298.15 CE SN 0.09 0.91 -24629.64 -5974.621 62.569235 -18655.017415249997 0.0 0.0 -13234.266500000002 -749.9816351924776 -0.0
298.15 CE SN 0.1 0.9 -25803.49 -7003.357 63.055942 -18800.1291073 0.0 0.0 -13299.385000000002 -805.870345271772 -0.0
298.15 CE SN 0.11 0.89 -26948.58 -8007.293 63.529386 -18941.286435899998 0.0 0.0 -13364.5035 -859.000492370776 -0.0
298.15 CE SN 0.12 0.88 -28065.14 -8986.428 63.990315 -19078.71241725 0.0 0.0 -13429.622000000001 -909.5953759771999 -0.0
298.15 CE SN 0.13 0.87 -29153.36 -9940.764 64.43935 -19212.5922025 0.0 0.0 -13494.740500000002 -957.840348132521 -0.0
298.15 CE SN 0.14 0.86 -30213.38 -10870.3 64.877016 -19343.082320399997 0.0 0.0 -13559.859 -1003.8915915105914 -0.0
298.15 CE SN 0.15 0.85 -31245.35 -11775.04 65.30376 -19470.316044 0.0 0.0 -13624.9775 -1047.882375954332 -0.0
298.15 CE SN 0.16 0.84 -32249.38 -12654.97 65.719967 -19594.408161049996 0.0 0.0 -13690.096 -1089.9276385420173 -0.0
298.15 CE SN 0.17 0.83 -33225.57 -13510.11 66.125972 -19715.4585518 0.0 0.0 -13755.2145 -1130.1274135160918 -0.0
298.15 CE SN 0.18 0.82 -34174.0 -14340.44 66.52207 -19833.5551705 0.0 0.0 -13820.333 -1168.5694517045056 -0.0
298.15 CE SN 0.19 0.81 -35094.75 -15145.98 66.908522 -19948.7758343 0.0 0.0 -13885.451500000001 -1205.3312553507326 -0.0
298.15 CE SN 0.2 0.8 -35987.9 -15926.71 67.285557 -20061.188819549996 0.0 0.0 -13950.570000000002 -1240.4816826440385 -0.0
298.15 CE SN 0.21 0.79 -36853.51 -16682.65 67.653382 -20170.855843299996 0.0 0.0 -14015.6885 -1274.08222978906 -0.0
298.15 CE SN 0.22 0.78 -37691.62 -17413.79 68.012182 -20277.832063299997 0.0 0.0 -14080.807 -1306.188067542519 -0.0
298.15 CE SN 0.23 0.77 -38502.29 -18120.12 68.362124 -20382.167270599995 0.0 0.0 -14145.925500000001 -1336.8488881016199 -0.0
298.15 CE SN 0.24 0.76 -39285.56 -18801.66 68.703358 -20483.9061877 0.0 0.0 -14211.044000000002 -1366.1096036088943 -0.0
298.15 CE SN 0.25 0.75 -40041.48 -19458.39 69.036021 -20583.08966115 0.0 0.0 -14276.162500000002 -1394.0109271940482 -0.0
298.15 CE SN 0.26 0.74 -40770.08 -20090.33 69.360238 -20679.754959699996 0.0 0.0 -14341.280999999999 -1420.5898600324033 -0.0
298.15 CE SN 0.27 0.73 -41471.4 -20697.46 69.67612 -20773.935177999996 0.0 0.0 -14406.3995 -1445.8801024662048 -0.0
298.15 CE SN 0.28 0.72 -42145.46 -21279.8 69.983772 -20865.661621799998 0.0 0.0 -14471.518 -1469.9124032129614 -0.0
298.15 CE SN 0.29 0.71 -42792.3 -21837.33 70.283287 -20954.96201905 0.0 0.0 -14536.636499999999 -1492.7148576699553 -0.0
298.15 CE SN 0.3 0.7 -43411.93 -22370.07 70.574752 -21041.8623088 0.0 0.0 -14601.755 -1514.313164037668 -0.0
298.15 CE SN 0.31 0.69 -44004.39 -22878.01 70.858246 -21126.386044899995 0.0 0.0 -14666.8735 -1534.730844232385 -0.0
298.15 CE SN 0.32 0.68 -44569.7 -23361.14 71.13384 -21208.554396 0.0 0.0 -14731.992 -1553.9894352015579 -0.0
298.15 CE SN 0.33 0.67 -45107.86 -23819.48 71.401601 -21288.387338149998 0.0 0.0 -14797.110499999999 -1572.1086551954763 -0.0
298.15 CE SN 0.34 0.66 -45618.92 -24253.01 71.66159 -21365.9030585 0.0 0.0 -14862.229 -1589.1065487133012 -0.0
298.15 CE SN 0.35 0.65 -46102.87 -24661.75 71.913862 -21441.117955299997 0.0 0.0 -14927.3475 -1604.9996131775667 -0.0
298.15 CE SN 0.36 0.64 -46559.73 -25045.68 72.158466 -21514.0466379 0.0 0.0 -14992.466 -1619.8029098595373 -0.0
298.15 CE SN 0.37 0.63 -46989.52 -25404.82 72.39545 -21584.703417499997 0.0 0.0 -15057.5845 -1633.5301611487748 -0.0
298.15 CE SN 0.38 0.62 -47392.26 -25739.16 72.624856 -21653.100816399998 0.0 0.0 -15122.703 -1646.193835911596 -0.0
298.15 CE SN 0.39 0.61 -47767.94 -26048.69 72.84672 -21719.249568 0.0 0.0 -15187.8215 -1657.8052243977716 -0.0
298.15 CE SN 0.4 0.6 -48116.59 -26333.43 73.061077 -21783.160107549997 0.0 0.0 -15252.94 -1668.3745039196444 -0.0
298.15 CE SN 0.41 0.59 -48438.2 -26593.36 73.267958 -21844.841677699995 0.0 0.0 -15318.0585 -1677.9107963326926 -0.0
298.15 CE SN 0.42 0.58 -48732.8 -26828.5 73.46739 -21904.302328499998 0.0 0.0 -15383.177 -1686.4222181834425 -0.0
298.15 CE SN 0.43 0.57 -49000.38 -27038.83 73.659398 -21961.549513699996 0.0 0.0 -15448.2955 -1693.9159242532326 -0.0
298.15 CE SN 0.44 0.56 -49240.96 -27224.37 73.844 -22016.588599999995 0.0 0.0 -15513.414 -1700.3981451097393 -0.0
298.15 CE SN 0.45 0.55 -49454.53 -27385.11 74.021217 -22069.425848549996 0.0 0.0 -15578.532500000001 -1705.8742191782392 -0.0
298.15 CE SN 0.46 0.54 -49641.11 -27521.04 74.191063 -22120.06543345 0.0 0.0 -15643.651000000002 -1710.3486197582595 -0.0
298.15 CE SN 0.47 0.53 -49800.69 -27632.18 74.353549 -22168.510634349997 0.0 0.0 -15708.769499999999 -1713.8249773357109 -0.0
298.15 CE SN 0.48 0.52 -49933.28 -27718.51 74.508686 -22214.7647309 0.0 0.0 -15773.887999999999 -1716.3060974737868 -0.0
298.15 CE SN 0.49 0.51 -50038.88 -27780.05 74.65648 -22258.829512 0.0 0.0 -15839.0065 -1717.7939745058845 -0.0
298.15 CE SN 0.5 0.5 -50117.49 -27816.78 74.796935 -22300.70617025 0.0 0.0 -15904.125 -1718.289801199083 -0.0
298.15 CE SN 0.51 0.49 -50169.11 -27828.72 74.930052 -22340.3950038 0.0 0.0 -15969.2435 -1717.7939745058845 -0.0
298.15 CE SN 0.52 0.48 -50193.75 -27815.86 75.05583 -22377.8957145 0.0 0.0 -16034.362000000001 -1716.3060974737868 -0.0
298.15 CE SN 0.53 0.47 -50191.4 -27778.19 75.174265 -22413.20710975 0.0 0.0 -16099.480500000001 -1713.8249773357109 -0.0
298.15 CE SN 0.54 0.46 -50162.05 -27715.73 75.285351 -22446.32740065 0.0 0.0 -16164.598999999998 -1710.3486197582595 -0.0
298.15 CE SN 0.55 0.45 -50105.72 -27628.46 75.389078 -22477.253605699996 0.0 0.0 -16229.717499999999 -1705.8742191782392 -0.0
298.15 CE SN 0.56 0.44 -50022.38 -27516.4 75.485433 -22505.98184895 0.0 0.0 -16294.836 -1700.3981451097393 -0.0
298.15 CE SN 0.57 0.43 -49912.04 -27379.53 75.574402 -22532.5079563 0.0 0.0 -16359.9545 -1693.9159242532328 -0.0
298.15 CE SN 0.58 0.42 -49774.7 -27217.87 75.655968 -22556.8268592 0.0 0.0 -16425.072999999997 -1686.4222181834425 -0.0
298.15 CE SN 0.59 0.41 -49610.34 -27031.41 75.730108 -22578.9317002 0.0 0.0 -16490.1915 -1677.910796332693 -0.0
298.15 CE SN 0.6 0.4 -49418.96 -26820.14 75.796799 -22598.815621849997 0.0 0.0 -16555.309999999998 -1668.3745039196444 -0.0
298.15 CE SN 0.61 0.39 -49200.55 -26584.08 75.856013 -22616.47027595 0.0 0.0 -16620.4285 -1657.8052243977716 -0.0
298.15 CE SN 0.62 0.38 -48955.1 -26323.21 75.907721 -22631.887016149998 0.0 0.0 -16685.547 -1646.193835911596 -0.0
298.15 CE SN 0.63 0.37 -48682.6 -26037.55 75.951888 -22645.055407199998 0.0 0.0 -16750.6655 -1633.5301611487748 -0.0
298.15 CE SN 0.64 0.36 -48383.05 -25727.08 75.988476 -22655.9641194 0.0 0.0 -16815.784 -1619.8029098595373 -0.0
298.15 CE SN 0.65 0.35 -48056.42 -25391.82 76.017444 -22664.600928599997 0.0 0.0 -16880.9025 -1604.9996131775667 -0.0
298.15 CE SN 0.66 0.34 -47702.71 -25031.75 76.038744 -22670.951523599997 0.0 0.0 -16946.021 -1589.106548713301 -0.0
298.15 CE SN 0.67 0.33 -47321.89 -24646.89 76.052328 -22675.0015932 0.0 0.0 -17011.1395 -1572.1086551954763 -0.0
298.15 CE SN 0.68 0.32 -46913.96 -24237.23 76.058139 -22676.734142849997 0.0 0.0 -17076.258 -1553.9894352015576 -0.0
298.15 CE SN 0.69 0.31 -46478.89 -23802.76 76.056116 -22676.1309854 0.0 0.0 -17141.3765 -1534.730844232385 -0.0
298.15 CE SN 0.7 0.3 -46016.67 -23343.5 76.046195 -22673.173039249996 0.0 0.0 -17206.495 -1514.313164037668 -0.0
298.15 CE SN 0.71 0.29 -45527.27 -22859.43 76.028302 -22667.838241299996 0.0 0.0 -17271.6135 -1492.7148576699553 -0.0
298.15 CE SN 0.72 0.28 -45010.67 -22350.57 76.002359 -22660.10333585 0.0 0.0 -17336.732 -1469.9124032129614 -0.0
298.15 CE SN 0.73 0.27 -44466.85 -21816.9 75.968279 -22649.942383849997 0.0 0.0 -17401.8505 -1445.8801024662048 -0.0
298.15 CE SN 0.74 0.26 -43895.77 -21258.44 75.925969 -22637.327657349997 0.0 0.0 -17466.969 -1420.5898600324033 -0.0
298.15 CE SN 0.75 0.25 -43297.4 -20675.18 75.875325 -22622.22814875 0.0 0.0 -17532.087499999998 -1394.0109271940482 -0.0
298.15 CE SN 0.76 0.24 -42671.72 -20067.11 75.816234 -22604.610167099996 0.0 0.0 -17597.206 -1366.1096036088943 -0.0
298.15 CE SN 0.77 0.23 -42018.68 -19434.25 75.748571 -22584.436443649996 0.0 0.0 -17662.3245 -1336.8488881016199 -0.0
298.15 CE SN 0.78 0.22 -41338.25 -18776.58 75.672202 -22561.667026299998 0.0 0.0 -17727.443 -1306.188067542519 -0.0
298.15 CE SN 0.79 0.21 -40630.37 -18094.12 75.586973 -22536.255999949997 0.0 0.0 -17792.5615 -1274.08222978906 -0.0
298.15 CE SN 0.8 0.2 -39895.01 -17386.85 75.492721 -22508.15476615 0.0 0.0 -17857.68 -1240.4816826440385 -0.0
298.15 CE SN 0.81 0.19 -39132.1 -16654.79 75.389258 -22477.307272699996 0.0 0.0 -17922.7985 -1205.3312553507324 -0.0
298.15 CE SN 0.82 0.18 -38341.58 -15897.93 75.276379 -22443.65239885 0.0 0.0 -17987.916999999998 -1168.5694517045058 -0.0
298.15 CE SN 0.83 0.17 -37523.38 -15116.26 75.153853 -22407.121271949996 0.0 0.0 -18053.035499999998 -1130.127413516092 -0.0
