T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CO CR 0.0 1.0 -7019.328 -0.001116983 23.542939 -7019.32726285 311.5 0.008 -7019.328 0.0 -1.145642488486718
298.15 CO CR 1.0 0.0 -7023.669 2142.445 30.743297 -9166.114000549998 1450.0 1.35 -7023.669 0.0 -6747.367288577929
298.15 CO CR 0.01 0.99 -6901.752 343.0462 24.299173 -7244.798429949999 293.885 0.00558 -7019.37141 -138.82602141683572 -0.5657454050061131
298.15 CO CR 0.02 0.98 -6757.493 668.0296 24.905326 -7425.522946899999 276.27 0.01916 -7019.414820000001 -243.03584172567548 -1.394341516992892
298.15 CO CR 0.03 0.97 -6604.994 990.6449 25.475897 -7595.638690549999 258.655 0.03274 -7019.45823 -334.02154674813943 -1.688799507540505
298.15 CO CR 0.04 0.96 -6449.052 1309.114 26.021015 -7758.165622249999 241.04 0.04632 -7019.50164 -416.3281974105132 -1.6613169191344095
298.15 CO CR 0.05 0.95 -6291.977 1622.394 26.544929 -7914.370581349999 223.425 0.0599 -7019.545050000001 -492.11297050679866 -1.4574563697039162
298.15 CO CR 0.06 0.94 -6135.125 1929.82 27.049955 -8064.9440832499995 205.81 0.07348 -7019.58846 -562.6452650375949 -1.1770074118456744
298.15 CO CR 0.07 0.93 -5979.364 2230.983 27.537641 -8210.34766415 188.195 0.08706 -7019.63187 -628.7628773593874 -0.8854626703419213
298.15 CO CR 0.08 0.92 -5825.284 2525.664 28.009218 -8350.9483467 170.58 0.10064 -7019.67528 -691.0604007790716 -0.6221560716533752
298.15 CO CR 0.09 0.91 -5673.292 2813.783 28.465791 -8487.075586649999 152.965 0.11422 -7019.718690000001 -749.9816351924776 -0.40686295993961413
298.15 CO CR 0.1 0.9 -5523.675 3095.365 28.908402 -8619.040056299998 135.35 0.1278 -7019.762100000001 -805.870345271772 -0.24540017376140738
298.15 CO CR 0.11 0.89 -5376.637 3370.499 29.338039 -8747.13632785 117.735 0.14138 -7019.80551 -859.000492370776 -0.13437269116739006
298.15 CO CR 0.12 0.88 -5232.321 3639.318 29.755626 -8871.639891899998 100.12 0.15496 -7019.84892 -909.5953759771999 -0.06510141513866684
298.15 CO CR 0.13 0.87 -5090.832 3901.969 30.162005 -8992.80179075 82.505 0.16854 -7019.892330000001 -957.840348132521 -0.02674662681446078
298.15 CO CR 0.14 0.86 -4952.244 4158.598 30.557913 -9110.84176095 64.89 0.18212 -7019.93574 -1003.8915915105914 -0.008646386723538572
298.15 CO CR 0.15 0.85 -4816.611 4409.336 30.943978 -9225.947040699999 47.275 0.1957 -7019.979150000001 -1047.882375954332 -0.0018957664479969003
298.15 CO CR 0.16 0.84 -4683.973 4654.298 31.320712 -9338.2702828 29.66 0.20928 -7020.02256 -1089.9276385420173 -0.00019592603174613268
298.15 CO CR 0.17 0.83 -4554.358 4893.575 31.688522 -9447.9328343 12.045 0.22286 -7020.06597 -1130.1274135160918 -2.2912416202240906e-06
298.15 CO CR 0.18 0.82 -4427.788 5127.242 32.047729 -9555.030401349999 5.57 0.23644 -7020.109380000001 -1168.5694517045056 -5.111177360727681e-08
298.15 CO CR 0.19 0.81 -4304.274 5355.367 32.398595 -9659.641099249999 23.185 0.25002 -7020.152790000001 -1205.3312553507326 -6.715468643083119e-05
298.15 CO CR 0.2 0.8 -4183.82 5578.008 32.741331 -9761.82783765 40.8 0.2636 -7020.1962 -1240.4816826440385 -0.0011881647524729947
298.15 CO CR 0.21 0.79 -4066.429 5795.199 33.076061 -9861.62758715 58.415 0.27718 -7020.2396100000005 -1274.08222978906 -0.007474815880382491
298.15 CO CR 0.22 0.78 -3952.105 6006.929 33.402764 -9959.034086599999 76.03 0.29076 -7020.283020000001 -1306.188067542519 -0.029126215780425145
298.15 CO CR 0.23 0.77 -3840.862 6213.116 33.721208 -10053.978165199998 93.645 0.30434 -7020.32643 -1336.8488881016199 -0.08594791893320565
298.15 CO CR 0.24 0.76 -3732.73 6413.573 34.030867 -10146.302996049999 111.26 0.31792 -7020.36984 -1366.1096036088943 -0.21140562941950625
298.15 CO CR 0.25 0.75 -3627.762 6607.977 34.330836 -10235.738753399999 128.875 0.3315 -7020.41325 -1394.0109271940482 -0.45719609974681313
298.15 CO CR 0.26 0.74 -3526.041 6795.83 34.619726 -10321.871306899999 146.49 0.34508 -7020.456660000001 -1420.5898600324033 -0.898324230179055
298.15 CO CR 0.27 0.73 -3427.693 6976.416 34.89555 -10404.108232499999 164.105 0.35866 -7020.50007 -1445.8801024662048 -1.63869663605582
298.15 CO CR 0.28 0.72 -3332.89 7148.75 35.155594 -10481.640351099999 181.72 0.37224 -7020.54348 -1469.9124032129614 -2.8173066734527006
298.15 CO CR 0.29 0.71 -3241.868 7311.521 35.396242 -10553.3895523 199.335 0.38582 -7020.5868900000005 -1492.7148576699553 -4.615263161526022
298.15 CO CR 0.3 0.7 -3154.936 7462.998 35.612725 -10617.933958749998 216.95 0.3994 -7020.6303 -1514.313164037668 -7.2643638681885125
298.15 CO CR 0.31 0.69 -3072.493 7600.868 35.798627 -10673.36064005 234.565 0.41298 -7020.673710000001 -1534.730844232385 -11.059014633314364
298.15 CO CR 0.32 0.68 -2995.062 7721.882 35.944806 -10716.943908899999 252.18 0.42656 -7020.717119999999 -1553.9894352015579 -16.37605094013057
298.15 CO CR 0.33 0.67 -2923.347 7820.975 36.036631 -10744.32153265 269.795 0.44014 -7020.76053 -1572.1086551954763 -23.71440154375638
298.15 CO CR 0.34 0.66 -2858.374 7888.814 36.046242 -10747.1870523 287.41 0.45372 -7020.80394 -1589.1065487133012 -33.78780113450641
298.15 CO CR 0.35 0.65 -2801.995 7895.23 35.878668 -10697.224864199998 305.025 0.4673 -7020.84735 -1604.9996131775667 -48.18053711453336
298.15 CO CR 0.36 0.64 -2756.478 7884.315 35.689395 -10640.793119249998 322.64 0.48088 -7020.89076 -1619.8029098595373 -71.10056921104737
298.15 CO CR 0.37 0.63 -2720.331 7889.091 35.584176 -10609.4220744 340.255 0.49446 -7020.93417 -1633.5301611487748 -101.42687245707857
298.15 CO CR 0.38 0.62 -2692.187 7901.33 35.530829 -10593.516666349999 357.87 0.50804 -7020.977580000001 -1646.193835911596 -137.6667639383323
298.15 CO CR 0.39 0.61 -2671.145 7916.59 35.511436 -10587.734643400001 375.485 0.52162 -7021.02099 -1657.8052243977716 -178.86155770688745
298.15 CO CR 0.4 0.6 -2656.567 7932.273 35.515146 -10588.8407799 393.1 0.5352 -7021.0644 -1668.3745039196444 -224.353922513353
298.15 CO CR 0.41 0.59 -2647.978 7946.758 35.53492 -10594.736398 410.715 0.54878 -7021.10781 -1677.9107963326926 -273.67035312607817
298.15 CO CR 0.42 0.58 -2645.005 7958.979 35.565938 -10603.9844147 428.33 0.56236 -7021.151220000001 -1686.4222181834425 -326.4565740357658
298.15 CO CR 0.43 0.57 -2647.344 7968.213 35.604754 -10615.557405099999 445.945 0.57594 -7021.194630000001 -1693.9159242532326 -382.4394321020134
298.15 CO CR 0.44 0.56 -2654.742 7973.954 35.648822 -10628.6962793 463.56 0.58952 -7021.23804 -1700.3981451097393 -441.4030749304033
