T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CO FE 0.0 1.0 -8132.746 0.6829054 27.279653 -8133.428541949999 1043.0 2.22 -8132.746 0.0 -5837.568155846089
298.15 CO FE 1.0 0.0 -7023.669 2142.445 30.743297 -9166.114000549998 1450.0 1.35 -7023.669 0.0 -6747.367288577929
298.15 CO FE 0.01 0.99 -8502.487 -292.3443 27.536954 -8210.1428351 1052.911 2.2328398 -8121.655229999999 -138.82602141683572 -5940.289493110469
298.15 CO FE 0.02 0.98 -8833.626 -579.9499 27.682966 -8253.6763129 1062.704 2.2453392 -8110.5644600000005 -243.03584172567548 -6041.975857029917
298.15 CO FE 0.03 0.97 -9147.52 -862.1026 27.789425 -8285.41706375 1072.379 2.2574954 -8099.47369 -334.02154674813943 -6142.593858967437
298.15 CO FE 0.04 0.96 -9448.678 -1138.771 27.871566 -8309.9074029 1081.936 2.2693054 -8088.38292 -416.3281974105132 -6242.110366850948
298.15 CO FE 0.05 0.95 -9739.225 -1409.924 27.936612 -8329.300867799999 1091.375 2.2807663 -8077.292149999999 -492.11297050679866 -6340.49295921803
298.15 CO FE 0.06 0.94 -10020.4 -1675.532 27.988813 -8344.864595949999 1100.696 2.2918753 -8066.2013799999995 -562.6452650375949 -6437.709914660695
298.15 CO FE 0.07 0.93 -10293.0 -1935.563 28.030968 -8357.4331092 1109.899 2.3026294 -8055.11061 -628.7628773593874 -6533.729704958347
298.15 CO FE 0.08 0.92 -10557.59 -2189.989 28.065066 -8367.5994279 1118.984 2.3130257 -8044.01984 -691.0604007790716 -6628.52146495346
298.15 CO FE 0.09 0.91 -10814.58 -2438.779 28.092586 -8375.8045159 1127.951 2.3230613 -8032.929070000001 -749.9816351924776 -6722.054815317082
298.15 CO FE 0.1 0.9 -11064.29 -2681.903 28.114675 -8382.390351249998 1136.8 2.3327334 -8021.8383 -805.870345271772 -6814.3000169230845
298.15 CO FE 0.11 0.89 -11306.96 -2919.334 28.132247 -8387.629443049998 1145.531 2.342039 -8010.74753 -859.000492370776 -6905.227449130439
298.15 CO FE 0.12 0.88 -11542.78 -3151.041 28.146044 -8391.7430186 1154.144 2.3509752 -7999.656760000001 -909.5953759771999 -6994.808099280173
298.15 CO FE 0.13 0.87 -11771.91 -3376.997 28.156684 -8394.915334599998 1162.639 2.3595392 -7988.56599 -957.840348132521 -7083.013555650331
298.15 CO FE 0.14 0.86 -11994.47 -3597.173 28.164687 -8397.30142905 1171.016 2.3677279 -7977.475219999999 -1003.8915915105914 -7169.815299292528
298.15 CO FE 0.15 0.85 -12210.57 -3811.541 28.170495 -8399.033084249999 1179.275 2.3755386 -7966.38445 -1047.882375954332 -7255.185907335091
298.15 CO FE 0.16 0.84 -12420.3 -4020.072 28.174492 -8400.224789799999 1187.416 2.3829683 -7955.29368 -1089.9276385420173 -7339.097820917609
298.15 CO FE 0.17 0.83 -12623.72 -4222.74 28.177009 -8400.97523335 1195.439 2.3900141 -7944.20291 -1130.1274135160918 -7421.524029959738
298.15 CO FE 0.18 0.82 -12820.89 -4419.518 28.17834 -8401.372071 1203.344 2.3966731 -7933.11214 -1168.5694517045056 -7502.437886947472
298.15 CO FE 0.19 0.81 -13011.87 -4610.377 28.178742 -8401.4919273 1211.131 2.4029425 -7922.02137 -1205.3312553507326 -7581.813276902758
298.15 CO FE 0.2 0.8 -13196.69 -4795.29 28.178446 -8401.403674899999 1218.8 2.4088192 -7910.930600000001 -1240.4816826440385 -7659.623879226677
298.15 CO FE 0.21 0.79 -13375.4 -4974.232 28.177658 -8401.1687327 1226.351 2.4143005 -7899.83983 -1274.08222978906 -7735.84442841748
298.15 CO FE 0.22 0.78 -13548.02 -5147.176 28.176561 -8400.84166215 1233.784 2.4193833 -7888.74906 -1306.188067542519 -7810.449242170184
298.15 CO FE 0.23 0.77 -13714.57 -5314.095 28.175323 -8400.472552449999 1241.099 2.4240649 -7877.65829 -1336.8488881016199 -7883.4136811483295
