T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CR FE 0.0 1.0 -1.49185e-25 2.5104e-26 5.84568e-28 -1.742889492e-25 0.0 0.0 -1.49185e-25 0.0 -0.0
298.15 CR FE 1.0 0.0 -4.963793e-08 2.5104e-08 2.5068565e-10 -7.47419265475e-08 0.0 0.0 -4.963793e-08 0.0 -0.0
298.15 CR FE 0.01 0.99 79.46015 248.5296 0.56706171 -169.06944883650002 0.0 0.0 -4.963793000000001e-10 -138.82602141683572 -0.0
298.15 CR FE 0.02 0.98 188.9859 492.0384 1.0164431 -303.05251026499997 0.0 0.0 -9.927586000000002e-10 -243.03584172567548 -0.0
298.15 CR FE 0.03 0.97 307.1894 730.5264 1.4198792 -423.33698347999996 0.0 0.0 -1.4891379000000002e-09 -334.02154674813943 -0.0
298.15 CR FE 0.04 0.96 429.53 963.9936 1.7925999 -534.463660185 0.0 0.0 -1.9855172e-09 -416.3281974105132 -0.0
298.15 CR FE 0.05 0.95 553.8547 1192.44 2.1418257 -638.585332455 0.0 0.0 -2.4818965000000004e-09 -492.11297050679866 -0.0
298.15 CR FE 0.06 0.94 678.8984 1415.866 2.4718 -736.9671699999999 0.0 0.0 -2.9782758e-09 -562.6452650375949 -0.0
298.15 CR FE 0.07 0.93 803.8278 1634.27 2.7853181 -830.4425915149999 0.0 0.0 -3.4746551000000006e-09 -628.7628773593874 -0.0
298.15 CR FE 0.08 0.92 928.0525 1847.654 3.08436 -919.601934 0.0 0.0 -3.9710344e-09 -691.0604007790716 -0.0
298.15 CR FE 0.09 0.91 1051.133 2056.018 3.3703997 -1004.884670555 0.0 0.0 -4.4674137e-09 -749.9816351924776 -0.0
298.15 CR FE 0.1 0.9 1172.73 2259.36 3.6445756 -1086.63021514 0.0 0.0 -4.963793000000001e-09 -805.870345271772 -0.0
298.15 CR FE 0.11 0.89 1292.573 2457.682 3.9077923 -1165.1082742449998 0.0 0.0 -5.4601723e-09 -859.000492370776 -0.0
298.15 CR FE 0.12 0.88 1410.445 2650.982 4.1607842 -1240.53780923 0.0 0.0 -5.9565516e-09 -909.5953759771999 -0.0
298.15 CR FE 0.13 0.87 1526.163 2839.262 4.4041586 -1313.0998865899999 0.0 0.0 -6.4529309e-09 -957.840348132521 -0.0
298.15 CR FE 0.14 0.86 1639.575 3022.522 4.6384247 -1382.946324305 0.0 0.0 -6.949310200000001e-09 -1003.8915915105914 -0.0
298.15 CR FE 0.15 0.85 1750.554 3200.76 4.8640152 -1450.20613188 0.0 0.0 -7.4456895e-09 -1047.882375954332 -0.0
298.15 CR FE 0.16 0.84 1858.988 3373.978 5.081301 -1514.98989315 0.0 0.0 -7.9420688e-09 -1089.9276385420173 -0.0
298.15 CR FE 0.17 0.83 1964.781 3542.174 5.2906033 -1577.3933738949997 0.0 0.0 -8.438448100000001e-09 -1130.1274135160918 -0.0
298.15 CR FE 0.18 0.82 2067.85 3705.35 5.4922019 -1637.499996485 0.0 0.0 -8.9348274e-09 -1168.5694517045056 -0.0
298.15 CR FE 0.19 0.81 2168.123 3863.506 5.6863423 -1695.3829567449998 0.0 0.0 -9.4312067e-09 -1205.3312553507326 -0.0
298.15 CR FE 0.2 0.8 2265.533 4016.64 5.873241 -1751.10680415 0.0 0.0 -9.927586000000002e-09 -1240.4816826440385 -0.0
298.15 CR FE 0.21 0.79 2360.025 4164.754 6.0530897 -1804.728694055 0.0 0.0 -1.04239653e-08 -1274.08222978906 -0.0
298.15 CR FE 0.22 0.78 2451.547 4307.846 6.226059 -1856.29949085 0.0 0.0 -1.09203446e-08 -1306.188067542519 -0.0
298.15 CR FE 0.23 0.77 2540.054 4445.918 6.3923013 -1905.8646325949999 0.0 0.0 -1.14167239e-08 -1336.8488881016199 -0.0
298.15 CR FE 0.24 0.76 2625.505 4578.97 6.5519525 -1953.4646378749997 0.0 0.0 -1.19131032e-08 -1366.1096036088943 -0.0
298.15 CR FE 0.25 0.75 2707.864 4707.0 6.7051349 -1999.1359704349998 0.0 0.0 -1.24094825e-08 -1394.0109271940482 -0.0
298.15 CR FE 0.26 0.74 2787.098 4830.01 6.8519581 -2042.9113075149999 0.0 0.0 -1.29058618e-08 -1420.5898600324033 -0.0
298.15 CR FE 0.27 0.73 2863.178 4947.998 6.9925206 -2084.82001689 0.0 0.0 -1.34022411e-08 -1445.8801024662048 -0.0
298.15 CR FE 0.28 0.72 2936.078 5060.966 7.1269112 -2124.88857428 0.0 0.0 -1.3898620400000002e-08 -1469.9124032129614 -0.0
298.15 CR FE 0.29 0.71 3005.773 5168.914 7.2552095 -2163.140712425 0.0 0.0 -1.4394999699999999e-08 -1492.7148576699553 -0.0
298.15 CR FE 0.3 0.7 3072.242 5271.84 7.3774873 -2199.597838495 0.0 0.0 -1.4891379e-08 -1514.313164037668 -0.0
298.15 CR FE 0.31 0.69 3135.466 5369.746 7.4938092 -2234.27921298 0.0 0.0 -1.53877583e-08 -1534.730844232385 -0.0
298.15 CR FE 0.32 0.68 3195.428 5462.63 7.6042327 -2267.2019795049996 0.0 0.0 -1.58841376e-08 -1553.9894352015579 -0.0
298.15 CR FE 0.33 0.67 3252.113 5550.494 7.7088096 -2298.3815822399997 0.0 0.0 -1.6380516900000003e-08 -1572.1086551954763 -0.0
298.15 CR FE 0.34 0.66 3305.506 5633.338 7.8075861 -2327.8317957149998 0.0 0.0 -1.6876896200000003e-08 -1589.1065487133012 -0.0
298.15 CR FE 0.35 0.65 3355.595 5711.16 7.9006028 -2355.56472482 0.0 0.0 -1.73732755e-08 -1604.9996131775667 -0.0
298.15 CR FE 0.36 0.64 3402.37 5783.962 7.987896 -2381.5911923999997 0.0 0.0 -1.78696548e-08 -1619.8029098595373 -0.0
298.15 CR FE 0.37 0.63 3445.822 5851.742 8.0694971 -2405.920560365 0.0 0.0 -1.83660341e-08 -1633.5301611487748 -0.0
298.15 CR FE 0.38 0.62 3485.941 5914.502 8.1454335 -2428.5609980249997 0.0 0.0 -1.88624134e-08 -1646.193835911596 -0.0
298.15 CR FE 0.39 0.61 3522.722 5972.242 8.2157287 -2449.5195119049995 0.0 0.0 -1.93587927e-08 -1657.8052243977716 -0.0
298.15 CR FE 0.4 0.6 3556.158 6024.96 8.2804022 -2468.8019159299997 0.0 0.0 -1.9855172000000003e-08 -1668.3745039196444 -0.0
298.15 CR FE 0.41 0.59 3586.245 6072.658 8.3394703 -2486.4130699449997 0.0 0.0 -2.03515513e-08 -1677.9107963326926 -0.0
298.15 CR FE 0.42 0.58 3612.978 6115.334 8.3929458 -2502.3567902699997 0.0 0.0 -2.08479306e-08 -1686.4222181834425 -0.0
298.15 CR FE 0.43 0.57 3636.355 6152.99 8.440838 -2516.6358496999997 0.0 0.0 -2.13443099e-08 -1693.9159242532326 -0.0
298.15 CR FE 0.44 0.56 3656.373 6185.626 8.4831535 -2529.252216025 0.0 0.0 -2.18406892e-08 -1700.3981451097393 -0.0
298.15 CR FE 0.45 0.55 3673.033 6213.24 8.5198958 -2540.20693277 0.0 0.0 -2.23370685e-08 -1705.8742191782392 -0.0
298.15 CR FE 0.46 0.54 3686.333 6235.834 8.5510653 -2549.5001191949996 0.0 0.0 -2.28334478e-08 -1710.3486197582595 -0.0
298.15 CR FE 0.47 0.53 3696.275 6253.406 8.5766598 -2557.13111937 0.0 0.0 -2.33298271e-08 -1713.8249773357109 -0.0
298.15 CR FE 0.48 0.52 3702.86 6265.958 8.5966743 -2563.0984425449997 0.0 0.0 -2.38262064e-08 -1716.3060974737868 -0.0
298.15 CR FE 0.49 0.51 3706.09 6273.49 8.6111009 -2567.399733335 0.0 0.0 -2.43225857e-08 -1717.7939745058845 -0.0
298.15 CR FE 0.5 0.5 3705.968 6276.0 8.6199292 -2570.03189098 0.0 0.0 -2.4818965e-08 -1718.289801199083 -0.0
298.15 CR FE 0.51 0.49 3702.499 6273.49 8.623146 -2570.9909798999997 0.0 0.0 -2.53153443e-08 -1717.7939745058845 -0.0
298.15 CR FE 0.52 0.48 3695.686 6265.958 8.6207357 -2570.2723489549994 0.0 0.0 -2.58117236e-08 -1716.3060974737868 -0.0
