T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CR IR 0.0 1.0 19356.83 32000.0 42.405403 -12643.170904449998 3.115e-28 8e-33 19356.83 0.0 -0.0
298.15 CR IR 1.0 0.0 -7019.328 -0.001117028 23.542939 -7019.32726285 311.5 0.008 -7019.328 0.0 -1.145642488486718
298.15 CR IR 0.01 0.99 18223.75 30920.05 42.583615 -12696.30481225 3.115 8e-05 19093.068420000003 -138.82602141683572 -1.0538728489636033e-12
298.15 CR IR 0.02 0.98 17140.04 29855.46 42.647725 -12715.41920875 6.23 0.00016 18829.30684 -243.03584172567548 -6.74451647427917e-11
298.15 CR IR 0.03 0.97 16084.32 28806.22 42.669482 -12721.9060583 9.345 0.00024 18565.545260000003 -334.02154674813943 -7.682118556805948e-10
298.15 CR IR 0.04 0.96 15052.03 27772.34 42.664131 -12720.310657649998 12.46 0.00032 18301.78368 -416.3281974105132 -4.316145307153442e-09
298.15 CR IR 0.05 0.95 14041.02 26753.81 42.638907 -12712.79012205 15.575 0.0004 18038.0221 -492.11297050679866 -1.6464129320400515e-08
298.15 CR IR 0.06 0.94 13050.02 25750.64 42.598066 -12700.6133779 18.69 0.00048 17774.26052 -562.6452650375949 -4.9159661019639107e-08
298.15 CR IR 0.07 0.93 12078.2 24762.82 42.54442 -12684.618822999999 21.805 0.00056 17510.49894 -628.7628773593874 -1.239573414078547e-07
298.15 CR IR 0.08 0.92 11124.95 23790.35 42.479962 -12665.4006703 24.92 0.00064 17246.737360000003 -691.0604007790716 -2.7618912353371084e-07
298.15 CR IR 0.09 0.91 10189.83 22833.24 42.406181 -12643.402865149998 28.035 0.00072 16982.975780000004 -749.9816351924776 -5.598921062978131e-07
298.15 CR IR 0.1 0.9 9272.511 21891.48 42.324231 -12618.969472649998 31.15 0.0008 16719.214200000002 -805.870345271772 -1.053493662018591e-06
298.15 CR IR 0.11 0.89 8372.704 20965.08 42.235029 -12592.373896349998 34.265 0.00088 16455.452620000004 -859.000492370776 -1.866253685971364e-06
298.15 CR IR 0.12 0.88 7490.189 20054.03 42.139325 -12563.839748749999 37.38 0.00096 16191.691040000003 -909.5953759771999 -3.145463756205784e-06
298.15 CR IR 0.13 0.87 6624.783 19158.34 42.03774 -12533.552181 40.495 0.00104 15927.92946 -957.840348132521 -5.0844029920581164e-06
298.15 CR IR 0.14 0.86 5776.328 18278.0 41.930799 -12501.667721849999 43.61 0.00112 15664.16788 -1003.8915915105914 -7.931050399896908e-06
298.15 CR IR 0.15 0.85 4944.691 17413.01 41.818948 -12468.319346199998 46.725 0.0012 15400.406300000002 -1047.882375954332 -1.199755349478165e-05
298.15 CR IR 0.16 0.84 4129.758 16563.38 41.702572 -12433.6218418 49.84 0.00128 15136.644720000002 -1089.9276385420173 -1.7670452986962314e-05
298.15 CR IR 0.17 0.83 3331.428 15729.1 41.582009 -12397.675983349998 52.955 0.00136 14872.88314 -1130.1274135160918 -2.5421663322472473e-05
298.15 CR IR 0.18 0.82 2549.613 14910.18 41.45755 -12360.568532499998 56.07 0.00144 14609.121560000003 -1168.5694517045056 -3.582020886755318e-05
298.15 CR IR 0.19 0.81 1784.236 14106.61 41.329457 -12322.377604549998 59.185 0.00152 14345.359980000003 -1205.3312553507326 -4.954471552756093e-05
298.15 CR IR 0.2 0.8 1035.229 13318.4 41.197961 -12283.172072149999 62.3 0.0016 14081.598400000003 -1240.4816826440385 -6.739665759230414e-05
298.15 CR IR 0.21 0.79 302.5288 12545.54 41.063267 -12243.01305605 65.415 0.00168 13817.836820000002 -1274.08222978906 -9.031435960173968e-05
298.15 CR IR 0.22 0.78 -413.9186 11788.04 40.925562 -12201.956310299998 68.53 0.00176 13554.075240000002 -1306.188067542519 -0.00011938775302946994
298.15 CR IR 0.23 0.77 -1114.163 11045.89 40.78501 -12160.0507315 71.645 0.00184 13290.313660000002 -1336.8488881016199 -0.00015587388758593103
298.15 CR IR 0.24 0.76 -1798.25 10319.09 40.641763 -12117.341638449998 74.76 0.00192 13026.552080000001 -1366.1096036088943 -0.00020121319695092527
298.15 CR IR 0.25 0.75 -2466.219 9607.651 40.495958 -12073.869877699999 77.875 0.002 12762.790500000001 -1394.0109271940482 -0.00025704651875559315
298.15 CR IR 0.26 0.74 -3118.109 8911.564 40.347719 -12029.672419849998 80.99 0.00208 12499.02892 -1420.5898600324033 -0.00032523286864908285
