T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CR LA 0.0 1.0 -15085.65 2932.558 60.433381 -18018.212545149996 0.0 0.0 -15085.65 0.0 -0.0
298.15 CR LA 1.0 0.0 -7017.642 9.681211 23.569757 -7027.323049549999 0.0 0.0 -7017.642 0.0 -0.0
298.15 CR LA 0.01 0.99 -14510.1 3537.028 60.53037 -18047.129815499997 0.0 0.0 -15004.96992 -138.82602141683572 -0.0
298.15 CR LA 0.02 0.98 -13931.75 4109.685 60.511255 -18041.43067825 0.0 0.0 -14924.28984 -243.03584172567548 -0.0
298.15 CR LA 0.03 0.97 -13370.82 4651.691 60.447787 -18022.507694049997 0.0 0.0 -14843.60976 -334.02154674813943 -0.0
298.15 CR LA 0.04 0.96 -12830.72 5164.187 60.355209 -17994.90556335 0.0 0.0 -14762.929679999997 -416.3281974105132 -0.0
298.15 CR LA 0.05 0.95 -12312.49 5648.289 60.240756 -17960.7814014 0.0 0.0 -14682.2496 -492.11297050679866 -0.0
298.15 CR LA 0.06 0.94 -11816.32 6105.089 60.108687 -17921.405029049998 0.0 0.0 -14601.56952 -562.6452650375949 -0.0
298.15 CR LA 0.07 0.93 -11341.96 6535.656 59.96181 -17877.6136515 0.0 0.0 -14520.889439999999 -628.7628773593874 -0.0
298.15 CR LA 0.08 0.92 -10888.97 6941.032 59.802121 -17830.002376149998 0.0 0.0 -14440.20936 -691.0604007790716 -0.0
298.15 CR LA 0.09 0.91 -10456.78 7322.238 59.631108 -17779.014850199997 0.0 0.0 -14359.52928 -749.9816351924776 -0.0
298.15 CR LA 0.1 0.9 -10044.72 7680.27 59.449924 -17724.9948406 0.0 0.0 -14278.849199999999 -805.870345271772 -0.0
298.15 CR LA 0.11 0.89 -9652.116 8016.101 59.259487 -17668.21604905 0.0 0.0 -14198.169119999999 -859.000492370776 -0.0
298.15 CR LA 0.12 0.88 -9278.225 8330.677 59.060547 -17608.90208805 0.0 0.0 -14117.489039999999 -909.5953759771999 -0.0
298.15 CR LA 0.13 0.87 -8922.315 8624.923 58.853726 -17547.2384069 0.0 0.0 -14036.80896 -957.840348132521 -0.0
298.15 CR LA 0.14 0.86 -8583.641 8899.739 58.639546 -17483.3806399 0.0 0.0 -13956.12888 -1003.8915915105914 -0.0
298.15 CR LA 0.15 0.85 -8261.461 9156.002 58.418456 -17417.4626564 0.0 0.0 -13875.4488 -1047.882375954332 -0.0
298.15 CR LA 0.16 0.84 -7955.037 9394.562 58.19084 -17349.598946 0.0 0.0 -13794.76872 -1089.9276385420173 -0.0
298.15 CR LA 0.17 0.83 -7663.642 9616.248 57.957035 -17279.889985249996 0.0 0.0 -13714.088639999998 -1130.1274135160918 -0.0
298.15 CR LA 0.18 0.82 -7386.559 9821.864 57.717334 -17208.4231321 0.0 0.0 -13633.40856 -1168.5694517045056 -0.0
298.15 CR LA 0.19 0.81 -7123.086 10012.19 57.471998 -17135.2762037 0.0 0.0 -13552.72848 -1205.3312553507326 -0.0
298.15 CR LA 0.2 0.8 -6872.535 10187.98 57.221257 -17060.51777455 0.0 0.0 -13472.0484 -1240.4816826440385 -0.0
298.15 CR LA 0.21 0.79 -6634.236 10349.97 56.965317 -16984.209263549998 0.0 0.0 -13391.368320000001 -1274.08222978906 -0.0
298.15 CR LA 0.22 0.78 -6407.537 10498.87 56.704365 -16906.40642475 0.0 0.0 -13310.688240000001 -1306.188067542519 -0.0
298.15 CR LA 0.23 0.77 -6191.803 10635.36 56.438566 -16827.1584529 0.0 0.0 -13230.008160000001 -1336.8488881016199 -0.0
298.15 CR LA 0.24 0.76 -5986.419 10760.09 56.16807 -16746.5100705 0.0 0.0 -13149.32808 -1366.1096036088943 -0.0
298.15 CR LA 0.25 0.75 -5790.789 10873.71 55.893016 -16664.5027204 0.0 0.0 -13068.648 -1394.0109271940482 -0.0
298.15 CR LA 0.26 0.74 -5604.339 10976.83 55.613526 -16581.1727769 0.0 0.0 -12987.96792 -1420.5898600324033 -0.0
298.15 CR LA 0.27 0.73 -5426.514 11070.04 55.329714 -16496.5542291 0.0 0.0 -12907.287839999999 -1445.8801024662048 -0.0
298.15 CR LA 0.28 0.72 -5256.781 11153.9 55.041682 -16410.6774883 0.0 0.0 -12826.607759999999 -1469.9124032129614 -0.0
298.15 CR LA 0.29 0.71 -5094.628 11228.94 54.749526 -16323.571176899999 0.0 0.0 -12745.927679999999 -1492.7148576699553 -0.0
298.15 CR LA 0.3 0.7 -4939.566 11295.69 54.453331 -16235.260637649999 0.0 0.0 -12665.247599999999 -1514.313164037668 -0.0
298.15 CR LA 0.31 0.69 -4791.124 11354.65 54.153176 -16145.7694244 0.0 0.0 -12584.567519999999 -1534.730844232385 -0.0
298.15 CR LA 0.32 0.68 -4648.858 11406.26 53.849133 -16055.11900395 0.0 0.0 -12503.887439999999 -1553.9894352015579 -0.0
298.15 CR LA 0.33 0.67 -4512.342 11450.99 53.541269 -15963.329352349998 0.0 0.0 -12423.207359999999 -1572.1086551954763 -0.0
298.15 CR LA 0.34 0.66 -4381.175 11489.24 53.229644 -15870.418358599998 0.0 0.0 -12342.527279999998 -1589.1065487133012 -0.0
298.15 CR LA 0.35 0.65 -4254.977 11521.43 52.914314 -15776.402719099999 0.0 0.0 -12261.8472 -1604.9996131775667 -0.0
298.15 CR LA 0.36 0.64 -4133.391 11547.91 52.595328 -15681.2970432 0.0 0.0 -12181.16712 -1619.8029098595373 -0.0
298.15 CR LA 0.37 0.63 -4016.083 11569.03 52.272733 -15585.11534395 0.0 0.0 -12100.48704 -1633.5301611487748 -0.0
298.15 CR LA 0.38 0.62 -3902.741 11585.13 51.946571 -15487.870143649998 0.0 0.0 -12019.806959999998 -1646.193835911596 -0.0
298.15 CR LA 0.39 0.61 -3793.078 11596.5 51.61688 -15389.572772 0.0 0.0 -11939.12688 -1657.8052243977716 -0.0
298.15 CR LA 0.4 0.6 -3686.826 11603.41 51.283693 -15290.23306795 0.0 0.0 -11858.4468 -1668.3745039196444 -0.0
298.15 CR LA 0.41 0.59 -3583.743 11606.12 50.947042 -15189.8605723 0.0 0.0 -11777.766720000001 -1677.9107963326926 -0.0
298.15 CR LA 0.42 0.58 -3483.609 11604.85 50.606953 -15088.463036949997 0.0 0.0 -11697.086640000001 -1686.4222181834425 -0.0
298.15 CR LA 0.43 0.57 -3386.228 11599.82 50.263451 -14986.04791565 0.0 0.0 -11616.406560000001 -1693.9159242532326 -0.0
298.15 CR LA 0.44 0.56 -3291.425 11591.2 49.916556 -14882.621171399998 0.0 0.0 -11535.72648 -1700.3981451097393 -0.0
298.15 CR LA 0.45 0.55 -3199.05 11579.14 49.566287 -14778.18846905 0.0 0.0 -11455.0464 -1705.8742191782392 -0.0
298.15 CR LA 0.46 0.54 -3108.975 11563.78 49.212658 -14672.753982699998 0.0 0.0 -11374.366320000001 -1710.3486197582595 -0.0
298.15 CR LA 0.47 0.53 -3021.097 11545.22 48.855681 -14566.321290149997 0.0 0.0 -11293.686239999999 -1713.8249773357109 -0.0
298.15 CR LA 0.48 0.52 -2935.332 11523.56 48.495367 -14458.89367105 0.0 0.0 -11213.00616 -1716.3060974737868 -0.0
298.15 CR LA 0.49 0.51 -2851.625 11498.85 48.131721 -14350.472616149998 0.0 0.0 -11132.326079999999 -1717.7939745058845 -0.0
298.15 CR LA 0.5 0.5 -2769.94 11471.12 47.764748 -14241.059616199998 0.0 0.0 -11051.646 -1718.289801199083 -0.0
298.15 CR LA 0.51 0.49 -2690.265 11440.39 47.394449 -14130.65496935 0.0 0.0 -10970.96592 -1717.7939745058845 -0.0
298.15 CR LA 0.52 0.48 -2612.612 11406.65 47.020822 -14019.2580793 0.0 0.0 -10890.285839999999 -1716.3060974737868 -0.0
298.15 CR LA 0.53 0.47 -2537.016 11369.85 46.643864 -13906.868051599999 0.0 0.0 -10809.605759999999 -1713.8249773357109 -0.0
298.15 CR LA 0.54 0.46 -2463.534 11329.95 46.263568 -13793.4827992 0.0 0.0 -10728.92568 -1710.3486197582595 -0.0
298.15 CR LA 0.55 0.45 -2392.249 11286.85 45.879925 -13679.099638749998 0.0 0.0 -10648.2456 -1705.8742191782392 -0.0
298.15 CR LA 0.56 0.44 -2323.264 11240.45 45.492921 -13563.71439615 0.0 0.0 -10567.56552 -1700.3981451097393 -0.0
298.15 CR LA 0.57 0.43 -2256.706 11190.62 45.102544 -13447.323493599999 0.0 0.0 -10486.88544 -1693.9159242532328 -0.0
