T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CR NB 0.0 1.0 -10813.9 0.0003004229 36.270001 -10813.90079815 3.115e-28 8e-33 -10813.9 0.0 -0.0
298.15 CR NB 1.0 0.0 -7019.328 -0.001116926 23.542939 -7019.32726285 311.5 0.008 -7019.328 0.0 -1.145642488486718
298.15 CR NB 0.01 0.99 -10637.05 298.2842 36.67729 -10935.3340135 3.115 8e-05 -10775.95428 -138.82602141683572 -1.0538728489636033e-12
298.15 CR NB 0.02 0.98 -10426.6 595.9361 36.969754 -11022.5321551 6.23 0.00016 -10738.00856 -243.03584172567548 -6.74451647427917e-11
298.15 CR NB 0.03 0.97 -10204.07 892.791 37.219061 -11096.86303715 9.345 0.00024 -10700.06284 -334.02154674813943 -7.682118556805948e-10
298.15 CR NB 0.04 0.96 -9974.164 1188.684 37.440374 -11162.847508099998 12.46 0.00032 -10662.117119999999 -416.3281974105132 -4.316145307153442e-09
298.15 CR NB 0.05 0.95 -9739.168 1483.45 37.640845 -11222.617936749999 15.575 0.0004 -10624.1714 -492.11297050679866 -1.6464129320400515e-08
298.15 CR NB 0.06 0.94 -9500.497 1776.923 37.824652 -11277.4199938 18.69 0.00048 -10586.22568 -562.6452650375949 -4.9159661019639107e-08
298.15 CR NB 0.07 0.93 -9259.127 2068.939 37.994522 -11328.0667343 21.805 0.00056 -10548.27996 -628.7628773593874 -1.239573414078547e-07
298.15 CR NB 0.08 0.92 -9015.795 2359.333 38.152369 -11375.12881735 24.92 0.00064 -10510.33424 -691.0604007790716 -2.7618912353371084e-07
298.15 CR NB 0.09 0.91 -8771.085 2647.94 38.299598 -11419.0251437 28.035 0.00072 -10472.388519999999 -749.9816351924776 -5.598921062978131e-07
298.15 CR NB 0.1 0.9 -8525.482 2934.594 38.437282 -11460.075628300001 31.15 0.0008 -10434.4428 -805.870345271772 -1.053493662018591e-06
298.15 CR NB 0.11 0.89 -8279.399 3219.131 38.566257 -11498.529524549998 34.265 0.00088 -10396.49708 -859.000492370776 -1.866253685971364e-06
298.15 CR NB 0.12 0.88 -8033.202 3501.385 38.687192 -11534.5862948 37.38 0.00096 -10358.55136 -909.5953759771999 -3.145463756205784e-06
298.15 CR NB 0.13 0.87 -7787.215 3781.191 38.800626 -11568.4066419 40.495 0.00104 -10320.60564 -957.840348132521 -5.0844029920581164e-06
298.15 CR NB 0.14 0.86 -7541.737 4058.385 38.907001 -11600.12234815 43.61 0.00112 -10282.65992 -1003.8915915105914 -7.931050399896908e-06
298.15 CR NB 0.15 0.85 -7297.042 4332.801 39.006683 -11629.84253645 46.725 0.0012 -10244.714199999999 -1047.882375954332 -1.199755349478165e-05
298.15 CR NB 0.16 0.84 -7053.384 4604.274 39.099975 -11657.657546249999 49.84 0.00128 -10206.768479999999 -1089.9276385420173 -1.7670452986962314e-05
298.15 CR NB 0.17 0.83 -6811.004 4872.639 39.187132 -11683.643405799998 52.955 0.00136 -10168.82276 -1130.1274135160918 -2.5421663322472473e-05
298.15 CR NB 0.18 0.82 -6570.132 5137.731 39.268367 -11707.863621049999 56.07 0.00144 -10130.877040000001 -1168.5694517045056 -3.582020886755318e-05
298.15 CR NB 0.19 0.81 -6330.985 5399.386 39.343857 -11730.370964549998 59.185 0.00152 -10092.93132 -1205.3312553507326 -4.954471552756093e-05
298.15 CR NB 0.2 0.8 -6093.773 5657.437 39.413751 -11751.209860649999 62.3 0.0016 -10054.9856 -1240.4816826440385 -6.739665759230414e-05
298.15 CR NB 0.21 0.79 -5858.698 5911.72 39.478176 -11770.418174399998 65.415 0.00168 -10017.03988 -1274.08222978906 -9.031435960173968e-05
298.15 CR NB 0.22 0.78 -5625.957 6162.07 39.537233 -11788.026018949999 68.53 0.00176 -9979.09416 -1306.188067542519 -0.00011938775302946994
298.15 CR NB 0.23 0.77 -5395.738 6408.321 39.591009 -11804.059333349998 71.645 0.00184 -9941.148439999999 -1336.8488881016199 -0.00015587388758593103
298.15 CR NB 0.24 0.76 -5168.229 6650.309 39.639571 -11818.538093649999 74.76 0.00192 -9903.202720000001 -1366.1096036088943 -0.00020121319695092527
298.15 CR NB 0.25 0.75 -4943.611 6887.869 39.682976 -11831.479294399998 77.875 0.002 -9865.257 -1394.0109271940482 -0.00025704651875559315
298.15 CR NB 0.26 0.74 -4722.06 7120.835 39.721264 -11842.894861599998 80.99 0.00208 -9827.31128 -1420.5898600324033 -0.00032523286864908285
298.15 CR NB 0.27 0.73 -4503.753 7349.042 39.754469 -11852.79493235 84.105 0.00216 -9789.36556 -1445.8801024662048 -0.00040786796830767223
298.15 CR NB 0.28 0.72 -4288.86 7572.326 39.782611 -11861.18546965 87.22 0.00224 -9751.41984 -1469.9124032129614 -0.0005073035272742946
298.15 CR NB 0.29 0.71 -4077.549 7790.521 39.805703 -11868.07034945 90.335 0.00232 -9713.474119999999 -1492.7148576699553 -0.0006261672785583096
298.15 CR NB 0.3 0.7 -3869.989 8003.462 39.823749 -11873.450764349998 93.45 0.0024 -9675.5284 -1514.313164037668 -0.000767383767984219
298.15 CR NB 0.31 0.69 -3666.342 8210.984 39.836747 -11877.32611805 96.565 0.00248 -9637.58268 -1534.730844232385 -0.0009341958973551058
298.15 CR NB 0.32 0.68 -3466.771 8412.922 39.844687 -11879.69342905 99.68 0.00256 -9599.63696 -1553.9894352015579 -0.0011301872215997944
298.15 CR NB 0.33 0.67 -3271.437 8609.111 39.847554 -11880.5482251 102.795 0.00264 -9561.69124 -1572.1086551954763 -0.0013593050002128416
298.15 CR NB 0.34 0.66 -3080.498 8799.386 39.845326 -11879.8839469 105.91 0.00272 -9523.74552 -1589.1065487133012 -0.0016258840034722468
