T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CR NI 0.0 1.0 4083.022 3000.265 -3.6315838 1082.75670997 575.0 0.85 4083.022 0.0 -1042.4491903721046
298.15 CR NI 1.0 0.0 -69.26879 -397.8866 -1.1021895 328.61779942499993 310.0 0.4 -69.26879 0.0 -46.87861390464776
298.15 CR NI 0.01 0.99 3632.415 2609.554 -3.4306934 1022.8612372099999 583.65657 0.8771 4041.4990921000003 -138.82602141683572 -1104.4173692604134
298.15 CR NI 0.02 0.98 3234.227 2241.398 -3.3299625 992.828319375 592.20133 0.9034 3999.9761842 -243.03584172567548 -1166.5736441935826
298.15 CR NI 0.03 0.97 2866.778 1895.395 -3.2580331 971.382568765 600.62688 0.9289 3958.4532763 -334.02154674813943 -1228.7807278201653
298.15 CR NI 0.04 0.96 2525.233 1571.139 -3.2000485 954.0944602749998 608.92582 0.9536 3916.9303683999997 -416.3281974105132 -1290.9031781269443
298.15 CR NI 0.05 0.95 2207.145 1268.224 -3.1491563 938.9209508449999 617.09075 0.9775 3875.4074605 -492.11297050679866 -1352.8074283082508
298.15 CR NI 0.06 0.94 1910.951 986.2457 -3.1014766 924.7052482899999 625.11426 1.0006 3833.8845525999996 -562.6452650375949 -1414.3617658075375
298.15 CR NI 0.07 0.93 1635.517 724.7967 -3.054572 910.7206417999998 632.98894 1.0229 3792.3616447 -628.7628773593874 -1475.4364026948704
298.15 CR NI 0.08 0.92 1379.953 483.4707 -3.0068153 896.481981695 640.70739 1.0444 3750.8387368 -691.0604007790716 -1535.9035512573776
298.15 CR NI 0.09 0.91 1143.514 261.8608 -2.9570798 881.6533423699999 648.26221 1.0651 3709.3158289000003 -749.9816351924776 -1595.637403959062
298.15 CR NI 0.1 0.9 925.5568 59.5596 -2.9045688 865.9971877199999 655.646 1.085 3667.7929209999998 -805.870345271772 -1654.514161072472
298.15 CR NI 0.11 0.89 725.5035 -123.8408 -2.8487145 849.3442281749999 662.85135 1.1041 3626.2700131 -859.000492370776 -1712.4120084693855
298.15 CR NI 0.12 0.88 542.8255 -288.7486 -2.7891134 831.57416021 669.87085 1.1224 3584.7471051999996 -909.5953759771999 -1769.211199075421
298.15 CR NI 0.13 0.87 377.0303 -435.5729 -2.7254844 812.60317386 676.6971 1.1399 3543.2241973 -957.840348132521 -1824.794141518856
298.15 CR NI 0.14 0.86 227.6519 -564.7231 -2.6576386 792.3749485899999 683.3227 1.1566 3501.7012894 -1003.8915915105914 -1879.045388046355
298.15 CR NI 0.15 0.85 94.2453 -676.6094 -2.5854595 770.8547499249999 689.74025 1.1725 3460.1783815 -1047.882375954332 -1931.8516764352153
298.15 CR NI 0.16 0.84 -23.61854 -771.6431 -2.5088866 748.02453979 695.94234 1.1876 3418.6554736 -1089.9276385420173 -1983.1019208325406
298.15 CR NI 0.17 0.83 -126.3561 -850.2359 -2.427905 723.8798757499999 701.92156 1.2019 3377.1325656999998 -1130.1274135160918 -2032.6873142921304
298.15 CR NI 0.18 0.82 -214.3738 -912.8009 -2.342536 698.4271084 707.67051 1.2154 3335.6096578 -1168.5694517045056 -2080.5014387364145
298.15 CR NI 0.19 0.81 -288.0706 -959.7521 -2.2528309 671.681532835 713.18179 1.2281 3294.0867499 -1205.3312553507326 -2126.44026938437
298.15 CR NI 0.2 0.8 -347.8389 -991.5046 -2.1588655 643.665748825 718.448 1.24 3252.563842 -1240.4816826440385 -2170.402237471485
298.15 CR NI 0.21 0.79 -394.0666 -1008.475 -2.0607359 614.408408585 723.46173 1.2511 3211.0409341 -1274.08222978906 -2212.2882406502345
298.15 CR NI 0.22 0.78 -427.138 -1011.081 -1.9585551 583.943203065 728.21557 1.2614 3169.5180262 -1306.188067542519 -2252.001770931695
298.15 CR NI 0.23 0.77 -447.4344 -999.7425 -1.8524505 552.308116575 732.70212 1.2709 3127.9951183 -1336.8488881016199 -2289.449050035998
