T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CR NI 0.0 1.0 -1521.871 7989.419 31.901023 -9511.29000745 575.0 0.85 -1521.871 0.0 -1042.4491903721046
298.15 CR NI 1.0 0.0 -7019.328 -0.001116924 23.542939 -7019.32726285 311.5 0.008 -7019.328 0.0 -1.145642488486718
298.15 CR NI 0.01 0.99 -1926.451 7645.878 32.105749 -9572.32906435 583.64157 0.88102 -1576.84557 -138.82602141683572 -1108.0110830801555
298.15 CR NI 0.02 0.98 -2284.187 7317.051 32.202709 -9601.237688349998 592.17133 0.91124 -1631.82014 -243.03584172567548 -1173.8901660183817
298.15 CR NI 0.03 0.97 -2616.625 7002.706 32.263394 -9619.3309211 600.58188 0.94066 -1686.7947100000001 -334.02154674813943 -1239.9441224761129
298.15 CR NI 0.04 0.96 -2928.469 6702.61 32.302798 -9631.0792237 608.86582 0.96928 -1741.7692800000002 -416.3281974105132 -1306.0325544150653
298.15 CR NI 0.05 0.95 -3222.035 6416.532 32.32791 -9638.5663665 617.01575 0.9971 -1796.74385 -492.11297050679866 -1372.0169979196573
298.15 CR NI 0.06 0.94 -3498.754 6144.236 32.342747 -9642.99001805 625.02426 1.02412 -1851.71842 -562.6452650375949 -1437.760887297109
298.15 CR NI 0.07 0.93 -3759.627 5885.492 32.349885 -9645.11821275 632.88394 1.05034 -1906.69299 -628.7628773593874 -1503.1296119265096
298.15 CR NI 0.08 0.92 -4005.414 5640.064 32.35109 -9645.477483499999 640.58739 1.07576 -1961.6675600000003 -691.0604007790716 -1567.990579379227
298.15 CR NI 0.09 0.91 -4236.727 5407.719 32.347629 -9644.445586349999 648.12721 1.10038 -2016.6421300000002 -749.9816351924776 -1632.213181541754
298.15 CR NI 0.1 0.9 -4454.078 5188.224 32.34044 -9642.302185999999 655.496 1.1242 -2071.6167000000005 -805.870345271772 -1695.6688091984336
298.15 CR NI 0.11 0.89 -4657.913 4981.345 32.33023 -9639.2580745 662.68635 1.14722 -2126.59127 -859.000492370776 -1758.230815559353
298.15 CR NI 0.12 0.88 -4848.629 4786.847 32.317545 -9635.47604175 669.69085 1.16944 -2181.56584 -909.5953759771999 -1819.7745859743231
298.15 CR NI 0.13 0.87 -5026.587 4604.496 32.30281 -9631.082801499999 676.5021 1.19086 -2236.54041 -957.840348132521 -1880.1776156589726
298.15 CR NI 0.14 0.86 -5192.12 4434.057 32.286355 -9626.17674325 683.1127 1.21148 -2291.51498 -1003.8915915105914 -1939.3194839125022
298.15 CR NI 0.15 0.85 -5345.541 4275.294 32.268441 -9620.83568415 689.51525 1.2313 -2346.4895500000002 -1047.882375954332 -1997.0818835213563
298.15 CR NI 0.16 0.84 -5487.149 4127.972 32.249272 -9615.120446799998 695.70234 1.25032 -2401.46412 -1089.9276385420173 -2053.3485970700663
298.15 CR NI 0.17 0.83 -5617.225 3991.853 32.229007 -9609.07843705 701.66656 1.26854 -2456.43869 -1130.1274135160918 -2108.0055883728237
298.15 CR NI 0.18 0.82 -5736.046 3866.701 32.207771 -9602.74692365 707.40051 1.28596 -2511.4132600000003 -1168.5694517045056 -2160.941101845535
298.15 CR NI 0.19 0.81 -5843.876 3752.277 32.185655 -9596.153038249999 712.89679 1.30258 -2566.3878300000006 -1205.3312553507326 -2212.0456521714136
298.15 CR NI 0.2 0.8 -5940.977 3648.341 32.162731 -9589.318247649999 718.148 1.3184 -2621.3624 -1240.4816826440385 -2261.212073748173
298.15 CR NI 0.21 0.79 -6027.602 3554.655 32.139047 -9582.256863049999 723.14673 1.33342 -2676.3369700000003 -1274.08222978906 -2308.3355149660492
298.15 CR NI 0.22 0.78 -6104.004 3470.975 32.114637 -9574.97902155 727.88557 1.34764 -2731.31154 -1306.188067542519 -2353.3135542519412
298.15 CR NI 0.23 0.77 -6170.43 3397.06 32.089519 -9567.49008985 732.35712 1.36106 -2786.28611 -1336.8488881016199 -2396.0463237130057
298.15 CR NI 0.24 0.76 -6227.127 3332.665 32.063701 -9559.79245315 736.55398 1.37368 -2841.2606800000003 -1366.1096036088943 -2436.436518258379
298.15 CR NI 0.25 0.75 -6274.34 3277.545 32.03718 -9551.885217 740.46875 1.3855 -2896.23525 -1394.0109271940482 -2474.3894681649103
298.15 CR NI 0.26 0.74 -6312.311 3231.454 32.009944 -9543.7648036 744.09402 1.39652 -2951.20982 -1420.5898600324033 -2509.813155158867
298.15 CR NI 0.27 0.73 -6341.284 3194.142 31.981976 -9535.426144399999 747.42238 1.40674 -3006.1843900000003 -1445.8801024662048 -2542.6183555442185
298.15 CR NI 0.28 0.72 -6361.503 3165.358 31.95325 -9526.8614875 750.44643 1.41616 -3061.15896 -1469.9124032129614 -2572.718790906222
298.15 CR NI 0.29 0.71 -6373.211 3144.851 31.923739 -9518.06278285 753.15877 1.42478 -3116.13353 -1492.7148576699553 -2600.0311612316964
298.15 CR NI 0.3 0.7 -6376.653 3132.366 31.893408 -9509.0195952 755.552 1.4326 -3171.1081000000004 -1514.313164037668 -2624.4752447654005
298.15 CR NI 0.31 0.69 -6372.075 3127.646 31.862221 -9499.72119115 757.61871 1.43962 -3226.08267 -1534.730844232385 -2645.973941192594
298.15 CR NI 0.32 0.68 -6359.723 3130.433 31.830138 -9490.1556447 759.35149 1.44584 -3281.05724 -1553.9894352015579 -2664.4534463020655
298.15 CR NI 0.33 0.67 -6339.846 3140.464 31.797116 -9480.3101354 760.74294 1.45126 -3336.0318100000004 -1572.1086551954763 -2679.8434348558926
298.15 CR NI 0.34 0.66 -6312.695 3157.476 31.763111 -9470.171544649998 761.78566 1.45588 -3391.0063800000003 -1589.1065487133012 -2692.0771248186934
298.15 CR NI 0.35 0.65 -6278.523 3181.203 31.728079 -9459.72675385 762.47225 1.4597 -3445.98095 -1604.9996131775667 -2701.0914116768117
298.15 CR NI 0.36 0.64 -6237.586 3211.375 31.691972 -9448.9614518 762.7953 1.46272 -3500.95552 -1619.8029098595373 -2706.826947366569
298.15 CR NI 0.37 0.63 -6190.142 3247.72 31.654745 -9437.86222175 762.7474 1.46494 -3555.9300900000003 -1633.5301611487748 -2709.228354763311
298.15 CR NI 0.38 0.62 -6136.452 3289.963 31.616349 -9426.414454349999 762.32115 1.46636 -3610.90466 -1646.193835911596 -2708.2444520858176
298.15 CR NI 0.39 0.61 -6076.781 3337.824 31.576739 -9414.604732849999 761.50915 1.46698 -3665.8792300000005 -1657.8052243977716 -2703.8283600368322
298.15 CR NI 0.4 0.6 -6011.397 3391.022 31.535868 -9402.4190442 760.304 1.4668 -3720.8538000000003 -1668.3745039196444 -2695.937683053955
298.15 CR NI 0.41 0.59 -5940.572 3449.272 31.493692 -9389.8442698 758.69829 1.46582 -3775.82837 -1677.9107963326926 -2684.5346385538746
298.15 CR NI 0.42 0.58 -5864.582 3512.285 31.450166 -9376.866992899999 756.68461 1.46404 -3830.8029400000005 -1686.4222181834425 -2669.5863262514417
298.15 CR NI 0.43 0.57 -5783.708 3579.767 31.405248 -9363.4746912 754.25556 1.46146 -3885.7775100000003 -1693.9159242532326 -2651.065011022105
298.15 CR NI 0.44 0.56 -5698.234 3651.421 31.358898 -9349.6554387 751.40374 1.45808 -3940.75208 -1700.3981451097393 -2628.9482932991527
298.15 CR NI 0.45 0.55 -5608.451 3726.948 31.31108 -9335.398502 748.12175 1.4539 -3995.7266500000005 -1705.8742191782392 -2603.21935949156
298.15 CR NI 0.46 0.54 -5514.653 3806.041 31.26176 -9320.693743999998 744.40218 1.44892 -4050.7012200000004 -1710.3486197582595 -2573.867187316042
298.15 CR NI 0.47 0.53 -5417.141 3888.391 31.210908 -9305.532220199999 740.23762 1.44314 -4105.67579 -1713.8249773357109 -2540.886897867168
298.15 CR NI 0.48 0.52 -5316.222 3973.684 31.158497 -9289.905880549999 735.62067 1.43656 -4160.650360000001 -1716.3060974737868 -2504.2801288131727
298.15 CR NI 0.49 0.51 -5212.208 4061.601 31.104509 -9273.80935835 730.54393 1.42918 -4215.62493 -1717.7939745058845 -2464.0553058553464
298.15 CR NI 0.5 0.5 -5105.418 4151.819 31.048927 -9257.23758505 725.0 1.421 -4270.5995 -1718.289801199083 -2420.228005054706
298.15 CR NI 0.51 0.49 -4996.179 4244.01 30.991747 -9240.18936805 718.98147 1.41202 -4325.574070000001 -1717.7939745058845 -2372.8212842986104
298.15 CR NI 0.52 0.48 -4884.825 4337.839 30.932967 -9222.66411105 712.48093 1.40224 -4380.54864 -1716.3060974737868 -2321.8661748993063
298.15 CR NI 0.53 0.47 -4771.696 4432.97 30.8726 -9204.665689999998 705.49098 1.39166 -4435.52321 -1713.8249773357109 -2267.4022115738235
298.15 CR NI 0.54 0.46 -4657.144 4529.057 30.810668 -9186.2006642 698.00422 1.38028 -4490.497780000001 -1710.3486197582595 -2209.4778846158792
298.15 CR NI 0.55 0.45 -4541.526 4625.753 30.747206 -9167.279468899998 690.01325 1.3681 -4545.47235 -1705.8742191782392 -2148.151207806755
298.15 CR NI 0.56 0.44 -4425.212 4722.705 30.682265 -9147.917309749999 681.51066 1.35512 -4600.44692 -1700.3981451097393 -2083.4902886619293
298.15 CR NI 0.57 0.43 -4308.581 4819.555 30.615915 -9128.13505725 672.48904 1.34134 -4655.42149 -1693.9159242532328 -2015.5740937310682
298.15 CR NI 0.58 0.42 -4192.021 4915.939 30.548248 -9107.9601412 662.94099 1.32676 -4710.39606 -1686.4222181834425 -1944.493298443686
298.15 CR NI 0.59 0.41 -4075.935 5011.493 30.479383 -9087.428041449999 652.85911 1.31138 -4765.370629999999 -1677.910796332693 -1870.351121595274
298.15 CR NI 0.6 0.4 -3960.738 5105.845 30.409469 -9066.58318235 642.236 1.2952 -4820.345200000001 -1668.3745039196444 -1793.2643476391625
298.15 CR NI 0.61 0.39 -3846.858 5198.624 30.338696 -9045.482212399998 631.06425 1.27822 -4875.31977 -1657.8052243977716 -1713.3644478468068
298.15 CR NI 0.62 0.38 -3734.738 5289.457 30.267299 -9024.19519685 619.33645 1.26044 -4930.29434 -1646.193835911596 -1630.7990122993424
298.15 CR NI 0.63 0.37 -3624.84 5377.971 30.195574 -9002.810388099999 607.0452 1.24186 -4985.268910000001 -1633.5301611487748 -1545.7334223466366
298.15 CR NI 0.64 0.36 -3517.641 5463.796 30.123886 -8981.436610899998 594.1831 1.22248 -5040.24348 -1619.8029098595373 -1458.3527202693551
298.15 CR NI 0.65 0.35 -3413.641 5546.569 30.052693 -8960.21041795 580.74275 1.2023 -5095.21805 -1604.9996131775667 -1368.8639409679326
298.15 CR NI 0.66 0.34 -3313.363 5625.939 29.982565 -8939.30175475 566.71674 1.18132 -5150.192620000001 -1589.106548713301 -1277.4989214544903
298.15 CR NI 0.67 0.33 -3217.356 5701.568 29.91422 -8918.924692999999 552.09766 1.15954 -5205.16719 -1572.1086551954763 -1184.5179305738286
298.15 CR NI 0.68 0.32 -3126.199 5773.15 29.848563 -8899.34905845 536.87811 1.13696 -5260.14176 -1553.9894352015576 -1090.2142597536385
