T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CR PT 0.0 1.0 1872.219 15000.0 44.030805 -13127.78451075 3.115e-28 8e-33 1872.219 0.0 -0.0
298.15 CR PT 1.0 0.0 -7019.328 -0.00111701 23.542939 -7019.32726285 311.5 0.008 -7019.328 0.0 -1.145642488486718
298.15 CR PT 0.01 0.99 348.7121 13630.38 44.546943 -13281.671055449999 3.115 8e-05 1783.3035300000001 -138.82602141683572 -1.0538728489636033e-12
298.15 CR PT 0.02 0.98 -1097.826 12301.58 44.941824 -13399.404825599999 6.23 0.00016 1694.38806 -243.03584172567548 -6.74451647427917e-11
298.15 CR PT 0.03 0.97 -2489.284 11013.09 45.287196 -13502.3774874 9.345 0.00024 1605.4725899999999 -334.02154674813943 -7.682118556805948e-10
298.15 CR PT 0.04 0.96 -3830.701 9764.434 45.598305 -13595.13463575 12.46 0.00032 1516.55712 -416.3281974105132 -4.316145307153442e-09
298.15 CR PT 0.05 0.95 -5124.729 8555.105 45.882385 -13679.83308775 15.575 0.0004 1427.64165 -492.11297050679866 -1.6464129320400515e-08
298.15 CR PT 0.06 0.94 -6373.132 7384.61 46.143694 -13757.7423661 18.69 0.00048 1338.7261799999999 -562.6452650375949 -4.9159661019639107e-08
298.15 CR PT 0.07 0.93 -7577.245 6252.455 46.385043 -13829.70057045 21.805 0.00056 1249.8107099999997 -628.7628773593874 -1.239573414078547e-07
298.15 CR PT 0.08 0.92 -8738.157 5158.145 46.608424 -13896.3016156 24.92 0.00064 1160.8952400000003 -691.0604007790716 -2.7618912353371084e-07
298.15 CR PT 0.09 0.91 -9856.806 4101.184 46.815328 -13957.9900432 28.035 0.00072 1071.97977 -749.9816351924776 -5.598921062978131e-07
298.15 CR PT 0.1 0.9 -10934.03 3081.077 47.006906 -14015.109023899999 31.15 0.0008 983.0643 -805.870345271772 -1.053493662018591e-06
298.15 CR PT 0.11 0.89 -11970.6 2097.33 47.184078 -14067.932855699999 34.265 0.00088 894.1488300000001 -859.000492370776 -1.866253685971364e-06
298.15 CR PT 0.12 0.88 -12967.24 1149.447 47.347593 -14116.68485295 37.38 0.00096 805.2333600000001 -909.5953759771999 -3.145463756205784e-06
298.15 CR PT 0.13 0.87 -13924.62 236.9322 47.498072 -14161.5501668 40.495 0.00104 716.3178899999999 -957.840348132521 -5.0844029920581164e-06
298.15 CR PT 0.14 0.86 -14843.39 -640.7086 47.636039 -14202.685027849999 43.61 0.00112 627.4024199999999 -1003.8915915105914 -7.931050399896908e-06
298.15 CR PT 0.15 0.85 -15724.19 -1483.971 47.761942 -14240.223007299997 46.725 0.0012 538.48695 -1047.882375954332 -1.199755349478165e-05
298.15 CR PT 0.16 0.84 -16567.63 -2293.35 47.876165 -14274.27859475 49.84 0.00128 449.57148000000007 -1089.9276385420173 -1.7670452986962314e-05
298.15 CR PT 0.17 0.83 -17374.29 -3069.34 47.979044 -14304.9519686 52.955 0.00136 360.6560099999997 -1130.1274135160918 -2.5421663322472473e-05
298.15 CR PT 0.18 0.82 -18144.77 -3812.437 48.070874 -14332.3310831 56.07 0.00144 271.74054000000024 -1168.5694517045056 -3.582020886755318e-05
298.15 CR PT 0.19 0.81 -18879.63 -4523.137 48.151914 -14356.493159099999 59.185 0.00152 182.8250700000001 -1205.3312553507326 -4.954471552756093e-05
298.15 CR PT 0.2 0.8 -19579.44 -5201.933 48.222395 -14377.50706925 62.3 0.0016 93.90959999999995 -1240.4816826440385 -6.739665759230414e-05
298.15 CR PT 0.21 0.79 -20244.76 -5849.322 48.282524 -14395.4345306 65.415 0.00168 4.994130000000041 -1274.08222978906 -9.031435960173968e-05
298.15 CR PT 0.22 0.78 -20876.13 -6465.798 48.332486 -14410.3307009 68.53 0.00176 -83.92133999999987 -1306.188067542519 -0.00011938775302946994
298.15 CR PT 0.23 0.77 -21474.1 -7051.857 48.372447 -14422.245073049999 71.645 0.00184 -172.83681 -1336.8488881016199 -0.00015587388758593103
298.15 CR PT 0.24 0.76 -22039.22 -7607.994 48.402557 -14431.22236955 74.76 0.00192 -261.75228000000016 -1366.1096036088943 -0.00020121319695092527
