T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CR RE 0.0 1.0 5019.737 17000.0 40.182 -11980.2633 3.115e-28 8e-33 5019.737 0.0 -0.0
298.15 CR RE 1.0 0.0 -7019.328 -0.001116972 23.542939 -7019.32726285 311.5 0.008 -7019.328 0.0 -1.145642488486718
298.15 CR RE 0.01 0.99 4696.422 16773.91 40.508099 -12077.48971685 3.115 8e-05 4899.34635 -138.82602141683572 -1.0538728489636033e-12
298.15 CR RE 0.02 0.98 4409.018 16548.96 40.717558 -12139.939917699998 6.23 0.00016 4778.9557 -243.03584172567548 -6.74451647427917e-11
298.15 CR RE 0.03 0.97 4136.134 16325.14 40.882125 -12189.005568749999 9.345 0.00024 4658.565049999999 -334.02154674813943 -7.682118556805948e-10
298.15 CR RE 0.04 0.96 3873.224 16102.46 41.017045 -12229.23196675 12.46 0.00032 4538.1744 -416.3281974105132 -4.316145307153442e-09
298.15 CR RE 0.05 0.95 3618.132 15880.91 41.129553 -12262.77622695 15.575 0.0004 4417.78375 -492.11297050679866 -1.6464129320400515e-08
298.15 CR RE 0.06 0.94 3369.586 15660.49 41.223907 -12290.907872049998 18.69 0.00048 4297.3931 -562.6452650375949 -4.9159661019639107e-08
298.15 CR RE 0.07 0.93 3126.751 15441.22 41.302917 -12314.46470355 21.805 0.00056 4177.00245 -628.7628773593874 -1.239573414078547e-07
298.15 CR RE 0.08 0.92 2889.032 15223.07 41.368577 -12334.04123255 24.92 0.00064 4056.6118 -691.0604007790716 -2.7618912353371084e-07
298.15 CR RE 0.09 0.91 2655.983 15006.06 41.422375 -12350.08110625 28.035 0.00072 3936.2211500000003 -749.9816351924776 -5.598921062978131e-07
298.15 CR RE 0.1 0.9 2427.263 14790.19 41.465465 -12362.928389749999 31.15 0.0008 3815.8305000000005 -805.870345271772 -1.053493662018591e-06
298.15 CR RE 0.11 0.89 2202.596 14575.45 41.498766 -12372.8570829 34.265 0.00088 3695.4398499999998 -859.000492370776 -1.866253685971364e-06
298.15 CR RE 0.12 0.88 1981.76 14361.85 41.523025 -12380.089903749998 37.38 0.00096 3575.0492 -909.5953759771999 -3.145463756205784e-06
298.15 CR RE 0.13 0.87 1764.569 14149.38 41.538866 -12384.8128979 40.495 0.00104 3454.65855 -957.840348132521 -5.0844029920581164e-06
298.15 CR RE 0.14 0.86 1550.867 13938.05 41.546812 -12387.1819978 43.61 0.00112 3334.2679 -1003.8915915105914 -7.931050399896908e-06
298.15 CR RE 0.15 0.85 1340.521 13727.85 41.547309 -12387.33017835 46.725 0.0012 3213.8772500000005 -1047.882375954332 -1.199755349478165e-05
298.15 CR RE 0.16 0.84 1133.416 13518.79 41.540744 -12385.372823599999 49.84 0.00128 3093.4865999999993 -1089.9276385420173 -1.7670452986962314e-05
298.15 CR RE 0.17 0.83 929.4511 13310.86 41.527452 -12381.409813799997 52.955 0.00136 2973.0959499999994 -1130.1274135160918 -2.5421663322472473e-05
298.15 CR RE 0.18 0.82 728.5394 13104.07 41.507727 -12375.52880505 56.07 0.00144 2852.7053000000005 -1168.5694517045056 -3.582020886755318e-05
298.15 CR RE 0.19 0.81 530.6032 12898.41 41.481829 -12367.807316349998 59.185 0.00152 2732.3146500000003 -1205.3312553507326 -4.954471552756093e-05
298.15 CR RE 0.2 0.8 335.5736 12693.89 41.449989 -12358.31422035 62.3 0.0016 2611.924 -1240.4816826440385 -6.739665759230414e-05
298.15 CR RE 0.21 0.79 143.3892 12490.5 41.412413 -12347.110935949999 65.415 0.00168 2491.53335 -1274.08222978906 -9.031435960173968e-05
298.15 CR RE 0.22 0.78 -46.00533 12288.25 41.369287 -12334.252919049999 68.53 0.00176 2371.1427000000003 -1306.188067542519 -0.00011938775302946994
298.15 CR RE 0.23 0.77 -232.6596 12087.13 41.320776 -12319.7893644 71.645 0.00184 2250.75205 -1336.8488881016199 -0.00015587388758593103
298.15 CR RE 0.24 0.76 -416.6184 11887.15 41.267032 -12303.7655908 74.76 0.00192 2130.3614 -1366.1096036088943 -0.00020121319695092527
298.15 CR RE 0.25 0.75 -597.9227 11688.3 41.208191 -12286.22214665 77.875 0.002 2009.9707499999997 -1394.0109271940482 -0.00025704651875559315
298.15 CR RE 0.26 0.74 -776.6093 11490.59 41.144378 -12267.1963007 80.99 0.00208 1889.5801 -1420.5898600324033 -0.00032523286864908285
298.15 CR RE 0.27 0.73 -952.712 11294.01 41.075704 -12246.7211476 84.105 0.00216 1769.1894499999999 -1445.8801024662048 -0.00040786796830767223
298.15 CR RE 0.28 0.72 -1126.262 11098.57 41.002274 -12224.8279931 87.22 0.00224 1648.7987999999996 -1469.9124032129614 -0.0005073035272742946
298.15 CR RE 0.29 0.71 -1297.286 10904.26 40.924181 -12201.544565149998 90.335 0.00232 1528.40815 -1492.7148576699553 -0.0006261672785583096
298.15 CR RE 0.3 0.7 -1465.811 10711.09 40.841511 -12176.896504649998 93.45 0.0024 1408.0175 -1514.313164037668 -0.000767383767984219
298.15 CR RE 0.31 0.69 -1631.86 10519.05 40.754344 -12150.9076636 96.565 0.00248 1287.6268499999996 -1534.730844232385 -0.0009341958973551058
298.15 CR RE 0.32 0.68 -1795.455 10328.14 40.662751 -12123.59921065 99.68 0.00256 1167.2361999999998 -1553.9894352015579 -0.0011301872215997944
298.15 CR RE 0.33 0.67 -1956.616 10138.38 40.566799 -12094.99112185 102.795 0.00264 1046.845549999999 -1572.1086551954763 -0.0013593050002128416
298.15 CR RE 0.34 0.66 -2115.359 9949.742 40.466548 -12065.1012862 105.91 0.00272 926.4548999999993 -1589.1065487133012 -0.0016258840034722468
298.15 CR RE 0.35 0.65 -2271.703 9762.243 40.362053 -12033.94610195 109.025 0.0028 806.0642500000004 -1604.9996131775667 -0.0019346710741576676
298.15 CR RE 0.36 0.64 -2425.662 9575.879 40.253365 -12001.54077475 112.14 0.00288 685.6736000000001 -1619.8029098595373 -0.0022908504457901774
298.15 CR RE 0.37 0.63 -2577.25 9390.649 40.140529 -11967.898721349999 115.255 0.00296 565.2829499999998 -1633.5301611487748 -0.0027000698187977295
298.15 CR RE 0.38 0.62 -2726.479 9206.554 40.023588 -11933.032762199999 118.37 0.00304 444.8923 -1646.193835911596 -0.003168467196502105
298.15 CR RE 0.39 0.61 -2873.36 9023.594 39.902578 -11896.953630699998 121.485 0.00312 324.5016499999997 -1657.8052243977716 -0.0037026984834342986
298.15 CR RE 0.4 0.6 -3017.904 8841.768 39.777535 -11859.672060249999 124.6 0.0032 204.11099999999988 -1668.3745039196444 -0.004309965849252586
298.15 CR RE 0.41 0.59 -3160.12 8661.076 39.648488 -11821.1966972 127.715 0.00328 83.72035000000051 -1677.9107963326926 -0.004998046862501155
298.15 CR RE 0.42 0.58 -3300.016 8481.519 39.515464 -11781.535591599999 130.83 0.00336 -36.67029999999977 -1686.4222181834425 -0.005775324399626951
298.15 CR RE 0.43 0.57 -3437.6 8303.097 39.378488 -11740.696197199999 133.945 0.00344 -157.0609499999996 -1693.9159242532326 -0.00665081733612822
298.15 CR RE 0.44 0.56 -3572.876 8125.808 39.237579 -11698.684178849999 137.06 0.00352 -277.45159999999987 -1700.3981451097393 -0.00763421202850401
298.15 CR RE 0.45 0.55 -3705.852 7949.654 39.092757 -11655.50549955 140.175 0.0036 -397.84225000000015 -1705.8742191782392 -0.008735894597843767
298.15 CR RE 0.46 0.54 -3836.53 7774.634 38.944035 -11611.16403525 143.29 0.00368 -518.2329 -1710.3486197582595 -0.009966984028535722
298.15 CR RE 0.47 0.53 -3964.916 7600.747 38.791425 -11565.663363749998 146.405 0.00376 -638.6235499999998 -1713.8249773357109 -0.011339366098785057
298.15 CR RE 0.48 0.52 -4091.011 7427.995 38.634937 -11519.00646655 149.52 0.00384 -759.0142000000001 -1716.3060974737868 -0.012865728163451285
298.15 CR RE 0.49 0.51 -4214.818 7256.377 38.474576 -11471.1948344 152.635 0.00392 -879.4048500000004 -1717.7939745058845 -0.014559594814357719
298.15 CR RE 0.5 0.5 -4336.338 7085.892 38.310348 -11422.230256199999 155.75 0.004 -999.7955000000002 -1718.289801199083 -0.016435364448725075
298.15 CR RE 0.51 0.49 -4455.572 6916.54 38.142252 -11372.112433799999 158.865 0.00408 -1120.18615 -1717.7939745058845 -0.018508346782954006
298.15 CR RE 0.52 0.48 -4572.518 6748.323 37.970287 -11320.841069049999 161.98 0.00416 -1240.5768000000003 -1716.3060974737868 -0.020794801356821963
298.15 CR RE 0.53 0.47 -4687.177 6581.238 37.794449 -11268.414969349999 165.095 0.00424 -1360.9674500000006 -1713.8249773357109 -0.023311977082411565
298.15 CR RE 0.54 0.46 -4799.545 6415.287 37.61473 -11214.8317495 168.21 0.00432 -1481.3581000000008 -1710.3486197582595 -0.026078152903050385
298.15 CR RE 0.55 0.45 -4909.62 6250.469 37.431121 -11160.08872615 171.325 0.0044 -1601.7487500000007 -1705.8742191782392 -0.029112679640527946
298.15 CR RE 0.56 0.44 -5017.399 6086.783 37.24361 -11104.182321499999 174.44 0.00448 -1722.1394000000005 -1700.3981451097393 -0.03243602312410573
298.15 CR RE 0.57 0.43 -5122.877 5924.231 37.05218 -11047.107467 177.555 0.00456 -1842.5300499999998 -1693.9159242532328 -0.03606980871281726
298.15 CR RE 0.58 0.42 -5226.048 5762.811 36.856814 -10988.859094099998 180.67 0.00464 -1962.9206999999997 -1686.4222181834425 -0.04003686734377959
298.15 CR RE 0.59 0.41 -5326.908 5602.523 36.65749 -10929.4306435 183.785 0.00472 -2083.3113499999995 -1677.910796332693 -0.044361283264052545
298.15 CR RE 0.6 0.4 -5425.447 5443.367 36.454183 -10868.81466145 186.9 0.0048 -2203.702 -1668.3745039196444 -0.04906844363294176
298.15 CR RE 0.61 0.39 -5521.659 5285.344 36.246866 -10807.003097899998 190.015 0.00488 -2324.0926499999996 -1657.8052243977716 -0.05418509021602509
298.15 CR RE 0.62 0.38 -5615.535 5128.452 36.035507 -10743.98641205 193.13 0.00496 -2444.4833 -1646.193835911596 -0.05973937343268624
298.15 CR RE 0.63 0.37 -5707.063 4972.692 35.820073 -10679.75476495 196.245 0.00504 -2564.8739500000006 -1633.5301611487748 -0.06576090906672961
298.15 CR RE 0.64 0.36 -5796.233 4818.063 35.600523 -10614.29593245 199.36 0.00512 -2685.2646000000004 -1619.8029098595373 -0.07228083800587903
298.15 CR RE 0.65 0.35 -5883.033 4664.565 35.376817 -10547.59798855 202.475 0.0052 -2805.6552500000007 -1604.9996131775667 -0.07933188944243348
298.15 CR RE 0.66 0.34 -5967.449 4512.197 35.148906 -10479.646323899999 205.59 0.00528 -2926.045900000001 -1589.106548713301 -0.08694844804611446
298.15 CR RE 0.67 0.33 -6049.465 4360.961 34.91674 -10410.426030999999 208.705 0.00536 -3046.4365500000004 -1572.1086551954763 -0.09516662571338645
298.15 CR RE 0.68 0.32 -6129.066 4210.854 34.680263 -10339.920413449998 211.82 0.00544 -3166.827200000001 -1553.9894352015576 -0.10402433860845517
298.15 CR RE 0.69 0.31 -6206.234 4061.877 34.439413 -10268.11098595 214.935 0.00552 -3287.21785 -1534.730844232385 -0.11356139034346496
298.15 CR RE 0.7 0.3 -6280.948 3914.03 34.194123 -10194.977772449998 218.05 0.0056 -3407.6084999999994 -1514.313164037668 -0.12381956230333262
298.15 CR RE 0.71 0.29 -6353.187 3767.312 33.944321 -10120.499306149999 221.165 0.00568 -3527.99915 -1492.7148576699553 -0.13484271230994688
298.15 CR RE 0.72 0.28 -6422.928 3621.723 33.689925 -10044.65113875 224.28 0.00576 -3648.3898 -1469.9124032129614 -0.1466768830480846
298.15 CR RE 0.73 0.27 -6490.145 3477.262 33.430849 -9967.40762935 227.395 0.00584 -3768.78045 -1445.8801024662048 -0.15937042194912548
298.15 CR RE 0.74 0.26 -6554.811 3333.929 33.166997 -9888.74015555 230.51 0.00592 -3889.1711000000005 -1420.5898600324033 -0.17297411455978276
298.15 CR RE 0.75 0.25 -6616.894 3191.724 32.898266 -9808.618007899999 233.625 0.006 -4009.56175 -1394.0109271940482 -0.18754133382340743
298.15 CR RE 0.76 0.24 -6676.361 3050.646 32.62454 -9727.006601000001 236.74 0.00608 -4129.9524 -1366.1096036088943 -0.203128208187219
298.15 CR RE 0.77 0.23 -6733.174 2910.694 32.345694 -9643.8686661 239.855 0.00616 -4250.34305 -1336.8488881016199 -0.21979381203944245
298.15 CR RE 0.78 0.22 -6787.295 2771.868 32.06159 -9559.1630585 242.97 0.00624 -4370.733700000001 -1306.188067542519 -0.23760038269896538
298.15 CR RE 0.79 0.21 -6838.676 2634.168 31.772075 -9472.84416125 246.085 0.00632 -4491.124350000001 -1274.08222978906 -0.2566135690563439
298.15 CR RE 0.8 0.2 -6887.27 2497.592 31.476981 -9384.86188515 249.2 0.0064 -4611.515 -1240.4816826440385 -0.2769027180346133
298.15 CR RE 0.81 0.19 -6933.021 2362.14 31.176122 -9295.160774299999 252.315 0.00648 -4731.905650000001 -1205.3312553507324 -0.29854120634439363
298.15 CR RE 0.82 0.18 -6975.867 2227.811 30.869287 -9203.67791905 255.43 0.00656 -4852.2963 -1168.5694517045058 -0.3216068266041908
298.15 CR RE 0.83 0.17 -7015.739 2094.605 30.556245 -9110.34444675 258.545 0.00664 -4972.686949999999 -1130.127413516092 -0.3461822388489375
298.15 CR RE 0.84 0.16 -7052.562 1962.52 30.236731 -9015.081347649999 261.66 0.00672 -5093.0776 -1089.9276385420173 -0.3723555008357396
298.15 CR RE 0.85 0.15 -7086.246 1831.555 29.91045 -8917.8006675 264.775 0.0068 -5213.468250000001 -1047.882375954332 -0.40022069347391914
298.15 CR RE 0.86 0.14 -7116.692 1701.709 29.57706 -8818.400439 267.89 0.00688 -5333.8589 -1003.8915915105914 -0.4298786612718001
298.15 CR RE 0.87 0.13 -7143.785 1572.981 29.236174 -8716.7652781 271.005 0.00696 -5454.24955 -957.840348132521 -0.4614378920482403
298.15 CR RE 0.88 0.12 -7167.392 1445.368 28.887339 -8612.760122849999 274.12 0.00704 -5574.6402 -909.5953759771999 -0.495015565474182
298.15 CR RE 0.89 0.11 -7187.357 1318.87 28.530027 -8506.22755005 277.235 0.00712 -5695.03085 -859.000492370776 -0.5307388064942161
298.15 CR RE 0.9 0.1 -7203.495 1193.485 28.163608 -8396.979725199999 280.35 0.0072 -5815.421500000001 -805.870345271772 -0.5687461875804851
298.15 CR RE 0.91 0.09 -7215.583 1069.209 27.787328 -8284.791843199999 283.465 0.00728 -5935.812150000001 -749.9816351924775 -0.6091895333909604
298.15 CR RE 0.92 0.08 -7223.347 946.0398 27.400259 -8169.387220849999 286.58 0.00736 -6056.202800000001 -691.0604007790713 -0.6522360930994737
298.15 CR RE 0.93 0.07 -7226.444 823.9748 27.001237 -8050.418811549999 289.695 0.00744 -6176.593450000001 -628.762877359387 -0.6980711598675985
298.15 CR RE 0.94 0.06 -7224.43 703.0098 26.588763 -7927.439688449999 292.81 0.00752 -6296.9841 -562.6452650375951 -0.7469012341540472
298.15 CR RE 0.95 0.05 -7216.711 583.1403 26.160828 -7799.850868199999 295.925 0.0076 -6417.37475 -492.1129705067989 -0.7989578484176966
298.15 CR RE 0.96 0.04 -7202.449 464.316 25.714456 -7666.765056399999 299.04 0.00768 -6537.7654 -416.3281974105133 -0.8546598959528
298.15 CR RE 0.97 0.03 -7180.377 346.5097 25.245301 -7526.88649315 302.155 0.00776 -6658.15605 -334.02154674813966 -0.9168470270813459
298.15 CR RE 0.98 0.02 -7148.338 229.8561 24.746583 -7378.193721449999 305.27 0.00784 -6778.546700000001 -243.03584172567562 -0.9862511658272829
298.15 CR RE 0.99 0.01 -7101.785 114.3532 24.203047 -7216.13846305 308.385 0.00792 -6898.93735 -138.82602141683583 -1.0625979773277356
320.0 CR RE 0.0 1.0 4122.153 17548.75 41.958124 -13426.59968 3.115e-28 8e-33 4122.153 0.0 -0.0
320.0 CR RE 1.0 0.0 -7552.304 520.2674 25.226786 -8072.57152 311.5 0.008 -7552.304 0.0 -0.813331521050595
320.0 CR RE 0.38 0.62 -3620.159 9743.277 41.760735 -13363.4352 118.37 0.00304 -314.14066 -1766.8355777015288 -0.002387744627438846
320.0 CR RE 0.39 0.61 -3764.384 9560.0 41.638702 -13324.38464 121.485 0.00312 -430.88522999999986 -1779.2979098013984 -0.002790337963403026
320.0 CR RE 0.4 0.6 -3906.185 9377.859 41.512636 -13284.04352 124.6 0.0032 -547.6298000000002 -1790.6417617115085 -0.0032479701893915833
320.0 CR RE 0.41 0.59 -4045.569 9196.852 41.382567 -13242.42144 127.715 0.00328 -664.3743699999991 -1800.8769237848792 -0.0037665020767660602
320.0 CR RE 0.42 0.58 -4182.547 9016.98 41.248522 -13199.52704 130.83 0.00336 -781.1189399999994 -1810.0121073912517 -0.004352250408367296
320.0 CR RE 0.43 0.57 -4317.126 8838.242 41.110525 -13155.368 133.945 0.00344 -897.8635099999992 -1818.0549916519687 -0.005012011056724743
320.0 CR RE 0.44 0.56 -4449.312 8660.639 40.968596 -13109.950719999999 137.06 0.00352 -1014.60808 -1825.0122637434733 -0.005753082642683345
320.0 CR RE 0.45 0.55 -4579.112 8484.17 40.822754 -13063.281280000001 140.175 0.0036 -1131.3526499999998 -1830.8896533189222 -0.006583290778388314
320.0 CR RE 0.46 0.54 -4706.529 8308.835 40.673013 -13015.36416 143.29 0.00368 -1248.09722 -1835.6919615047564 -0.007511012899543977
320.0 CR RE 0.47 0.53 -4831.569 8134.635 40.519385 -12966.2032 146.405 0.00376 -1364.8417899999995 -1839.4230848479879 -0.008545203693057793
320.0 CR RE 0.48 0.52 -4954.233 7961.568 40.36188 -12915.801599999999 149.52 0.00384 -1481.5863599999998 -1842.0860345182352 -0.009695421127580778
320.0 CR RE 0.49 0.51 -5074.525 7789.636 40.200503 -12864.16096 152.635 0.00392 -1598.3309299999996 -1843.682951004136 -0.010971853096179573
320.0 CR RE 0.5 0.5 -5192.445 7618.838 40.03526 -12811.2832 155.75 0.004 -1715.0755 -1844.2151144850131 -0.012385344682394302
320.0 CR RE 0.51 0.49 -5307.994 7449.174 39.86615 -12757.168 158.865 0.00408 -1831.82007 -1843.682951004136 -0.013947426063349984
320.0 CR RE 0.52 0.48 -5421.172 7280.644 39.693173 -12701.81536 161.98 0.00416 -1948.56464 -1842.0860345182352 -0.01567034106647345
320.0 CR RE 0.53 0.47 -5531.976 7113.247 39.516324 -12645.22368 165.095 0.00424 -2065.3092100000003 -1839.4230848479879 -0.01756707639974168
320.0 CR RE 0.54 0.46 -5640.406 6946.984 39.335595 -12587.3904 168.21 0.00432 -2182.05378 -1835.6919615047564 -0.01965139157937932
320.0 CR RE 0.55 0.45 -5746.458 6781.855 39.150979 -12528.31328 171.325 0.0044 -2298.79835 -1830.8896533189222 -0.021937849583645953
