T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CR SN 0.0 1.0 -12648.2 4400.0 57.179958 -17048.204477699997 0.0 0.0 -12648.2 0.0 -0.0
298.15 CR SN 1.0 0.0 -7017.642 9.681211 23.569757 -7027.323049549999 0.0 0.0 -7017.642 0.0 -0.0
298.15 CR SN 0.01 0.99 -12605.1 4421.575 57.107749 -17026.675364349998 0.0 0.0 -12591.89442 -138.82602141683572 -0.0
298.15 CR SN 0.02 0.98 -12529.92 4441.828 56.923512 -16971.7451028 0.0 0.0 -12535.58884 -243.03584172567548 -0.0
298.15 CR SN 0.03 0.97 -12444.05 4460.758 56.698997 -16904.805955549997 0.0 0.0 -12479.28326 -334.02154674813943 -0.0
298.15 CR SN 0.04 0.96 -12352.04 4478.365 56.449447 -16830.40262305 0.0 0.0 -12422.97768 -416.3281974105132 -0.0
298.15 CR SN 0.05 0.95 -12256.04 4494.649 56.182098 -16750.6925187 0.0 0.0 -12366.672100000002 -492.11297050679866 -0.0
298.15 CR SN 0.06 0.94 -12157.33 4509.61 55.901207 -16666.94486705 0.0 0.0 -12310.366520000001 -562.6452650375949 -0.0
298.15 CR SN 0.07 0.93 -12056.75 4523.249 55.609585 -16579.99776775 0.0 0.0 -12254.06094 -628.7628773593874 -0.0
298.15 CR SN 0.08 0.92 -11954.88 4535.565 55.309226 -16490.4457319 0.0 0.0 -12197.755360000001 -691.0604007790716 -0.0
298.15 CR SN 0.09 0.91 -11852.17 4546.558 55.001618 -16398.732406699997 0.0 0.0 -12141.44978 -749.9816351924776 -0.0
298.15 CR SN 0.1 0.9 -11748.97 4556.228 54.687914 -16305.201559099998 0.0 0.0 -12085.1442 -805.870345271772 -0.0
298.15 CR SN 0.11 0.89 -11645.55 4564.575 54.369033 -16210.127188949999 0.0 0.0 -12028.83862 -859.000492370776 -0.0
