T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CR V 0.0 1.0 -9209.853 0.0002657617 30.89 -9209.8535 3.115e-28 8e-33 -9209.853 0.0 -0.0
298.15 CR V 1.0 0.0 -7019.328 -0.001117 23.542939 -7019.32726285 311.5 0.008 -7019.328 0.0 -1.145642488486718
298.15 CR V 0.01 0.99 -9615.034 -331.3766 31.13754 -9283.657551 3.115 8e-05 -9187.94775 -138.82602141683572 -1.0538728489636033e-12
298.15 CR V 0.02 0.98 -9965.613 -638.5816 31.283016 -9327.0312204 6.23 0.00016 -9166.0425 -243.03584172567548 -6.74451647427917e-11
298.15 CR V 0.03 0.97 -10283.82 -922.6295 31.397602 -9361.1950363 9.345 0.00024 -9144.13725 -334.02154674813943 -7.682118556805948e-10
298.15 CR V 0.04 0.96 -10575.04 -1184.513 31.495976 -9390.5252444 12.46 0.00032 -9122.231999999998 -416.3281974105132 -4.316145307153442e-09
298.15 CR V 0.05 0.95 -10842.22 -1425.203 31.584816 -9417.0128904 15.575 0.0004 -9100.326749999998 -492.11297050679866 -1.6464129320400515e-08
298.15 CR V 0.06 0.94 -11087.41 -1645.65 31.667833 -9441.764408949999 18.69 0.00048 -9078.421499999999 -562.6452650375949 -4.9159661019639107e-08
298.15 CR V 0.07 0.93 -11312.24 -1846.782 31.7473 -9465.457494999999 21.805 0.00056 -9056.516249999999 -628.7628773593874 -1.239573414078547e-07
298.15 CR V 0.08 0.92 -11518.04 -2029.507 31.824684 -9488.5295346 24.92 0.00064 -9034.610999999999 -691.0604007790716 -2.7618912353371084e-07
298.15 CR V 0.09 0.91 -11705.98 -2194.709 31.900955 -9511.26973325 28.035 0.00072 -9012.70575 -749.9816351924776 -5.598921062978131e-07
298.15 CR V 0.1 0.9 -11877.12 -2343.254 31.976759 -9533.870695849999 31.15 0.0008 -8990.8005 -805.870345271772 -1.053493662018591e-06
298.15 CR V 0.11 0.89 -12032.44 -2475.985 32.052516 -9556.457645399998 34.265 0.00088 -8968.89525 -859.000492370776 -1.866253685971364e-06
298.15 CR V 0.12 0.88 -12172.83 -2593.726 32.128487 -9579.10839905 37.38 0.00096 -8946.99 -909.5953759771999 -3.145463756205784e-06
