T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CR V 0.0 1.0 -9209.853 0.0002657617 30.89 -9209.8535 3.115e-28 8e-33 -9209.853 0.0 -0.0
298.15 CR V 1.0 0.0 -7018.596 0.7265951 23.542922 -7019.3221943 311.5 0.008 -7018.596 0.0 -1.145642488486718
298.15 CR V 0.01 0.99 -9408.484 -80.97071 31.284632 -9327.513030799999 3.115 8e-05 -9187.94043 -138.82602141683572 -1.0538728489636033e-12
298.15 CR V 0.02 0.98 -9571.816 -160.978 31.564106 -9410.838203899999 6.23 0.00016 -9166.027859999998 -243.03584172567548 -6.74451647427917e-11
298.15 CR V 0.03 0.97 -9721.213 -240.0011 31.80014 -9481.211741 9.345 0.00024 -9144.11529 -334.02154674813943 -7.682118556805948e-10
298.15 CR V 0.04 0.96 -9861.189 -318.0192 32.007948 -9543.169696199999 12.46 0.00032 -9122.202719999997 -416.3281974105132 -4.316145307153442e-09
298.15 CR V 0.05 0.95 -9993.872 -395.0118 32.194735 -9598.86024025 15.575 0.0004 -9100.290149999999 -492.11297050679866 -1.6464129320400515e-08
298.15 CR V 0.06 0.94 -10120.5 -470.9582 32.364729 -9649.543951349999 18.69 0.00048 -9078.377579999998 -562.6452650375949 -4.9159661019639107e-08
298.15 CR V 0.07 0.93 -10241.89 -545.8377 32.520709 -9696.049388349998 21.805 0.00056 -9056.465009999998 -628.7628773593874 -1.239573414078547e-07
298.15 CR V 0.08 0.92 -10358.59 -619.6298 32.66464 -9738.962415999998 24.92 0.00064 -9034.55244 -691.0604007790716 -2.7618912353371084e-07
298.15 CR V 0.09 0.91 -10471.03 -692.3137 32.797979 -9778.717438849999 28.035 0.00072 -9012.639869999999 -749.9816351924776 -5.598921062978131e-07
298.15 CR V 0.1 0.9 -10579.52 -763.8689 32.92185 -9815.649577499998 31.15 0.0008 -8990.727299999999 -805.870345271772 -1.053493662018591e-06
298.15 CR V 0.11 0.89 -10684.3 -834.2747 33.03714 -9850.023291 34.265 0.00088 -8968.81473 -859.000492370776 -1.866253685971364e-06
298.15 CR V 0.12 0.88 -10785.56 -903.5104 33.144568 -9882.052949199999 37.38 0.00096 -8946.90216 -909.5953759771999 -3.145463756205784e-06
298.15 CR V 0.13 0.87 -10883.47 -971.5555 33.244727 -9911.915355049998 40.495 0.00104 -8924.98959 -957.840348132521 -5.0844029920581164e-06
298.15 CR V 0.14 0.86 -10978.15 -1038.389 33.338109 -9939.75719835 43.61 0.00112 -8903.077019999999 -1003.8915915105914 -7.931050399896908e-06
298.15 CR V 0.15 0.85 -11069.69 -1103.991 33.425131 -9965.70280765 46.725 0.0012 -8881.164449999998 -1047.882375954332 -1.199755349478165e-05
298.15 CR V 0.16 0.84 -11158.2 -1168.34 33.506148 -9989.8580262 49.84 0.00128 -8859.25188 -1089.9276385420173 -1.7670452986962314e-05
298.15 CR V 0.17 0.83 -11243.73 -1231.416 33.581466 -10012.314087899998 52.955 0.00136 -8837.33931 -1130.1274135160918 -2.5421663322472473e-05
298.15 CR V 0.18 0.82 -11326.35 -1293.198 33.651349 -10033.14970435 56.07 0.00144 -8815.426739999999 -1168.5694517045056 -3.582020886755318e-05
298.15 CR V 0.19 0.81 -11406.1 -1353.666 33.716025 -10052.43285375 59.185 0.00152 -8793.51417 -1205.3312553507326 -4.954471552756093e-05
298.15 CR V 0.2 0.8 -11483.02 -1412.799 33.775697 -10070.22406055 62.3 0.0016 -8771.6016 -1240.4816826440385 -6.739665759230414e-05
298.15 CR V 0.21 0.79 -11557.15 -1470.575 33.830539 -10086.57520285 65.415 0.00168 -8749.68903 -1274.08222978906 -9.031435960173968e-05
298.15 CR V 0.22 0.78 -11628.51 -1526.976 33.880707 -10101.53279205 68.53 0.00176 -8727.77646 -1306.188067542519 -0.00011938775302946994
298.15 CR V 0.23 0.77 -11697.12 -1581.979 33.926337 -10115.137376549997 71.645 0.00184 -8705.86389 -1336.8488881016199 -0.00015587388758593103
298.15 CR V 0.24 0.76 -11762.99 -1635.565 33.967549 -10127.42473435 74.76 0.00192 -8683.95132 -1366.1096036088943 -0.00020121319695092527
298.15 CR V 0.25 0.75 -11826.14 -1687.712 34.004449 -10138.426469349999 77.875 0.002 -8662.03875 -1394.0109271940482 -0.00025704651875559315
298.15 CR V 0.26 0.74 -11886.57 -1738.4 34.037132 -10148.1709058 80.99 0.00208 -8640.12618 -1420.5898600324033 -0.00032523286864908285
298.15 CR V 0.27 0.73 -11944.29 -1787.609 34.06568 -10156.682492 84.105 0.00216 -8618.213609999999 -1445.8801024662048 -0.00040786796830767223
298.15 CR V 0.28 0.72 -11999.3 -1835.318 34.090166 -10163.9829929 87.22 0.00224 -8596.301039999998 -1469.9124032129614 -0.0005073035272742946
298.15 CR V 0.29 0.71 -12051.6 -1881.506 34.110653 -10170.09119195 90.335 0.00232 -8574.38847 -1492.7148576699553 -0.0006261672785583096
298.15 CR V 0.3 0.7 -12101.18 -1926.153 34.127197 -10175.02378555 93.45 0.0024 -8552.4759 -1514.313164037668 -0.000767383767984219
298.15 CR V 0.31 0.69 -12148.03 -1969.238 34.139848 -10178.7956812 96.565 0.00248 -8530.563329999999 -1534.730844232385 -0.0009341958973551058
298.15 CR V 0.32 0.68 -12192.16 -2010.74 34.148647 -10181.419103049999 99.68 0.00256 -8508.650759999999 -1553.9894352015579 -0.0011301872215997944
298.15 CR V 0.33 0.67 -12233.54 -2050.638 34.153629 -10182.90448635 102.795 0.00264 -8486.738189999998 -1572.1086551954763 -0.0013593050002128416
298.15 CR V 0.34 0.66 -12272.17 -2088.913 34.154825 -10183.26107375 105.91 0.00272 -8464.825619999998 -1589.1065487133012 -0.0016258840034722468
298.15 CR V 0.35 0.65 -12308.04 -2125.544 34.15226 -10182.496318999998 109.025 0.0028 -8442.91305 -1604.9996131775667 -0.0019346710741576676
298.15 CR V 0.36 0.64 -12341.13 -2160.509 34.145954 -10180.6161851 112.14 0.00288 -8421.000479999999 -1619.8029098595373 -0.0022908504457901774
298.15 CR V 0.37 0.63 -12371.41 -2193.789 34.135923 -10177.625442449998 115.255 0.00296 -8399.087909999998 -1633.5301611487748 -0.0027000698187977295
298.15 CR V 0.38 0.62 -12398.89 -2225.363 34.122177 -10173.52707255 118.37 0.00304 -8377.17534 -1646.193835911596 -0.003168467196502105
298.15 CR V 0.39 0.61 -12423.53 -2255.209 34.104725 -10168.32375875 121.485 0.00312 -8355.26277 -1657.8052243977716 -0.0037026984834342986
298.15 CR V 0.4 0.6 -12445.33 -2283.309 34.08357 -10162.016395499999 124.6 0.0032 -8333.350199999999 -1668.3745039196444 -0.004309965849252586
298.15 CR V 0.41 0.59 -12464.25 -2309.64 34.058712 -10154.6049828 127.715 0.00328 -8311.43763 -1677.9107963326926 -0.004998046862501155
298.15 CR V 0.42 0.58 -12480.27 -2334.183 34.030149 -10146.08892435 130.83 0.00336 -8289.52506 -1686.4222181834425 -0.005775324399626951
298.15 CR V 0.43 0.57 -12493.38 -2356.916 33.997873 -10136.465834949999 133.945 0.00344 -8267.61249 -1693.9159242532326 -0.00665081733612822
298.15 CR V 0.44 0.56 -12503.55 -2377.82 33.961874 -10125.7327331 137.06 0.00352 -8245.69992 -1700.3981451097393 -0.00763421202850401
298.15 CR V 0.45 0.55 -12510.76 -2396.874 33.922142 -10113.8866373 140.175 0.0036 -8223.787349999999 -1705.8742191782392 -0.008735894597843767
298.15 CR V 0.46 0.54 -12514.98 -2414.057 33.878659 -10100.922180849999 143.29 0.00368 -8201.87478 -1710.3486197582595 -0.009966984028535722
298.15 CR V 0.47 0.53 -12516.18 -2429.348 33.831408 -10086.8342952 146.405 0.00376 -8179.96221 -1713.8249773357109 -0.011339366098785057
298.15 CR V 0.48 0.52 -12514.34 -2442.728 33.780367 -10071.61642105 149.52 0.00384 -8158.049639999999 -1716.3060974737868 -0.012865728163451285
298.15 CR V 0.49 0.51 -12509.44 -2454.175 33.725512 -10055.261402799999 152.635 0.00392 -8136.137069999999 -1717.7939745058845 -0.014559594814357719
298.15 CR V 0.5 0.5 -12501.43 -2463.669 33.666818 -10037.761786699999 155.75 0.004 -8114.224499999999 -1718.289801199083 -0.016435364448725075
298.15 CR V 0.51 0.49 -12490.3 -2471.19 33.604254 -10019.108330099998 158.865 0.00408 -8092.31193 -1717.7939745058845 -0.018508346782954006
298.15 CR V 0.52 0.48 -12476.01 -2476.716 33.53779 -9999.2920885 161.98 0.00416 -8070.399359999999 -1716.3060974737868 -0.020794801356821963
298.15 CR V 0.53 0.47 -12458.53 -2480.228 33.467389 -9978.302030349998 165.095 0.00424 -8048.486789999999 -1713.8249773357109 -0.023311977082411565
298.15 CR V 0.54 0.46 -12437.83 -2481.705 33.393015 -9956.12742225 168.21 0.00432 -8026.5742199999995 -1710.3486197582595 -0.026078152903050385
298.15 CR V 0.55 0.45 -12413.88 -2481.126 33.314628 -9932.756338199999 171.325 0.0044 -8004.66165 -1705.8742191782392 -0.029112679640527946
298.15 CR V 0.56 0.44 -12386.65 -2478.472 33.232184 -9908.175659599998 174.44 0.00448 -7982.74908 -1700.3981451097393 -0.03243602312410573
298.15 CR V 0.57 0.43 -12356.09 -2473.721 33.145639 -9882.37226785 177.555 0.00456 -7960.836509999999 -1693.9159242532328 -0.03606980871281726
298.15 CR V 0.58 0.42 -12322.18 -2466.852 33.054943 -9855.331255449999 180.67 0.00464 -7938.92394 -1686.4222181834425 -0.04003686734377959
298.15 CR V 0.59 0.41 -12284.88 -2457.847 32.960045 -9827.03741675 183.785 0.00472 -7917.01137 -1677.910796332693 -0.044361283264052545
298.15 CR V 0.6 0.4 -12244.16 -2446.684 32.86089 -9797.474353499998 186.9 0.0048 -7895.0988 -1668.3745039196444 -0.04906844363294176
