T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CR V 0.0 1.0 -9209.853 0.0002657617 30.89 -9209.8535 3.115e-28 1e-32 -9209.853 0.0 -0.0
298.15 CR V 1.0 0.0 -7019.748 -2.409692 23.536267 -7017.338006049999 311.5 0.01 -7019.748 0.0 -1.4306324164505262
298.15 CR V 0.01 0.99 -9615.034 -331.3766 31.13754 -9283.657551 3.115 0.0001 -9187.95195 -138.82602141683572 -1.317327888846212e-12
298.15 CR V 0.02 0.98 -9965.613 -638.5816 31.283016 -9327.0312204 6.23 0.0002 -9166.050899999998 -243.03584172567548 -8.43047700691288e-11
298.15 CR V 0.03 0.97 -10283.82 -922.6295 31.397602 -9361.1950363 9.345 0.0003 -9144.14985 -334.02154674813943 -9.602360185681045e-10
298.15 CR V 0.04 0.96 -10575.04 -1184.513 31.495976 -9390.5252444 12.46 0.0004 -9122.248799999998 -416.3281974105132 -5.394965895708822e-09
298.15 CR V 0.05 0.95 -10842.22 -1425.203 31.584816 -9417.0128904 15.575 0.0005 -9100.347749999999 -492.11297050679866 -2.057913305384478e-08
298.15 CR V 0.06 0.94 -11087.41 -1645.65 31.667833 -9441.764408949999 18.69 0.0006 -9078.446699999999 -562.6452650375949 -6.14458910687979e-08
298.15 CR V 0.07 0.93 -11312.24 -1846.782 31.7473 -9465.457494999999 21.805 0.0007 -9056.545649999998 -628.7628773593874 -1.5493583656272006e-07
298.15 CR V 0.08 0.92 -11518.04 -2029.507 31.824684 -9488.5295346 24.92 0.0008 -9034.6446 -691.0604007790716 -3.452088031687362e-07
298.15 CR V 0.09 0.91 -11705.98 -2194.709 31.900955 -9511.26973325 28.035 0.0009 -9012.74355 -749.9816351924776 -6.99802190326433e-07
298.15 CR V 0.1 0.9 -11877.12 -2343.254 31.976759 -9533.870695849999 31.15 0.001 -8990.842499999999 -805.870345271772 -1.3167354960745076e-06
298.15 CR V 0.11 0.89 -12032.44 -2475.985 32.052516 -9556.457645399998 34.265 0.0011 -8968.94145 -859.000492370776 -2.332560723186314e-06
298.15 CR V 0.12 0.88 -12172.83 -2593.726 32.128487 -9579.10839905 37.38 0.0012 -8947.0404 -909.5953759771999 -3.931358328174539e-06
298.15 CR V 0.13 0.87 -12299.14 -2697.279 32.204815 -9601.86559225 40.495 0.0013 -8925.13935 -957.840348132521 -6.3546783828936605e-06
298.15 CR V 0.14 0.86 -12412.17 -2787.424 32.281553 -9624.74502695 43.61 0.0014 -8903.238299999999 -1003.8915915105914 -9.91242661867176e-06
298.15 CR V 0.15 0.85 -12512.67 -2864.923 32.358691 -9647.74372165 46.725 0.0015 -8881.337249999999 -1047.882375954332 -1.4994695023174839e-05
298.15 CR V 0.16 0.84 -12601.36 -2930.516 32.436163 -9670.84199845 49.84 0.0016 -8859.4362 -1089.9276385420173 -2.2084536660539318e-05
298.15 CR V 0.17 0.83 -12678.93 -2984.922 32.513866 -9694.009147899998 52.955 0.0017 -8837.53515 -1130.1274135160918 -3.1771684385791065e-05
298.15 CR V 0.18 0.82 -12746.05 -3028.843 32.591664 -9717.2046216 56.07 0.0018 -8815.6341 -1168.5694517045056 -4.476721312528882e-05
298.15 CR V 0.19 0.81 -12803.34 -3062.956 32.669395 -9740.38011925 59.185 0.0019 -8793.733049999999 -1205.3312553507326 -6.191914539603793e-05
298.15 CR V 0.2 0.8 -12851.4 -3087.921 32.746881 -9763.48257015 62.3 0.002 -8771.831999999999 -1240.4816826440385 -8.42289997384455e-05
298.15 CR V 0.21 0.79 -12890.83 -3104.377 32.823927 -9786.453835049999 65.415 0.0021 -8749.93095 -1274.08222978906 -0.00011286928173975972
298.15 CR V 0.22 0.78 -12922.18 -3112.945 32.900326 -9809.232196899999 68.53 0.0022 -8728.0299 -1306.188067542519 -0.00014920191732952388
298.15 CR V 0.23 0.77 -12945.98 -3114.223 32.975863 -9831.753553449998 71.645 0.0023 -8706.12885 -1336.8488881016199 -0.00019479762803455603
298.15 CR V 0.24 0.76 -12962.74 -3108.791 33.050318 -9853.952311699999 74.76 0.0024 -8684.227799999999 -1366.1096036088943 -0.0002514562478901329
298.15 CR V 0.25 0.75 -12972.97 -3097.21 33.123464 -9875.760791599998 77.875 0.0025 -8662.32675 -1394.0109271940482 -0.00032122798171747125
298.15 CR V 0.26 0.74 -12977.13 -3080.02 33.195074 -9897.111313099998 80.99 0.0026 -8640.4257 -1420.5898600324033 -0.00040643560449691327
298.15 CR V 0.27 0.73 -12975.68 -3057.744 33.264917 -9917.93500355 84.105 0.0027 -8618.52465 -1445.8801024662048 -0.0005096976015936017
298.15 CR V 0.28 0.72 -12969.05 -3030.882 33.332764 -9938.163586599998 87.22 0.0028 -8596.623599999999 -1469.9124032129614 -0.0006339522496307563
298.15 CR V 0.29 0.71 -12957.65 -2999.919 33.398387 -9957.729084049999 90.335 0.0029 -8574.722549999999 -1492.7148576699553 -0.0007824826378585734
298.15 CR V 0.3 0.7 -12941.88 -2965.317 33.461557 -9976.563219549998 93.45 0.003 -8552.821499999998 -1514.313164037668 -0.0009589426299389484
298.15 CR V 0.31 0.69 -12922.12 -2927.522 33.522049 -9994.59890935 96.565 0.0031 -8530.920449999998 -1534.730844232385 -0.0011673837661636726
298.15 CR V 0.32 0.68 -12898.73 -2886.96 33.579643 -10011.770560449999 99.68 0.0032 -8509.0194 -1553.9894352015579 -0.0014122831062531396
298.15 CR V 0.33 0.67 -12872.05 -2844.037 33.634119 -10028.01257985 102.795 0.0033 -8487.118349999999 -1572.1086551954763 -0.0016985720130559688
298.15 CR V 0.34 0.66 -12842.4 -2799.143 33.685264 -10043.261461599997 105.91 0.0034 -8465.217299999998 -1589.1065487133012 -0.0020316658776921175
298.15 CR V 0.35 0.65 -12810.1 -2752.647 33.732867 -10057.454296049998 109.025 0.0035 -8443.31625 -1604.9996131775667 -0.0024174947869765057
298.15 CR V 0.36 0.64 -12775.43 -2704.9 33.776725 -10070.530558749999 112.14 0.0036 -8421.4152 -1619.8029098595373 -0.0028625351343344297
298.15 CR V 0.37 0.63 -12738.67 -2656.236 33.816637 -10082.430321549999 115.255 0.0037 -8399.514149999999 -1633.5301611487748 -0.0033738421759006605
298.15 CR V 0.38 0.62 -12700.07 -2606.97 33.85241 -10093.096041499999 118.37 0.0038 -8377.613099999999 -1646.193835911596 -0.003959083534103041
298.15 CR V 0.39 0.61 -12659.87 -2557.397 33.883856 -10102.471666399999 121.485 0.0039 -8355.712049999998 -1657.8052243977716 -0.004626573651798944
298.15 CR V 0.4 0.6 -12618.3 -2507.796 33.910792 -10110.5026348 124.6 0.004 -8333.810999999998 -1668.3745039196444 -0.005385309200993716
298.15 CR V 0.41 0.59 -12575.56 -2458.428 33.933043 -10117.136770449999 127.715 0.0041 -8311.909950000001 -1677.9107963326926 -0.006245005451366078
298.15 CR V 0.42 0.58 -12531.86 -2409.535 33.950437 -10122.32279155 130.83 0.0042 -8290.0089 -1686.4222181834425 -0.007216133605305418
298.15 CR V 0.43 0.57 -12487.35 -2361.342 33.962814 -10126.0129941 133.945 0.0043 -8268.10785 -1693.9159242532326 -0.008309959107987517
298.15 CR V 0.44 0.56 -12442.22 -2314.056 33.970015 -10128.159972249998 137.06 0.0044 -8246.2068 -1700.3981451097393 -0.009538580943246732
298.15 CR V 0.45 0.55 -12396.58 -2267.866 33.97189 -10128.7190035 140.175 0.0045 -8224.30575 -1705.8742191782392 -0.010914971928722284
298.15 CR V 0.46 0.54 -12350.59 -2222.944 33.968298 -10127.648048699999 143.29 0.0046 -8202.4047 -1710.3486197582595 -0.012453020027058172
298.15 CR V 0.47 0.53 -12304.35 -2179.446 33.9591 -10124.905664999998 146.405 0.0047 -8180.50365 -1713.8249773357109 -0.01416757069392575
298.15 CR V 0.48 0.52 -12257.96 -2137.508 33.944169 -10120.45398735 149.52 0.0048 -8158.6026 -1716.3060974737868 -0.016074470288441868
298.15 CR V 0.49 0.51 -12211.51 -2097.25 33.923382 -10114.256343299998 152.635 0.0049 -8136.70155 -1717.7939745058845 -0.018190610577319254
298.15 CR V 0.5 0.5 -12165.05 -2058.776 33.896624 -10106.2784456 155.75 0.005 -8114.800499999999 -1718.289801199083 -0.020533974370975296
298.15 CR V 0.51 0.49 -12118.66 -2022.171 33.863785 -10096.487497749999 158.865 0.0051 -8092.899449999999 -1717.7939745058845 -0.023123682338041025
298.15 CR V 0.52 0.48 -12072.36 -1987.505 33.824766 -10084.853982899998 161.98 0.0052 -8070.998399999999 -1716.3060974737868 -0.02598004105446895
298.15 CR V 0.53 0.47 -12026.18 -1954.83 33.779472 -10071.3495768 165.095 0.0053 -8049.097349999999 -1713.8249773357109 -0.02912459235503675
298.15 CR V 0.54 0.46 -11980.13 -1924.182 33.727816 -10055.948340399998 168.21 0.0054 -8027.1963 -1710.3486197582595 -0.032580164068709144
298.15 CR V 0.55 0.45 -11934.21 -1895.579 33.669717 -10038.626123549999 171.325 0.0055 -8005.295249999999 -1705.8742191782392 -0.03637092223553238
298.15 CR V 0.56 0.44 -11888.39 -1869.025 33.605103 -10019.36145945 174.44 0.0056 -7983.394199999999 -1700.3981451097393 -0.04052242492179277
298.15 CR V 0.57 0.43 -11842.64 -1844.506 33.533906 -9998.1340739 177.555 0.0057 -7961.493149999999 -1693.9159242532328 -0.04506167777264391
298.15 CR V 0.58 0.42 -11796.92 -1821.991 33.456068 -9974.9266742 180.67 0.0058 -7939.5921 -1686.4222181834425 -0.05001719146784301
298.15 CR V 0.59 0.41 -11751.16 -1801.435 33.371536 -9949.7234584 183.785 0.0059 -7917.691049999999 -1677.910796332693 -0.055419041277328274
298.15 CR V 0.6 0.4 -11705.28 -1782.774 33.280262 -9922.5101153 186.9 0.006 -7895.789999999999 -1668.3745039196444 -0.06129892894992463
298.15 CR V 0.61 0.39 -11659.21 -1765.932 33.182208 -9893.2753152 190.015 0.0061 -7873.88895 -1657.8052243977716 -0.06769024721146509
298.15 CR V 0.62 0.38 -11612.82 -1750.813 33.077339 -9862.00862285 193.13 0.0062 -7851.987899999999 -1646.193835911596 -0.07462814719920559
298.15 CR V 0.63 0.37 -11566.01 -1737.307 32.965629 -9828.702286349999 196.245 0.0063 -7830.08685 -1633.5301611487748 -0.0821496092190078
298.15 CR V 0.64 0.36 -11518.64 -1725.29 32.847056 -9793.3497464 199.36 0.0064 -7808.185799999999 -1619.8029098595373 -0.09029351728204231
298.15 CR V 0.65 0.35 -11470.57 -1714.619 32.721605 -9755.946530749998 202.475 0.0065 -7786.284749999999 -1604.9996131775667 -0.09910073796078116
298.15 CR V 0.66 0.34 -11421.63 -1705.139 32.589264 -9716.4890616 205.59 0.0066 -7764.3836999999985 -1589.106548713301 -0.10861420420229416
298.15 CR V 0.67 0.33 -11371.65 -1696.677 32.450029 -9674.97614635 208.705 0.0067 -7742.48265 -1572.1086551954763 -0.11887900485338036
298.15 CR V 0.68 0.32 -11320.45 -1689.045 32.3039 -9631.407785 211.82 0.0068 -7720.5815999999995 -1553.9894352015576 -0.12994248079058898
298.15 CR V 0.69 0.31 -11267.83 -1682.042 32.150881 -9585.785170149999 214.935 0.0069 -7698.680549999999 -1534.730844232385 -0.1418543287132706
298.15 CR V 0.7 0.3 -11213.56 -1675.449 31.990981 -9538.11098515 218.05 0.007 -7676.7795 -1514.313164037668 -0.15466671385508388
298.15 CR V 0.71 0.29 -11157.42 -1669.034 31.82421 -9488.3882115 221.165 0.0071 -7654.87845 -1492.7148576699553 -0.16843439310576874
298.15 CR V 0.72 0.28 -11099.17 -1662.551 31.650585 -9436.621917749999 224.28 0.0072 -7632.9774 -1469.9124032129614 -0.1832148503189606
298.15 CR V 0.73 0.27 -11038.55 -1655.735 31.470123 -9382.817172449999 227.395 0.0073 -7611.076349999999 -1445.8801024662048 -0.19906844592402062
298.15 CR V 0.74 0.26 -10975.29 -1648.312 31.282841 -9326.979044149999 230.51 0.0074 -7589.1753 -1420.5898600324033 -0.21605858337280373
298.15 CR V 0.75 0.25 -10909.1 -1639.988 31.088761 -9269.11409215 233.625 0.0075 -7567.2742499999995 -1394.0109271940482 -0.23425189545251293
298.15 CR V 0.76 0.24 -10839.69 -1630.459 30.8879 -9209.227384999998 236.74 0.0076 -7545.373199999999 -1366.1096036088943 -0.25371845410226174
298.15 CR V 0.77 0.23 -10766.73 -1619.405 30.680277 -9147.32458755 239.855 0.0077 -7523.47215 -1336.8488881016199 -0.274532008108211
298.15 CR V 0.78 0.22 -10689.9 -1606.49 30.465906 -9083.4098739 242.97 0.0078 -7501.571099999999 -1306.188067542519 -0.2967702539495908
298.15 CR V 0.79 0.21 -10608.85 -1591.367 30.244799 -9017.48682185 246.085 0.0079 -7479.670049999999 -1274.08222978906 -0.3205151461619512
298.15 CR V 0.8 0.2 -10523.23 -1573.672 30.016958 -8949.556027699999 249.2 0.008 -7457.768999999999 -1240.4816826440385 -0.34585325491918584
298.15 CR V 0.81 0.19 -10432.65 -1553.029 29.782379 -8879.616298849998 252.315 0.0081 -7435.86795 -1205.3312553507324 -0.3728761801667357
298.15 CR V 0.82 0.18 -10336.71 -1529.048 29.541045 -8807.66256675 255.43 0.0082 -7413.966899999999 -1168.5694517045058 -0.40168103363159374
298.15 CR V 0.83 0.17 -10235.01 -1501.326 29.292924 -8733.685290599999 258.545 0.0083 -7392.065849999999 -1130.127413516092 -0.4323710024715724
298.15 CR V 0.84 0.16 -10127.11 -1469.443 29.037965 -8657.669264749999 261.66 0.0084 -7370.1648000000005 -1089.9276385420173 -0.46505601130579327
298.15 CR V 0.85 0.15 -10012.56 -1432.97 28.776089 -8579.59093535 264.775 0.0085 -7348.26375 -1047.882375954332 -0.49985350301093867
298.15 CR V 0.86 0.14 -9890.88 -1391.461 28.50719 -8499.4186985 267.89 0.0086 -7326.3627 -1003.8915915105914 -0.5368893631194994
298.15 CR V 0.87 0.13 -9761.567 -1344.46 28.231116 -8417.107235399999 271.005 0.0087 -7304.461649999999 -957.840348132521 -0.5762990180941019
298.15 CR V 0.88 0.12 -9624.092 -1291.496 27.947667 -8332.596916049999 274.12 0.0088 -7282.5606 -909.5953759771999 -0.6182287443899362
298.15 CR V 0.89 0.11 -9477.891 -1232.084 27.656572 -8245.8069418 277.235 0.0089 -7260.659549999999 -859.000492370776 -0.6628372333135505
298.15 CR V 0.9 0.1 -9322.36 -1165.73 27.357471 -8156.629978649999 280.35 0.009 -7238.758499999999 -805.870345271772 -0.7102974665518814
298.15 CR V 0.91 0.09 -9156.847 -1091.924 27.049886 -8064.923510899999 283.465 0.0091 -7216.8574499999995 -749.9816351924775 -0.7607989692543446
298.15 CR V 0.92 0.08 -8980.641 -1010.144 26.733179 -7970.497318849999 286.58 0.0092 -7194.9564 -691.0604007790713 -0.8145505221517091
298.15 CR V 0.93 0.07 -8792.95 -919.8578 26.406481 -7873.092310149999 289.695 0.0093 -7173.05535 -628.762877359387 -0.8717834319265808
298.15 CR V 0.94 0.06 -8592.873 -820.5194 26.068601 -7772.35338815 292.81 0.0094 -7151.154299999999 -562.6452650375951 -0.9327554805529005
298.15 CR V 0.95 0.05 -8379.347 -711.5718 25.717843 -7667.774890449999 295.925 0.0095 -7129.25325 -492.1129705067989 -0.9977557003652686
298.15 CR V 0.96 0.04 -8151.058 -592.5024 25.351519 -7558.555389849999 299.04 0.0096 -7107.352199999999 -416.3281974105133 -1.067307090255221
298.15 CR V 0.97 0.03 -7906.251 -462.7574 24.9656 -7443.493639999999 302.155 0.0097 -7085.45115 -334.02154674813966 -1.1449556622322834
298.15 CR V 0.98 0.02 -7642.274 -321.5687 24.553766 -7320.705332899999 305.27 0.0098 -7063.5500999999995 -243.03584172567562 -1.2316151925719332
298.15 CR V 0.99 0.01 -7354.075 -168.3267 24.101119 -7185.74862985 308.385 0.0099 -7041.64905 -138.82602141683583 -1.3269428334563376
