T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CR ZN 0.0 1.0 -10273.74 2886.96 44.1412 -13160.698779999999 3.115e-28 1e-32 -10273.74 0.0 -0.0
298.15 CR ZN 1.0 0.0 -7019.015 -1.68198 23.536251 -7017.33323565 311.5 0.01 -7019.015 0.0 -1.4306324164505262
298.15 CR ZN 0.01 0.99 -10290.05 2853.047 44.082173 -13143.099879949998 3.115 0.0001 -10241.19275 -138.82602141683572 -1.317327888846212e-12
298.15 CR ZN 0.02 0.98 -10273.57 2819.237 43.913485 -13092.80555275 6.23 0.0002 -10208.6455 -243.03584172567548 -8.43047700691288e-11
298.15 CR ZN 0.03 0.97 -10245.68 2785.532 43.706886 -13031.208060899999 9.345 0.0003 -10176.09825 -334.02154674813943 -9.602360185681045e-10
298.15 CR ZN 0.04 0.96 -10210.92 2751.93 43.477621 -12962.85270115 12.46 0.0004 -10143.551 -416.3281974105132 -5.394965895708822e-09
298.15 CR ZN 0.05 0.95 -10171.46 2718.433 43.232924 -12889.896290599998 15.575 0.0005 -10111.00375 -492.11297050679866 -2.057913305384478e-08
298.15 CR ZN 0.06 0.94 -10128.57 2685.039 42.977054 -12813.608650099999 18.69 0.0006 -10078.4565 -562.6452650375949 -6.14458910687979e-08
298.15 CR ZN 0.07 0.93 -10083.08 2651.75 42.71282 -12734.827282999999 21.805 0.0007 -10045.90925 -628.7628773593874 -1.5493583656272006e-07
298.15 CR ZN 0.08 0.92 -10035.58 2618.564 42.442217 -12654.146998549999 24.92 0.0008 -10013.362 -691.0604007790716 -3.452088031687362e-07
298.15 CR ZN 0.09 0.91 -9986.528 2585.483 42.166732 -12572.0111458 28.035 0.0009 -9980.81475 -749.9816351924776 -6.99802190326433e-07
298.15 CR ZN 0.1 0.9 -9936.259 2552.505 41.88752 -12488.764088 31.15 0.001 -9948.2675 -805.870345271772 -1.3167354960745076e-06
298.15 CR ZN 0.11 0.89 -9885.048 2519.632 41.605499 -12404.67952685 34.265 0.0011 -9915.72025 -859.000492370776 -2.332560723186314e-06
298.15 CR ZN 0.12 0.88 -9833.118 2486.862 41.321417 -12319.980478549998 37.38 0.0012 -9883.173 -909.5953759771999 -3.931358328174539e-06
298.15 CR ZN 0.13 0.87 -9780.656 2454.197 41.035897 -12234.852690549998 40.495 0.0013 -9850.62575 -957.840348132521 -6.3546783828936605e-06
298.15 CR ZN 0.14 0.86 -9727.817 2421.635 40.749462 -12149.4520953 43.61 0.0014 -9818.0785 -1003.8915915105914 -9.91242661867176e-06
298.15 CR ZN 0.15 0.85 -9674.735 2389.178 40.46256 -12063.912264 46.725 0.0015 -9785.53125 -1047.882375954332 -1.4994695023174839e-05
298.15 CR ZN 0.16 0.84 -9621.524 2356.824 40.175576 -11978.3479844 49.84 0.0016 -9752.984 -1089.9276385420173 -2.2084536660539318e-05
298.15 CR ZN 0.17 0.83 -9568.285 2324.574 39.888844 -11892.8588386 52.955 0.0017 -9720.43675 -1130.1274135160918 -3.1771684385791065e-05
298.15 CR ZN 0.18 0.82 -9515.105 2292.429 39.602661 -11807.533377149999 56.07 0.0018 -9687.889500000001 -1168.5694517045056 -4.476721312528882e-05
298.15 CR ZN 0.19 0.81 -9462.061 2260.387 39.317285 -11722.448522749999 59.185 0.0019 -9655.34225 -1205.3312553507326 -6.191914539603793e-05
298.15 CR ZN 0.2 0.8 -9409.224 2228.449 39.032948 -11637.673446199999 62.3 0.002 -9622.795 -1240.4816826440385 -8.42289997384455e-05
298.15 CR ZN 0.21 0.79 -9356.654 2196.616 38.749855 -11553.269268249998 65.415 0.0021 -9590.24775 -1274.08222978906 -0.00011286928173975972
298.15 CR ZN 0.22 0.78 -9304.406 2164.886 38.468192 -11469.2914448 68.53 0.0022 -9557.7005 -1306.188067542519 -0.00014920191732952388
298.15 CR ZN 0.23 0.77 -9252.53 2133.26 38.188126 -11385.789766899998 71.645 0.0023 -9525.15325 -1336.8488881016199 -0.00019479762803455603
298.15 CR ZN 0.24 0.76 -9201.071 2101.738 37.909806 -11302.8086589 74.76 0.0024 -9492.606 -1366.1096036088943 -0.0002514562478901329
298.15 CR ZN 0.25 0.75 -9150.069 2070.32 37.63337 -11220.389265499998 77.875 0.0025 -9460.05875 -1394.0109271940482 -0.00032122798171747125
298.15 CR ZN 0.26 0.74 -9099.562 2039.006 37.358942 -11138.5685573 80.99 0.0026 -9427.5115 -1420.5898600324033 -0.00040643560449691327
298.15 CR ZN 0.27 0.73 -9049.584 2007.796 37.086634 -11057.379927099999 84.105 0.0027 -9394.964249999999 -1445.8801024662048 -0.0005096976015936017
298.15 CR ZN 0.28 0.72 -9000.165 1976.689 36.816549 -10976.85408435 87.22 0.0028 -9362.417 -1469.9124032129614 -0.0006339522496307563
