T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CR ZR 0.0 1.0 -6719.723 7311.125 47.059694 -14030.8477661 1.0383333e-28 2.6666667e-33 -6719.723 0.0 -0.0
298.15 CR ZR 1.0 0.0 -7017.643 9.673992 23.569738 -7027.3173847 103.83333 0.0026666667 -7017.643 0.0 -0.0014437764026974569
298.15 CR ZR 0.01 0.99 -6593.238 7506.4 47.29042 -14099.638722999998 1.0383333 2.6666667e-05 -6722.702200000001 -138.82602141683572 -1.4456801033864468e-15
298.15 CR ZR 0.02 0.98 -6435.597 7698.216 47.405042 -14133.8132723 2.0766667 5.3333333e-05 -6725.6813999999995 -243.03584172567548 -9.252231356116167e-14
298.15 CR ZR 0.03 0.97 -6268.252 7886.512 47.475311 -14154.763974649999 3.115 8e-05 -6728.6606 -334.02154674813943 -1.0538728489636033e-12
298.15 CR ZR 0.04 0.96 -6095.808 8071.227 47.51647 -14167.035530499998 4.1533333 0.00010666667 -6731.6398 -416.3281974105132 -5.921269685007885e-12
298.15 CR ZR 0.05 0.95 -5920.482 8252.303 47.535754 -14172.785055099997 5.1916667 0.00013333333 -6734.619 -492.11297050679866 -2.2587550498239282e-11
298.15 CR ZR 0.06 0.94 -5743.604 8429.678 47.537421 -14173.282071149999 6.23 0.00016 -6737.598199999999 -562.6452650375949 -6.74451647427917e-11
298.15 CR ZR 0.07 0.93 -5566.071 8603.294 47.524282 -14169.364678299999 7.2683333 0.00018666667 -6740.5774 -628.7628773593874 -1.7006923792129852e-10
298.15 CR ZR 0.08 0.92 -5388.538 8773.089 47.49833 -14161.6270895 8.3066667 0.00021333333 -6743.5566 -691.0604007790716 -3.789410568544135e-10
298.15 CR ZR 0.09 0.91 -5211.508 8939.005 47.461053 -14150.512951949999 9.345 0.00024 -6746.535800000001 -749.9816351924776 -7.682118556805948e-10
298.15 CR ZR 0.1 0.9 -5035.386 9100.981 47.413606 -14136.3666289 10.383333 0.00026666667 -6749.515 -805.870345271772 -1.4455066533825103e-09
298.15 CR ZR 0.11 0.89 -4860.505 9258.956 47.356906 -14119.4615239 11.421667 0.00029333333 -6752.4942 -859.000492370776 -2.560769800131203e-09
298.15 CR ZR 0.12 0.88 -4687.15 9412.872 47.291703 -14100.02124945 12.46 0.00032 -6755.4734 -909.5953759771999 -4.316145307153442e-09
298.15 CR ZR 0.13 0.87 -4515.564 9562.667 47.218618 -14078.2309567 13.498333 0.00034666667 -6758.4526000000005 -957.840348132521 -6.976905751918908e-09
298.15 CR ZR 0.14 0.86 -4345.964 9708.283 47.138176 -14054.2471744 14.536667 0.00037333333 -6761.431799999999 -1003.8915915105914 -1.0883416836973257e-08
298.15 CR ZR 0.15 0.85 -4178.544 9849.658 47.050822 -14028.202579299998 15.575 0.0004 -6764.411 -1047.882375954332 -1.6464129320400515e-08
298.15 CR ZR 0.16 0.84 -4013.479 9986.734 46.956944 -14000.212853599998 16.613333 0.00042666667 -6767.3902 -1089.9276385420173 -2.424963921088514e-08
298.15 CR ZR 0.17 0.83 -3850.928 10119.45 46.856875 -13970.37728125 17.651667 0.00045333333 -6770.3694 -1130.1274135160918 -3.4887769421157054e-08
298.15 CR ZR 0.18 0.82 -3691.039 10247.75 46.750911 -13938.78411465 18.69 0.00048 -6773.3486 -1168.5694517045056 -4.9159661019639107e-08
298.15 CR ZR 0.19 0.81 -3533.95 10371.56 46.639312 -13905.510872799998 19.728333 0.00050666667 -6776.3278 -1205.3312553507326 -6.799698126894669e-08
298.15 CR ZR 0.2 0.8 -3379.79 10490.84 46.522307 -13870.625832049998 20.766667 0.00053333333 -6779.307000000001 -1240.4816826440385 -9.250011629548175e-08
298.15 CR ZR 0.21 0.79 -3228.68 10605.51 46.400105 -13834.19130575 21.805 0.00056 -6782.2862000000005 -1274.08222978906 -1.239573414078547e-07
298.15 CR ZR 0.22 0.78 -3080.735 10715.53 46.272889 -13796.261855349998 22.843333 0.00058666667 -6785.2654 -1306.188067542519 -1.6386520761272047e-07
298.15 CR ZR 0.23 0.77 -2936.065 10820.82 46.140827 -13756.88757005 23.881667 0.00061333333 -6788.2446 -1336.8488881016199 -2.1394983367592238e-07
298.15 CR ZR 0.24 0.76 -2794.775 10921.34 46.004069 -13716.113172349998 24.92 0.00064 -6791.2238 -1366.1096036088943 -2.7618912353371084e-07
298.15 CR ZR 0.25 0.75 -2656.965 11017.01 45.862751 -13673.979210649999 25.958333 0.00066666667 -6794.203 -1394.0109271940482 -3.528363822422114e-07
298.15 CR ZR 0.26 0.74 -2522.733 11107.79 45.716998 -13630.522953699998 26.996667 0.00069333333 -6797.182199999999 -1420.5898600324033 -4.4644468745376606e-07
298.15 CR ZR 0.27 0.73 -2392.173 11193.61 45.566922 -13585.777794299998 28.035 0.00072 -6800.1614 -1445.8801024662048 -5.598921062978131e-07
298.15 CR ZR 0.28 0.72 -2265.374 11274.4 45.412628 -13539.775038199998 29.073333 0.00074666667 -6803.140600000001 -1469.9124032129614 -6.964086193395848e-07
298.15 CR ZR 0.29 0.71 -2142.426 11350.12 45.254208 -13492.542115199998 30.111667 0.00077333333 -6806.1197999999995 -1492.7148576699553 -8.596035397738435e-07
298.15 CR ZR 0.3 0.7 -2023.414 11420.69 45.09175 -13444.105262499997 31.15 0.0008 -6809.099 -1514.313164037668 -1.053493662018591e-06
298.15 CR ZR 0.31 0.69 -1908.42 11486.07 44.925332 -13394.487735799998 32.188333 0.00082666667 -6812.0782 -1534.730844232385 -1.2825336082904458e-06
298.15 CR ZR 0.32 0.68 -1797.528 11546.18 44.755026 -13343.7110019 33.226667 0.00085333333 -6815.0574 -1553.9894352015579 -1.5516462481711766e-06
298.15 CR ZR 0.33 0.67 -1690.817 11600.98 44.580899 -13291.79503685 34.265 0.00088 -6818.036599999999 -1572.1086551954763 -1.866253685971364e-06
298.15 CR ZR 0.34 0.66 -1588.364 11650.39 44.403011 -13238.757729649999 35.303333 0.00090666667 -6821.0158 -1589.1065487133012 -2.232311190102617e-06
298.15 CR ZR 0.35 0.65 -1490.246 11694.37 44.221418 -13184.615776699999 36.341667 0.00093333333 -6823.995 -1604.9996131775667 -2.6563405455384583e-06
298.15 CR ZR 0.36 0.64 -1396.539 11732.85 44.036169 -13129.38378735 37.38 0.00096 -6826.974200000001 -1619.8029098595373 -3.145463756205784e-06
298.15 CR ZR 0.37 0.63 -1307.315 11765.76 43.847311 -13073.075774649998 38.418333 0.00098666667 -6829.953399999999 -1633.5301611487748 -3.707440773566489e-06
298.15 CR ZR 0.38 0.62 -1222.648 11793.06 43.654886 -13015.704260899998 39.456667 0.0010133333 -6832.9326 -1646.193835911596 -4.3507055605698045e-06
298.15 CR ZR 0.39 0.61 -1142.608 11814.67 43.458931 -12957.28027765 40.495 0.00104 -6835.9118 -1657.8052243977716 -5.0844029920581164e-06
298.15 CR ZR 0.4 0.6 -1067.267 11830.55 43.259481 -12897.814260149999 41.533333 0.0010666667 -6838.891 -1668.3745039196444 -5.918429545969016e-06
298.15 CR ZR 0.41 0.59 -996.6925 11840.62 43.056567 -12837.315451049999 42.571667 0.0010933333 -6841.8702 -1677.9107963326926 -6.863472480108242e-06
298.15 CR ZR 0.42 0.58 -930.9531 11844.84 42.850215 -12775.79160225 43.61 0.00112 -6844.8494 -1686.4222181834425 -7.931050399896908e-06
298.15 CR ZR 0.43 0.57 -870.116 11843.13 42.64045 -12713.2501675 44.648333 0.0011466667 -6847.828600000001 -1693.9159242532326 -9.13355634120331e-06
298.15 CR ZR 0.44 0.56 -814.2474 11835.45 42.427292 -12649.6971098 45.686667 0.0011733333 -6850.8078000000005 -1700.3981451097393 -1.0484300488191782e-05
298.15 CR ZR 0.45 0.55 -763.4127 11821.73 42.210759 -12585.13779585 46.725 0.0012 -6853.787 -1705.8742191782392 -1.199755349478165e-05
298.15 CR ZR 0.46 0.54 -717.6763 11801.9 41.990867 -12519.57699605 47.763333 0.0012266667 -6856.7662 -1710.3486197582595 -1.3688593110558e-05
298.15 CR ZR 0.47 0.53 -677.1018 11775.92 41.767627 -12453.017990049999 48.801667 0.0012533333 -6859.7454 -1713.8249773357109 -1.5573749826585298e-05
298.15 CR ZR 0.48 0.52 -641.7521 11743.71 41.54105 -12385.4640575 49.84 0.00128 -6862.7246 -1716.3060974737868 -1.7670452986962314e-05
298.15 CR ZR 0.49 0.51 -611.6892 11705.23 41.311141 -12316.916689149999 50.878333 0.0013066667 -6865.7038 -1717.7939745058845 -1.9997281094422785e-05
298.15 CR ZR 0.5 0.5 -586.9742 11660.4 41.077904 -12247.377077599998 51.916667 0.0013333333 -6868.683 -1718.289801199083 -2.257401032205439e-05
298.15 CR ZR 0.51 0.49 -567.6676 11609.18 40.841342 -12176.846117299998 52.955 0.00136 -6871.6622 -1717.7939745058845 -2.5421663322472473e-05
298.15 CR ZR 0.52 0.48 -553.8289 11551.49 40.601452 -12105.322913799999 53.993333 0.0013866667 -6874.6414 -1716.3060974737868 -2.8562563380155067e-05
