T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CS RB 0.0 1.0 -22891.96 -0.001675496 76.779998 -22891.956403700002 0.0 0.0 -22891.96 0.0 -0.0
298.15 CS RB 1.0 0.0 -25411.32 -0.001294535 85.229979 -25411.31823885 0.0 0.0 -25411.32 0.0 -0.0
298.15 CS RB 0.01 0.99 -23049.59 2.822267 77.318186 -23052.4171559 0.0 0.0 -22917.153599999998 -138.82602141683572 -0.0
298.15 CS RB 0.02 0.98 -23172.95 5.874621 77.742156 -23178.823811399998 0.0 0.0 -22942.347199999997 -243.03584172567548 -0.0
298.15 CS RB 0.03 0.97 -23283.4 9.139896 78.123569 -23292.54209735 0.0 0.0 -22967.5408 -334.02154674813943 -0.0
298.15 CS RB 0.04 0.96 -23385.49 12.60288 78.477584 -23398.091669599995 0.0 0.0 -22992.734399999998 -416.3281974105132 -0.0
298.15 CS RB 0.05 0.95 -23481.36 16.24864 78.811351 -23497.60430065 0.0 0.0 -23017.927999999996 -492.11297050679866 -0.0
298.15 CS RB 0.06 0.94 -23572.26 20.06252 79.129045 -23592.32476675 0.0 0.0 -23043.121599999995 -562.6452650375949 -0.0
298.15 CS RB 0.07 0.93 -23659.04 24.03015 79.433393 -23683.066122949996 0.0 0.0 -23068.315199999997 -628.7628773593874 -0.0
298.15 CS RB 0.08 0.92 -23742.26 28.13743 79.726309 -23770.39902835 0.0 0.0 -23093.508800000003 -691.0604007790716 -0.0
298.15 CS RB 0.09 0.91 -23822.37 32.37053 80.009204 -23854.744172599996 0.0 0.0 -23118.702400000002 -749.9816351924776 -0.0
298.15 CS RB 0.1 0.9 -23899.71 36.71591 80.283154 -23936.422365099996 0.0 0.0 -23143.896 -805.870345271772 -0.0
298.15 CS RB 0.11 0.89 -23974.52 41.16032 80.549001 -24015.68464815 0.0 0.0 -23169.0896 -859.000492370776 -0.0
298.15 CS RB 0.12 0.88 -24047.04 45.69077 80.807421 -24092.732571149998 0.0 0.0 -23194.2832 -909.5953759771999 -0.0
298.15 CS RB 0.13 0.87 -24117.44 50.29456 81.058963 -24167.72981845 0.0 0.0 -23219.4768 -957.840348132521 -0.0
298.15 CS RB 0.14 0.86 -24185.85 54.95924 81.304079 -24240.811153849998 0.0 0.0 -23244.6704 -1003.8915915105914 -0.0
298.15 CS RB 0.15 0.85 -24252.42 59.67268 81.543148 -24312.0895762 0.0 0.0 -23269.863999999998 -1047.882375954332 -0.0
298.15 CS RB 0.16 0.84 -24317.24 64.42301 81.776488 -24381.6598972 0.0 0.0 -23295.0576 -1089.9276385420173 -0.0
