T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CU FE 0.0 1.0 -8133.465 -0.0297885 27.279676 -8133.435399399999 1043.0 2.22 -8133.465 0.0 -5837.568155846089
298.15 CU FE 1.0 0.0 -6240.8 4017.002 34.404834 -10257.8012571 1.0016e-09 2.22e-12 -6240.8 0.0 -1.0051949135711902e-67
298.15 CU FE 0.01 0.99 -7801.585 496.0562 27.830423 -8297.640617449999 1032.1601 2.1978 -8114.538350000001 -138.82602141683572 -5713.26751858074
298.15 CU FE 0.02 0.98 -7443.784 983.3105 28.264612 -8427.094067799999 1021.3286 2.1756 -8095.6116999999995 -243.03584172567548 -5589.887253201944
298.15 CU FE 0.03 0.97 -7081.462 1461.729 28.654002 -8543.190696299998 1010.5053 2.1534 -8076.68505 -334.02154674813943 -5467.4329404627415
298.15 CU FE 0.04 0.96 -6719.171 1931.308 29.01385 -8650.4793775 999.69024 2.1312 -8057.7584 -416.3281974105132 -5345.912304393774
298.15 CU FE 0.05 0.95 -6359.078 2392.043 29.351404 -8751.121102599998 988.8835 2.109 -8038.831749999999 -492.11297050679866 -5225.333540679901
298.15 CU FE 0.06 0.94 -6002.458 2843.93 29.670932 -8846.3883758 978.08504 2.0868 -8019.9051 -562.6452650375949 -5105.704027951979
298.15 CU FE 0.07 0.93 -5650.159 3286.965 29.975259 -8937.12347085 967.29486 2.0646 -8000.97845 -628.7628773593874 -4987.031639675089
298.15 CU FE 0.08 0.92 -5302.782 3721.143 30.266393 -9023.92507295 956.51296 2.0424 -7982.0518 -691.0604007790716 -4869.32442287472
298.15 CU FE 0.09 0.91 -4960.78 4146.461 30.545836 -9107.2410034 945.73934 2.0202 -7963.12515 -749.9816351924776 -4752.590604266173
298.15 CU FE 0.1 0.9 -4624.505 4562.914 30.814756 -9187.4195014 934.974 1.998 -7944.1985 -805.870345271772 -4636.838596707632
298.15 CU FE 0.11 0.89 -4294.241 4970.499 31.074088 -9264.739337199999 924.21694 1.9758 -7925.27185 -859.000492370776 -4522.077006000409
298.15 CU FE 0.12 0.88 -3970.219 5369.21 31.324597 -9339.42859555 913.46816 1.9536 -7906.3452 -909.5953759771999 -4408.31463806223
298.15 CU FE 0.13 0.87 -3652.634 5759.044 31.566921 -9411.67749615 902.72766 1.9314 -7887.41855 -957.840348132521 -4295.560506501692
298.15 CU FE 0.14 0.86 -3341.651 6139.996 31.801602 -9481.647636299998 891.99544 1.9092 -7868.491900000001 -1003.8915915105914 -4183.823840624814
298.15 CU FE 0.15 0.85 -3037.415 6512.063 32.029106 -9549.4779539 881.2715 1.887 -7849.56525 -1047.882375954332 -4073.1140939076604
298.15 CU FE 0.16 0.84 -2740.048 6875.241 32.249838 -9615.289199699999 870.55584 1.8648 -7830.6386 -1089.9276385420173 -3963.4409529722793
298.15 CU FE 0.17 0.83 -2449.663 7229.525 32.464153 -9679.18721695 859.84846 1.8426 -7811.711950000001 -1130.1274135160918 -3854.814347107076
298.15 CU FE 0.18 0.82 -2166.356 7574.911 32.672368 -9741.266519199999 849.14936 1.8204 -7792.7853000000005 -1168.5694517045056 -3747.2444583769134
298.15 CU FE 0.19 0.81 -1890.216 7911.395 32.874764 -9801.6108866 838.45854 1.7982 -7773.85865 -1205.3312553507326 -3640.741732372984
298.15 CU FE 0.2 0.8 -1621.322 8238.974 33.071597 -9860.296645549999 827.776 1.776 -7754.932000000001 -1240.4816826440385 -3535.316889657887
298.15 CU FE 0.21 0.79 -1359.748 8557.644 33.263096 -9917.392072399998 817.10174 1.7538 -7736.00535 -1274.08222978906 -3430.980937967264
298.15 CU FE 0.22 0.78 -1105.561 8867.4 33.449475 -9972.960971249999 806.43576 1.7316 -7717.0787 -1306.188067542519 -3327.745185236259
298.15 CU FE 0.23 0.77 -858.8203 9168.241 33.630927 -10027.06088505 795.77806 1.7094 -7698.152050000001 -1336.8488881016199 -3225.6212535266855
298.15 CU FE 0.24 0.76 -619.5845 9460.161 33.807631 -10079.74518265 785.12864 1.6872 -7679.225399999999 -1366.1096036088943 -3124.6210939394823
298.15 CU FE 0.25 0.75 -387.9066 9743.158 33.979756 -10131.0642514 774.4875 1.665 -7660.29875 -1394.0109271940482 -3024.757002607037
298.15 CU FE 0.26 0.74 -163.8363 10017.23 34.147457 -10181.06430455 763.85464 1.6428 -7641.3721000000005 -1420.5898600324033 -2926.0416378711557
298.15 CU FE 0.27 0.73 52.57945 10282.37 34.310883 -10229.789766449998 753.23006 1.6206 -7622.445449999999 -1445.8801024662048 -2828.488038765331
298.15 CU FE 0.28 0.72 261.2963 10538.58 34.470173 -10277.28207995 742.61376 1.5984 -7603.5188 -1469.9124032129614 -2732.1096449348006
298.15 CU FE 0.29 0.71 462.2723 10785.85 34.625461 -10323.581197149999 732.00574 1.5762 -7584.59215 -1492.7148576699553 -2636.9203181446483
298.15 CU FE 0.3 0.7 655.4671 11024.19 34.776873 -10368.72468495 721.406 1.554 -7565.665499999999 -1514.313164037668 -2542.934365545758
298.15 CU FE 0.31 0.69 840.8424 11253.59 34.924533 -10412.749513949999 710.81454 1.5318 -7546.73885 -1534.730844232385 -2450.1665648908006
298.15 CU FE 0.32 0.68 1018.361 11474.05 35.06856 -10455.691163999998 700.23136 1.5096 -7527.8122 -1553.9894352015579 -2358.632191918398
298.15 CU FE 0.33 0.67 1187.988 11685.57 35.209071 -10497.58451865 689.65646 1.4874 -7508.885549999999 -1572.1086551954763 -2268.347050153687
298.15 CU FE 0.34 0.66 1349.688 11888.15 35.346178 -10538.4629707 679.08984 1.4652 -7489.9589 -1589.1065487133012 -2179.3275034085364
