T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CU GA 0.0 1.0 -11131.13 4500.001 52.427057 -15631.127044549998 0.0 0.0 -11131.13 0.0 -0.0
298.15 CU GA 1.0 0.0 -6240.85 4017.002 34.405002 -10257.8513463 0.0 0.0 -6240.85 0.0 -0.0
298.15 CU GA 0.01 0.99 -11328.9 4231.499 52.189846 -15560.402584899999 0.0 0.0 -11082.2272 -138.82602141683572 -0.0
298.15 CU GA 0.02 0.98 -11504.98 3956.59 51.858368 -15461.572419199998 0.0 0.0 -11033.324399999998 -243.03584172567548 -0.0
298.15 CU GA 0.03 0.97 -11680.29 3675.634 51.504027 -15355.92565005 0.0 0.0 -10984.4216 -334.02154674813943 -0.0
298.15 CU GA 0.04 0.96 -11858.91 3388.99 51.141722 -15247.9044143 0.0 0.0 -10935.518799999998 -416.3281974105132 -0.0
298.15 CU GA 0.05 0.95 -12042.55 3097.016 50.778344 -15139.563263599997 0.0 0.0 -10886.615999999998 -492.11297050679866 -0.0
298.15 CU GA 0.06 0.94 -12232.0 2800.073 50.417803 -15032.067964449998 0.0 0.0 -10837.713199999998 -562.6452650375949 -0.0
298.15 CU GA 0.07 0.93 -12427.64 2498.519 50.062566 -14926.154052899998 0.0 0.0 -10788.810399999998 -628.7628773593874 -0.0
298.15 CU GA 0.08 0.92 -12629.6 2192.713 49.71428 -14822.312581999999 0.0 0.0 -10739.9076 -691.0604007790716 -0.0
298.15 CU GA 0.09 0.91 -12837.87 1883.015 49.37409 -14720.8849335 0.0 0.0 -10691.004799999999 -749.9816351924776 -0.0
298.15 CU GA 0.1 0.9 -13052.33 1569.784 49.042804 -14622.112012599999 0.0 0.0 -10642.101999999999 -805.870345271772 -0.0
298.15 CU GA 0.11 0.89 -13272.79 1253.379 48.720993 -14526.16406295 0.0 0.0 -10593.1992 -859.000492370776 -0.0
298.15 CU GA 0.12 0.88 -13499.0 934.1589 48.409064 -14433.1624316 0.0 0.0 -10544.2964 -909.5953759771999 -0.0
298.15 CU GA 0.13 0.87 -13730.71 612.4834 48.107291 -14343.188811649998 0.0 0.0 -10495.3936 -957.840348132521 -0.0
298.15 CU GA 0.14 0.86 -13967.59 288.7114 47.815854 -14256.296870099999 0.0 0.0 -10446.4908 -1003.8915915105914 -0.0
298.15 CU GA 0.15 0.85 -14209.31 -36.79777 47.534853 -14172.516421949998 0.0 0.0 -10397.588 -1047.882375954332 -0.0
298.15 CU GA 0.16 0.84 -14455.55 -363.685 47.26433 -14091.859989499999 0.0 0.0 -10348.6852 -1089.9276385420173 -0.0
298.15 CU GA 0.17 0.83 -14705.92 -691.5912 47.004275 -14014.324591249999 0.0 0.0 -10299.782399999998 -1130.1274135160918 -0.0
298.15 CU GA 0.18 0.82 -14960.05 -1020.157 46.754637 -13939.895021549999 0.0 0.0 -10250.8796 -1168.5694517045056 -0.0
298.15 CU GA 0.19 0.81 -15217.57 -1349.023 46.515329 -13868.54534135 0.0 0.0 -10201.9768 -1205.3312553507326 -0.0
298.15 CU GA 0.2 0.8 -15478.07 -1677.831 46.286239 -13800.24215785 0.0 0.0 -10153.074 -1240.4816826440385 -0.0
298.15 CU GA 0.21 0.79 -15741.16 -2006.221 46.067227 -13734.94373005 0.0 0.0 -10104.171199999999 -1274.08222978906 -0.0
298.15 CU GA 0.22 0.78 -16006.44 -2333.834 45.858133 -13672.60235395 0.0 0.0 -10055.2684 -1306.188067542519 -0.0
298.15 CU GA 0.23 0.77 -16273.47 -2660.31 45.658779 -13613.16495885 0.0 0.0 -10006.365600000001 -1336.8488881016199 -0.0
298.15 CU GA 0.24 0.76 -16541.86 -2985.291 45.468968 -13556.572809199997 0.0 0.0 -9957.4628 -1366.1096036088943 -0.0
298.15 CU GA 0.25 0.75 -16811.18 -3308.418 45.288494 -13502.764486099999 0.0 0.0 -9908.56 -1394.0109271940482 -0.0
298.15 CU GA 0.26 0.74 -17081.0 -3629.33 45.117135 -13451.673800249999 0.0 0.0 -9859.657199999998 -1420.5898600324033 -0.0
298.15 CU GA 0.27 0.73 -17350.9 -3947.67 44.954658 -13403.231282699999 0.0 0.0 -9810.7544 -1445.8801024662048 -0.0
298.15 CU GA 0.28 0.72 -17620.44 -4263.078 44.800822 -13357.365079299998 0.0 0.0 -9761.8516 -1469.9124032129614 -0.0
298.15 CU GA 0.29 0.71 -17889.19 -4575.194 44.655375 -13314.000056249999 0.0 0.0 -9712.948799999998 -1492.7148576699553 -0.0
298.15 CU GA 0.3 0.7 -18156.72 -4883.66 44.518058 -13273.0589927 0.0 0.0 -9664.045999999998 -1514.313164037668 -0.0
298.15 CU GA 0.31 0.69 -18422.58 -5188.116 44.388606 -13234.4628789 0.0 0.0 -9615.143199999999 -1534.730844232385 -0.0
298.15 CU GA 0.32 0.68 -18686.33 -5488.203 44.266744 -13198.1297236 0.0 0.0 -9566.240399999999 -1553.9894352015579 -0.0
298.15 CU GA 0.33 0.67 -18947.54 -5783.562 44.152194 -13163.9766411 0.0 0.0 -9517.337599999999 -1572.1086551954763 -0.0
298.15 CU GA 0.34 0.66 -19205.75 -6073.834 44.044672 -13131.918956799998 0.0 0.0 -9468.434799999999 -1589.1065487133012 -0.0
298.15 CU GA 0.35 0.65 -19460.53 -6358.66 43.943886 -13101.8696109 0.0 0.0 -9419.532 -1604.9996131775667 -0.0
298.15 CU GA 0.36 0.64 -19711.42 -6637.679 43.849543 -13073.741245449997 0.0 0.0 -9370.6292 -1619.8029098595373 -0.0
298.15 CU GA 0.37 0.63 -19957.98 -6910.534 43.761344 -13047.4447136 0.0 0.0 -9321.7264 -1633.5301611487748 -0.0
298.15 CU GA 0.38 0.62 -20199.75 -7176.865 43.678984 -13022.8890796 0.0 0.0 -9272.8236 -1646.193835911596 -0.0
298.15 CU GA 0.39 0.61 -20436.3 -7436.313 43.602156 -12999.9828114 0.0 0.0 -9223.9208 -1657.8052243977716 -0.0
298.15 CU GA 0.4 0.6 -20667.15 -7688.519 43.53055 -12978.633482499998 0.0 0.0 -9175.018 -1668.3745039196444 -0.0
298.15 CU GA 0.41 0.59 -20891.87 -7933.123 43.46385 -12958.7468775 0.0 0.0 -9126.1152 -1677.9107963326926 -0.0
298.15 CU GA 0.42 0.58 -21109.99 -8169.766 43.401739 -12940.22848285 0.0 0.0 -9077.2124 -1686.4222181834425 -0.0
298.15 CU GA 0.43 0.57 -21321.07 -8398.089 43.343895 -12922.98229425 0.0 0.0 -9028.3096 -1693.9159242532326 -0.0
298.15 CU GA 0.44 0.56 -21524.65 -8617.734 43.289994 -12906.9117111 0.0 0.0 -8979.4068 -1700.3981451097393 -0.0
298.15 CU GA 0.45 0.55 -21720.26 -8828.34 43.239709 -12891.919238349998 0.0 0.0 -8930.504 -1705.8742191782392 -0.0
298.15 CU GA 0.46 0.54 -21907.45 -9029.548 43.192709 -12877.90618835 0.0 0.0 -8881.601200000001 -1710.3486197582595 -0.0
298.15 CU GA 0.47 0.53 -22085.77 -9221.0 43.148661 -12864.773277149998 0.0 0.0 -8832.6984 -1713.8249773357109 -0.0
298.15 CU GA 0.48 0.52 -22254.76 -9402.336 43.107229 -12852.420326349999 0.0 0.0 -8783.795600000001 -1716.3060974737868 -0.0
298.15 CU GA 0.49 0.51 -22413.94 -9573.197 43.068076 -12840.746859399998 0.0 0.0 -8734.8928 -1717.7939745058845 -0.0
298.15 CU GA 0.5 0.5 -22562.87 -9733.224 43.030859 -12829.650610849998 0.0 0.0 -8685.99 -1718.289801199083 -0.0
298.15 CU GA 0.51 0.49 -22701.09 -9882.057 42.995235 -12819.02931525 0.0 0.0 -8637.0872 -1717.7939745058845 -0.0
298.15 CU GA 0.52 0.48 -22828.12 -10019.34 42.960857 -12808.779514549999 0.0 0.0 -8588.184399999998 -1716.3060974737868 -0.0
298.15 CU GA 0.53 0.47 -22943.5 -10144.71 42.927375 -12798.79685625 0.0 0.0 -8539.2816 -1713.8249773357109 -0.0
298.15 CU GA 0.54 0.46 -23046.78 -10257.81 42.894439 -12788.97698785 0.0 0.0 -8490.378799999999 -1710.3486197582595 -0.0
298.15 CU GA 0.55 0.45 -23137.49 -10358.27 42.861692 -12779.213469799999 0.0 0.0 -8441.475999999999 -1705.8742191782392 -0.0
298.15 CU GA 0.56 0.44 -23215.15 -10445.75 42.828779 -12769.400458849997 0.0 0.0 -8392.573199999999 -1700.3981451097393 -0.0
298.15 CU GA 0.57 0.43 -23279.31 -10519.88 42.795338 -12759.4300247 0.0 0.0 -8343.670399999999 -1693.9159242532328 -0.0
298.15 CU GA 0.58 0.42 -23329.5 -10580.31 42.761006 -12749.1939389 0.0 0.0 -8294.7676 -1686.4222181834425 -0.0
298.15 CU GA 0.59 0.41 -23365.24 -10626.66 42.725417 -12738.583078549998 0.0 0.0 -8245.8648 -1677.910796332693 -0.0
298.15 CU GA 0.6 0.4 -23386.08 -10658.59 42.688203 -12727.48772445 0.0 0.0 -8196.962 -1668.3745039196444 -0.0
298.15 CU GA 0.61 0.39 -23391.53 -10675.74 42.648989 -12715.79607035 0.0 0.0 -8148.0592 -1657.8052243977716 -0.0
298.15 CU GA 0.62 0.38 -23381.13 -10677.74 42.607402 -12703.396906299999 0.0 0.0 -8099.1564 -1646.193835911596 -0.0
298.15 CU GA 0.63 0.37 -23354.41 -10664.23 42.56306 -12690.176339 0.0 0.0 -8050.2536 -1633.5301611487748 -0.0
298.15 CU GA 0.64 0.36 -23310.89 -10634.87 42.515582 -12676.020773299999 0.0 0.0 -8001.3508 -1619.8029098595373 -0.0
298.15 CU GA 0.65 0.35 -23250.09 -10589.28 42.46458 -12660.814526999999 0.0 0.0 -7952.448 -1604.9996131775667 -0.0
298.15 CU GA 0.66 0.34 -23171.55 -10527.11 42.409662 -12644.440725299999 0.0 0.0 -7903.5452 -1589.106548713301 -0.0
298.15 CU GA 0.67 0.33 -23074.78 -10448.0 42.350433 -12626.78159895 0.0 0.0 -7854.642400000001 -1572.1086551954763 -0.0
298.15 CU GA 0.68 0.32 -22959.31 -10351.59 42.286493 -12607.717887949999 0.0 0.0 -7805.739599999999 -1553.9894352015576 -0.0
298.15 CU GA 0.69 0.31 -22824.65 -10237.52 42.217435 -12587.12824525 0.0 0.0 -7756.8368 -1534.730844232385 -0.0
298.15 CU GA 0.7 0.3 -22670.33 -10105.44 42.142848 -12564.8901312 0.0 0.0 -7707.934000000001 -1514.313164037668 -0.0
298.15 CU GA 0.71 0.29 -22495.85 -9954.973 42.062315 -12540.879217249998 0.0 0.0 -7659.031199999999 -1492.7148576699553 -0.0
298.15 CU GA 0.72 0.28 -22300.74 -9785.774 41.975412 -12514.969087799998 0.0 0.0 -7610.1284000000005 -1469.9124032129614 -0.0
298.15 CU GA 0.73 0.27 -22084.51 -9597.479 41.881706 -12487.0306439 0.0 0.0 -7561.2256 -1445.8801024662048 -0.0
298.15 CU GA 0.74 0.26 -21846.66 -9389.73 41.78076 -12456.933594 0.0 0.0 -7512.3228 -1420.5898600324033 -0.0
298.15 CU GA 0.75 0.25 -21586.71 -9162.167 41.672123 -12424.54347245 0.0 0.0 -7463.42 -1394.0109271940482 -0.0
298.15 CU GA 0.76 0.24 -21304.16 -8914.431 41.555338 -12389.724024699999 0.0 0.0 -7414.5172 -1366.1096036088943 -0.0
298.15 CU GA 0.77 0.23 -20998.5 -8646.163 41.429936 -12352.335418399998 0.0 0.0 -7365.6144 -1336.8488881016199 -0.0
298.15 CU GA 0.78 0.22 -20669.24 -8357.004 41.295435 -12312.233945249998 0.0 0.0 -7316.7116 -1306.188067542519 -0.0
298.15 CU GA 0.79 0.21 -20315.87 -8046.594 41.151338 -12269.2714247 0.0 0.0 -7267.808800000001 -1274.08222978906 -0.0
298.15 CU GA 0.8 0.2 -19937.87 -7714.574 40.997134 -12223.2955021 0.0 0.0 -7218.905999999999 -1240.4816826440385 -0.0
298.15 CU GA 0.81 0.19 -19534.73 -7360.586 40.832293 -12174.14815795 0.0 0.0 -7170.0032 -1205.3312553507324 -0.0
298.15 CU GA 0.82 0.18 -19105.93 -6984.269 40.656263 -12121.66481345 0.0 0.0 -7121.100400000001 -1168.5694517045058 -0.0
298.15 CU GA 0.83 0.17 -18650.94 -6585.265 40.468468 -12065.6737342 0.0 0.0 -7072.1976 -1130.127413516092 -0.0
298.15 CU GA 0.84 0.16 -18169.21 -6163.215 40.268303 -12005.99453945 0.0 0.0 -7023.294800000001 -1089.9276385420173 -0.0
298.15 CU GA 0.85 0.15 -17660.2 -5717.759 40.055127 -11942.436115049999 0.0 0.0 -6974.392 -1047.882375954332 -0.0
298.15 CU GA 0.86 0.14 -17123.33 -5248.538 39.828261 -11874.796017149998 0.0 0.0 -6925.4892 -1003.8915915105914 -0.0
298.15 CU GA 0.87 0.13 -16558.05 -4755.194 39.586974 -11802.856298099998 0.0 0.0 -6876.5864 -957.840348132521 -0.0
298.15 CU GA 0.88 0.12 -15963.75 -4237.366 39.330473 -11726.380524949998 0.0 0.0 -6827.6836 -909.5953759771999 -0.0
298.15 CU GA 0.89 0.11 -15339.8 -3694.695 39.057889 -11645.10960535 0.0 0.0 -6778.7808 -859.000492370776 -0.0
298.15 CU GA 0.9 0.1 -14685.58 -3126.823 38.768255 -11558.75522825 0.0 0.0 -6729.878 -805.870345271772 -0.0
298.15 CU GA 0.91 0.09 -14000.38 -2533.391 38.460478 -11466.9915157 0.0 0.0 -6680.975200000001 -749.9816351924775 -0.0
298.15 CU GA 0.92 0.08 -13283.48 -1914.038 38.133292 -11369.441009799999 0.0 0.0 -6632.0724 -691.0604007790713 -0.0
298.15 CU GA 0.93 0.07 -12534.06 -1268.407 37.785201 -11265.657678149999 0.0 0.0 -6583.1696 -628.762877359387 -0.0
298.15 CU GA 0.94 0.06 -11751.23 -596.1366 37.414369 -11155.09411735 0.0 0.0 -6534.266800000001 -562.6452650375951 -0.0
298.15 CU GA 0.95 0.05 -10933.92 103.1309 37.018457 -11037.05295455 0.0 0.0 -6485.3640000000005 -492.1129705067989 -0.0
298.15 CU GA 0.96 0.04 -10080.84 829.755 36.594311 -10910.593824649999 0.0 0.0 -6436.461200000001 -416.3281974105133 -0.0
298.15 CU GA 0.97 0.03 -9190.249 1584.095 36.137327 -10774.344045049998 0.0 0.0 -6387.5584 -334.02154674813966 -0.0
298.15 CU GA 0.98 0.02 -8259.534 2366.51 35.639925 -10626.04363875 0.0 0.0 -6338.655600000001 -243.03584172567562 -0.0
298.15 CU GA 0.99 0.01 -7283.685 3177.359 35.086515 -10461.044447249998 0.0 0.0 -6289.7528 -138.82602141683583 -0.0
920.0 CU GA 0.0 1.0 -54914.36 21105.96 82.630781 -76020.31852 0.0 0.0 -54914.36 0.0 -0.0
920.0 CU GA 1.0 0.0 -38340.54 20591.53 64.056594 -58932.06648 0.0 0.0 -38340.54 0.0 -0.0
920.0 CU GA 0.72 0.28 -59241.52 6797.553 71.781601 -66039.07291999999 0.0 0.0 -42981.2096 -4535.701529283665 -0.0
920.0 CU GA 0.73 0.27 -58962.25 6985.533 71.682374 -65947.78408 0.0 0.0 -42815.4714 -4461.545176149282 -0.0
920.0 CU GA 0.74 0.26 -58656.87 7192.967 71.575906 -65849.83352 0.0 0.0 -42649.7332 -4383.50719849006 -0.0
920.0 CU GA 0.75 0.25 -58324.59 7420.216 71.461748 -65744.80816 0.0 0.0 -42483.994999999995 -4301.492715138435 -0.0
