T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CU HF 0.0 1.0 -2998.588 12377.8 51.572669 -15376.391262349998 0.0 0.0 -2998.588 0.0 -0.0
298.15 CU HF 1.0 0.0 -6240.8 4017.002 34.404834 -10257.8012571 0.0 0.0 -6240.8 0.0 -0.0
298.15 CU HF 0.01 0.99 -3375.935 12115.94 51.960011 -15491.87727965 0.0 0.0 -3031.01012 -138.82602141683572 -0.0
298.15 CU HF 0.02 0.98 -3714.502 11857.68 52.229362 -15572.1842803 0.0 0.0 -3063.43224 -243.03584172567548 -0.0
298.15 CU HF 0.03 0.97 -4035.682 11603.02 52.452473 -15638.704824949999 0.0 0.0 -3095.8543600000003 -334.02154674813943 -0.0
298.15 CU HF 0.04 0.96 -4344.019 11351.96 52.644587 -15695.98361405 0.0 0.0 -3128.27648 -416.3281974105132 -0.0
298.15 CU HF 0.05 0.95 -4641.671 11104.51 52.81294 -15746.178060999999 0.0 0.0 -3160.6986 -492.11297050679866 -0.0
298.15 CU HF 0.06 0.94 -4929.906 10860.65 52.961789 -15790.557390349999 0.0 0.0 -3193.12072 -562.6452650375949 -0.0
298.15 CU HF 0.07 0.93 -5209.564 10620.4 53.093945 -15829.959701749998 0.0 0.0 -3225.54284 -628.7628773593874 -0.0
298.15 CU HF 0.08 0.92 -5481.237 10383.74 53.211401 -15864.97920815 0.0 0.0 -3257.9649600000002 -691.0604007790716 -0.0
298.15 CU HF 0.09 0.91 -5745.371 10150.69 53.315646 -15896.059854899999 0.0 0.0 -3290.3870800000004 -749.9816351924776 -0.0
298.15 CU HF 0.1 0.9 -6002.308 9921.238 53.407833 -15923.545408949998 0.0 0.0 -3322.8092 -805.870345271772 -0.0
298.15 CU HF 0.11 0.89 -6252.323 9695.387 53.488881 -15947.709870149998 0.0 0.0 -3355.23132 -859.000492370776 -0.0
298.15 CU HF 0.12 0.88 -6495.639 9473.137 53.55954 -15968.776850999999 0.0 0.0 -3387.65344 -909.5953759771999 -0.0
298.15 CU HF 0.13 0.87 -6732.442 9254.489 53.620429 -15986.930906349999 0.0 0.0 -3420.07556 -957.840348132521 -0.0
298.15 CU HF 0.14 0.86 -6962.888 9039.441 53.672075 -16002.329161249998 0.0 0.0 -3452.49768 -1003.8915915105914 -0.0
298.15 CU HF 0.15 0.85 -7187.109 8827.995 53.714922 -16015.1039943 0.0 0.0 -3484.9198 -1047.882375954332 -0.0
298.15 CU HF 0.16 0.84 -7405.221 8620.15 53.749358 -16025.3710877 0.0 0.0 -3517.34192 -1089.9276385420173 -0.0
298.15 CU HF 0.17 0.83 -7617.325 8415.905 53.775717 -16033.230023549999 0.0 0.0 -3549.76404 -1130.1274135160918 -0.0
298.15 CU HF 0.18 0.82 -7823.506 8215.262 53.794294 -16038.768756099998 0.0 0.0 -3582.18616 -1168.5694517045056 -0.0
298.15 CU HF 0.19 0.81 -8023.844 8018.22 53.805348 -16042.0645062 0.0 0.0 -3614.6082800000004 -1205.3312553507326 -0.0
298.15 CU HF 0.2 0.8 -8218.407 7824.779 53.809111 -16043.186444649999 0.0 0.0 -3647.0304000000006 -1240.4816826440385 -0.0
298.15 CU HF 0.21 0.79 -8407.257 7634.939 53.805789 -16042.195990349997 0.0 0.0 -3679.45252 -1274.08222978906 -0.0
298.15 CU HF 0.22 0.78 -8590.448 7448.701 53.795567 -16039.148301049998 0.0 0.0 -3711.8746400000005 -1306.188067542519 -0.0
298.15 CU HF 0.23 0.77 -8768.03 7266.063 53.778612 -16034.0931678 0.0 0.0 -3744.29676 -1336.8488881016199 -0.0
298.15 CU HF 0.24 0.76 -8940.049 7087.026 53.755073 -16027.07501495 0.0 0.0 -3776.71888 -1366.1096036088943 -0.0
298.15 CU HF 0.25 0.75 -9106.545 6911.591 53.725089 -16018.135285349998 0.0 0.0 -3809.1410000000005 -1394.0109271940482 -0.0
298.15 CU HF 0.26 0.74 -9267.554 6739.756 53.688783 -16007.31065145 0.0 0.0 -3841.5631200000003 -1420.5898600324033 -0.0
298.15 CU HF 0.27 0.73 -9423.112 6571.523 53.646267 -15994.634506049999 0.0 0.0 -3873.98524 -1445.8801024662048 -0.0
298.15 CU HF 0.28 0.72 -9573.248 6406.891 53.597646 -15980.138154899998 0.0 0.0 -3906.40736 -1469.9124032129614 -0.0
298.15 CU HF 0.29 0.71 -9717.99 6245.859 53.543013 -15963.84932595 0.0 0.0 -3938.82948 -1492.7148576699553 -0.0
298.15 CU HF 0.3 0.7 -9857.365 6088.429 53.482454 -15945.793660099998 0.0 0.0 -3971.2515999999996 -1514.313164037668 -0.0
298.15 CU HF 0.31 0.69 -9991.395 5934.6 53.416049 -15925.99500935 0.0 0.0 -4003.6737200000002 -1534.730844232385 -0.0
298.15 CU HF 0.32 0.68 -10120.1 5784.372 53.343869 -15904.474542349999 0.0 0.0 -4036.09584 -1553.9894352015579 -0.0
298.15 CU HF 0.33 0.67 -10243.51 5637.745 53.265981 -15881.252235149997 0.0 0.0 -4068.51796 -1572.1086551954763 -0.0
298.15 CU HF 0.34 0.66 -10361.63 5494.719 53.182446 -15856.3462749 0.0 0.0 -4100.94008 -1589.1065487133012 -0.0
298.15 CU HF 0.35 0.65 -10474.48 5355.295 53.093318 -15829.772761699998 0.0 0.0 -4133.3622 -1604.9996131775667 -0.0
298.15 CU HF 0.36 0.64 -10582.08 5219.471 52.998648 -15801.5469012 0.0 0.0 -4165.784320000001 -1619.8029098595373 -0.0
298.15 CU HF 0.37 0.63 -10684.43 5087.248 52.898483 -15771.682706449998 0.0 0.0 -4198.20644 -1633.5301611487748 -0.0
298.15 CU HF 0.38 0.62 -10781.57 4958.627 52.792863 -15740.192103449997 0.0 0.0 -4230.62856 -1646.193835911596 -0.0
298.15 CU HF 0.39 0.61 -10873.48 4833.606 52.681827 -15707.086720049998 0.0 0.0 -4263.05068 -1657.8052243977716 -0.0
298.15 CU HF 0.4 0.6 -10960.19 4712.187 52.565409 -15672.37669335 0.0 0.0 -4295.4728000000005 -1668.3745039196444 -0.0
298.15 CU HF 0.41 0.59 -11041.7 4594.369 52.44364 -15636.071265999999 0.0 0.0 -4327.894920000001 -1677.9107963326926 -0.0
298.15 CU HF 0.42 0.58 -11118.03 4480.151 52.316547 -15598.178488049998 0.0 0.0 -4360.31704 -1686.4222181834425 -0.0
298.15 CU HF 0.43 0.57 -11189.17 4369.535 52.184153 -15558.70521695 0.0 0.0 -4392.73916 -1693.9159242532326 -0.0
298.15 CU HF 0.44 0.56 -11255.14 4262.52 52.04648 -15517.658012 0.0 0.0 -4425.16128 -1700.3981451097393 -0.0
298.15 CU HF 0.45 0.55 -11315.94 4159.106 51.903546 -15475.042239899998 0.0 0.0 -4457.5834 -1705.8742191782392 -0.0
298.15 CU HF 0.46 0.54 -11371.57 4059.293 51.755365 -15430.862074749999 0.0 0.0 -4490.005520000001 -1710.3486197582595 -0.0
298.15 CU HF 0.47 0.53 -11422.04 3963.082 51.60195 -15385.1213925 0.0 0.0 -4522.42764 -1713.8249773357109 -0.0
298.15 CU HF 0.48 0.52 -11467.35 3870.471 51.443311 -15337.823174649999 0.0 0.0 -4554.84976 -1716.3060974737868 -0.0
298.15 CU HF 0.49 0.51 -11507.51 3781.461 51.279453 -15288.968911949998 0.0 0.0 -4587.27188 -1717.7939745058845 -0.0
298.15 CU HF 0.5 0.5 -11542.51 3696.053 51.110381 -15238.560095149998 0.0 0.0 -4619.694 -1718.289801199083 -0.0
298.15 CU HF 0.51 0.49 -11572.35 3614.245 50.936096 -15186.5970224 0.0 0.0 -4652.116120000001 -1717.7939745058845 -0.0
298.15 CU HF 0.52 0.48 -11597.04 3536.039 50.756597 -15133.07939555 0.0 0.0 -4684.53824 -1716.3060974737868 -0.0
298.15 CU HF 0.53 0.47 -11616.57 3461.434 50.57188 -15078.006022 0.0 0.0 -4716.96036 -1713.8249773357109 -0.0
298.15 CU HF 0.54 0.46 -11630.95 3390.429 50.381938 -15021.374814699999 0.0 0.0 -4749.38248 -1710.3486197582595 -0.0
298.15 CU HF 0.55 0.45 -11640.16 3323.026 50.186762 -14963.1830903 0.0 0.0 -4781.8046 -1705.8742191782392 -0.0
298.15 CU HF 0.56 0.44 -11644.2 3259.224 49.98634 -14903.427270999999 0.0 0.0 -4814.226720000001 -1700.3981451097393 -0.0
298.15 CU HF 0.57 0.43 -11643.08 3199.023 49.780656 -14842.102586399998 0.0 0.0 -4846.64884 -1693.9159242532328 -0.0
298.15 CU HF 0.58 0.42 -11636.78 3142.423 49.569693 -14779.20396795 0.0 0.0 -4879.07096 -1686.4222181834425 -0.0
