T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CU SC 0.0 1.0 -8654.576 1979.731 35.66764 -10634.306865999999 0.0 0.0 -8654.576 0.0 -0.0
298.15 CU SC 1.0 0.0 -6240.85 4017.002 34.405002 -10257.8513463 0.0 0.0 -6240.85 0.0 -0.0
298.15 CU SC 0.01 0.99 -8709.855 2059.514 36.120639 -10769.368517849998 0.0 0.0 -8630.438739999998 -138.82602141683572 -0.0
298.15 CU SC 0.02 0.98 -8731.718 2138.096 36.457535 -10869.814060249999 0.0 0.0 -8606.301479999998 -243.03584172567548 -0.0
298.15 CU SC 0.03 0.97 -8741.557 2215.478 36.750076 -10957.035159399999 0.0 0.0 -8582.164219999999 -334.02154674813943 -0.0
298.15 CU SC 0.04 0.96 -8743.917 2291.66 37.013508 -11035.5774102 0.0 0.0 -8558.02696 -416.3281974105132 -0.0
298.15 CU SC 0.05 0.95 -8740.956 2366.642 37.255065 -11107.59762975 0.0 0.0 -8533.889699999998 -492.11297050679866 -0.0
298.15 CU SC 0.06 0.94 -8733.942 2440.424 37.479006 -11174.365638899999 0.0 0.0 -8509.752439999998 -562.6452650375949 -0.0
298.15 CU SC 0.07 0.93 -8723.714 2513.005 37.688139 -11236.718642849999 0.0 0.0 -8485.615179999999 -628.7628773593874 -0.0
298.15 CU SC 0.08 0.92 -8710.866 2584.386 37.88446 -11295.251749 0.0 0.0 -8461.47792 -691.0604007790716 -0.0
298.15 CU SC 0.09 0.91 -8695.841 2654.567 38.069457 -11350.408604549999 0.0 0.0 -8437.34066 -749.9816351924776 -0.0
298.15 CU SC 0.1 0.9 -8678.985 2723.548 38.244282 -11402.532678299998 0.0 0.0 -8413.203399999999 -805.870345271772 -0.0
298.15 CU SC 0.11 0.89 -8660.57 2791.329 38.409855 -11451.89826825 0.0 0.0 -8389.066139999999 -859.000492370776 -0.0
298.15 CU SC 0.12 0.88 -8640.82 2857.909 38.566925 -11498.728688749998 0.0 0.0 -8364.92888 -909.5953759771999 -0.0
298.15 CU SC 0.13 0.87 -8619.92 2923.289 38.716113 -11543.209090949998 0.0 0.0 -8340.79162 -957.840348132521 -0.0
298.15 CU SC 0.14 0.86 -8598.027 2987.469 38.857944 -11585.4960036 0.0 0.0 -8316.65436 -1003.8915915105914 -0.0
298.15 CU SC 0.15 0.85 -8575.273 3050.449 38.992864 -11625.722401599998 0.0 0.0 -8292.5171 -1047.882375954332 -0.0
298.15 CU SC 0.16 0.84 -8551.774 3112.229 39.121258 -11664.003072699998 0.0 0.0 -8268.379839999998 -1089.9276385420173 -0.0
298.15 CU SC 0.17 0.83 -8527.63 3172.808 39.243462 -11700.4381953 0.0 0.0 -8244.242579999998 -1130.1274135160918 -0.0
298.15 CU SC 0.18 0.82 -8502.929 3232.187 39.359771 -11735.11572365 0.0 0.0 -8220.105319999999 -1168.5694517045056 -0.0
298.15 CU SC 0.19 0.81 -8477.747 3290.366 39.470445 -11768.11317675 0.0 0.0 -8195.96806 -1205.3312553507326 -0.0
298.15 CU SC 0.2 0.8 -8452.154 3347.345 39.575714 -11799.499129099999 0.0 0.0 -8171.8308 -1240.4816826440385 -0.0
298.15 CU SC 0.21 0.79 -8426.211 3403.124 39.675784 -11829.3349996 0.0 0.0 -8147.69354 -1274.08222978906 -0.0
298.15 CU SC 0.22 0.78 -8399.974 3457.702 39.770841 -11857.676244149998 0.0 0.0 -8123.55628 -1306.188067542519 -0.0
298.15 CU SC 0.23 0.77 -8373.492 3511.08 39.861052 -11884.5726538 0.0 0.0 -8099.419019999999 -1336.8488881016199 -0.0
298.15 CU SC 0.24 0.76 -8346.811 3563.258 39.946567 -11910.06895105 0.0 0.0 -8075.28176 -1366.1096036088943 -0.0
298.15 CU SC 0.25 0.75 -8319.97 3614.236 40.027522 -11934.2056843 0.0 0.0 -8051.1444999999985 -1394.0109271940482 -0.0
298.15 CU SC 0.26 0.74 -8293.006 3664.014 40.104042 -11957.020122299999 0.0 0.0 -8027.007239999999 -1420.5898600324033 -0.0
298.15 CU SC 0.27 0.73 -8265.955 3712.591 40.176239 -11978.54565785 0.0 0.0 -8002.8699799999995 -1445.8801024662048 -0.0
298.15 CU SC 0.28 0.72 -8238.845 3759.968 40.244218 -11998.813596699998 0.0 0.0 -7978.732719999999 -1469.9124032129614 -0.0
298.15 CU SC 0.29 0.71 -8211.706 3806.145 40.308071 -12017.85136865 0.0 0.0 -7954.595459999999 -1492.7148576699553 -0.0
298.15 CU SC 0.3 0.7 -8184.563 3851.122 40.367886 -12035.6852109 0.0 0.0 -7930.458199999999 -1514.313164037668 -0.0
298.15 CU SC 0.31 0.69 -8157.44 3894.899 40.423741 -12052.338379149998 0.0 0.0 -7906.32094 -1534.730844232385 -0.0
298.15 CU SC 0.32 0.68 -8130.357 3937.475 40.475709 -12067.832638349999 0.0 0.0 -7882.183679999999 -1553.9894352015579 -0.0
298.15 CU SC 0.33 0.67 -8103.336 3978.851 40.523854 -12082.187070099999 0.0 0.0 -7858.046419999999 -1572.1086551954763 -0.0
