T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CU SI 0.0 1.0 34683.41 47000.0 41.310031 -12316.58574265 0.0 0.0 34683.41 0.0 -0.0
298.15 CU SI 1.0 0.0 -6240.85 4017.002 34.405002 -10257.8513463 0.0 0.0 -6240.85 0.0 -0.0
298.15 CU SI 0.01 0.99 34778.1 47134.69 41.444233 -12356.598068949997 0.0 0.0 34274.167400000006 -138.82602141683572 -0.0
298.15 CU SI 0.02 0.98 34859.65 47224.58 41.472172 -12364.928081799999 0.0 0.0 33864.9248 -243.03584172567548 -0.0
298.15 CU SI 0.03 0.97 34907.76 47270.68 41.46546 -12362.926898999998 0.0 0.0 33455.6822 -334.02154674813943 -0.0
298.15 CU SI 0.04 0.96 34918.93 47274.02 41.439201 -12355.097778149999 0.0 0.0 33046.439600000005 -416.3281974105132 -0.0
298.15 CU SI 0.05 0.95 34892.07 47235.62 41.400491 -12343.55639165 0.0 0.0 32637.197000000004 -492.11297050679866 -0.0
298.15 CU SI 0.06 0.94 34826.98 47156.51 41.353449 -12329.530819349999 0.0 0.0 32227.9544 -562.6452650375949 -0.0
298.15 CU SI 0.07 0.93 34723.88 47037.69 41.300747 -12313.817718049999 0.0 0.0 31818.7118 -628.7628773593874 -0.0
298.15 CU SI 0.08 0.92 34583.24 46880.21 41.244239 -12296.96985785 0.0 0.0 31409.469200000003 -691.0604007790716 -0.0
298.15 CU SI 0.09 0.91 34405.69 46685.08 41.185274 -12279.389443099999 0.0 0.0 31000.2266 -749.9816351924776 -0.0
298.15 CU SI 0.1 0.9 34191.93 46453.31 41.124868 -12261.3793942 0.0 0.0 30590.984000000004 -805.870345271772 -0.0
298.15 CU SI 0.11 0.89 33942.77 46185.95 41.063799 -12243.17167185 0.0 0.0 30181.741400000003 -859.000492370776 -0.0
298.15 CU SI 0.12 0.88 33659.05 45884.0 41.002678 -12224.9484457 0.0 0.0 29772.4988 -909.5953759771999 -0.0
298.15 CU SI 0.13 0.87 33341.64 45548.49 40.941988 -12206.8537222 0.0 0.0 29363.256200000003 -957.840348132521 -0.0
298.15 CU SI 0.14 0.86 32991.44 45180.44 40.882113 -12189.001990949999 0.0 0.0 28954.013600000002 -1003.8915915105914 -0.0
298.15 CU SI 0.15 0.85 32609.4 44780.88 40.823361 -12171.485082149999 0.0 0.0 28544.771000000004 -1047.882375954332 -0.0
298.15 CU SI 0.16 0.84 32196.45 44350.83 40.765978 -12154.376340699999 0.0 0.0 28135.528400000003 -1089.9276385420173 -0.0
298.15 CU SI 0.17 0.83 31753.57 43891.31 40.710162 -12137.734800299999 0.0 0.0 27726.2858 -1130.1274135160918 -0.0
298.15 CU SI 0.18 0.82 31281.73 43403.34 40.656068 -12121.606674199998 0.0 0.0 27317.043200000007 -1168.5694517045056 -0.0
298.15 CU SI 0.19 0.81 30781.92 42887.95 40.603816 -12106.027740399999 0.0 0.0 26907.800600000006 -1205.3312553507326 -0.0
298.15 CU SI 0.2 0.8 30255.13 42346.15 40.553498 -12091.025428699999 0.0 0.0 26498.558000000005 -1240.4816826440385 -0.0
298.15 CU SI 0.21 0.79 29702.36 41778.98 40.505183 -12076.62031145 0.0 0.0 26089.315400000003 -1274.08222978906 -0.0
298.15 CU SI 0.22 0.78 29124.62 41187.45 40.458915 -12062.825507249998 0.0 0.0 25680.0728 -1306.188067542519 -0.0
298.15 CU SI 0.23 0.77 28522.93 40572.58 40.414722 -12049.649364299998 0.0 0.0 25270.830200000004 -1336.8488881016199 -0.0
298.15 CU SI 0.24 0.76 27898.31 39935.4 40.372617 -12037.095758549998 0.0 0.0 24861.587600000003 -1366.1096036088943 -0.0
298.15 CU SI 0.25 0.75 27251.77 39276.94 40.332596 -12025.163497399999 0.0 0.0 24452.345 -1394.0109271940482 -0.0
298.15 CU SI 0.26 0.74 26584.36 38598.2 40.294646 -12013.8487049 0.0 0.0 24043.102400000003 -1420.5898600324033 -0.0
298.15 CU SI 0.27 0.73 25897.08 37900.23 40.258738 -12003.142734699999 0.0 0.0 23633.859800000002 -1445.8801024662048 -0.0
298.15 CU SI 0.28 0.72 25190.99 37184.03 40.224839 -11993.03574785 0.0 0.0 23224.6172 -1469.9124032129614 -0.0
298.15 CU SI 0.29 0.71 24467.12 36450.63 40.192903 -11983.51402945 0.0 0.0 22815.374600000003 -1492.7148576699553 -0.0
298.15 CU SI 0.3 0.7 23726.5 35701.06 40.162878 -11974.5620757 0.0 0.0 22406.132 -1514.313164037668 -0.0
298.15 CU SI 0.31 0.69 22970.17 34936.33 40.134703 -11966.16169945 0.0 0.0 21996.8894 -1534.730844232385 -0.0
298.15 CU SI 0.32 0.68 22199.18 34157.47 40.108311 -11958.292924649999 0.0 0.0 21587.6468 -1553.9894352015579 -0.0
298.15 CU SI 0.33 0.67 21414.57 33365.5 40.08363 -11950.9342845 0.0 0.0 21178.404199999997 -1572.1086551954763 -0.0
298.15 CU SI 0.34 0.66 20617.39 32561.45 40.060581 -11944.062225149999 0.0 0.0 20769.1616 -1589.1065487133012 -0.0
298.15 CU SI 0.35 0.65 19808.68 31746.33 40.03908 -11937.651702 0.0 0.0 20359.919 -1604.9996131775667 -0.0
298.15 CU SI 0.36 0.64 18989.5 30921.17 40.01904 -11931.676775999998 0.0 0.0 19950.676400000004 -1619.8029098595373 -0.0
298.15 CU SI 0.37 0.63 18160.89 30087.0 40.000367 -11926.109421049998 0.0 0.0 19541.433800000003 -1633.5301611487748 -0.0
298.15 CU SI 0.38 0.62 17323.9 29244.82 39.982963 -11920.920418449998 0.0 0.0 19132.1912 -1646.193835911596 -0.0
298.15 CU SI 0.39 0.61 16479.59 28395.67 39.966729 -11916.080251349998 0.0 0.0 18722.948600000003 -1657.8052243977716 -0.0
298.15 CU SI 0.4 0.6 15629.02 27540.58 39.951558 -11911.557017699999 0.0 0.0 18313.706000000002 -1668.3745039196444 -0.0
298.15 CU SI 0.41 0.59 14773.23 26680.55 39.937343 -11907.318815449999 0.0 0.0 17904.463400000004 -1677.9107963326926 -0.0
298.15 CU SI 0.42 0.58 13913.29 25816.62 39.923971 -11903.33195365 0.0 0.0 17495.220800000006 -1686.4222181834425 -0.0
298.15 CU SI 0.43 0.57 13050.24 24949.8 39.911328 -11899.562443199999 0.0 0.0 17085.978200000005 -1693.9159242532326 -0.0
298.15 CU SI 0.44 0.56 12185.15 24081.12 39.899296 -11895.9751024 0.0 0.0 16676.735600000007 -1700.3981451097393 -0.0
298.15 CU SI 0.45 0.55 11319.08 23211.61 39.887754 -11892.533855099999 0.0 0.0 16267.493000000002 -1705.8742191782392 -0.0
298.15 CU SI 0.46 0.54 10453.08 22342.28 39.876576 -11889.201134399998 0.0 0.0 15858.2504 -1710.3486197582595 -0.0
298.15 CU SI 0.47 0.53 9588.215 21474.16 39.865638 -11885.939969699999 0.0 0.0 15449.007800000001 -1713.8249773357109 -0.0
298.15 CU SI 0.48 0.52 8725.55 20608.26 39.854809 -11882.71130335 0.0 0.0 15039.765200000002 -1716.3060974737868 -0.0
298.15 CU SI 0.49 0.51 7866.143 19745.62 39.843956 -11879.475481399999 0.0 0.0 14630.522600000002 -1717.7939745058845 -0.0
298.15 CU SI 0.5 0.5 7011.058 18887.25 39.832946 -11876.192849899999 0.0 0.0 14221.280000000002 -1718.289801199083 -0.0
298.15 CU SI 0.51 0.49 6161.358 18034.18 39.82164 -11872.821966 0.0 0.0 13812.037400000001 -1717.7939745058845 -0.0
298.15 CU SI 0.52 0.48 5318.107 17187.43 39.809897 -11869.320790549998 0.0 0.0 13402.794800000001 -1716.3060974737868 -0.0
298.15 CU SI 0.53 0.47 4482.371 16348.02 39.797575 -11865.64698625 0.0 0.0 12993.5522 -1713.8249773357109 -0.0
298.15 CU SI 0.54 0.46 3655.216 15516.97 39.784529 -11861.757321349998 0.0 0.0 12584.3096 -1710.3486197582595 -0.0
298.15 CU SI 0.55 0.45 2837.709 14695.32 39.770609 -11857.60707335 0.0 0.0 12175.067 -1705.8742191782392 -0.0
298.15 CU SI 0.56 0.44 2030.917 13884.07 39.755665 -11853.15151975 0.0 0.0 11765.8244 -1700.3981451097393 -0.0
298.15 CU SI 0.57 0.43 1235.908 13084.25 39.739542 -11848.3444473 0.0 0.0 11356.581800000004 -1693.9159242532328 -0.0
298.15 CU SI 0.58 0.42 453.7522 12296.89 39.722084 -11843.1393446 0.0 0.0 10947.339200000004 -1686.4222181834425 -0.0
298.15 CU SI 0.59 0.41 -314.4804 11523.01 39.703131 -11837.48850765 0.0 0.0 10538.096600000003 -1677.910796332693 -0.0
298.15 CU SI 0.6 0.4 -1067.719 10763.62 39.68252 -11831.343337999999 0.0 0.0 10128.854000000001 -1668.3745039196444 -0.0
298.15 CU SI 0.61 0.39 -1804.891 10019.76 39.660084 -11824.654044599998 0.0 0.0 9719.611400000002 -1657.8052243977716 -0.0
298.15 CU SI 0.62 0.38 -2524.923 9292.447 39.635655 -11817.37053825 0.0 0.0 9310.3688 -1646.193835911596 -0.0
298.15 CU SI 0.63 0.37 -3226.742 8582.699 39.609058 -11809.440642699998 0.0 0.0 8901.1262 -1633.5301611487748 -0.0
298.15 CU SI 0.64 0.36 -3909.272 7891.54 39.580117 -11800.811883549999 0.0 0.0 8491.883600000001 -1619.8029098595373 -0.0
298.15 CU SI 0.65 0.35 -4571.436 7219.994 39.548651 -11791.43029565 0.0 0.0 8082.641000000001 -1604.9996131775667 -0.0
298.15 CU SI 0.66 0.34 -5212.157 6569.084 39.514476 -11781.2410194 0.0 0.0 7673.398399999999 -1589.106548713301 -0.0
298.15 CU SI 0.67 0.33 -5830.357 5939.83 39.477401 -11770.18710815 0.0 0.0 7264.155799999999 -1572.1086551954763 -0.0
298.15 CU SI 0.68 0.32 -6424.953 5333.258 39.437232 -11758.2107208 0.0 0.0 6854.913199999999 -1553.9894352015576 -0.0
