T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CU TI 0.0 1.0 -4597.55 6475.8 37.1402 -11073.350629999999 0.0 0.0 -4597.55 0.0 -0.0
298.15 CU TI 1.0 0.0 -6240.85 4017.002 34.405002 -10257.8513463 0.0 0.0 -6240.85 0.0 -0.0
298.15 CU TI 0.01 0.99 -4719.258 6484.764 37.578473 -11204.02172495 0.0 0.0 -4613.983 -138.82602141683572 -0.0
298.15 CU TI 0.02 0.98 -4807.028 6493.049 37.900643 -11300.07671045 0.0 0.0 -4630.416 -243.03584172567548 -0.0
298.15 CU TI 0.03 0.97 -4882.251 6500.656 38.178459 -11382.907550849997 0.0 0.0 -4646.849 -334.02154674813943 -0.0
298.15 CU TI 0.04 0.96 -4949.473 6507.586 38.427165 -11457.05924475 0.0 0.0 -4663.282 -416.3281974105132 -0.0
298.15 CU TI 0.05 0.95 -5010.851 6513.838 38.653997 -11524.689205549997 0.0 0.0 -4679.715 -492.11297050679866 -0.0
298.15 CU TI 0.06 0.94 -5067.654 6519.412 38.863211 -11587.06635965 0.0 0.0 -4696.148 -562.6452650375949 -0.0
298.15 CU TI 0.07 0.93 -5120.721 6524.308 39.057619 -11645.02910485 0.0 0.0 -4712.581 -628.7628773593874 -0.0
298.15 CU TI 0.08 0.92 -5170.645 6528.527 39.239215 -11699.171952249999 0.0 0.0 -4729.014 -691.0604007790716 -0.0
298.15 CU TI 0.09 0.91 -5217.87 6532.068 39.409486 -11749.938250899999 0.0 0.0 -4745.447 -749.9816351924776 -0.0
298.15 CU TI 0.1 0.9 -5262.741 6534.931 39.569585 -11797.671767749998 0.0 0.0 -4761.88 -805.870345271772 -0.0
298.15 CU TI 0.11 0.89 -5305.531 6537.116 39.720433 -11842.64709895 0.0 0.0 -4778.313 -859.000492370776 -0.0
298.15 CU TI 0.12 0.88 -5346.464 6538.623 39.862777 -11885.08696255 0.0 0.0 -4794.746 -909.5953759771999 -0.0
298.15 CU TI 0.13 0.87 -5385.725 6539.452 39.99724 -11925.177106 0.0 0.0 -4811.179 -957.840348132521 -0.0
298.15 CU TI 0.14 0.86 -5423.469 6539.604 40.124345 -11963.073461749998 0.0 0.0 -4827.612 -1003.8915915105914 -0.0
298.15 CU TI 0.15 0.85 -5459.831 6539.078 40.244539 -11998.90930285 0.0 0.0 -4844.045 -1047.882375954332 -0.0
298.15 CU TI 0.16 0.84 -5494.925 6537.874 40.358208 -12032.799715199999 0.0 0.0 -4860.478 -1089.9276385420173 -0.0
298.15 CU TI 0.17 0.83 -5528.852 6535.993 40.465687 -12064.844579049999 0.0 0.0 -4876.911 -1130.1274135160918 -0.0
298.15 CU TI 0.18 0.82 -5561.698 6533.433 40.56727 -12095.131550499998 0.0 0.0 -4893.344000000001 -1168.5694517045056 -0.0
298.15 CU TI 0.19 0.81 -5593.543 6530.196 40.663218 -12123.7384467 0.0 0.0 -4909.777 -1205.3312553507326 -0.0
298.15 CU TI 0.2 0.8 -5624.453 6526.281 40.753761 -12150.733842149999 0.0 0.0 -4926.210000000001 -1240.4816826440385 -0.0
298.15 CU TI 0.21 0.79 -5654.492 6521.688 40.839106 -12176.1794539 0.0 0.0 -4942.643 -1274.08222978906 -0.0
298.15 CU TI 0.22 0.78 -5683.713 6516.417 40.919438 -12200.130439699999 0.0 0.0 -4959.076000000001 -1306.188067542519 -0.0
298.15 CU TI 0.23 0.77 -5712.168 6510.469 40.994923 -12222.636292449999 0.0 0.0 -4975.509 -1336.8488881016199 -0.0
298.15 CU TI 0.24 0.76 -5739.9 6503.842 41.065712 -12243.742032799999 0.0 0.0 -4991.942000000001 -1366.1096036088943 -0.0
298.15 CU TI 0.25 0.75 -5766.95 6496.538 41.131941 -12263.488209149999 0.0 0.0 -5008.375 -1394.0109271940482 -0.0
298.15 CU TI 0.26 0.74 -5793.356 6488.556 41.193736 -12281.9123884 0.0 0.0 -5024.808 -1420.5898600324033 -0.0
298.15 CU TI 0.27 0.73 -5819.151 6479.897 41.251208 -12299.047665199998 0.0 0.0 -5041.241 -1445.8801024662048 -0.0
298.15 CU TI 0.28 0.72 -5844.366 6470.559 41.304461 -12314.92504715 0.0 0.0 -5057.674 -1469.9124032129614 -0.0
298.15 CU TI 0.29 0.71 -5869.029 6460.544 41.353589 -12329.57256035 0.0 0.0 -5074.107 -1492.7148576699553 -0.0
298.15 CU TI 0.3 0.7 -5893.165 6449.851 41.398678 -12343.015845699998 0.0 0.0 -5090.54 -1514.313164037668 -0.0
298.15 CU TI 0.31 0.69 -5916.799 6438.48 41.439807 -12355.278457049999 0.0 0.0 -5106.973 -1534.730844232385 -0.0
