T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 DY HO 0.0 1.0 -18730.64 4380.0 77.513453 -23110.63601195 0.0 0.0 -18730.64 0.0 -0.0
298.15 DY HO 1.0 0.0 -20997.4 1565.429 75.67611 -22562.832196499996 0.0 0.0 -20997.4 0.0 -0.0
298.15 DY HO 0.01 0.99 -18892.13 4351.855 77.960705 -23243.98419575 0.0 0.0 -18753.307599999996 -138.82602141683572 -0.0
298.15 DY HO 0.02 0.98 -19019.01 4323.709 78.291853 -23342.715971949998 0.0 0.0 -18775.9752 -243.03584172567548 -0.0
298.15 DY HO 0.03 0.97 -19132.66 4295.563 78.578648 -23428.2239012 0.0 0.0 -18798.642799999998 -334.02154674813943 -0.0
298.15 DY HO 0.04 0.96 -19237.64 4267.417 78.836333 -23505.052683949998 0.0 0.0 -18821.3104 -416.3281974105132 -0.0
298.15 DY HO 0.05 0.95 -19336.09 4239.272 79.072143 -23575.35943545 0.0 0.0 -18843.978 -492.11297050679866 -0.0
298.15 DY HO 0.06 0.94 -19429.29 4211.126 79.290336 -23640.413678399997 0.0 0.0 -18866.6456 -562.6452650375949 -0.0
298.15 DY HO 0.07 0.93 -19518.07 4182.98 79.493723 -23701.05351245 0.0 0.0 -18889.313199999997 -628.7628773593874 -0.0
298.15 DY HO 0.08 0.92 -19603.04 4154.835 79.684296 -23757.8728524 0.0 0.0 -18911.9808 -691.0604007790716 -0.0
298.15 DY HO 0.09 0.91 -19684.63 4126.689 79.863546 -23811.3162399 0.0 0.0 -18934.6484 -749.9816351924776 -0.0
298.15 DY HO 0.1 0.9 -19763.18 4098.543 80.032624 -23861.7268456 0.0 0.0 -18957.316000000003 -805.870345271772 -0.0
298.15 DY HO 0.11 0.89 -19838.98 4070.397 80.192451 -23909.37926565 0.0 0.0 -18979.9836 -859.000492370776 -0.0
