T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 DY ZN 0.0 1.0 -10273.5 2886.96 44.1404 -13160.460259999998 0.0 0.0 -10273.5 0.0 -0.0
298.15 DY ZN 1.0 0.0 -20997.4 1565.429 75.67611 -22562.832196499996 0.0 0.0 -20997.4 0.0 -0.0
298.15 DY ZN 0.01 0.99 -10976.89 2425.275 44.951083 -13402.165396449998 0.0 0.0 -10380.739 -138.82602141683572 -0.0
298.15 DY ZN 0.02 0.98 -11636.43 1972.65 45.645062 -13609.0752353 0.0 0.0 -10487.978000000001 -243.03584172567548 -0.0
298.15 DY ZN 0.03 0.97 -12273.5 1529.084 46.294087 -13802.582039049998 0.0 0.0 -10595.217 -334.02154674813943 -0.0
298.15 DY ZN 0.04 0.96 -12892.65 1094.579 46.913402 -13987.230806299998 0.0 0.0 -10702.456 -416.3281974105132 -0.0
298.15 DY ZN 0.05 0.95 -13496.05 669.1339 47.510243 -14165.17895045 0.0 0.0 -10809.695 -492.11297050679866 -0.0
298.15 DY ZN 0.06 0.94 -14084.95 252.7485 48.088867 -14337.69569605 0.0 0.0 -10916.934000000001 -562.6452650375949 -0.0
298.15 DY ZN 0.07 0.93 -14660.2 -154.5768 48.652084 -14505.6188446 0.0 0.0 -11024.172999999999 -628.7628773593874 -0.0
298.15 DY ZN 0.08 0.92 -15222.38 -552.8421 49.201888 -14669.542907199999 0.0 0.0 -11131.412 -691.0604007790716 -0.0
298.15 DY ZN 0.09 0.91 -15771.96 -942.0474 49.739768 -14829.911829199998 0.0 0.0 -11238.651 -749.9816351924776 -0.0
298.15 DY ZN 0.1 0.9 -16309.26 -1322.193 50.266877 -14987.069377549999 0.0 0.0 -11345.89 -805.870345271772 -0.0
298.15 DY ZN 0.11 0.89 -16834.57 -1693.278 50.784134 -15141.2895521 0.0 0.0 -11453.129 -859.000492370776 -0.0
298.15 DY ZN 0.12 0.88 -17348.1 -2055.303 51.292287 -15292.79536905 0.0 0.0 -11560.368 -909.5953759771999 -0.0
298.15 DY ZN 0.13 0.87 -17850.04 -2408.269 51.791959 -15441.772575849998 0.0 0.0 -11667.607 -957.840348132521 -0.0
298.15 DY ZN 0.14 0.86 -18340.55 -2752.174 52.283673 -15588.37710495 0.0 0.0 -11774.846 -1003.8915915105914 -0.0
298.15 DY ZN 0.15 0.85 -18819.76 -3087.019 52.767876 -15732.742229399999 0.0 0.0 -11882.085000000001 -1047.882375954332 -0.0
298.15 DY ZN 0.16 0.84 -19287.79 -3412.805 53.244953 -15874.98273695 0.0 0.0 -11989.324 -1089.9276385420173 -0.0
