T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 FE BI 0.0 1.0 -8133.465 -0.0297885 27.279676 -8133.435399399999 1043.0 2.22 -8133.465 0.0 -5837.568155846089
298.15 FE BI 1.0 0.0 -9762.825 11297.0 70.635001 -21059.82554815 1.043e-09 2.22e-12 -9762.825 0.0 -1.2308361557330337e-67
298.15 FE BI 0.01 0.99 -7824.31 556.8069 28.110405 -8381.11725075 1032.57 2.1978 -8149.7586 -138.82602141683572 -5716.661585229821
298.15 FE BI 0.02 0.98 -7489.444 1105.095 28.826226 -8594.539281899999 1022.14 2.1756 -8166.0522 -243.03584172567548 -5596.564368731774
298.15 FE BI 0.03 0.97 -7150.267 1644.83 29.4989 -8795.097034999999 1011.71 2.1534 -8182.3458 -334.02154674813943 -5477.284518839633
298.15 FE BI 0.04 0.96 -6811.332 2176.007 30.143681 -8987.33849015 1001.28 2.1312 -8198.6394 -416.3281974105132 -5358.830207071974
298.15 FE BI 0.05 0.95 -6474.805 2698.62 30.767817 -9173.42463855 990.85 2.109 -8214.932999999999 -492.11297050679866 -5241.2097690489745
298.15 FE BI 0.06 0.94 -6141.964 3212.664 31.375577 -9354.628282549998 980.42 2.0868 -8231.2266 -562.6452650375949 -5124.431709803113
298.15 FE BI 0.07 0.93 -5813.657 3718.134 31.969783 -9531.790801449999 969.99 2.0646 -8247.520199999999 -628.7628773593874 -5008.5047093456305
298.15 FE BI 0.08 0.92 -5490.486 4215.025 32.552445 -9705.511476749998 959.56 2.0424 -8263.8138 -691.0604007790716 -4893.437628505913
298.15 FE BI 0.09 0.91 -5172.905 4703.332 33.125062 -9876.2372353 949.13 2.0202 -8280.1074 -749.9816351924776 -4779.239515062338
298.15 FE BI 0.1 0.9 -4861.267 5183.05 33.688803 -10044.31661445 938.7 1.998 -8296.401 -805.870345271772 -4665.919610184854
298.15 FE BI 0.11 0.89 -4555.856 5654.172 34.244601 -10210.02778815 928.27 1.9758 -8312.694599999999 -859.000492370776 -4553.487355211337
298.15 FE BI 0.12 0.88 -4256.905 6116.694 34.793221 -10373.59884115 917.84 1.9536 -8328.9882 -909.5953759771999 -4441.952398781746
298.15 FE BI 0.13 0.87 -3964.61 6570.61 35.335301 -10535.21999315 907.41 1.9314 -8345.2818 -957.840348132521 -4331.324604356377
298.15 FE BI 0.14 0.86 -3679.136 7015.916 35.871381 -10695.052245149998 896.98 1.9092 -8361.575400000002 -1003.8915915105914 -4221.614058146943
298.15 FE BI 0.15 0.85 -3400.629 7452.605 36.401925 -10853.233938749998 886.55 1.887 -8377.869 -1047.882375954332 -4112.831077491992
298.15 FE BI 0.16 0.84 -3129.213 7880.673 36.927338 -11009.885824699999 876.12 1.8648 -8394.1626 -1089.9276385420173 -4004.9862197112357
298.15 FE BI 0.17 0.83 -2865.0 8300.113 37.447975 -11165.11374625 865.69 1.8426 -8410.4562 -1130.1274135160918 -3898.090291476787
298.15 FE BI 0.18 0.82 -2608.089 8710.922 37.964149 -11319.011024349998 855.26 1.8204 -8426.749800000001 -1168.5694517045056 -3792.154358743173
298.15 FE BI 0.19 0.81 -2358.569 9113.093 38.476143 -11471.66203545 844.83 1.7982 -8443.0434 -1205.3312553507326 -3687.1897572822545
298.15 FE BI 0.2 0.8 -2116.521 9506.621 38.98421 -11623.142211499999 834.4 1.776 -8459.337000000001 -1240.4816826440385 -3583.2081038740916
298.15 FE BI 0.21 0.79 -1882.018 9891.502 39.488578 -11773.519530699998 823.97 1.7538 -8475.6306 -1274.08222978906 -3480.221308210135
298.15 FE BI 0.22 0.78 -1655.128 10267.73 39.989458 -11922.8569027 813.54 1.7316 -8491.924200000001 -1306.188067542519 -3378.2415855713934
298.15 FE BI 0.23 0.77 -1435.914 10635.3 40.487043 -12071.211870449999 803.11 1.7094 -8508.2178 -1336.8488881016199 -3277.2814703510603
