T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 FE CO 0.0 1.0 -8133.467 -0.03314782 27.27967 -8133.433610499999 1043.0 2.22 -8133.467 0.0 -5837.568155846089
298.15 FE CO 1.0 0.0 -7023.669 2142.445 30.743297 -9166.114000549998 1450.0 1.35 -7023.669 0.0 -6747.367288577929
298.15 FE CO 0.01 0.99 -8485.279 -283.5083 27.508874 -8201.770783099999 1052.911 2.2316392 -8122.369019999999 -138.82602141683572 -5938.409004133985
298.15 FE CO 0.02 0.98 -8801.864 -566.1192 27.622823 -8235.74467745 1062.704 2.2426081 -8111.27104 -243.03584172567548 -6037.654882463971
298.15 FE CO 0.03 0.97 -9104.357 -847.5247 27.693553 -8256.83282695 1072.379 2.2529147 -8100.173059999999 -334.02154674813943 -6135.274539683411
298.15 FE CO 0.04 0.96 -9397.055 -1127.391 27.736587 -8269.66341405 1081.936 2.2625669 -8089.07508 -416.3281974105132 -6231.238011368006
298.15 FE CO 0.05 0.95 -9681.869 -1405.392 27.759438 -8276.4764397 1091.375 2.2715727 -8077.9771 -492.11297050679866 -6325.516886017855
298.15 FE CO 0.06 0.94 -9959.831 -1681.209 27.766632 -8278.6213308 1100.696 2.2799399 -8066.87912 -562.6452650375949 -6418.083770139206
298.15 FE CO 0.07 0.93 -10231.55 -1954.531 27.761247 -8277.015793049999 1109.899 2.2876765 -8055.781139999999 -628.7628773593874 -6508.91289173979
298.15 FE CO 0.08 0.92 -10497.39 -2225.055 27.745535 -8272.33126025 1118.984 2.2947905 -8044.68316 -691.0604007790716 -6597.979737516144
298.15 FE CO 0.09 0.91 -10757.57 -2492.483 27.721241 -8265.088004149999 1127.951 2.3012898 -8033.58518 -749.9816351924776 -6685.260842888627
298.15 FE CO 0.1 0.9 -11012.23 -2756.528 27.689767 -8255.70403105 1136.8 2.3071824 -8022.4872 -805.870345271772 -6770.734088327998
298.15 FE CO 0.11 0.89 -11261.43 -3016.908 27.652276 -8244.5260894 1145.531 2.3124761 -8011.389219999999 -859.000492370776 -6854.378153388548
298.15 FE CO 0.12 0.88 -11505.2 -3273.348 27.609755 -8231.848453249999 1154.144 2.317179 -8000.2912400000005 -909.5953759771999 -6936.173338970792
298.15 FE CO 0.13 0.87 -11743.51 -3525.584 27.563058 -8217.9257427 1162.639 2.3212989 -7989.19326 -957.840348132521 -7016.100503965417
298.15 FE CO 0.14 0.86 -11976.34 -3773.355 27.512937 -8202.98216655 1171.016 2.3248438 -7978.09528 -1003.8915915105914 -7094.141899430947
298.15 FE CO 0.15 0.85 -12203.63 -4016.409 27.46006 -8187.216888999999 1179.275 2.3278217 -7966.997299999999 -1047.882375954332 -7170.280798367981
298.15 FE CO 0.16 0.84 -12425.31 -4254.503 27.405027 -8170.808800049999 1187.416 2.3302405 -7955.8993199999995 -1089.9276385420173 -7244.501288667767
298.15 FE CO 0.17 0.83 -12641.32 -4487.4 27.348384 -8153.9206896 1195.439 2.3321081 -7944.801339999999 -1130.1274135160918 -7316.788422809715
298.15 FE CO 0.18 0.82 -12851.57 -4714.87 27.290629 -8136.701036349999 1203.344 2.3334324 -7933.7033599999995 -1168.5694517045056 -7387.128194657836
298.15 FE CO 0.19 0.81 -13055.98 -4936.69 27.232219 -8119.286094849999 1211.131 2.3342215 -7922.60538 -1205.3312553507326 -7455.507889015489
298.15 FE CO 0.2 0.8 -13254.45 -5152.646 27.173577 -8101.80198255 1218.8 2.3344832 -7911.5074 -1240.4816826440385 -7521.915140858366
