T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 FE MN 0.0 1.0 -6300.583 3888.498 34.174348 -10189.0818562 580.0 0.27 -6300.583 0.0 -413.1990706628121
298.15 FE MN 1.0 0.0 -8133.465 -0.02978849 27.279676 -8133.435399399999 1043.0 2.22 -8133.465 0.0 -5837.568155846089
298.15 FE MN 0.01 0.99 -6357.03 4019.175 34.801962 -10376.2049703 562.5523 0.2451 -6318.911819999999 -138.82602141683572 -352.84754881784744
298.15 FE MN 0.02 0.98 -6382.878 4146.535 35.315826 -10529.4135219 545.1292 0.2202 -6337.240639999999 -243.03584172567548 -296.80112097668973
298.15 FE MN 0.03 0.97 -6399.615 4270.415 35.787456 -10670.030006399998 527.7307 0.1953 -6355.56946 -334.02154674813943 -245.1458381769413
298.15 FE MN 0.04 0.96 -6411.879 4390.624 36.231771 -10802.50252365 510.3568 0.1704 -6373.898279999999 -416.3281974105132 -197.96554022436618
298.15 FE MN 0.05 0.95 -6421.916 4506.937 36.655551 -10928.85253065 493.0075 0.1455 -6392.227099999999 -492.11297050679866 -155.33971602152826
298.15 FE MN 0.06 0.94 -6431.081 4619.082 37.06243 -11050.163504499998 475.6828 0.1206 -6410.555919999999 -562.6452650375949 -117.34049719924559
298.15 FE MN 0.07 0.93 -6440.289 4726.73 37.454365 -11167.01892475 458.3827 0.0957 -6428.8847399999995 -628.7628773593874 -84.02842035318596
298.15 FE MN 0.08 0.92 -6450.196 4829.47 37.832183 -11279.66536145 441.1072 0.0708 -6447.21356 -691.0604007790716 -55.44641518908761
298.15 FE MN 0.09 0.91 -6461.286 4926.784 38.195772 -11388.069421799999 423.8563 0.0459 -6465.54238 -749.9816351924776 -31.611192198818035
298.15 FE MN 0.1 0.9 -6473.911 5018.002 38.544064 -11491.912681599999 406.63 0.021 -6483.8712 -805.870345271772 -12.50073532088679
298.15 FE MN 0.11 0.89 -6493.174 5083.47 38.828252 -11576.643333799999 389.4283 0.0039 -6502.20002 -859.000492370776 -1.956555759760872
298.15 FE MN 0.12 0.88 -6534.558 5051.821 38.860905 -11586.37882575 372.2512 0.0288 -6520.52884 -909.5953759771999 -11.608887218859838
298.15 FE MN 0.13 0.87 -6568.081 5033.269 38.911119 -11601.35012985 355.0987 0.0537 -6538.85766 -957.840348132521 -16.8165431519841
298.15 FE MN 0.14 0.86 -6594.614 5029.389 38.987098 -11624.0032687 337.9708 0.0786 -6557.18648 -1003.8915915105914 -18.34727460377551
298.15 FE MN 0.15 0.85 -6615.213 5042.972 39.101741 -11658.184079149998 320.8675 0.1035 -6575.515299999999 -1047.882375954332 -17.204505479085153
298.15 FE MN 0.16 0.84 -6631.269 5079.247 39.277263 -11710.515963449998 303.7888 0.1284 -6593.84412 -1089.9276385420173 -14.8033125782423
298.15 FE MN 0.17 0.83 -6644.499 5128.144 39.485638 -11772.6429697 286.7347 0.1533 -6612.1729399999995 -1130.1274135160918 -12.722079112938816
298.15 FE MN 0.18 0.82 -6655.394 5171.403 39.66727 -11826.7965505 269.7052 0.1782 -6630.50176 -1168.5694517045056 -10.64383023683324
298.15 FE MN 0.19 0.81 -6664.201 5213.114 39.836711 -11877.315384649999 252.7003 0.2031 -6648.83058 -1205.3312553507326 -8.612504731418216
298.15 FE MN 0.2 0.8 -6671.151 5253.469 39.995369 -11924.619267349997 235.72 0.228 -6667.1594000000005 -1240.4816826440385 -6.734725295780015
298.15 FE MN 0.21 0.79 -6676.409 5292.366 40.143471 -11968.775878649998 218.7643 0.2529 -6685.48822 -1274.08222978906 -5.081685841682114
298.15 FE MN 0.22 0.78 -6680.089 5329.718 40.281089 -12009.80668535 201.8332 0.2778 -6703.81704 -1306.188067542519 -3.690472952937041
298.15 FE MN 0.23 0.77 -6682.252 5365.538 40.408487 -12047.79039905 184.9267 0.3027 -6722.1458600000005 -1336.8488881016199 -2.5695991091955004
298.15 FE MN 0.24 0.76 -6682.924 5399.96 40.526191 -12082.883846649998 168.0448 0.3276 -6740.47468 -1366.1096036088943 -1.7058998495895246
298.15 FE MN 0.25 0.75 -6682.102 5433.205 40.63494 -12115.307361 151.1875 0.3525 -6758.8035 -1394.0109271940482 -1.0714258367256688
298.15 FE MN 0.26 0.74 -6679.77 5465.552 40.73561 -12145.3221215 134.3548 0.3774 -6777.132320000001 -1420.5898600324033 -0.6296717355017089
298.15 FE MN 0.27 0.73 -6675.901 5497.3 40.829119 -12173.201829849999 117.5467 0.4023 -6795.461139999999 -1445.8801024662048 -0.34083299389371213
298.15 FE MN 0.28 0.72 -6670.468 5528.744 40.916358 -12199.2121377 100.7632 0.4272 -6813.78996 -1469.9124032129614 -0.16597279855119978
298.15 FE MN 0.29 0.71 -6663.445 5560.146 40.998127 -12223.591565049997 84.0043 0.4521 -6832.11878 -1492.7148576699553 -0.07008972614999048
298.15 FE MN 0.3 0.7 -6654.815 5591.725 41.075097 -12246.540170549999 67.27 0.477 -6850.4475999999995 -1514.313164037668 -0.024133014590444455
298.15 FE MN 0.31 0.69 -6644.569 5623.646 41.147793 -12268.21448295 50.5603 0.5019 -6868.77642 -1534.730844232385 -0.006036438803033239
