T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 FE MO 0.0 1.0 -8516.085 -0.9450366 28.559919 -8515.13984985 8.52e-28 2.22e-30 -8516.085 0.0 -0.0
298.15 FE MO 1.0 0.0 -8134.337 -0.9031478 27.27967 -8133.433610499999 1043.0 2.22 -8134.337 0.0 -5837.568155846089
298.15 FE MO 0.01 0.99 -8230.586 458.5605 29.143542 -8689.147047299999 8.643248 0.0222 -8512.26752 -138.82602141683572 -4.7575847002446876e-08
298.15 FE MO 0.02 0.98 -7918.507 910.4896 29.612598 -8828.9960937 17.528784 0.0444 -8508.450039999998 -243.03584172567548 -3.2292352184597432e-06
298.15 FE MO 0.03 0.97 -7601.213 1354.846 30.038769 -8956.05897735 26.650296 0.0666 -8504.632559999998 -334.02154674813943 -3.893442327986392e-05
298.15 FE MO 0.04 0.96 -7283.225 1791.634 30.437227 -9074.859230049999 36.001472 0.0888 -8500.815079999998 -416.3281974105132 -0.00023111842999610818
298.15 FE MO 0.05 0.95 -6966.677 2220.855 30.815132 -9187.531605799999 45.576 0.111 -8496.997599999999 -492.11297050679866 -0.0009297621236561911
298.15 FE MO 0.06 0.94 -6652.814 2642.506 31.176657 -9295.320284549998 55.367568 0.1332 -8493.180119999999 -562.6452650375949 -0.002922608300908758
298.15 FE MO 0.07 0.93 -6342.451 3056.582 31.524512 -9399.0332528 65.369864 0.1554 -8489.36264 -628.7628773593874 -0.007744985210015465
298.15 FE MO 0.08 0.92 -6036.163 3463.066 31.860567 -9499.228051049999 75.576576 0.1776 -8485.54516 -691.0604007790716 -0.018105977798506482
298.15 FE MO 0.09 0.91 -5734.374 3861.928 32.186154 -9596.3018151 85.981392 0.1998 -8481.72768 -749.9816351924776 -0.03844931093008178
298.15 FE MO 0.1 0.9 -5437.414 4253.122 32.502218 -9690.536296699998 96.578 0.222 -8477.9102 -805.870345271772 -0.07566705058941782
298.15 FE MO 0.11 0.89 -5145.548 4636.575 32.809402 -9782.123206299999 107.36009 0.2442 -8474.09272 -859.000492370776 -0.13998362052902008
298.15 FE MO 0.12 0.88 -4858.996 5012.182 33.108092 -9871.177629799999 118.32134 0.2664 -8470.275239999999 -909.5953759771999 -0.2460265298080968
298.15 FE MO 0.13 0.87 -4577.949 5379.793 33.398431 -9957.74220265 129.45546 0.2886 -8466.45776 -957.840348132521 -0.41409977503960815
298.15 FE MO 0.14 0.86 -4302.58 5739.208 33.68032 -10041.787408 140.75611 0.3108 -8462.64028 -1003.8915915105914 -0.67167224436783
298.15 FE MO 0.15 0.85 -4033.052 6090.156 33.953404 -10123.2074026 152.217 0.333 -8458.822799999998 -1047.882375954332 -1.0550982583683204
298.15 FE MO 0.16 0.84 -3769.525 6432.287 34.217045 -10201.81196675 163.83181 0.3552 -8455.00532 -1089.9276385420173 -1.6115800932961246
298.15 FE MO 0.17 0.83 -3512.167 6765.15 34.470289 -10277.31666535 175.59422 0.3774 -8451.187839999999 -1130.1274135160918 -2.4013964951117384
298.15 FE MO 0.18 0.82 -3261.153 7088.176 34.711819 -10349.32883485 187.49794 0.3996 -8447.37036 -1168.5694517045056 -3.5004326365146263
298.15 FE MO 0.19 0.81 -3016.679 7400.648 34.939887 -10417.327309049999 199.53663 0.4218 -8443.55288 -1205.3312553507326 -5.003067678741419
298.15 FE MO 0.2 0.8 -2778.963 7701.675 35.152232 -10480.637970799999 211.704 0.444 -8439.7354 -1240.4816826440385 -7.025576582624906
