T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 FE NI 0.0 1.0 -1521.871 7989.419 31.901023 -9511.29000745 575.0 0.85 -1521.871 0.0 -1042.4491903721046
298.15 FE NI 1.0 0.0 -8133.465 -0.02978849 27.279676 -8133.435399399999 1043.0 2.22 -8133.465 0.0 -5837.568155846089
298.15 FE NI 0.01 0.99 -1735.812 7893.463 32.296746 -9629.2748199 579.68 0.8637 -1587.98694 -138.82602141683572 -1074.8891459194165
298.15 FE NI 0.02 0.98 -1914.576 7798.48 32.577748 -9713.055566199999 584.36 0.8774 -1654.1028800000001 -243.03584172567548 -1107.7358199784396
298.15 FE NI 0.03 0.97 -2079.564 7704.453 32.815751 -9784.016160649999 589.04 0.8911 -1720.21882 -334.02154674813943 -1140.9852667610262
298.15 FE NI 0.04 0.96 -2235.332 7611.361 33.025971 -9846.693253649999 593.72 0.9048 -1786.3347600000002 -416.3281974105132 -1174.6335987572645
298.15 FE NI 0.05 0.95 -2384.049 7519.186 33.215613 -9903.235015949998 598.4 0.9185 -1852.4507 -492.11297050679866 -1208.6769861873872
298.15 FE NI 0.06 0.94 -2526.993 7427.91 33.388908 -9954.9029202 603.08 0.9322 -1918.56664 -562.6452650375949 -1243.1116564059826
298.15 FE NI 0.07 0.93 -2665.015 7337.511 33.548636 -10002.5258234 607.76 0.9459 -1984.6825800000001 -628.7628773593874 -1277.933893265184
298.15 FE NI 0.08 0.92 -2798.718 7247.972 33.696764 -10046.690186599999 612.44 0.9596 -2050.7985200000003 -691.0604007790716 -1313.1400364429019
298.15 FE NI 0.09 0.91 -2928.559 7159.272 33.83475 -10087.8307125 617.12 0.9733 -2116.91446 -749.9816351924776 -1348.7264807414358
298.15 FE NI 0.1 0.9 -3054.891 7071.393 33.96372 -10126.283118 621.8 0.987 -2183.0304000000006 -805.870345271772 -1384.6896753613403
298.15 FE NI 0.11 0.89 -3177.999 6984.314 34.084564 -10162.312756599998 626.48 1.0007 -2249.1463400000002 -859.000492370776 -1421.0261231548445
298.15 FE NI 0.12 0.88 -3298.118 6898.017 34.198003 -10196.134594449999 631.16 1.0144 -2315.26228 -909.5953759771999 -1457.7323798627162
298.15 FE NI 0.13 0.87 -3415.444 6812.481 34.304629 -10227.925136349999 635.84 1.0281 -2381.3782200000005 -957.840348132521 -1494.8050533380174
298.15 FE NI 0.14 0.86 -3530.144 6727.688 34.404938 -10257.8322647 640.52 1.0418 -2447.49416 -1003.8915915105914 -1532.2408027598626
298.15 FE NI 0.15 0.85 -3642.364 6643.617 34.499349 -10285.980904349999 645.2 1.0555 -2513.6101 -1047.882375954332 -1570.036337839925
298.15 FE NI 0.16 0.84 -3752.228 6560.249 34.588218 -10312.477196699998 649.88 1.0692 -2579.72604 -1089.9276385420173 -1608.1884180241655
298.15 FE NI 0.17 0.83 -3859.849 6477.564 34.671853 -10337.41297195 654.56 1.0829 -2645.84198 -1130.1274135160918 -1646.6938516919683
298.15 FE NI 0.18 0.82 -3965.325 6395.542 34.75052 -10360.867538 659.24 1.0966 -2711.95792 -1168.5694517045056 -1685.5494953546379
298.15 FE NI 0.19 0.81 -4068.746 6314.164 34.82445 -10382.9097675 663.92 1.1103 -2778.0738600000004 -1205.3312553507326 -1724.7522528549698
