T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 FE PT 0.0 1.0 1872.219 15000.0 44.030806 -13127.784808899998 1.043e-27 2.22e-30 1872.219 0.0 -0.0
298.15 FE PT 1.0 0.0 -8133.465 -0.02978868 27.279676 -8133.435399399999 1043.0 2.22 -8133.465 0.0 -5837.568155846089
298.15 FE PT 0.01 0.99 -956.462 12079.21 43.721859 -13035.67226085 10.43 0.0222 1772.16216 -138.82602141683572 -1.2173716933975972e-07
298.15 FE PT 0.02 0.98 -3679.688 9233.489 43.311007 -12913.176737049998 20.86 0.0444 1672.10532 -243.03584172567548 -7.707477287391463e-06
298.15 FE PT 0.03 0.97 -6319.38 6462.31 42.870001 -12781.690798149999 31.29 0.0666 1572.04848 -334.02154674813943 -8.686631064102029e-05
298.15 FE PT 0.04 0.96 -8880.611 3765.146 42.414078 -12645.7573557 41.72 0.0888 1471.99164 -416.3281974105132 -0.00048300851422781164
298.15 FE PT 0.05 0.95 -11366.07 1141.462 41.950461 -12507.529947149998 52.15 0.111 1371.9348 -492.11297050679866 -0.0018237377253851313
298.15 FE PT 0.06 0.94 -13777.55 -1409.278 41.483383 -12368.27064145 62.58 0.1332 1271.8779599999998 -562.6452650375949 -0.005391022825081831
298.15 FE PT 0.07 0.93 -16116.42 -3887.62 41.015607 -12228.80322705 73.01 0.1554 1171.8211199999998 -628.7628773593874 -0.013459980631745846
298.15 FE PT 0.08 0.92 -18383.82 -6294.12 40.549054 -12089.7004501 83.44 0.1776 1071.7642800000003 -691.0604007790716 -0.0297000666995776
298.15 FE PT 0.09 0.91 -20580.72 -8629.346 40.0851 -11951.372564999998 93.87 0.1998 971.70744 -749.9816351924776 -0.05963488252441791
298.15 FE PT 0.1 0.9 -22708.0 -10893.89 39.62474 -11814.116231 104.3 0.222 871.6505999999999 -805.870345271772 -0.1111571782788611
298.15 FE PT 0.11 0.89 -24766.49 -13088.35 39.168673 -11678.139854949999 114.73 0.2442 771.5937600000001 -859.000492370776 -0.19509598485936586
298.15 FE PT 0.12 0.88 -26756.96 -15213.38 38.71736 -11543.580883999999 125.16 0.2664 671.5369200000001 -909.5953759771999 -0.3258331923045998
298.15 FE PT 0.13 0.87 -28680.14 -17269.63 38.271046 -11410.512364899998 135.59 0.2886 571.4800799999998 -957.840348132521 -0.5219673891792395
298.15 FE PT 0.14 0.86 -30536.76 -19257.81 37.82978 -11278.948906999998 146.02 0.3108 471.42323999999985 -1003.8915915105914 -0.8070235485126451
298.15 FE PT 0.15 0.85 -32327.52 -21178.68 37.393419 -11148.84787485 156.45 0.333 371.3664000000001 -1047.882375954332 -1.2102084740511028
298.15 FE PT 0.16 0.84 -34053.13 -23033.02 36.961628 -11020.109388199999 166.88 0.3552 271.30956000000015 -1089.9276385420173 -1.7672142920549188
298.15 FE PT 0.17 0.83 -35714.26 -24821.69 36.533869 -10892.57304235 177.31 0.3774 171.25271999999973 -1130.1274135160918 -2.5210764974203363
298.15 FE PT 0.18 0.82 -37311.62 -26545.61 36.10939 -10766.0146285 187.74 0.3996 71.19588000000022 -1168.5694517045056 -3.5231004638124275
298.15 FE PT 0.19 0.81 -38845.91 -28205.76 35.687206 -10640.140468900001 198.17 0.4218 -28.86095999999975 -1205.3312553507326 -4.833883083843802
298.15 FE PT 0.2 0.8 -40317.81 -29803.23 35.266067 -10514.57787605 208.6 0.444 -128.91780000000017 -1240.4816826440385 -6.524477980236605
298.15 FE PT 0.21 0.79 -41728.06 -31339.2 34.844414 -10388.862034099999 219.03 0.4662 -228.9746399999999 -1274.08222978906 -8.677789934804087
298.15 FE PT 0.22 0.78 -43077.37 -32814.96 34.4203 -10262.412444999998 229.46 0.4884 -329.0314799999999 -1306.188067542519 -11.390348589596279
298.15 FE PT 0.23 0.77 -44366.5 -34232.01 33.991269 -10134.49685235 239.89 0.5106 -429.08831999999984 -1336.8488881016199 -14.774725621218478
298.15 FE PT 0.24 0.76 -45596.22 -35592.05 33.55414 -10004.166840999998 250.32 0.5328 -529.14516 -1366.1096036088943 -18.963067854996847
298.15 FE PT 0.25 0.75 -46767.32 -36897.18 33.104616 -9870.1412604 260.75 0.555 -629.202 -1394.0109271940482 -24.11260958983446
298.15 FE PT 0.26 0.74 -47880.67 -38150.08 32.636562 -9730.590960299998 271.18 0.5772 -729.2588400000002 -1420.5898600324033 -30.41477658185903
298.15 FE PT 0.27 0.73 -48937.19 -39354.46 32.140631 -9582.72913265 281.61 0.5994 -829.3156800000002 -1445.8801024662048 -38.11094748966209
298.15 FE PT 0.28 0.72 -49937.92 -40515.91 31.601589 -9422.013760349999 292.04 0.6216 -929.3725200000003 -1469.9124032129614 -47.520764992741064
298.15 FE PT 0.29 0.71 -50884.17 -41653.94 30.958347 -9230.231158049999 302.47 0.6438 -1029.42936 -1492.7148576699553 -59.3184222629027
298.15 FE PT 0.3 0.7 -51777.62 -42746.62 30.290098 -9030.9927187 312.9 0.666 -1129.4861999999998 -1514.313164037668 -75.57614608994102
298.15 FE PT 0.31 0.69 -52618.47 -43769.58 29.679322 -8848.8898543 323.33 0.6882 -1229.5430400000002 -1534.730844232385 -96.15414048481144
298.15 FE PT 0.32 0.68 -53406.86 -44726.46 29.114205 -8680.400220749998 333.76 0.7104 -1329.59988 -1553.9894352015579 -120.56220295948354
298.15 FE PT 0.33 0.67 -54142.99 -45619.83 28.586824 -8523.1615756 344.19 0.7326 -1429.6567200000002 -1572.1086551954763 -148.43308248158627
298.15 FE PT 0.34 0.66 -54827.16 -46451.62 28.091682 -8375.534988299998 354.62 0.7548 -1529.7135600000004 -1589.1065487133012 -179.48192524367187
298.15 FE PT 0.35 0.65 -55459.71 -47223.36 27.624842 -8236.346642299999 365.05 0.777 -1629.7703999999997 -1604.9996131775667 -213.4810948940227
298.15 FE PT 0.36 0.64 -56041.0 -47936.27 27.183401 -8104.731008149999 375.48 0.7992 -1729.8272399999998 -1619.8029098595373 -250.24401204396992
298.15 FE PT 0.37 0.63 -56571.45 -48591.42 26.765161 -7980.032752149999 385.91 0.8214 -1829.88408 -1633.5301611487748 -289.61444856585655
298.15 FE PT 0.38 0.62 -57051.46 -49189.72 26.368418 -7861.743826699999 396.34 0.8436 -1929.94092 -1646.193835911596 -331.4592198033345
298.15 FE PT 0.39 0.61 -57481.48 -49732.02 25.991822 -7749.461729299999 406.77 0.8658 -2029.9977600000002 -1657.8052243977716 -375.66305454464634
298.15 FE PT 0.4 0.6 -57861.94 -50219.08 25.634284 -7642.8617746 417.2 0.888 -2130.0546000000004 -1668.3745039196444 -422.1248993169814
298.15 FE PT 0.41 0.59 -58193.31 -50651.63 25.294911 -7541.677714649999 427.63 0.9102 -2230.1114399999997 -1677.9107963326926 -470.7551921398433
298.15 FE PT 0.42 0.58 -58476.03 -51030.34 24.972959 -7445.687725849999 438.06 0.9324 -2330.16828 -1686.4222181834425 -521.4738077302391
298.15 FE PT 0.43 0.57 -58710.58 -51355.87 24.667802 -7354.705166299999 448.49 0.9546 -2430.22512 -1693.9159242532326 -574.208478499063
298.15 FE PT 0.44 0.56 -58897.43 -51628.86 24.378905 -7268.570525749999 458.92 0.9768 -2530.28196 -1700.3981451097393 -628.8935599163234
298.15 FE PT 0.45 0.55 -59037.06 -51849.91 24.105807 -7187.146357049999 469.35 0.999 -2630.3388000000004 -1705.8742191782392 -685.4690500445063
298.15 FE PT 0.46 0.54 -59129.95 -52019.63 23.848107 -7110.3131020499995 479.78 1.0212 -2730.3956399999997 -1710.3486197582595 -743.8798000586988
298.15 FE PT 0.47 0.53 -59176.57 -52138.61 23.605454 -7037.9661101 490.21 1.0434 -2830.45248 -1713.8249773357109 -804.0748706452165
298.15 FE PT 0.48 0.52 -59177.42 -52207.41 23.377537 -6970.0126565499995 500.64 1.0656 -2930.50932 -1716.3060974737868 -866.0070014951294
298.15 FE PT 0.49 0.51 -59132.99 -52226.62 23.164079 -6906.37015385 511.07 1.0878 -3030.56616 -1717.7939745058845 -929.632169668956
298.15 FE PT 0.5 0.5 -59043.76 -52196.79 22.964833 -6846.9649589499995 521.5 1.11 -3130.623 -1718.289801199083 -994.9092186575349
298.15 FE PT 0.51 0.49 -58910.22 -52118.49 22.779572 -6791.7293918 531.93 1.1322 -3230.67984 -1717.7939745058845 -1061.7995443085556
298.15 FE PT 0.52 0.48 -58732.86 -51992.26 22.608095 -6740.603524249999 542.36 1.1544 -3330.7366800000004 -1716.3060974737868 -1130.26682695647
298.15 FE PT 0.53 0.47 -58512.19 -51818.66 22.450213 -6693.53100595 552.79 1.1766 -3430.79352 -1713.8249773357109 -1200.276801437319
298.15 FE PT 0.54 0.46 -58248.69 -51598.23 22.305755 -6650.46085325 563.22 1.1988 -3530.8503600000004 -1710.3486197582595 -1271.7970584270722
298.15 FE PT 0.55 0.45 -57942.85 -51331.51 22.174561 -6611.345362149999 573.65 1.221 -3630.907200000001 -1705.8742191782392 -1344.796871875672
298.15 FE PT 0.56 0.44 -57595.18 -51019.04 22.056483 -6576.140406449999 584.08 1.2432 -3730.9640400000008 -1700.3981451097393 -1419.247048332997
298.15 FE PT 0.57 0.43 -57206.18 -50661.37 21.951381 -6544.80424515 594.51 1.2654 -3831.020879999999 -1693.9159242532328 -1495.1197947575217
298.15 FE PT 0.58 0.42 -56776.32 -50259.03 21.859123 -6517.29752245 604.94 1.2876 -3931.07772 -1686.4222181834425 -1572.3886020213508
298.15 FE PT 0.59 0.41 -56306.12 -49812.54 21.779584 -6493.582969599999 615.37 1.3098 -4031.13456 -1677.910796332693 -1651.0281418178429
298.15 FE PT 0.6 0.4 -55796.08 -49322.45 21.712642 -6473.624212299999 625.8 1.332 -4131.1914 -1668.3745039196444 -1731.014175071097
298.15 FE PT 0.61 0.39 -55246.67 -48789.29 21.658183 -6457.38726145 636.23 1.3542 -4231.248240000001 -1657.8052243977716 -1812.3234702625393
298.15 FE PT 0.62 0.38 -54658.41 -48213.58 21.616093 -6444.838127949999 646.66 1.3764 -4331.30508 -1646.193835911596 -1894.9337303457603
298.15 FE PT 0.63 0.37 -54031.79 -47595.85 21.586262 -6435.9440153 657.09 1.3986 -4431.36192 -1633.5301611487748 -1978.8235271295157
298.15 FE PT 0.64 0.36 -53367.31 -46936.64 21.568583 -6430.673021449999 667.52 1.4208 -4531.41876 -1619.8029098595373 -2063.9722421799997
298.15 FE PT 0.65 0.35 -52665.46 -46236.47 21.562947 -6428.99264805 677.95 1.443 -4631.475600000001 -1604.9996131775667 -2150.360013434957
298.15 FE PT 0.66 0.34 -51926.73 -45495.86 21.569248 -6430.8712912 688.38 1.4652 -4731.53244 -1589.106548713301 -2237.9676868395013
298.15 FE PT 0.67 0.33 -51151.63 -44715.35 21.587379 -6436.277048849999 698.81 1.4874 -4831.58928 -1572.1086551954763 -2326.77677241143
298.15 FE PT 0.68 0.32 -50340.64 -43895.46 21.617231 -6445.177422649999 709.24 1.5096 -4931.646120000001 -1553.9894352015576 -2416.7694042258804
298.15 FE PT 0.69 0.31 -49494.25 -43036.72 21.658694 -6457.5396161 719.67 1.5318 -5031.70296 -1534.730844232385 -2507.928303878323
298.15 FE PT 0.7 0.3 -48612.97 -42139.64 21.711655 -6473.32993825 730.1 1.554 -5131.759799999999 -1514.313164037668 -2600.2367470432773
298.15 FE PT 0.71 0.29 -47697.27 -41204.76 21.775999 -6492.514101849999 740.53 1.5762 -5231.81664 -1492.7148576699553 -2693.6785327958023
298.15 FE PT 0.72 0.28 -46747.65 -40232.59 21.851606 -6515.056328899999 750.96 1.5984 -5331.87348 -1469.9124032129614 -2788.237955405089
298.15 FE PT 0.73 0.27 -45764.59 -39223.68 21.938351 -6540.91935065 761.39 1.6206 -5431.9303199999995 -1445.8801024662048 -2883.899778345635
298.15 FE PT 0.74 0.26 -44748.59 -38178.52 22.036104 -6570.0644076 771.82 1.6428 -5531.987160000001 -1420.5898600324033 -2980.649210302556
298.15 FE PT 0.75 0.25 -43700.11 -37097.66 22.144727 -6602.450355049999 782.25 1.665 -5632.044 -1394.0109271940482 -3078.4718829742806
298.15 FE PT 0.76 0.24 -42619.64 -35981.61 22.264075 -6638.033961249999 792.68 1.6872 -5732.10084 -1366.1096036088943 -3177.35383049898
298.15 FE PT 0.77 0.23 -41507.67 -34830.9 22.393993 -6676.769012949999 803.11 1.7094 -5832.15768 -1336.8488881016199 -3277.2814703510603
298.15 FE PT 0.78 0.22 -40364.65 -33646.04 22.534316 -6718.606315399999 813.54 1.7316 -5932.21452 -1306.188067542519 -3378.2415855713934
298.15 FE PT 0.79 0.21 -39191.07 -32427.58 22.684866 -6763.4927978999995 823.97 1.7538 -6032.271360000001 -1274.08222978906 -3480.221308210135
298.15 FE PT 0.8 0.2 -37987.38 -31176.01 22.845451 -6811.37121565 834.4 1.776 -6132.328200000001 -1240.4816826440385 -3583.2081038740916
298.15 FE PT 0.81 0.19 -36754.06 -29891.88 23.01586 -6862.178658999999 844.83 1.7982 -6232.385040000001 -1205.3312553507324 -3687.1897572822545
