T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 FE SI 0.0 1.0 34683.41 47000.0 41.310031 -12316.58574265 5.39e-28 2.22e-30 34683.41 0.0 -0.0
298.15 FE SI 1.0 0.0 -8133.465 -0.02978864 27.279676 -8133.435399399999 1043.0 2.22 -8133.465 0.0 -5837.568155846089
298.15 FE SI 0.01 0.99 33667.47 46052.64 41.540087 -12385.17693905 5.540192 0.0222 34255.24125000001 -138.82602141683572 -5.147848251058068e-09
298.15 FE SI 0.02 0.98 32645.96 45064.71 41.652705 -12418.753995749998 11.376736 0.0444 33827.0725 -243.03584172567548 -3.719025315423324e-07
298.15 FE SI 0.03 0.97 31599.88 44038.64 41.719795 -12438.756879249999 17.503584 0.0666 33398.903750000005 -334.02154674813943 -4.758372932372673e-06
298.15 FE SI 0.04 0.96 30527.02 42976.8 41.756759 -12449.77769585 23.914688 0.0888 32970.735 -416.3281974105132 -2.989213148579242e-05
298.15 FE SI 0.05 0.95 29427.54 41881.56 41.77099 -12454.020668499998 30.604 0.111 32542.566250000003 -492.11297050679866 -0.00012693511598569428
298.15 FE SI 0.06 0.94 28302.44 40755.24 41.766902 -12452.8018313 37.565472 0.1332 32114.3975 -562.6452650375949 -0.00042018217451235895
298.15 FE SI 0.07 0.93 27153.13 39600.13 41.74746 -12447.005198999997 44.793056 0.1554 31686.22875 -628.7628773593874 -0.0011700007707094492
298.15 FE SI 0.08 0.92 25981.21 38418.48 41.714807 -12437.26970705 52.280704 0.1776 31258.060000000005 -691.0604007790716 -0.002868091765383729
298.15 FE SI 0.09 0.91 24788.42 37212.5 41.670572 -12424.081041799998 60.022368 0.1998 30829.891250000004 -749.9816351924776 -0.006374289359280196
298.15 FE SI 0.1 0.9 23576.54 35984.36 41.616039 -12407.82202785 68.012 0.222 30401.722500000003 -805.870345271772 -0.013105190222703353
298.15 FE SI 0.11 0.89 22347.4 34736.2 41.552241 -12388.80065415 76.243552 0.2442 29973.553750000003 -859.000492370776 -0.025285875931166706
298.15 FE SI 0.12 0.88 21102.85 33470.12 41.480019 -12367.267664849998 84.710976 0.2664 29545.385000000002 -909.5953759771999 -0.046276838620112164
298.15 FE SI 0.13 0.87 19844.72 32188.15 41.400054 -12343.426100099998 93.408224 0.2886 29117.21625 -957.840348132521 -0.08098890910904606
298.15 FE SI 0.14 0.86 18574.86 30892.3 41.312888 -12317.437557199999 102.32925 0.3108 28689.047500000004 -1003.8915915105914 -0.1363995091281598
298.15 FE SI 0.15 0.85 17295.07 29584.5 41.218932 -12289.4245758 111.468 0.333 28260.878750000003 -1047.882375954332 -0.22218375607847585
