T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 FE TA 0.0 1.0 -12364.82 -0.00107989 41.471806 -12364.8189589 1.643e-27 2.22e-30 -12364.82 0.0 -0.0
298.15 FE TA 1.0 0.0 -8133.465 -0.02978854 27.279676 -8133.435399399999 1043.0 2.22 -8133.465 0.0 -5837.568155846089
298.15 FE TA 0.01 0.99 -12602.37 -191.5752 41.626019 -12410.79756485 16.37 0.0222 -12322.50645 -138.82602141683572 -1.159431390085164e-06
298.15 FE TA 0.02 0.98 -12821.92 -398.1624 41.669486 -12423.757250899998 32.62 0.0444 -12280.192899999998 -243.03584172567548 -7.207099479824686e-05
298.15 FE TA 0.03 0.97 -13043.67 -618.5777 41.673947 -12425.087298049999 48.75 0.0666 -12237.87935 -334.02154674813943 -0.0007974375119982231
298.15 FE TA 0.04 0.96 -13270.99 -851.6707 41.654601 -12419.319288149998 64.76 0.0888 -12195.565799999998 -416.3281974105132 -0.004352787754891716
298.15 FE TA 0.05 0.95 -13504.92 -1096.338 41.618575 -12408.578136249998 80.65 0.111 -12153.25225 -492.11297050679866 -0.016132909785800016
298.15 FE TA 0.06 0.94 -13745.61 -1351.54 41.569911 -12394.068964649998 96.42 0.1332 -12110.938699999999 -562.6452650375949 -0.046808980521658536
298.15 FE TA 0.07 0.93 -13992.83 -1616.314 41.51105 -12376.519557499998 112.07 0.1554 -12068.625149999998 -628.7628773593874 -0.11470446351943933
298.15 FE TA 0.08 0.92 -14246.15 -1889.802 41.443409 -12356.35239335 127.6 0.1776 -12026.3116 -691.0604007790716 -0.2483945832970265
298.15 FE TA 0.09 0.91 -14505.03 -2171.263 41.367639 -12333.761567849999 143.01 0.1998 -11983.99805 -749.9816351924776 -0.48944857547539133
298.15 FE TA 0.1 0.9 -14768.85 -2460.1 41.283734 -12308.7452921 158.3 0.222 -11941.6845 -805.870345271772 -0.8952508032337428
298.15 FE TA 0.11 0.89 -15037.0 -2755.88 41.191073 -12281.11841495 173.47 0.2442 -11899.37095 -859.000492370776 -1.5418623884688383
298.15 FE TA 0.12 0.88 -15308.87 -3058.356 41.088422 -12250.513019299999 188.52 0.2664 -11857.0574 -909.5953759771999 -2.526931527882432
298.15 FE TA 0.13 0.87 -15583.87 -3367.503 40.973889 -12216.365005349999 203.45 0.2886 -11814.743849999999 -957.840348132521 -3.972751410721758
298.15 FE TA 0.14 0.86 -15861.44 -3683.549 40.844838 -12177.8884497 218.26 0.3108 -11772.4303 -1003.8915915105914 -6.029743870066934
298.15 FE TA 0.15 0.85 -16141.07 -4007.053 40.6977 -12134.019255 232.95 0.333 -11730.11675 -1047.882375954332 -8.881004998271823
298.15 FE TA 0.16 0.84 -16422.33 -4339.032 40.527578 -12083.297380699998 247.52 0.3552 -11687.8032 -1089.9276385420173 -12.749290624344585
298.15 FE TA 0.17 0.83 -16704.85 -4681.249 40.327369 -12023.605067349998 261.97 0.3774 -11645.48965 -1130.1274135160918 -17.90944347949212
298.15 FE TA 0.18 0.82 -16988.41 -5036.851 40.085742 -11951.5639773 276.3 0.3996 -11603.1761 -1168.5694517045056 -24.713008335441895
298.15 FE TA 0.19 0.81 -17272.99 -5411.883 39.782345 -11861.106161749998 290.51 0.4218 -11560.862550000002 -1205.3312553507326 -33.64065314284829
298.15 FE TA 0.2 0.8 -17559.06 -5827.839 39.346709 -11731.221288349998 304.6 0.444 -11518.548999999999 -1240.4816826440385 -45.770777656641805
298.15 FE TA 0.21 0.79 -17847.34 -6251.176 38.89372 -11596.162618 318.57 0.4662 -11476.23545 -1274.08222978906 -63.76995943118253
298.15 FE TA 0.22 0.78 -18136.44 -6659.544 38.493703 -11476.897549449997 332.42 0.4884 -11433.921900000001 -1306.188067542519 -87.13230459305359
298.15 FE TA 0.23 0.77 -18425.01 -7056.351 38.130659 -11368.655980849999 346.15 0.5106 -11391.60835 -1336.8488881016199 -115.1021189042194
298.15 FE TA 0.24 0.76 -18711.88 -7443.303 37.794998 -11268.578653699999 359.76 0.5328 -11349.2948 -1366.1096036088943 -147.14088392517118
298.15 FE TA 0.25 0.75 -18996.05 -7821.199 37.48062 -11174.846853 373.25 0.555 -11306.98125 -1394.0109271940482 -182.8416827512073
298.15 FE TA 0.26 0.74 -19276.58 -8190.333 37.183437 -11086.241741549999 386.62 0.5772 -11264.6677 -1420.5898600324033 -221.88244448059038
298.15 FE TA 0.27 0.73 -19552.62 -8550.706 36.900586 -11001.909715899998 399.87 0.5994 -11222.35415 -1445.8801024662048 -263.9988083779217
298.15 FE TA 0.28 0.72 -19823.37 -8902.139 36.629986 -10921.2303259 413.0 0.6216 -11180.0406 -1469.9124032129614 -308.9674904289039
298.15 FE TA 0.29 0.71 -20088.09 -9244.35 36.370074 -10843.7375631 426.01 0.6438 -11137.72705 -1492.7148576699553 -356.5955802245917
298.15 FE TA 0.3 0.7 -20346.06 -9576.986 36.119647 -10769.072753049999 438.9 0.666 -11095.413499999999 -1514.313164037668 -406.71335478218094
298.15 FE TA 0.31 0.69 -20596.61 -9899.66 35.877757 -10696.95324955 451.67 0.6882 -11053.099949999998 -1534.730844232385 -459.1692728261553
298.15 FE TA 0.32 0.68 -20839.11 -10211.96 35.643645 -10627.15275675 464.32 0.7104 -11010.786399999999 -1553.9894352015579 -513.8263758008543
298.15 FE TA 0.33 0.67 -21072.95 -10513.47 35.41669 -10559.4861235 476.85 0.7326 -10968.472849999998 -1572.1086551954763 -570.55962902308
298.15 FE TA 0.34 0.66 -21297.55 -10803.75 35.196382 -10493.801293299999 489.26 0.7548 -10926.1593 -1589.1065487133012 -629.2539109534339
298.15 FE TA 0.35 0.65 -21512.37 -11082.4 34.982292 -10429.9703598 501.55 0.777 -10883.84575 -1604.9996131775667 -689.8024615886812
298.15 FE TA 0.36 0.64 -21716.89 -11349.01 34.77406 -10367.885988999999 513.72 0.7992 -10841.5322 -1619.8029098595373 -752.1056639195689
298.15 FE TA 0.37 0.63 -21910.62 -11603.16 34.571377 -10307.456052549998 525.77 0.8214 -10799.218649999999 -1633.5301611487748 -816.0700720913483
298.15 FE TA 0.38 0.62 -22093.09 -11844.48 34.37398 -10248.602137 537.7 0.8436 -10756.9051 -1646.193835911596 -881.6076256682512
298.15 FE TA 0.39 0.61 -22263.86 -12072.61 34.181637 -10191.25507155 549.51 0.8658 -10714.59155 -1657.8052243977716 -948.6350065692928
298.15 FE TA 0.4 0.6 -22422.53 -12287.17 33.994149 -10135.35552435 561.2 0.888 -10672.278 -1668.3745039196444 -1017.0731069535871
298.15 FE TA 0.41 0.59 -22568.7 -12487.85 33.811339 -10080.850722849998 572.77 0.9102 -10629.964450000001 -1677.9107963326926 -1086.8465844944565
298.15 FE TA 0.42 0.58 -22702.01 -12674.32 33.633049 -10027.693559349998 584.22 0.9324 -10587.6509 -1686.4222181834425 -1157.883487278912
298.15 FE TA 0.43 0.57 -22822.13 -12846.29 33.45914 -9975.842590999999 595.55 0.9546 -10545.337350000002 -1693.9159242532326 -1230.1149347589158
298.15 FE TA 0.44 0.56 -22928.75 -13003.49 33.289485 -9925.259952749999 606.76 0.9768 -10503.0238 -1700.3981451097393 -1303.4748442563448
298.15 FE TA 0.45 0.55 -23021.57 -13145.65 33.123971 -9875.911953649998 617.85 0.999 -10460.71025 -1705.8742191782392 -1377.899694812975
298.15 FE TA 0.46 0.54 -23100.33 -13272.56 32.962493 -9827.76728795 628.82 1.0212 -10418.396700000001 -1710.3486197582595 -1453.3283219027994
298.15 FE TA 0.47 0.53 -23164.79 -13383.99 32.804955 -9780.797333249999 639.67 1.0434 -10376.08315 -1713.8249773357109 -1529.7017378404016
298.15 FE TA 0.48 0.52 -23214.74 -13479.77 32.651267 -9734.975256049998 650.4 1.0656 -10333.7696 -1716.3060974737868 -1606.9629737335415
298.15 FE TA 0.49 0.51 -23249.99 -13559.71 32.501347 -9690.27660805 661.01 1.0878 -10291.45605 -1717.7939745058845 -1685.0569396175615
298.15 FE TA 0.5 0.5 -23270.36 -13623.68 32.355117 -9646.67813355 671.5 1.11 -10249.1425 -1718.289801199083 -1763.930300028948
298.15 FE TA 0.51 0.49 -23275.72 -13671.56 32.212503 -9604.15776945 681.87 1.1322 -10206.82895 -1717.7939745058845 -1843.5313627657836
298.15 FE TA 0.52 0.48 -23265.94 -13703.24 32.073434 -9562.6943471 692.12 1.1544 -10164.5154 -1716.3060974737868 -1923.8099789739706
298.15 FE TA 0.53 0.47 -23240.92 -13718.66 31.937842 -9522.267592299999 702.25 1.1766 -10122.20185 -1713.8249773357109 -2004.7174530121094
298.15 FE TA 0.54 0.46 -23200.6 -13717.75 31.805661 -9482.85782715 712.26 1.1988 -10079.888299999999 -1710.3486197582595 -2086.206460801762
298.15 FE TA 0.55 0.45 -23144.93 -13700.48 31.676826 -9444.445671899999 722.15 1.221 -10037.57475 -1705.8742191782392 -2168.230975576302
