T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 FE TI 0.0 1.0 -4597.55 6475.8 37.1402 -11073.350629999999 1.043e-27 2.22e-30 -4597.55 0.0 -0.0
298.15 FE TI 1.0 0.0 -8133.465 -0.02978855 27.279676 -8133.435399399999 1043.0 2.22 -8133.465 0.0 -5837.568155846089
298.15 FE TI 0.01 0.99 -5182.223 5988.155 37.465632 -11170.378180799999 10.43 0.0222 -4632.9091499999995 -138.82602141683572 -1.2173716933975972e-07
298.15 FE TI 0.02 0.98 -5728.357 5505.937 37.680007 -11234.29408705 20.86 0.0444 -4668.2683 -243.03584172567548 -7.707477287391463e-06
298.15 FE TI 0.03 0.97 -6257.017 5029.428 37.854921 -11286.444696149998 31.29 0.0666 -4703.62745 -334.02154674813943 -8.686631064102029e-05
298.15 FE TI 0.04 0.96 -6772.426 4558.904 38.005467 -11331.32998605 41.72 0.0888 -4738.9866 -416.3281974105132 -0.00048300851422781164
298.15 FE TI 0.05 0.95 -7276.43 4094.63 38.138722 -11371.059964299999 52.15 0.111 -4774.3457499999995 -492.11297050679866 -0.0018237377253851313
298.15 FE TI 0.06 0.94 -7769.99 3636.865 38.258778 -11406.854660699999 62.58 0.1332 -4809.7049 -562.6452650375949 -0.005391022825081831
298.15 FE TI 0.07 0.93 -8253.646 3185.851 38.368261 -11439.497017149999 73.01 0.1554 -4845.06405 -628.7628773593874 -0.013459980631745846
298.15 FE TI 0.08 0.92 -8727.703 2741.816 38.468957 -11469.51952955 83.44 0.1776 -4880.4232 -691.0604007790716 -0.0297000666995776
298.15 FE TI 0.09 0.91 -9192.324 2304.97 38.562112 -11497.293692799998 93.87 0.1998 -4915.78235 -749.9816351924776 -0.05963488252441791
298.15 FE TI 0.1 0.9 -9647.581 1875.497 38.648593 -11523.078002949998 104.3 0.222 -4951.1415 -805.870345271772 -0.1111571782788611
298.15 FE TI 0.11 0.89 -10093.49 1453.556 38.728977 -11547.04449255 114.73 0.2442 -4986.50065 -859.000492370776 -0.19509598485936586
298.15 FE TI 0.12 0.88 -10530.02 1039.272 38.803601 -11569.293638149999 125.16 0.2664 -5021.8598 -909.5953759771999 -0.3258331923045998
298.15 FE TI 0.13 0.87 -10957.13 632.7339 38.872594 -11589.8639011 135.59 0.2886 -5057.21895 -957.840348132521 -0.5219673891792395
298.15 FE TI 0.14 0.86 -11374.75 233.9886 38.935892 -11608.7361998 146.02 0.3108 -5092.578100000001 -1003.8915915105914 -0.8070235485126451
298.15 FE TI 0.15 0.85 -11782.8 -156.9663 38.993241 -11625.834804149998 156.45 0.333 -5127.93725 -1047.882375954332 -1.2102084740511028
298.15 FE TI 0.16 0.84 -12181.21 -540.1871 39.044197 -11641.027335549998 166.88 0.3552 -5163.2964 -1089.9276385420173 -1.7672142920549188
298.15 FE TI 0.17 0.83 -12569.91 -915.7916 39.08812 -11654.122978 177.31 0.3774 -5198.65555 -1130.1274135160918 -2.5210764974203363
298.15 FE TI 0.18 0.82 -12948.83 -1283.967 39.124157 -11664.867409549997 187.74 0.3996 -5234.014700000001 -1168.5694517045056 -3.5231004638124275
298.15 FE TI 0.19 0.81 -13317.92 -1644.979 39.151225 -11672.937733749997 198.17 0.4218 -5269.37385 -1205.3312553507326 -4.833883083843802
298.15 FE TI 0.2 0.8 -13677.12 -1999.186 39.167982 -11677.9338333 208.6 0.444 -5304.733 -1240.4816826440385 -6.524477980236605
298.15 FE TI 0.21 0.79 -14026.42 -2347.053 39.172776 -11679.363164399998 219.03 0.4662 -5340.09215 -1274.08222978906 -8.677789934804087
298.15 FE TI 0.22 0.78 -14365.8 -2689.179 39.163574 -11676.619588099999 229.46 0.4884 -5375.451300000001 -1306.188067542519 -11.390348589596279
298.15 FE TI 0.23 0.77 -14695.29 -3026.343 39.137838 -11668.9463997 239.89 0.5106 -5410.810450000001 -1336.8488881016199 -14.774725621218478
298.15 FE TI 0.24 0.76 -15014.94 -3359.565 39.092304 -11655.370437599999 250.32 0.5328 -5446.1696 -1366.1096036088943 -18.963067854996847
