T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 FE ZN 0.0 1.0 -10273.74 2886.96 44.1412 -13160.698779999999 1.043e-27 2.22e-30 -10273.74 0.0 -0.0
298.15 FE ZN 1.0 0.0 -8132.861 1.177657 27.2817 -8134.038855 1043.0 2.22 -8132.861 0.0 -5837.568155846089
298.15 FE ZN 0.01 0.99 -10300.31 2949.594 44.440397 -13249.904365549999 10.43 0.0222 -10252.33121 -138.82602141683572 -1.2173716933975972e-07
298.15 FE ZN 0.02 0.98 -10293.11 3012.228 44.626327 -13305.33939505 20.86 0.0444 -10230.922419999999 -243.03584172567548 -7.707477287391463e-06
298.15 FE ZN 0.03 0.97 -10273.53 3074.861 44.77071 -13348.3871865 31.29 0.0666 -10209.51363 -334.02154674813943 -8.686631064102029e-05
298.15 FE ZN 0.04 0.96 -10246.09 3137.492 44.888756 -13383.5826014 41.72 0.0888 -10188.10484 -416.3281974105132 -0.00048300851422781164
298.15 FE ZN 0.05 0.95 -10212.96 3200.115 44.987659 -13413.07053085 52.15 0.111 -10166.69605 -492.11297050679866 -0.0018237377253851313
298.15 FE ZN 0.06 0.94 -10175.38 3262.722 45.071622 -13438.104099299999 62.58 0.1332 -10145.28726 -562.6452650375949 -0.005391022825081831
298.15 FE ZN 0.07 0.93 -10134.2 3325.295 45.143379 -13459.49844885 73.01 0.1554 -10123.87847 -628.7628773593874 -0.013459980631745846
298.15 FE ZN 0.08 0.92 -10090.01 3387.806 45.204822 -13477.817679299998 83.44 0.1776 -10102.46968 -691.0604007790716 -0.0297000666995776
298.15 FE ZN 0.09 0.91 -10043.25 3450.214 45.2573 -13493.463995 93.87 0.1998 -10081.06089 -749.9816351924776 -0.05963488252441791
298.15 FE ZN 0.1 0.9 -9994.264 3512.46 45.301777 -13506.72481255 104.3 0.222 -10059.6521 -805.870345271772 -0.1111571782788611
298.15 FE ZN 0.11 0.89 -9943.338 3574.463 45.338924 -13517.800190599999 114.73 0.2442 -10038.24331 -859.000492370776 -0.19509598485936586
298.15 FE ZN 0.12 0.88 -9890.706 3636.113 45.369172 -13526.818631799999 125.16 0.2664 -10016.83452 -909.5953759771999 -0.3258331923045998
298.15 FE ZN 0.13 0.87 -9836.573 3697.272 45.392739 -13533.845132849998 135.59 0.2886 -9995.42573 -957.840348132521 -0.5219673891792395
298.15 FE ZN 0.14 0.86 -9781.123 3757.762 45.409644 -13538.885358599999 146.02 0.3108 -9974.01694 -1003.8915915105914 -0.8070235485126451
298.15 FE ZN 0.15 0.85 -9724.524 3817.364 45.419715 -13541.888027249997 156.45 0.333 -9952.60815 -1047.882375954332 -1.2102084740511028
298.15 FE ZN 0.16 0.84 -9666.936 3875.809 45.422588 -13542.744612199998 166.88 0.3552 -9931.19936 -1089.9276385420173 -1.7672142920549188
298.15 FE ZN 0.17 0.83 -9608.514 3932.772 45.417696 -13541.286062399999 177.31 0.3774 -9909.790570000001 -1130.1274135160918 -2.5210764974203363
298.15 FE ZN 0.18 0.82 -9549.416 3987.864 45.404259 -13537.27982085 187.74 0.3996 -9888.38178 -1168.5694517045056 -3.5231004638124275
298.15 FE ZN 0.19 0.81 -9489.801 4040.622 45.381262 -13530.423265299998 198.17 0.4218 -9866.97299 -1205.3312553507326 -4.833883083843802
298.15 FE ZN 0.2 0.8 -9429.837 4090.499 45.347427 -13520.33536005 208.6 0.444 -9845.5642 -1240.4816826440385 -6.524477980236605
298.15 FE ZN 0.21 0.79 -9369.7 4136.843 45.301165 -13506.542344749998 219.03 0.4662 -9824.15541 -1274.08222978906 -8.677789934804087
