T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 FE ZN 0.0 1.0 -10273.74 2886.96 44.1412 -13160.698779999999 1.5473e-27 2.22e-30 -10273.74 0.0 -0.0
298.15 FE ZN 1.0 0.0 -8132.746 0.6829054 27.279653 -8133.428541949999 1043.0 2.22 -8132.746 0.0 -5837.568155846089
298.15 FE ZN 0.01 0.99 -10381.51 2850.82 44.381436 -13232.3251434 15.42257 0.0222 -10252.33006 -138.82602141683572 -8.605684253495638e-07
298.15 FE ZN 0.02 0.98 -10450.92 2819.991 44.510848 -13270.9093312 30.74428 0.0444 -10230.92012 -243.03584172567548 -5.359970099135758e-05
298.15 FE ZN 0.03 0.97 -10503.45 2794.369 44.60111 -13297.820946499998 45.96513 0.0666 -10209.51018 -334.02154674813943 -0.0005942456684256322
298.15 FE ZN 0.04 0.96 -10543.73 2773.841 44.667366 -13317.575172899999 61.08512 0.0888 -10188.10024 -416.3281974105132 -0.003250202695840966
298.15 FE ZN 0.05 0.95 -10574.01 2758.274 44.716702 -13332.2847013 76.10425 0.111 -10166.6903 -492.11297050679866 -0.012070781423501455
298.15 FE ZN 0.06 0.94 -10595.64 2747.507 44.753146 -13343.1504799 91.02252 0.1332 -10145.28036 -562.6452650375949 -0.03509439388439212
298.15 FE ZN 0.07 0.93 -10609.57 2741.333 44.779162 -13350.9071503 105.83993 0.1554 -10123.87042 -628.7628773593874 -0.08617491028708776
298.15 FE ZN 0.08 0.92 -10616.51 2739.489 44.796239 -13355.99865785 120.55648 0.1776 -10102.46048 -691.0604007790716 -0.1869994428838879
298.15 FE ZN 0.09 0.91 -10617.02 2741.634 44.805159 -13358.65815585 135.17217 0.1998 -10081.05054 -749.9816351924776 -0.36923905821520964
298.15 FE ZN 0.1 0.9 -10611.61 2747.337 44.806124 -13358.945870599999 149.687 0.222 -10059.6406 -805.870345271772 -0.6767839410585774
298.15 FE ZN 0.11 0.89 -10600.71 2756.057 44.798803 -13356.76311445 164.10097 0.2442 -10038.23066 -859.000492370776 -1.1680281662623502
298.15 FE ZN 0.12 0.88 -10584.73 2767.125 44.782356 -13351.859441399998 178.41408 0.2664 -10016.82072 -909.5953759771999 -1.9181921035802318
298.15 FE ZN 0.13 0.87 -10564.1 2779.724 44.755412 -13343.826087799998 192.62633 0.2886 -9995.41078 -957.840348132521 -3.021713095036276
298.15 FE ZN 0.14 0.86 -10539.22 2792.861 44.716027 -13332.083450049999 206.73772 0.3108 -9974.00084 -1003.8915915105914 -4.594816557020982
298.15 FE ZN 0.15 0.85 -10510.52 2805.334 44.661596 -13315.8548474 220.74825 0.333 -9952.5909 -1047.882375954332 -6.778536080726322
298.15 FE ZN 0.16 0.84 -10478.45 2815.661 44.588669 -13294.11166235 234.65792 0.3552 -9931.18096 -1089.9276385420173 -9.742755865725396
298.15 FE ZN 0.17 0.83 -10443.5 2821.964 44.492586 -13265.4645159 248.46673 0.3774 -9909.77102 -1130.1274135160918 -13.692465781716905
298.15 FE ZN 0.18 0.82 -10406.22 2821.711 44.366687 -13227.92772905 262.17468 0.3996 -9888.36108 -1168.5694517045056 -18.878734683881742
298.15 FE ZN 0.19 0.81 -10367.24 2811.164 44.200575 -13178.401436249998 275.78177 0.4218 -9866.951140000001 -1205.3312553507326 -25.61983917242288
298.15 FE ZN 0.2 0.8 -10327.36 2784.131 43.976149 -13111.488824349999 289.288 0.444 -9845.5412 -1240.4816826440385 -34.34466385435372
298.15 FE ZN 0.21 0.79 -10287.74 2720.82 43.630937 -13008.56386655 302.69337 0.4662 -9824.13126 -1274.08222978906 -45.87554331298381
298.15 FE ZN 0.22 0.78 -10250.03 2642.025 43.240165 -12892.055194749999 315.99788 0.4884 -9802.72132 -1306.188067542519 -62.829776043083946
298.15 FE ZN 0.23 0.77 -10213.86 2577.427 42.902195 -12791.289439249998 329.20153 0.5106 -9781.311380000001 -1336.8488881016199 -85.01936922030337
298.15 FE ZN 0.24 0.76 -10178.7 2522.737 42.600844 -12701.4416386 342.30432 0.5328 -9759.90144 -1366.1096036088943 -111.7101771745173
298.15 FE ZN 0.25 0.75 -10144.21 2475.367 42.326257 -12619.573524549998 355.30625 0.555 -9738.4915 -1394.0109271940482 -142.37797653730078
298.15 FE ZN 0.26 0.74 -10110.12 2433.671 42.072087 -12543.79273905 368.20732 0.5772 -9717.081559999999 -1420.5898600324033 -176.62705511769593
298.15 FE ZN 0.27 0.73 -10076.28 2396.538 41.834038 -12472.818429699999 381.00753 0.5994 -9695.67162 -1445.8801024662048 -214.1450556076137
298.15 FE ZN 0.28 0.72 -10042.56 2363.189 41.60907 -12405.7442205 393.70688 0.6216 -9674.26168 -1469.9124032129614 -254.67649482304705
298.15 FE ZN 0.29 0.71 -10008.85 2333.05 41.394948 -12341.9037462 406.30537 0.6438 -9652.851739999998 -1492.7148576699553 -298.00642249359436
