T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 GA V 0.0 1.0 -9209.853 0.0002657617 30.89 -9209.8535 0.0 0.0 -9209.853 0.0 -0.0
298.15 GA V 1.0 0.0 -11131.13 4500.001 52.427057 -15631.127044549998 0.0 0.0 -11131.13 0.0 -0.0
298.15 GA V 0.01 0.99 -10243.46 -828.5041 31.577926 -9414.958636899999 0.0 0.0 -9229.06577 -138.82602141683572 -0.0
298.15 GA V 0.02 0.98 -11203.22 -1617.815 32.149609 -9585.40592335 0.0 0.0 -9248.27854 -243.03584172567548 -0.0
298.15 GA V 0.03 0.97 -12111.18 -2368.592 32.676797 -9742.58702555 0.0 0.0 -9267.49131 -334.02154674813943 -0.0
298.15 GA V 0.04 0.96 -12972.54 -3081.494 33.174736 -9891.0475384 0.0 0.0 -9286.704079999998 -416.3281974105132 -0.0
298.15 GA V 0.05 0.95 -13790.13 -3757.181 33.65066 -10032.944279 0.0 0.0 -9305.91685 -492.11297050679866 -0.0
298.15 GA V 0.06 0.94 -14565.86 -4396.313 34.108828 -10169.5470682 0.0 0.0 -9325.129619999998 -562.6452650375949 -0.0
298.15 GA V 0.07 0.93 -15301.24 -4999.55 34.552048 -10301.693111199998 0.0 0.0 -9344.342389999998 -628.7628773593874 -0.0
298.15 GA V 0.08 0.92 -15997.53 -5567.55 34.982316 -10429.977515399998 0.0 0.0 -9363.55516 -691.0604007790716 -0.0
298.15 GA V 0.09 0.91 -16655.82 -6100.974 35.401119 -10554.84362985 0.0 0.0 -9382.76793 -749.9816351924776 -0.0
298.15 GA V 0.1 0.9 -17277.12 -6600.482 35.809612 -10676.6358178 0.0 0.0 -9401.980699999998 -805.870345271772 -0.0
298.15 GA V 0.11 0.89 -17862.36 -7066.732 36.208712 -10795.627482799999 0.0 0.0 -9421.19347 -859.000492370776 -0.0
298.15 GA V 0.12 0.88 -18412.43 -7500.384 36.599169 -10912.04223735 0.0 0.0 -9440.406239999998 -909.5953759771999 -0.0
298.15 GA V 0.13 0.87 -18928.16 -7902.098 36.981604 -11026.065232599998 0.0 0.0 -9459.619009999999 -957.840348132521 -0.0
298.15 GA V 0.14 0.86 -19410.39 -8272.534 37.356541 -11137.852699149998 0.0 0.0 -9478.831779999999 -1003.8915915105914 -0.0
298.15 GA V 0.15 0.85 -19859.89 -8612.352 37.724428 -11247.5382082 0.0 0.0 -9498.044549999999 -1047.882375954332 -0.0
298.15 GA V 0.16 0.84 -20277.45 -8922.21 38.085649 -11355.236249349999 0.0 0.0 -9517.257319999999 -1089.9276385420173 -0.0
298.15 GA V 0.17 0.83 -20663.82 -9202.768 38.440541 -11461.047299150001 0.0 0.0 -9536.470089999999 -1130.1274135160918 -0.0
298.15 GA V 0.18 0.82 -21019.75 -9454.687 38.789396 -11565.0584174 0.0 0.0 -9555.682859999999 -1168.5694517045056 -0.0
298.15 GA V 0.19 0.81 -21345.97 -9678.625 39.132477 -11667.348017549999 0.0 0.0 -9574.895629999999 -1205.3312553507326 -0.0
298.15 GA V 0.2 0.8 -21643.23 -9875.242 39.470013 -11767.98437595 0.0 0.0 -9594.1084 -1240.4816826440385 -0.0
298.15 GA V 0.21 0.79 -21912.23 -10045.2 39.80221 -11867.0289115 0.0 0.0 -9613.32117 -1274.08222978906 -0.0
298.15 GA V 0.22 0.78 -22153.69 -10189.15 40.129254 -11964.5370801 0.0 0.0 -9632.53394 -1306.188067542519 -0.0
298.15 GA V 0.23 0.77 -22368.32 -10307.77 40.451312 -12060.5586728 0.0 0.0 -9651.74671 -1336.8488881016199 -0.0
298.15 GA V 0.24 0.76 -22556.83 -10401.7 40.768534 -12155.1384121 0.0 0.0 -9670.95948 -1366.1096036088943 -0.0
298.15 GA V 0.25 0.75 -22719.92 -10471.6 41.081056 -12248.316846399997 0.0 0.0 -9690.17225 -1394.0109271940482 -0.0
298.15 GA V 0.26 0.74 -22858.28 -10518.15 41.389003 -12340.13124445 0.0 0.0 -9709.38502 -1420.5898600324033 -0.0
298.15 GA V 0.27 0.73 -22972.6 -10541.99 41.692487 -12430.61499905 0.0 0.0 -9728.59779 -1445.8801024662048 -0.0
298.15 GA V 0.28 0.72 -23063.59 -10543.79 41.991613 -12519.79941595 0.0 0.0 -9747.810559999998 -1469.9124032129614 -0.0
298.15 GA V 0.29 0.71 -23131.91 -10524.2 42.286473 -12607.71192495 0.0 0.0 -9767.02333 -1492.7148576699553 -0.0
298.15 GA V 0.3 0.7 -23178.27 -10483.89 42.577155 -12694.378763249999 0.0 0.0 -9786.236099999998 -1514.313164037668 -0.0
298.15 GA V 0.31 0.69 -23203.33 -10423.51 42.863737 -12779.823186549998 0.0 0.0 -9805.448869999998 -1534.730844232385 -0.0
298.15 GA V 0.32 0.68 -23207.79 -10343.73 43.146291 -12864.066661649998 0.0 0.0 -9824.661639999998 -1553.9894352015579 -0.0
298.15 GA V 0.33 0.67 -23192.33 -10245.2 43.424884 -12947.129164599999 0.0 0.0 -9843.874409999999 -1572.1086551954763 -0.0
298.15 GA V 0.34 0.66 -23157.61 -10128.58 43.699576 -13029.028584399999 0.0 0.0 -9863.087179999999 -1589.1065487133012 -0.0
298.15 GA V 0.35 0.65 -23104.32 -9994.542 43.970422 -13109.781319299998 0.0 0.0 -9882.29995 -1604.9996131775667 -0.0
298.15 GA V 0.36 0.64 -23033.14 -9843.734 44.237473 -13189.40257495 0.0 0.0 -9901.512719999999 -1619.8029098595373 -0.0
298.15 GA V 0.37 0.63 -22944.72 -9676.818 44.500775 -13267.906066249998 0.0 0.0 -9920.725489999999 -1633.5301611487748 -0.0
298.15 GA V 0.38 0.62 -22839.76 -9494.454 44.76037 -13345.3043155 0.0 0.0 -9939.938259999999 -1646.193835911596 -0.0
298.15 GA V 0.39 0.61 -22718.91 -9297.302 45.016295 -13421.608354249998 0.0 0.0 -9959.151029999999 -1657.8052243977716 -0.0
298.15 GA V 0.4 0.6 -22582.85 -9086.021 45.268585 -13496.82861775 0.0 0.0 -9978.3638 -1668.3745039196444 -0.0
298.15 GA V 0.41 0.59 -22432.25 -8861.271 45.517271 -13570.97434865 0.0 0.0 -9997.576570000001 -1677.9107963326926 -0.0
298.15 GA V 0.42 0.58 -22267.76 -8623.712 45.762379 -13644.05329885 0.0 0.0 -10016.78934 -1686.4222181834425 -0.0
298.15 GA V 0.43 0.57 -22090.08 -8374.002 46.003934 -13716.0729221 0.0 0.0 -10036.00211 -1693.9159242532326 -0.0
298.15 GA V 0.44 0.56 -21899.84 -8112.803 46.241956 -13787.0391814 0.0 0.0 -10055.21488 -1700.3981451097393 -0.0
298.15 GA V 0.45 0.55 -21697.73 -7840.773 46.476463 -13856.95744345 0.0 0.0 -10074.42765 -1705.8742191782392 -0.0
298.15 GA V 0.46 0.54 -21484.4 -7558.572 46.707471 -13925.832478649998 0.0 0.0 -10093.64042 -1710.3486197582595 -0.0
298.15 GA V 0.47 0.53 -21260.53 -7266.859 46.934991 -13993.667566649998 0.0 0.0 -10112.85319 -1713.8249773357109 -0.0
298.15 GA V 0.48 0.52 -21026.76 -6966.295 47.159034 -14060.465987099999 0.0 0.0 -10132.06596 -1716.3060974737868 -0.0
298.15 GA V 0.49 0.51 -20783.77 -6657.539 47.379604 -14126.2289326 0.0 0.0 -10151.278729999998 -1717.7939745058845 -0.0
298.15 GA V 0.5 0.5 -20532.21 -6341.249 47.596708 -14190.958490199999 0.0 0.0 -10170.4915 -1718.289801199083 -0.0
298.15 GA V 0.51 0.49 -20272.74 -6018.087 47.810346 -14254.6546599 0.0 0.0 -10189.704269999998 -1717.7939745058845 -0.0
298.15 GA V 0.52 0.48 -20006.03 -5688.712 48.020516 -14317.316845399999 0.0 0.0 -10208.91704 -1716.3060974737868 -0.0
298.15 GA V 0.53 0.47 -19732.73 -5353.782 48.227215 -14378.94415225 0.0 0.0 -10228.129809999999 -1713.8249773357109 -0.0
298.15 GA V 0.54 0.46 -19453.49 -5013.959 48.430435 -14439.53419525 0.0 0.0 -10247.34258 -1710.3486197582595 -0.0
298.15 GA V 0.55 0.45 -19168.99 -4669.901 48.630169 -14499.08488735 0.0 0.0 -10266.555349999999 -1705.8742191782392 -0.0
298.15 GA V 0.56 0.44 -18879.86 -4322.268 48.826403 -14557.592054449999 0.0 0.0 -10285.76812 -1700.3981451097393 -0.0
298.15 GA V 0.57 0.43 -18586.77 -3971.719 49.019122 -14615.0512243 0.0 0.0 -10304.980889999999 -1693.9159242532328 -0.0
298.15 GA V 0.58 0.42 -18290.37 -3618.915 49.208308 -14671.4570302 0.0 0.0 -10324.193659999999 -1686.4222181834425 -0.0
298.15 GA V 0.59 0.41 -17991.32 -3264.515 49.393941 -14726.803509149999 0.0 0.0 -10343.40643 -1677.910796332693 -0.0
298.15 GA V 0.6 0.4 -17690.26 -2909.178 49.575997 -14781.08350555 0.0 0.0 -10362.6192 -1668.3745039196444 -0.0
298.15 GA V 0.61 0.39 -17387.85 -2553.564 49.754448 -14834.288671199998 0.0 0.0 -10381.83197 -1657.8052243977716 -0.0
298.15 GA V 0.62 0.38 -17084.74 -2198.333 49.929264 -14886.4100616 0.0 0.0 -10401.04474 -1646.193835911596 -0.0
298.15 GA V 0.63 0.37 -16781.58 -1844.144 50.10041 -14937.437241499998 0.0 0.0 -10420.25751 -1633.5301611487748 -0.0
298.15 GA V 0.64 0.36 -16479.02 -1491.657 50.267849 -14987.359179349998 0.0 0.0 -10439.470279999998 -1619.8029098595373 -0.0
298.15 GA V 0.65 0.35 -16177.69 -1141.532 50.431539 -15036.163352849999 0.0 0.0 -10458.68305 -1604.9996131775667 -0.0
