T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 GD ZR 0.0 1.0 -6719.723 7311.125 47.059694 -14030.8477661 0.0 0.0 -6719.723 0.0 -0.0
298.15 GD ZR 1.0 0.0 -17556.99 3982.022 72.242213 -21539.01580595 0.0 0.0 -17556.99 0.0 -0.0
298.15 GD ZR 0.01 0.99 -6645.879 7577.998 47.70712 -14223.877828 0.0 0.0 -6828.095670000001 -138.82602141683572 -0.0
298.15 GD ZR 0.02 0.98 -6536.859 7847.818 48.24644 -14384.676086 0.0 0.0 -6936.468339999999 -243.03584172567548 -0.0
298.15 GD ZR 0.03 0.97 -6414.268 8120.306 48.749202 -14534.574576299998 0.0 0.0 -7044.84101 -334.02154674813943 -0.0
298.15 GD ZR 0.04 0.96 -6282.869 8395.189 49.230447 -14678.057773049999 0.0 0.0 -7153.21368 -416.3281974105132 -0.0
298.15 GD ZR 0.05 0.95 -6145.035 8672.189 49.697211 -14817.22345965 0.0 0.0 -7261.58635 -492.11297050679866 -0.0
298.15 GD ZR 0.06 0.94 -6002.249 8951.032 50.15355 -14953.2809325 0.0 0.0 -7369.959019999999 -562.6452650375949 -0.0
298.15 GD ZR 0.07 0.93 -5855.566 9231.441 50.60207 -15087.007170499997 0.0 0.0 -7478.33169 -628.7628773593874 -0.0
298.15 GD ZR 0.08 0.92 -5705.797 9513.141 51.044566 -15218.9373529 0.0 0.0 -7586.70436 -691.0604007790716 -0.0
298.15 GD ZR 0.09 0.91 -5553.6 9795.855 51.482325 -15349.45519875 0.0 0.0 -7695.07703 -749.9816351924776 -0.0
298.15 GD ZR 0.1 0.9 -5399.535 10079.31 51.916298 -15478.844248699997 0.0 0.0 -7803.449700000001 -805.870345271772 -0.0
298.15 GD ZR 0.11 0.89 -5244.093 10363.23 52.347201 -15607.317978149998 0.0 0.0 -7911.82237 -859.000492370776 -0.0
298.15 GD ZR 0.12 0.88 -5087.711 10647.33 52.775584 -15735.0403696 0.0 0.0 -8020.1950400000005 -909.5953759771999 -0.0
298.15 GD ZR 0.13 0.87 -4930.79 10931.35 53.201865 -15862.136049749999 0.0 0.0 -8128.567710000001 -957.840348132521 -0.0
298.15 GD ZR 0.14 0.86 -4773.704 11215.0 53.626368 -15988.7016192 0.0 0.0 -8236.94038 -1003.8915915105914 -0.0
298.15 GD ZR 0.15 0.85 -4616.801 11498.01 54.049337 -16114.80982655 0.0 0.0 -8345.31305 -1047.882375954332 -0.0
298.15 GD ZR 0.16 0.84 -4460.411 11780.11 54.470957 -16240.515829549999 0.0 0.0 -8453.685720000001 -1089.9276385420173 -0.0
298.15 GD ZR 0.17 0.83 -4304.85 12061.01 54.891362 -16365.859580299999 0.0 0.0 -8562.05839 -1130.1274135160918 -0.0
298.15 GD ZR 0.18 0.82 -4150.422 12340.45 55.310645 -16490.86880675 0.0 0.0 -8670.43106 -1168.5694517045056 -0.0
