T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 H SM 0.0 1.0 -18291.03 3383.115 72.695448 -21674.147821199997 0.0 0.0 -18291.03 0.0 -0.0
298.15 H SM 1.0 0.0 -107838.5 -83946.45 80.134471 -23892.09252865 0.0 0.0 -107838.5 0.0 -0.0
298.15 H SM 0.01 0.99 -19265.32 2569.832 73.235464 -21835.153591599996 0.0 0.0 -19186.504699999998 -138.82602141683572 -0.0
298.15 H SM 0.02 0.98 -20206.21 1755.338 73.659376 -21961.542954399996 0.0 0.0 -20081.9794 -243.03584172567548 -0.0
298.15 H SM 0.03 0.97 -21135.08 939.6305 74.038934 -22074.708172099996 0.0 0.0 -20977.4541 -334.02154674813943 -0.0
298.15 H SM 0.04 0.96 -22056.48 122.711 74.389382 -22179.194243299997 0.0 0.0 -21872.928799999998 -416.3281974105132 -0.0
298.15 H SM 0.05 0.95 -22972.58 -695.4209 74.717956 -22277.1585814 0.0 0.0 -22768.403499999997 -492.11297050679866 -0.0
298.15 H SM 0.06 0.94 -23884.64 -1514.765 75.028913 -22369.87041095 0.0 0.0 -23663.8782 -562.6452650375949 -0.0
298.15 H SM 0.07 0.93 -24793.49 -2335.322 75.325063 -22458.16753345 0.0 0.0 -24559.352899999998 -628.7628773593874 -0.0
298.15 H SM 0.08 0.92 -25699.74 -3157.091 75.608401 -22542.64475815 0.0 0.0 -25454.827599999997 -691.0604007790716 -0.0
298.15 H SM 0.09 0.91 -26603.82 -3980.072 75.880414 -22623.745434099998 0.0 0.0 -26350.3023 -749.9816351924776 -0.0
298.15 H SM 0.1 0.9 -27506.08 -4804.266 76.142256 -22701.8136264 0.0 0.0 -27245.777000000002 -805.870345271772 -0.0
298.15 H SM 0.11 0.89 -28406.8 -5629.672 76.394846 -22777.1233349 0.0 0.0 -28141.2517 -859.000492370776 -0.0
298.15 H SM 0.12 0.88 -29306.19 -6456.291 76.638932 -22849.897575799998 0.0 0.0 -29036.7264 -909.5953759771999 -0.0
298.15 H SM 0.13 0.87 -30204.44 -7284.122 76.875137 -22920.322096549997 0.0 0.0 -29932.2011 -957.840348132521 -0.0
298.15 H SM 0.14 0.86 -31101.72 -8113.165 77.103984 -22988.552829599997 0.0 0.0 -30827.6758 -1003.8915915105914 -0.0
298.15 H SM 0.15 0.85 -31998.14 -8943.421 77.32592 -23054.723047999996 0.0 0.0 -31723.150499999996 -1047.882375954332 -0.0
298.15 H SM 0.16 0.84 -32893.84 -9774.889 77.541331 -23118.947837649997 0.0 0.0 -32618.6252 -1089.9276385420173 -0.0
298.15 H SM 0.17 0.83 -33788.9 -10607.57 77.750552 -23181.327078799997 0.0 0.0 -33514.0999 -1130.1274135160918 -0.0
298.15 H SM 0.18 0.82 -34683.41 -11441.46 77.953878 -23241.9487257 0.0 0.0 -34409.5746 -1168.5694517045056 -0.0
298.15 H SM 0.19 0.81 -35577.46 -12276.57 78.151568 -23300.889999199997 0.0 0.0 -35305.0493 -1205.3312553507326 -0.0
298.15 H SM 0.2 0.8 -36471.11 -13112.89 78.343854 -23358.220070099997 0.0 0.0 -36200.524000000005 -1240.4816826440385 -0.0
298.15 H SM 0.21 0.79 -37364.42 -13950.42 78.530941 -23414.00005915 0.0 0.0 -37095.9987 -1274.08222978906 -0.0
298.15 H SM 0.22 0.78 -38257.44 -14789.16 78.713015 -23468.28542225 0.0 0.0 -37991.4734 -1306.188067542519 -0.0
298.15 H SM 0.23 0.77 -39150.24 -15629.11 78.890242 -23521.125652299997 0.0 0.0 -38886.9481 -1336.8488881016199 -0.0
298.15 H SM 0.24 0.76 -40042.85 -16470.28 79.062773 -23572.56576995 0.0 0.0 -39782.4228 -1366.1096036088943 -0.0
298.15 H SM 0.25 0.75 -40935.31 -17312.66 79.230745 -23622.64662175 0.0 0.0 -40677.8975 -1394.0109271940482 -0.0
