T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 HF TA 0.0 1.0 -12364.82 -0.00107989 41.471806 -12364.8189589 0.0 0.0 -12364.82 0.0 -0.0
298.15 HF TA 1.0 0.0 -2998.588 12377.8 51.572669 -15376.391262349998 0.0 0.0 -2998.588 0.0 -0.0
298.15 HF TA 0.01 0.99 -12132.14 401.625 42.03844 -12533.760886 0.0 0.0 -12271.15768 -138.82602141683572 -0.0
298.15 HF TA 0.02 0.98 -11872.85 795.2335 42.488971 -12668.086703649999 0.0 0.0 -12177.495359999999 -243.03584172567548 -0.0
298.15 HF TA 0.03 0.97 -11608.27 1180.92 42.895147 -12789.18807805 0.0 0.0 -12083.83304 -334.02154674813943 -0.0
298.15 HF TA 0.04 0.96 -11342.83 1558.779 43.272214 -12901.610604099998 0.0 0.0 -11990.17072 -416.3281974105132 -0.0
298.15 HF TA 0.05 0.95 -11078.61 1928.905 43.627406 -13007.511098899999 0.0 0.0 -11896.5084 -492.11297050679866 -0.0
298.15 HF TA 0.06 0.94 -10816.77 2291.391 43.964982 -13108.159383299999 0.0 0.0 -11802.846079999998 -562.6452650375949 -0.0
298.15 HF TA 0.07 0.93 -10558.06 2646.328 44.28775 -13204.3926625 0.0 0.0 -11709.183759999998 -628.7628773593874 -0.0
298.15 HF TA 0.08 0.92 -10303.0 2993.808 44.597706 -13296.8060439 0.0 0.0 -11615.52144 -691.0604007790716 -0.0
298.15 HF TA 0.09 0.91 -10051.92 3333.921 44.896338 -13385.8431747 0.0 0.0 -11521.85912 -749.9816351924776 -0.0
298.15 HF TA 0.1 0.9 -9805.091 3666.756 45.184798 -13471.847523699998 0.0 0.0 -11428.1968 -805.870345271772 -0.0
298.15 HF TA 0.11 0.89 -9562.691 3992.402 45.464006 -13555.093388899999 0.0 0.0 -11334.53448 -859.000492370776 -0.0
298.15 HF TA 0.12 0.88 -9324.858 4310.946 45.734711 -13635.804084649999 0.0 0.0 -11240.87216 -909.5953759771999 -0.0
298.15 HF TA 0.13 0.87 -9091.69 4622.475 45.997535 -13714.16506025 0.0 0.0 -11147.20984 -957.840348132521 -0.0
298.15 HF TA 0.14 0.86 -8863.258 4927.074 46.253 -13790.33195 0.0 0.0 -11053.54752 -1003.8915915105914 -0.0
298.15 HF TA 0.15 0.85 -8639.61 5224.828 46.501555 -13864.43862325 0.0 0.0 -10959.8852 -1047.882375954332 -0.0
298.15 HF TA 0.16 0.84 -8420.778 5515.822 46.743584 -13936.599569599999 0.0 0.0 -10866.22288 -1089.9276385420173 -0.0
