T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 HF W 0.0 1.0 -9724.927 0.0001853305 32.617565 -9724.92700475 0.0 0.0 -9724.927 0.0 -0.0
298.15 HF W 1.0 0.0 -2998.588 12377.8 51.572669 -15376.391262349998 0.0 0.0 -2998.588 0.0 -0.0
298.15 HF W 0.01 0.99 -9633.169 257.4282 33.173225 -9890.59703375 0.0 0.0 -9657.66361 -138.82602141683572 -0.0
298.15 HF W 0.02 0.98 -9501.878 521.9563 33.620106 -10023.834603899999 0.0 0.0 -9590.40022 -243.03584172567548 -0.0
298.15 HF W 0.03 0.97 -9352.699 793.2843 34.029796 -10145.983677399998 0.0 0.0 -9523.13683 -334.02154674813943 -0.0
298.15 HF W 0.04 0.96 -9190.428 1071.112 34.417376 -10261.540654399998 0.0 0.0 -9455.87344 -416.3281974105132 -0.0
298.15 HF W 0.05 0.95 -9017.474 1355.14 34.789917 -10372.61375355 0.0 0.0 -9388.61005 -492.11297050679866 -0.0
298.15 HF W 0.06 0.94 -8835.356 1645.068 35.151517 -10480.424793549999 0.0 0.0 -9321.34666 -562.6452650375949 -0.0
298.15 HF W 0.07 0.93 -8645.166 1940.596 35.50482 -10585.762083 0.0 0.0 -9254.08327 -628.7628773593874 -0.0
298.15 HF W 0.08 0.92 -8447.748 2241.424 35.85166 -10689.172429 0.0 0.0 -9186.81988 -691.0604007790716 -0.0
298.15 HF W 0.09 0.91 -8243.798 2547.253 36.193361 -10791.05058215 0.0 0.0 -9119.556489999999 -749.9816351924776 -0.0
298.15 HF W 0.1 0.9 -8033.912 2857.781 36.530915 -10891.69230725 0.0 0.0 -9052.2931 -805.870345271772 -0.0
298.15 HF W 0.11 0.89 -7818.614 3172.709 36.865078 -10991.323005699998 0.0 0.0 -8985.02971 -859.000492370776 -0.0
298.15 HF W 0.12 0.88 -7598.38 3491.737 37.196435 -11090.11709525 0.0 0.0 -8917.76632 -909.5953759771999 -0.0
298.15 HF W 0.13 0.87 -7373.647 3814.565 37.525445 -11188.211426749998 0.0 0.0 -8850.50293 -957.840348132521 -0.0
298.15 HF W 0.14 0.86 -7144.821 4140.893 37.852471 -11285.71422865 0.0 0.0 -8783.23954 -1003.8915915105914 -0.0
298.15 HF W 0.15 0.85 -6912.289 4470.421 38.177795 -11382.70957925 0.0 0.0 -8715.97615 -1047.882375954332 -0.0
298.15 HF W 0.16 0.84 -6676.416 4802.849 38.501642 -11479.264562299999 0.0 0.0 -8648.712759999999 -1089.9276385420173 -0.0
298.15 HF W 0.17 0.83 -6437.553 5137.877 38.824183 -11575.430161449998 0.0 0.0 -8581.449369999998 -1130.1274135160918 -0.0
298.15 HF W 0.18 0.82 -6196.041 5475.205 39.145551 -11671.246030649998 0.0 0.0 -8514.18598 -1168.5694517045056 -0.0
298.15 HF W 0.19 0.81 -5952.208 5814.533 39.465843 -11766.74109045 0.0 0.0 -8446.92259 -1205.3312553507326 -0.0
298.15 HF W 0.2 0.8 -5706.374 6155.561 39.785126 -11861.935316899999 0.0 0.0 -8379.6592 -1240.4816826440385 -0.0
298.15 HF W 0.21 0.79 -5458.853 6497.989 40.103445 -11956.84212675 0.0 0.0 -8312.39581 -1274.08222978906 -0.0
298.15 HF W 0.22 0.78 -5209.951 6841.517 40.420821 -12051.467781149999 0.0 0.0 -8245.13242 -1306.188067542519 -0.0
298.15 HF W 0.23 0.77 -4959.969 7185.845 40.73726 -12145.814068999998 0.0 0.0 -8177.86903 -1336.8488881016199 -0.0
298.15 HF W 0.24 0.76 -4709.204 7530.673 41.052748 -12239.8768162 0.0 0.0 -8110.60564 -1366.1096036088943 -0.0
