T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 LA SC 0.0 1.0 -8654.576 1979.731 35.66764 -10634.306865999999 0.0 0.0 -8654.576 0.0 -0.0
298.15 LA SC 1.0 0.0 -15085.65 2932.558 60.433381 -18018.212545149996 0.0 0.0 -15085.65 0.0 -0.0
298.15 LA SC 0.01 0.99 -8717.883 2129.089 36.380923 -10846.97219245 0.0 0.0 -8718.886739999998 -138.82602141683572 -0.0
298.15 LA SC 0.02 0.98 -8748.67 2276.352 36.978102 -11025.021111299999 0.0 0.0 -8783.197479999999 -243.03584172567548 -0.0
298.15 LA SC 0.03 0.97 -8768.349 2421.497 37.530928 -11189.8461832 0.0 0.0 -8847.508219999998 -334.02154674813943 -0.0
298.15 LA SC 0.04 0.96 -8781.49 2564.502 38.054643 -11345.99181045 0.0 0.0 -8911.818959999999 -416.3281974105132 -0.0
298.15 LA SC 0.05 0.95 -8790.271 2705.345 38.556484 -11495.615704599999 0.0 0.0 -8976.129699999998 -492.11297050679866 -0.0
298.15 LA SC 0.06 0.94 -8795.985 2844.003 39.040708 -11639.9870902 0.0 0.0 -9040.440439999998 -562.6452650375949 -0.0
298.15 LA SC 0.07 0.93 -8799.49 2980.454 39.510126 -11779.9440669 0.0 0.0 -9104.75118 -628.7628773593874 -0.0
298.15 LA SC 0.08 0.92 -8801.405 3114.675 39.96673 -11916.080549499999 0.0 0.0 -9169.06192 -691.0604007790716 -0.0
298.15 LA SC 0.09 0.91 -8802.195 3246.645 40.412011 -12048.84107965 0.0 0.0 -9233.372659999999 -749.9816351924776 -0.0
298.15 LA SC 0.1 0.9 -8802.227 3376.342 40.84712 -12178.568827999998 0.0 0.0 -9297.6834 -805.870345271772 -0.0
298.15 LA SC 0.11 0.89 -8801.797 3503.741 41.272977 -12305.538092549998 0.0 0.0 -9361.994139999999 -859.000492370776 -0.0
298.15 LA SC 0.12 0.88 -8801.15 3628.823 41.690331 -12429.972187649999 0.0 0.0 -9426.30488 -909.5953759771999 -0.0
298.15 LA SC 0.13 0.87 -8800.493 3751.563 42.099803 -12552.056264449999 0.0 0.0 -9490.61562 -957.840348132521 -0.0
298.15 LA SC 0.14 0.86 -8800.007 3871.94 42.501917 -12671.946553549998 0.0 0.0 -9554.92636 -1003.8915915105914 -0.0
298.15 LA SC 0.15 0.85 -8799.846 3989.931 42.89712 -12789.776328 0.0 0.0 -9619.237099999998 -1047.882375954332 -0.0
