T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 LI MG 0.0 1.0 -7266.279 3100.0 34.768673 -10366.279854949998 0.0 0.0 -7266.279 0.0 -0.0
298.15 LI MG 1.0 0.0 -8682.319 -9.986887e-05 29.120639 -8682.318517849999 0.0 0.0 -8682.319 0.0 -0.0
298.15 LI MG 0.01 0.99 -7584.546 2878.983 35.094851 -10463.52982565 0.0 0.0 -7280.4394 -138.82602141683572 -0.0
298.15 LI MG 0.02 0.98 -7865.489 2661.148 35.306514 -10526.637149099999 0.0 0.0 -7294.599800000001 -243.03584172567548 -0.0
298.15 LI MG 0.03 0.97 -8130.419 2446.577 35.475419 -10576.996174849999 0.0 0.0 -7308.760200000001 -334.02154674813943 -0.0
298.15 LI MG 0.04 0.96 -8383.804 2235.349 35.616814 -10619.153094099998 0.0 0.0 -7322.9206 -416.3281974105132 -0.0
298.15 LI MG 0.05 0.95 -8627.725 2027.542 35.737939 -10655.266512849998 0.0 0.0 -7337.081 -492.11297050679866 -0.0
298.15 LI MG 0.06 0.94 -8863.379 1823.229 35.843057 -10686.60744455 0.0 0.0 -7351.241400000001 -562.6452650375949 -0.0
298.15 LI MG 0.07 0.93 -9091.533 1622.482 35.934984 -10714.015479599999 0.0 0.0 -7365.4018 -628.7628773593874 -0.0
298.15 LI MG 0.08 0.92 -9312.715 1425.371 36.015717 -10738.08602355 0.0 0.0 -7379.5622 -691.0604007790716 -0.0
298.15 LI MG 0.09 0.91 -9527.303 1231.962 36.08675 -10759.2645125 0.0 0.0 -7393.7226 -749.9816351924776 -0.0
298.15 LI MG 0.1 0.9 -9735.577 1042.319 36.149241 -10777.89620415 0.0 0.0 -7407.883000000001 -805.870345271772 -0.0
298.15 LI MG 0.11 0.89 -9937.752 856.5045 36.204113 -10794.25629095 0.0 0.0 -7422.0434000000005 -859.000492370776 -0.0
298.15 LI MG 0.12 0.88 -10133.99 674.5768 36.25212 -10808.569577999999 0.0 0.0 -7436.2038 -909.5953759771999 -0.0
298.15 LI MG 0.13 0.87 -10324.43 496.5925 36.293886 -10821.0221109 0.0 0.0 -7450.3642 -957.840348132521 -0.0
298.15 LI MG 0.14 0.86 -10509.17 322.6055 36.32994 -10831.771611 0.0 0.0 -7464.524600000001 -1003.8915915105914 -0.0
298.15 LI MG 0.15 0.85 -10688.29 152.6672 36.360734 -10840.9528421 0.0 0.0 -7478.685 -1047.882375954332 -0.0
298.15 LI MG 0.16 0.84 -10861.86 -13.17364 36.386656 -10848.681486399999 0.0 0.0 -7492.8454 -1089.9276385420173 -0.0
298.15 LI MG 0.17 0.83 -11029.93 -174.8707 36.408045 -10855.058616749999 0.0 0.0 -7507.0058 -1130.1274135160918 -0.0
298.15 LI MG 0.18 0.82 -11192.55 -332.3802 36.425201 -10860.17367815 0.0 0.0 -7521.1662000000015 -1168.5694517045056 -0.0
298.15 LI MG 0.19 0.81 -11349.77 -485.6612 36.438385 -10864.104487749999 0.0 0.0 -7535.3266 -1205.3312553507326 -0.0
298.15 LI MG 0.2 0.8 -11501.6 -634.6749 36.447833 -10866.92140895 0.0 0.0 -7549.487000000001 -1240.4816826440385 -0.0
298.15 LI MG 0.21 0.79 -11648.07 -779.3853 36.453755 -10868.68705325 0.0 0.0 -7563.6474 -1274.08222978906 -0.0
298.15 LI MG 0.22 0.78 -11789.22 -919.7589 36.456338 -10869.457174699999 0.0 0.0 -7577.8078000000005 -1306.188067542519 -0.0
298.15 LI MG 0.23 0.77 -11925.05 -1055.765 36.455752 -10869.282458799998 0.0 0.0 -7591.9682 -1336.8488881016199 -0.0
298.15 LI MG 0.24 0.76 -12055.58 -1187.374 36.452151 -10868.20882065 0.0 0.0 -7606.1286 -1366.1096036088943 -0.0
298.15 LI MG 0.25 0.75 -12180.84 -1314.562 36.445674 -10866.277703099999 0.0 0.0 -7620.289 -1394.0109271940482 -0.0
298.15 LI MG 0.26 0.74 -12300.83 -1437.305 36.436449 -10863.527269350001 0.0 0.0 -7634.4494 -1420.5898600324033 -0.0
298.15 LI MG 0.27 0.73 -12415.57 -1555.581 36.424591 -10859.99180665 0.0 0.0 -7648.6098 -1445.8801024662048 -0.0
298.15 LI MG 0.28 0.72 -12525.08 -1669.373 36.410205 -10855.702620749998 0.0 0.0 -7662.7702 -1469.9124032129614 -0.0
298.15 LI MG 0.29 0.71 -12629.35 -1778.666 36.393389 -10850.68893035 0.0 0.0 -7676.9306 -1492.7148576699553 -0.0
298.15 LI MG 0.3 0.7 -12728.42 -1883.445 36.37423 -10844.976674499998 0.0 0.0 -7691.091 -1514.313164037668 -0.0
298.15 LI MG 0.31 0.69 -12822.29 -1983.701 36.352811 -10838.59059965 0.0 0.0 -7705.251399999999 -1534.730844232385 -0.0
298.15 LI MG 0.32 0.68 -12910.98 -2079.425 36.329205 -10831.552470749999 0.0 0.0 -7719.4118 -1553.9894352015579 -0.0
298.15 LI MG 0.33 0.67 -12994.5 -2170.613 36.303481 -10823.882860149999 0.0 0.0 -7733.5722000000005 -1572.1086551954763 -0.0
298.15 LI MG 0.34 0.66 -13072.86 -2257.26 36.275701 -10815.600253149998 0.0 0.0 -7747.732599999999 -1589.1065487133012 -0.0
298.15 LI MG 0.35 0.65 -13146.09 -2339.368 36.245922 -10806.7216443 0.0 0.0 -7761.893 -1604.9996131775667 -0.0
298.15 LI MG 0.36 0.64 -13214.2 -2416.938 36.214196 -10797.2625374 0.0 0.0 -7776.0534 -1619.8029098595373 -0.0
298.15 LI MG 0.37 0.63 -13277.21 -2489.974 36.180571 -10787.237243649999 0.0 0.0 -7790.2138 -1633.5301611487748 -0.0
