T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 LI NA 0.0 1.0 -15295.09 0.001639839 51.300004 -15295.0961926 0.0 0.0 -15295.09 0.0 -0.0
298.15 LI NA 1.0 0.0 -8682.128 -9.984377e-05 29.12 -8682.127999999999 0.0 0.0 -8682.128 0.0 -0.0
298.15 LI NA 0.01 0.99 -15209.39 158.4016 51.543829 -15367.79261635 0.0 0.0 -15228.96038 -138.82602141683572 -0.0
298.15 LI NA 0.02 0.98 -15092.27 313.6016 51.671551 -15405.872930649999 0.0 0.0 -15162.83076 -243.03584172567548 -0.0
298.15 LI NA 0.03 0.97 -14965.13 465.6016 51.754919 -15430.72909985 0.0 0.0 -15096.70114 -334.02154674813943 -0.0
298.15 LI NA 0.04 0.96 -14832.5 614.4016 51.809177 -15446.906122549999 0.0 0.0 -15030.57152 -416.3281974105132 -0.0
298.15 LI NA 0.05 0.95 -14696.56 760.0016 51.84156 -15456.561113999998 0.0 0.0 -14964.4419 -492.11297050679866 -0.0
298.15 LI NA 0.06 0.94 -14558.56 902.4015 51.856327 -15460.96389505 0.0 0.0 -14898.31228 -562.6452650375949 -0.0
298.15 LI NA 0.07 0.93 -14419.35 1041.602 51.856287 -15460.95196905 0.0 0.0 -14832.18266 -628.7628773593874 -0.0
298.15 LI NA 0.08 0.92 -14279.52 1177.602 51.843434 -15457.119847099999 0.0 0.0 -14766.053040000003 -691.0604007790716 -0.0
298.15 LI NA 0.09 0.91 -14139.51 1310.401 51.819257 -15449.91147455 0.0 0.0 -14699.92342 -749.9816351924776 -0.0
298.15 LI NA 0.1 0.9 -13999.67 1440.001 51.784909 -15439.67061835 0.0 0.0 -14633.7938 -805.870345271772 -0.0
298.15 LI NA 0.11 0.89 -13860.27 1566.401 51.741309 -15426.671278349999 0.0 0.0 -14567.66418 -859.000492370776 -0.0
298.15 LI NA 0.12 0.88 -13721.53 1689.601 51.689205 -15411.13647075 0.0 0.0 -14501.53456 -909.5953759771999 -0.0
298.15 LI NA 0.13 0.87 -13583.65 1809.601 51.629219 -15393.25164485 0.0 0.0 -14435.40494 -957.840348132521 -0.0
298.15 LI NA 0.14 0.86 -13446.77 1926.401 51.561876 -15373.173329399999 0.0 0.0 -14369.275319999999 -1003.8915915105914 -0.0
298.15 LI NA 0.15 0.85 -13311.03 2040.001 51.487622 -15351.0344993 0.0 0.0 -14303.1457 -1047.882375954332 -0.0
298.15 LI NA 0.16 0.84 -13176.55 2150.401 51.406843 -15326.95024045 0.0 0.0 -14237.01608 -1089.9276385420173 -0.0
298.15 LI NA 0.17 0.83 -13043.42 2257.601 51.319874 -15301.020433099999 0.0 0.0 -14170.88646 -1130.1274135160918 -0.0
298.15 LI NA 0.18 0.82 -12911.73 2361.601 51.227009 -15273.33273335 0.0 0.0 -14104.756840000002 -1168.5694517045056 -0.0
298.15 LI NA 0.19 0.81 -12781.56 2462.401 51.128509 -15243.96495835 0.0 0.0 -14038.627220000002 -1205.3312553507326 -0.0
298.15 LI NA 0.2 0.8 -12652.98 2560.001 51.024604 -15212.985682599998 0.0 0.0 -13972.4976 -1240.4816826440385 -0.0
298.15 LI NA 0.21 0.79 -12526.06 2654.401 50.915501 -15180.45662315 0.0 0.0 -13906.36798 -1274.08222978906 -0.0
298.15 LI NA 0.22 0.78 -12400.83 2745.601 50.801384 -15146.432639599998 0.0 0.0 -13840.238360000001 -1306.188067542519 -0.0
298.15 LI NA 0.23 0.77 -12277.36 2833.601 50.682421 -15110.963821149999 0.0 0.0 -13774.108740000001 -1336.8488881016199 -0.0
298.15 LI NA 0.24 0.76 -12155.69 2918.401 50.558762 -15074.094890299999 0.0 0.0 -13707.97912 -1366.1096036088943 -0.0
298.15 LI NA 0.25 0.75 -12035.87 3000.001 50.430544 -15035.866693599997 0.0 0.0 -13641.8495 -1394.0109271940482 -0.0
298.15 LI NA 0.26 0.74 -11917.91 3078.401 50.29789 -14996.315903499999 0.0 0.0 -13575.71988 -1420.5898600324033 -0.0
298.15 LI NA 0.27 0.73 -11801.88 3153.601 50.160914 -14955.476509099999 0.0 0.0 -13509.59026 -1445.8801024662048 -0.0
298.15 LI NA 0.28 0.72 -11687.78 3225.601 50.019719 -14913.37921985 0.0 0.0 -13443.460640000001 -1469.9124032129614 -0.0
298.15 LI NA 0.29 0.71 -11575.65 3294.401 49.874399 -14870.052061849998 0.0 0.0 -13377.33102 -1492.7148576699553 -0.0
