T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 LI NI 0.0 1.0 -1521.871 7989.419 31.901023 -9511.29000745 575.0 0.85 -1521.871 0.0 -1042.4491903721046
298.15 LI NI 1.0 0.0 -8682.128 -9.982922e-05 29.12 -8682.127999999999 5.75e-10 8.5e-13 -8682.128 0.0 -2.3998092509008474e-69
298.15 LI NI 0.01 0.99 -1511.806 8130.492 32.340427 -9642.298310049999 569.25 0.8415 -1593.47357 -138.82602141683572 -1010.6616647419114
298.15 LI NI 0.02 0.98 -1471.51 8267.332 32.664239 -9738.84285785 563.5 0.833 -1665.0761400000001 -243.03584172567548 -979.2479402806309
298.15 LI NI 0.03 0.97 -1422.38 8399.941 32.944225 -9822.32068375 557.75 0.8245 -1736.6787100000001 -334.02154674813943 -948.2115681597018
298.15 LI NI 0.04 0.96 -1368.963 8528.319 33.195648 -9897.282451199999 552.0 0.816 -1808.2812800000002 -416.3281974105132 -917.556195514785
298.15 LI NI 0.05 0.95 -1313.421 8652.47 33.425761 -9965.89064215 546.25 0.8075 -1879.8838500000002 -492.11297050679866 -887.285570553273
298.15 LI NI 0.06 0.94 -1257.026 8772.394 33.63884 -10029.420146 540.5 0.799 -1951.48642 -562.6452650375949 -857.4035480589283
298.15 LI NI 0.07 0.93 -1200.621 8888.094 33.837716 -10088.715025399999 534.75 0.7905 -2023.0889900000002 -628.7628773593874 -827.9140953333723
298.15 LI NI 0.08 0.92 -1144.804 8999.573 34.024406 -10144.376648899999 529.0 0.782 -2094.69156 -691.0604007790716 -798.8212986190266
298.15 LI NI 0.09 0.91 -1090.023 9106.832 34.20042 -10196.855222999999 523.25 0.7735 -2166.29413 -749.9816351924776 -770.1293700537575
298.15 LI NI 0.1 0.9 -1036.625 9209.877 34.366936 -10246.5019684 517.5 0.765 -2237.8967000000002 -805.870345271772 -741.8426552139449
298.15 LI NI 0.11 0.89 -984.8901 9308.708 34.524899 -10293.598636849998 511.75 0.7565 -2309.4992700000003 -859.000492370776 -713.965641310195
298.15 LI NI 0.12 0.88 -935.0448 9403.332 34.675084 -10338.376294599999 506.0 0.748 -2381.1018400000003 -909.5953759771999 -686.5029661086496
298.15 LI NI 0.13 0.87 -887.2796 9493.75 34.818144 -10381.029633599997 500.25 0.7395 -2452.7044100000003 -957.840348132521 -659.4594276609371
298.15 LI NI 0.14 0.86 -841.7553 9579.968 34.954633 -10421.72382895 494.5 0.731 -2524.3069800000003 -1003.8915915105914 -632.8399949376828
298.15 LI NI 0.15 0.85 -798.6102 9661.991 35.08503 -10460.601694500001 488.75 0.7225 -2595.9095500000003 -1047.882375954332 -606.6498194743813
298.15 LI NI 0.16 0.84 -757.9644 9739.825 35.209757 -10497.78904955 483.0 0.714 -2667.5121200000003 -1089.9276385420173 -580.8942481547824
298.15 LI NI 0.17 0.83 -719.9232 9813.474 35.329188 -10533.3974022 477.25 0.7055 -2739.1146900000003 -1130.1274135160918 -555.5788372763093
298.15 LI NI 0.18 0.82 -684.5799 9882.946 35.443657 -10567.526334549999 471.5 0.697 -2810.7172600000004 -1168.5694517045056 -530.7093680649807
298.15 LI NI 0.19 0.81 -652.0178 9948.249 35.553468 -10600.2664842 465.75 0.6885 -2882.3198300000004 -1205.3312553507326 -506.29186383473336
298.15 LI NI 0.2 0.8 -622.3116 10009.39 35.658899 -10631.700736849998 460.0 0.68 -2953.9224000000004 -1240.4816826440385 -482.3326090188716
