T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 MG MN 0.0 1.0 -6300.583 3888.498 34.174348 -10189.0818562 580.0 0.27 -6300.583 0.0 -413.1990706628121
298.15 MG MN 1.0 0.0 -7266.973 3100.0 34.771001 -10366.973948149998 5.8e-10 2.7e-13 -7266.973 0.0 -7.960477393113495e-70
298.15 MG MN 0.01 0.99 -5746.614 4583.982 34.648988 -10330.5957722 574.2 0.2673 -6310.246899999999 -138.82602141683572 -400.11873971202965
298.15 MG MN 0.02 0.98 -5172.214 5265.325 35.007676 -10437.538599399999 568.4 0.2646 -6319.9108 -243.03584172567548 -387.2173699841187
298.15 MG MN 0.03 0.97 -4598.777 5932.527 35.322168 -10531.304389199999 562.6 0.2619 -6329.574699999999 -334.02154674813943 -374.4959039837361
298.15 MG MN 0.04 0.96 -4030.849 6585.59 35.607713 -10616.439630949999 556.8 0.2592 -6339.2386 -416.3281974105132 -361.9553094428378
298.15 MG MN 0.05 0.95 -3470.588 7224.515 35.871551 -10695.102930649999 551.0 0.2565 -6348.902499999999 -492.11297050679866 -349.5965808491786
298.15 MG MN 0.06 0.94 -2919.264 7849.302 36.117947 -10768.56589805 545.2 0.2538 -6358.5664 -562.6452650375949 -337.4207411003242
298.15 MG MN 0.07 0.93 -2377.717 8459.951 36.349716 -10837.6678254 539.4 0.2511 -6368.230299999999 -628.7628773593874 -325.42884329593306
298.15 MG MN 0.08 0.92 -1846.541 9056.465 36.568861 -10903.005907149998 533.6 0.2484 -6377.8942 -691.0604007790716 -313.6219726826328
298.15 MG MN 0.09 0.91 -1326.182 9638.844 36.776876 -10965.0255794 527.8 0.2457 -6387.5581 -749.9816351924776 -302.00124876764124
298.15 MG MN 0.1 0.9 -816.9845 10207.09 36.974922 -11024.072994299999 522.0 0.243 -6397.222 -805.870345271772 -290.5678276193599
298.15 MG MN 0.11 0.89 -319.2237 10761.2 37.163927 -11080.42483505 516.2 0.2403 -6406.8859 -859.000492370776 -279.32290437558953
298.15 MG MN 0.12 0.88 166.8758 11301.18 37.344648 -11134.306801199999 510.4 0.2376 -6416.5498 -909.5953759771999 -268.26771598281533
298.15 MG MN 0.13 0.87 641.1277 11827.03 37.517715 -11185.90672725 504.6 0.2349 -6426.2137 -957.840348132521 -257.4035441932757
298.15 MG MN 0.14 0.86 1103.374 12338.76 37.683663 -11235.38412345 498.8 0.2322 -6435.8776 -1003.8915915105914 -246.73171885032912
298.15 MG MN 0.15 0.85 1553.481 12836.36 37.842949 -11282.875244349998 493.0 0.2295 -6445.541499999999 -1047.882375954332 -236.2536214971058
298.15 MG MN 0.16 0.84 1991.332 13319.83 37.995969 -11328.498157349999 487.2 0.2268 -6455.2054 -1089.9276385420173 -225.9706893486869
298.15 MG MN 0.17 0.83 2416.825 13789.18 38.143072 -11372.356916799998 481.4 0.2241 -6464.869299999999 -1130.1274135160918 -215.88441967426377
298.15 MG MN 0.18 0.82 2829.872 14244.41 38.284565 -11414.54305475 475.6 0.2214 -6474.5332 -1168.5694517045056 -205.99637464310814
298.15 MG MN 0.19 0.81 3230.393 14685.53 38.42072 -11455.137668 469.8 0.2187 -6484.1971 -1205.3312553507326 -196.3081866969676
298.15 MG MN 0.2 0.8 3618.317 15112.53 38.551785 -11494.21469775 464.0 0.216 -6493.861000000001 -1240.4816826440385 -186.8215645220292
298.15 MG MN 0.21 0.79 3993.583 15525.42 38.677982 -11531.840333299999 458.2 0.2133 -6503.5249 -1274.08222978906 -177.53829970625475
298.15 MG MN 0.22 0.78 4356.132 15924.21 38.799514 -11568.0750991 452.4 0.2106 -6513.1888 -1306.188067542519 -168.46027418318286
298.15 MG MN 0.23 0.77 4705.913 16308.89 38.916565 -11602.973854749998 446.6 0.2079 -6522.8527 -1336.8488881016199 -159.58946858190757
298.15 MG MN 0.24 0.76 5042.879 16679.47 39.029308 -11636.588180199999 440.8 0.2052 -6532.5166 -1366.1096036088943 -150.92797162561936
298.15 MG MN 0.25 0.75 5366.988 17035.95 39.137901 -11668.96518315 435.0 0.2025 -6542.1805 -1394.0109271940482 -142.4779907489894
298.15 MG MN 0.26 0.74 5678.2 17378.35 39.242493 -11700.14928795 429.2 0.1998 -6551.8444 -1420.5898600324033 -134.24186413906912
298.15 MG MN 0.27 0.73 5976.48 17706.66 39.343224 -11730.1822356 423.4 0.1971 -6561.5082999999995 -1445.8801024662048 -126.22207444709913
298.15 MG MN 0.28 0.72 6261.794 18020.9 39.440227 -11759.103680049999 417.6 0.1944 -6571.1722 -1469.9124032129614 -118.42126447195103
298.15 MG MN 0.29 0.71 6534.112 18321.06 39.53363 -11786.9517845 411.8 0.1917 -6580.8360999999995 -1492.7148576699553 -110.84225518292723
298.15 MG MN 0.3 0.7 6793.405 18607.17 39.623553 -11813.76232695 406.0 0.189 -6590.5 -1514.313164037668 -103.48806653431616
298.15 MG MN 0.31 0.69 7039.646 18879.22 39.710118 -11839.5716817 400.2 0.1863 -6600.1639 -1534.730844232385 -96.36194163179907
298.15 MG MN 0.32 0.68 7272.811 19137.23 39.793442 -11864.414732299998 394.4 0.1836 -6609.827799999999 -1553.9894352015579 -89.4673749486668
298.15 MG MN 0.33 0.67 7492.878 19381.2 39.873641 -11888.326064149998 388.6 0.1809 -6619.4917 -1572.1086551954763 -82.80814546742717
298.15 MG MN 0.34 0.66 7699.823 19611.16 39.950834 -11911.3411571 382.8 0.1782 -6629.1556 -1589.1065487133012 -76.38835585283799
298.15 MG MN 0.35 0.65 7893.626 19827.12 40.02514 -11933.495491 377.0 0.1755 -6638.8195 -1604.9996131775667 -70.21247906337287
298.15 MG MN 0.36 0.64 8074.269 20029.1 40.096687 -11954.82722905 371.2 0.1728 -6648.483399999999 -1619.8029098595373 -64.2854142040503
298.15 MG MN 0.37 0.63 8241.732 20217.11 40.165604 -11975.3748326 365.4 0.1701 -6658.1473 -1633.5301611487748 -58.61255394807436
298.15 MG MN 0.38 0.62 8395.998 20391.18 40.232035 -11995.18123525 359.6 0.1674 -6667.8112 -1646.193835911596 -53.199866554699554
298.15 MG MN 0.39 0.61 8537.05 20551.34 40.296132 -12014.291755799999 353.8 0.1647 -6677.4751 -1657.8052243977716 -48.053996451810505
298.15 MG MN 0.4 0.6 8664.87 20697.63 40.358066 -12032.7573779 348.0 0.162 -6687.138999999999 -1668.3745039196444 -43.18238862650855
298.15 MG MN 0.41 0.59 8779.442 20830.08 40.418029 -12050.635346349998 342.2 0.1593 -6696.802900000001 -1677.9107963326926 -38.593443807215635
298.15 MG MN 0.42 0.58 8880.749 20948.74 40.476244 -12067.9921486 336.4 0.1566 -6706.4668 -1686.4222181834425 -34.296713814977196
298.15 MG MN 0.43 0.57 8968.775 21053.68 40.532967 -12084.904111049998 330.6 0.1539 -6716.1307 -1693.9159242532326 -30.303149781815836
298.15 MG MN 0.44 0.56 9043.502 21144.96 40.588504 -12101.462467599998 324.8 0.1512 -6725.7946 -1700.3981451097393 -26.62542057567921
298.15 MG MN 0.45 0.55 9104.912 21222.69 40.643224 -12117.777235599999 319.0 0.1485 -6735.458500000001 -1705.8742191782392 -23.27832531436875
298.15 MG MN 0.46 0.54 9152.984 21286.97 40.697578 -12133.9828807 313.2 0.1458 -6745.1224 -1710.3486197582595 -20.279333151045506
298.15 MG MN 0.47 0.53 9187.697 21337.94 40.752128 -12150.2469632 307.4 0.1431 -6754.7863 -1713.8249773357109 -17.649296846774906
298.15 MG MN 0.48 0.52 9209.026 21375.81 40.807579 -12166.779678849998 301.6 0.1404 -6764.450199999999 -1716.3060974737868 -15.413405926521396
298.15 MG MN 0.49 0.51 9216.951 21398.3 40.856451 -12181.35086565 295.8 0.1377 -6774.1141 -1717.7939745058845 -13.582650584043105
298.15 MG MN 0.5 0.5 9211.549 21401.77 40.886211 -12190.22380965 290.0 0.135 -6783.778 -1718.289801199083 -11.99245718632246
298.15 MG MN 0.51 0.49 9192.874 21389.17 40.906565 -12196.29235475 284.2 0.1323 -6793.4419 -1717.7939745058845 -10.577631986474884
298.15 MG MN 0.52 0.48 9160.961 21360.88 40.918733 -12199.92024395 278.4 0.1296 -6803.105799999999 -1716.3060974737868 -9.316671650047802
298.15 MG MN 0.53 0.47 9115.836 21317.21 40.923607 -12201.373427049999 272.6 0.1269 -6812.7697 -1713.8249773357109 -8.191880298216564
298.15 MG MN 0.54 0.46 9057.524 21258.37 40.921853 -12200.850471949998 266.8 0.1242 -6822.4336 -1710.3486197582595 -7.188403822482785
298.15 MG MN 0.55 0.45 8986.047 21184.55 40.913974 -12198.5013481 261.0 0.1215 -6832.0975 -1705.8742191782392 -6.293547292912227
