T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 MG TM 0.0 1.0 -17067.56 5000.0 74.01496 -22067.560324 0.0 0.0 -17067.56 0.0 -0.0
298.15 MG TM 1.0 0.0 -7266.973 3100.0 34.771001 -10366.973948149998 0.0 0.0 -7266.973 0.0 -0.0
298.15 MG TM 0.01 0.99 -17367.98 4731.701 74.12268 -22099.677042 0.0 0.0 -16969.554130000004 -138.82602141683572 -0.0
298.15 MG TM 0.02 0.98 -17623.46 4473.143 74.112368 -22096.602519199998 0.0 0.0 -16871.54826 -243.03584172567548 -0.0
298.15 MG TM 0.03 0.97 -17855.56 4224.182 74.055811 -22079.74004965 0.0 0.0 -16773.542390000002 -334.02154674813943 -0.0
298.15 MG TM 0.04 0.96 -18068.97 3984.674 73.968292 -22053.6462598 0.0 0.0 -16675.536519999998 -416.3281974105132 -0.0
298.15 MG TM 0.05 0.95 -18266.01 3754.476 73.857083 -22020.48929645 0.0 0.0 -16577.53065 -492.11297050679866 -0.0
298.15 MG TM 0.06 0.94 -18448.11 3533.442 73.726479 -21981.549713849996 0.0 0.0 -16479.52478 -562.6452650375949 -0.0
298.15 MG TM 0.07 0.93 -18616.25 3321.43 73.579328 -21937.6766432 0.0 0.0 -16381.518909999999 -628.7628773593874 -0.0
298.15 MG TM 0.08 0.92 -18771.18 3118.295 73.417662 -21889.4759253 0.0 0.0 -16283.513040000002 -691.0604007790716 -0.0
298.15 MG TM 0.09 0.91 -18913.51 2923.893 73.243007 -21837.40253705 0.0 0.0 -16185.507170000003 -749.9816351924776 -0.0
298.15 MG TM 0.1 0.9 -19043.73 2738.08 73.056554 -21781.8115751 0.0 0.0 -16087.501300000002 -805.870345271772 -0.0
298.15 MG TM 0.11 0.89 -19162.28 2560.711 72.859259 -21722.988070849995 0.0 0.0 -15989.49543 -859.000492370776 -0.0
298.15 MG TM 0.12 0.88 -19269.52 2391.644 72.65191 -21661.166966499997 0.0 0.0 -15891.489560000002 -909.5953759771999 -0.0
