T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 MG YB 0.0 1.0 -17525.05 354.2762 59.967549 -17879.324734349997 0.0 0.0 -17525.05 0.0 -0.0
298.15 MG YB 1.0 0.0 -7266.973 3100.0 34.771001 -10366.973948149998 0.0 0.0 -7266.973 0.0 -0.0
298.15 MG YB 0.01 0.99 -17521.62 502.4315 60.452972 -18024.0536018 0.0 0.0 -17422.46923 -138.82602141683572 -0.0
298.15 MG YB 0.02 0.98 -17481.13 651.4023 60.816801 -18132.529218149997 0.0 0.0 -17319.88846 -243.03584172567548 -0.0
298.15 MG YB 0.03 0.97 -17425.05 801.0892 61.130786 -18226.1438459 0.0 0.0 -17217.307689999998 -334.02154674813943 -0.0
298.15 MG YB 0.04 0.96 -17358.05 951.3924 61.410171 -18309.442483649997 0.0 0.0 -17114.726919999997 -416.3281974105132 -0.0
298.15 MG YB 0.05 0.95 -17282.37 1102.212 61.662191 -18384.58224665 0.0 0.0 -17012.146149999997 -492.11297050679866 -0.0
298.15 MG YB 0.06 0.94 -17199.38 1253.45 61.891105 -18452.83295575 0.0 0.0 -16909.56538 -562.6452650375949 -0.0
298.15 MG YB 0.07 0.93 -17110.03 1405.004 62.099721 -18515.03181615 0.0 0.0 -16806.98461 -628.7628773593874 -0.0
298.15 MG YB 0.08 0.92 -17015.0 1556.777 62.290035 -18571.77393525 0.0 0.0 -16704.40384 -691.0604007790716 -0.0
298.15 MG YB 0.09 0.91 -16914.83 1708.668 62.463534 -18623.5026621 0.0 0.0 -16601.82307 -749.9816351924776 -0.0
298.15 MG YB 0.1 0.9 -16809.98 1860.578 62.621372 -18670.5620618 0.0 0.0 -16499.2423 -805.870345271772 -0.0
298.15 MG YB 0.11 0.89 -16700.82 2012.407 62.764467 -18713.225836049998 0.0 0.0 -16396.66153 -859.000492370776 -0.0
298.15 MG YB 0.12 0.88 -16587.66 2164.055 62.893569 -18751.717597349998 0.0 0.0 -16294.08076 -909.5953759771999 -0.0
298.15 MG YB 0.13 0.87 -16470.8 2315.423 63.009299 -18786.222496849998 0.0 0.0 -16191.49999 -957.840348132521 -0.0
298.15 MG YB 0.14 0.86 -16350.49 2466.412 63.112181 -18816.89676515 0.0 0.0 -16088.91922 -1003.8915915105914 -0.0
298.15 MG YB 0.15 0.85 -16226.95 2616.921 63.202662 -18843.873675299998 0.0 0.0 -15986.33845 -1047.882375954332 -0.0
298.15 MG YB 0.16 0.84 -16100.42 2766.851 63.281128 -18867.2683132 0.0 0.0 -15883.757679999999 -1089.9276385420173 -0.0
298.15 MG YB 0.17 0.83 -15971.08 2916.103 63.347914 -18887.1805591 0.0 0.0 -15781.17691 -1130.1274135160918 -0.0
298.15 MG YB 0.18 0.82 -15839.12 3064.577 63.403314 -18903.6980691 0.0 0.0 -15678.596140000001 -1168.5694517045056 -0.0
298.15 MG YB 0.19 0.81 -15704.73 3212.172 63.447588 -18916.898362199998 0.0 0.0 -15576.015370000001 -1205.3312553507326 -0.0
298.15 MG YB 0.2 0.8 -15568.06 3358.791 63.480968 -18926.8506092 0.0 0.0 -15473.4346 -1240.4816826440385 -0.0
298.15 MG YB 0.21 0.79 -15429.28 3504.332 63.503659 -18933.61593085 0.0 0.0 -15370.85383 -1274.08222978906 -0.0
298.15 MG YB 0.22 0.78 -15288.55 3648.697 63.515847 -18937.24978305 0.0 0.0 -15268.273060000001 -1306.188067542519 -0.0
298.15 MG YB 0.23 0.77 -15146.02 3791.785 63.517698 -18937.8016587 0.0 0.0 -15165.69229 -1336.8488881016199 -0.0
