T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 MN CO 0.0 1.0 -6300.583 3888.498 34.174348 -10189.0818562 580.0 0.27 -6300.583 0.0 -413.1990706628121
298.15 MN CO 1.0 0.0 -7023.669 2142.445 30.743297 -9166.114000549998 1450.0 1.35 -7023.669 0.0 -6747.367288577929
298.15 MN CO 0.01 0.99 -6558.102 3809.682 34.773715 -10367.78312725 559.7 0.2538 -6307.813859999999 -138.82602141683572 -359.6649580485115
298.15 MN CO 0.02 0.98 -6779.909 3732.52 35.258857 -10512.428214549998 539.4 0.2376 -6315.04472 -243.03584172567548 -309.6687569939517
298.15 MN CO 0.03 0.97 -6987.465 3656.951 35.701546 -10644.4159399 519.1 0.2214 -6322.2755799999995 -334.02154674813943 -263.27574331522874
298.15 MN CO 0.04 0.96 -7185.385 3582.906 36.117026 -10768.2913019 498.8 0.2052 -6329.506439999999 -416.3281974105132 -220.55129137607935
298.15 MN CO 0.05 0.95 -7375.895 3510.307 36.512501 -10886.202173149999 478.5 0.189 -6336.737299999999 -492.11297050679866 -181.559911060767
298.15 MN CO 0.06 0.94 -7560.33 3439.065 36.892151 -10999.394820649999 458.2 0.1728 -6343.968159999999 -562.6452650375949 -146.3637904464085
298.15 MN CO 0.07 0.93 -7739.592 3369.071 37.258639 -11108.66321785 437.9 0.1566 -6351.199019999999 -628.7628773593874 -115.02059151192908
298.15 MN CO 0.08 0.92 -7914.333 3300.195 37.613711 -11214.52793465 417.6 0.1404 -6358.42988 -691.0604007790716 -87.58010074908655
298.15 MN CO 0.09 0.91 -8085.043 3232.272 37.958459 -11317.314550849998 397.3 0.1242 -6365.66074 -749.9816351924776 -64.07909125951336
298.15 MN CO 0.1 0.9 -8252.093 3165.088 38.293414 -11417.181384099998 377.0 0.108 -6372.8916 -805.870345271772 -44.533319813169115
298.15 MN CO 0.11 0.89 -8415.757 3098.36 38.618538 -11514.117104699999 356.7 0.0918 -6380.12246 -859.000492370776 -28.924763802407806
298.15 MN CO 0.12 0.88 -8576.21 3031.69 38.933088 -11607.900187199999 336.4 0.0756 -6387.35332 -909.5953759771999 -17.180491256656623
298.15 MN CO 0.13 0.87 -8733.508 2964.483 39.235254 -11697.990980099998 316.1 0.0594 -6394.58418 -957.840348132521 -9.135424423757348
298.15 MN CO 0.14 0.86 -8887.532 2894.884 39.518419 -11782.416624849999 295.8 0.0432 -6401.8150399999995 -1003.8915915105914 -4.4527999662696995
298.15 MN CO 0.15 0.85 -9037.502 2811.629 39.74218 -11849.130967 275.5 0.027 -6409.045899999999 -1047.882375954332 -1.9292941696499455
298.15 MN CO 0.16 0.84 -9182.421 2723.033 39.931088 -11905.4538872 255.2 0.0108 -6416.27676 -1089.9276385420173 -0.5259523869748346
298.15 MN CO 0.17 0.83 -9322.285 2630.944 40.091326 -11953.2288469 234.9 0.0054 -6423.507619999999 -1130.1274135160918 -0.17352311110636395
298.15 MN CO 0.18 0.82 -9456.529 2538.962 40.233074 -11995.4910131 214.6 0.0216 -6430.73848 -1168.5694517045056 -0.4374185998268121
298.15 MN CO 0.19 0.81 -9583.944 2453.575 40.374034 -12037.5182371 194.3 0.0378 -6437.969340000001 -1205.3312553507326 -0.46173244908091843
298.15 MN CO 0.2 0.8 -9704.794 2373.795 40.511783 -12078.58810145 174.0 0.054 -6445.2002 -1240.4816826440385 -0.3768410732907883
298.15 MN CO 0.21 0.79 -9819.259 2299.032 40.644945 -12118.29035175 153.7 0.0702 -6452.43106 -1274.08222978906 -0.2614172912152624
298.15 MN CO 0.22 0.78 -9927.457 2228.972 40.772864 -12156.429401599999 133.4 0.0864 -6459.6619200000005 -1306.188067542519 -0.15725466161779456
298.15 MN CO 0.23 0.77 -10029.46 2163.491 40.89537 -12192.954565499998 113.1 0.1026 -6466.89278 -1336.8488881016199 -0.08119045504296266
298.15 MN CO 0.24 0.76 -10125.33 2102.576 41.012583 -12227.901621449999 92.8 0.1188 -6474.12364 -1366.1096036088943 -0.03470384114520998
298.15 MN CO 0.25 0.75 -10215.07 2046.275 41.124769 -12261.34987735 72.5 0.135 -6481.3544999999995 -1394.0109271940482 -0.011393603096147694
298.15 MN CO 0.26 0.74 -10298.73 1994.656 41.23223 -12293.389374499999 52.2 0.1512 -6488.58536 -1420.5898600324033 -0.0024512948724852717
298.15 MN CO 0.27 0.73 -10376.32 1947.776 41.335233 -12324.09971895 31.9 0.1674 -6495.81622 -1445.8801024662048 -0.000229662954631692
298.15 MN CO 0.28 0.72 -10447.87 1905.669 41.433977 -12353.540242549998 11.6 0.1836 -6503.04708 -1469.9124032129614 -1.5902721992470159e-06
298.15 MN CO 0.29 0.71 -10513.4 1868.35 41.528592 -12381.7497048 8.7 0.1998 -6510.27794 -1492.7148576699553 -4.078142621103556e-07
298.15 MN CO 0.3 0.7 -10572.94 1835.818 41.619164 -12408.753746599998 29.0 0.216 -6517.5088 -1514.313164037668 -0.0001801815952499345
298.15 MN CO 0.31 0.69 -10626.51 1808.057 41.705728 -12434.562803199999 49.3 0.2322 -6524.739659999999 -1534.730844232385 -0.002731447832105474
