T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 MN CU 0.0 1.0 -6300.583 3888.498 34.174348 -10189.0818562 580.0 0.27 -6300.583 0.0 -413.1990706628121
298.15 MN CU 1.0 0.0 -6240.8 4017.002 34.404834 -10257.8012571 5.8e-10 2.7e-13 -6240.8 0.0 -7.960477393113495e-70
298.15 MN CU 0.01 0.99 -6172.507 4204.876 34.805914 -10377.3832591 574.2 0.2673 -6299.98517 -138.82602141683572 -400.11873971202965
298.15 MN CU 0.02 0.98 -6020.155 4509.991 35.318284 -10530.146374599999 568.4 0.2646 -6299.387339999999 -243.03584172567548 -387.2173699841187
298.15 MN CU 0.03 0.97 -5864.769 4803.996 35.783214 -10668.765254099999 562.6 0.2619 -6298.78951 -334.02154674813943 -374.4959039837361
298.15 MN CU 0.04 0.96 -5710.741 5087.045 36.215952 -10797.7860888 556.8 0.2592 -6298.191679999999 -416.3281974105132 -361.9553094428378
298.15 MN CU 0.05 0.95 -5560.08 5359.289 36.62374 -10919.368080999999 551.0 0.2565 -6297.593849999999 -492.11297050679866 -349.5965808491786
298.15 MN CU 0.06 0.94 -5413.901 5620.881 37.010841 -11034.78224415 545.2 0.2538 -6296.99602 -562.6452650375949 -337.4207411003242
298.15 MN CU 0.07 0.93 -5272.894 5871.975 37.380072 -11144.868466799999 539.4 0.2511 -6296.398189999999 -628.7628773593874 -325.42884329593306
298.15 MN CU 0.08 0.92 -5137.501 6112.723 37.733433 -11250.223048949998 533.6 0.2484 -6295.80036 -691.0604007790716 -313.6219726826328
298.15 MN CU 0.09 0.91 -5008.014 6343.278 38.072421 -11351.292321149998 527.8 0.2457 -6295.2025300000005 -749.9816351924776 -302.00124876764124
298.15 MN CU 0.1 0.9 -4884.628 6563.794 38.398196 -11448.422137399999 522.0 0.243 -6294.6047 -805.870345271772 -290.5678276193599
298.15 MN CU 0.11 0.89 -4767.465 6774.424 38.711685 -11541.88888275 516.2 0.2403 -6294.00687 -859.000492370776 -279.32290437558953
298.15 MN CU 0.12 0.88 -4656.597 6975.321 39.013645 -11631.918256749997 510.4 0.2376 -6293.40904 -909.5953759771999 -268.26771598281533
298.15 MN CU 0.13 0.87 -4552.06 7166.639 39.304709 -11718.69898835 504.6 0.2349 -6292.81121 -957.840348132521 -257.4035441932757
298.15 MN CU 0.14 0.86 -4453.857 7348.532 39.585408 -11802.3893952 498.8 0.2322 -6292.21338 -1003.8915915105914 -246.73171885032912
298.15 MN CU 0.15 0.85 -4361.973 7521.153 39.856201 -11883.126328149998 493.0 0.2295 -6291.6155499999995 -1047.882375954332 -236.2536214971058
298.15 MN CU 0.16 0.84 -4276.372 7684.656 40.117485 -11961.02815275 487.2 0.2268 -6291.01772 -1089.9276385420173 -225.9706893486869
298.15 MN CU 0.17 0.83 -4197.002 7839.196 40.369607 -12036.19832705 481.4 0.2241 -6290.419889999999 -1130.1274135160918 -215.88441967426377
298.15 MN CU 0.18 0.82 -4123.801 7984.927 40.612874 -12108.728383099999 475.6 0.2214 -6289.82206 -1168.5694517045056 -205.99637464310814
298.15 MN CU 0.19 0.81 -4056.696 8122.004 40.847561 -12178.700312149998 469.8 0.2187 -6289.22423 -1205.3312553507326 -196.3081866969676
298.15 MN CU 0.2 0.8 -3995.606 8250.581 41.073912 -12246.1868628 464.0 0.216 -6288.6264 -1240.4816826440385 -186.8215645220292
298.15 MN CU 0.21 0.79 -3940.441 8370.814 41.292151 -12311.254820649998 458.2 0.2133 -6288.02857 -1274.08222978906 -177.53829970625475
298.15 MN CU 0.22 0.78 -3891.107 8482.857 41.502481 -12373.96471015 452.4 0.2106 -6287.43074 -1306.188067542519 -168.46027418318286
298.15 MN CU 0.23 0.77 -3847.503 8586.868 41.705086 -12434.3713909 446.6 0.2079 -6286.83291 -1336.8488881016199 -159.58946858190757
298.15 MN CU 0.24 0.76 -3809.524 8683.002 41.900138 -12492.5261447 440.8 0.2052 -6286.23508 -1366.1096036088943 -150.92797162561936
298.15 MN CU 0.25 0.75 -3777.061 8771.416 42.087796 -12548.476377399998 435.0 0.2025 -6285.63725 -1394.0109271940482 -142.4779907489894
298.15 MN CU 0.26 0.74 -3750.0 8852.267 42.26821 -12602.2668115 429.2 0.1998 -6285.03942 -1420.5898600324033 -134.24186413906912
