T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 MN CU 0.0 1.0 -6300.583 3888.498 34.174348 -10189.0818562 580.0 0.27 -6300.583 0.0 -413.1990706628121
298.15 MN CU 1.0 0.0 -6240.8 4017.002 34.404834 -10257.8012571 5.8e-10 2.7e-13 -6240.8 0.0 -7.960477393113495e-70
298.15 MN CU 0.01 0.99 -6240.571 4106.643 34.704726 -10347.2140569 574.2 0.2673 -6299.98517 -138.82602141683572 -400.11873971202965
298.15 MN CU 0.02 0.98 -6153.809 4316.608 35.117953 -10470.417686949999 568.4 0.2646 -6299.387339999999 -243.03584172567548 -387.2173699841187
298.15 MN CU 0.03 0.97 -6061.573 4518.513 35.485783 -10580.086201449998 562.6 0.2619 -6298.78951 -334.02154674813943 -374.4959039837361
298.15 MN CU 0.04 0.96 -5968.289 4712.477 35.823466 -10680.766387900001 556.8 0.2592 -6298.191679999999 -416.3281974105132 -361.9553094428378
298.15 MN CU 0.05 0.95 -5875.998 4898.619 36.138243 -10774.61715045 551.0 0.2565 -6297.593849999999 -492.11297050679866 -349.5965808491786
298.15 MN CU 0.06 0.94 -5785.852 5077.057 36.434377 -10862.90950255 545.2 0.2538 -6296.99602 -562.6452650375949 -337.4207411003242
298.15 MN CU 0.07 0.93 -5698.571 5247.912 36.714685 -10946.48333275 539.4 0.2511 -6296.398189999999 -628.7628773593874 -325.42884329593306
298.15 MN CU 0.08 0.92 -5614.632 5411.303 36.981168 -11025.935239199998 533.6 0.2484 -6295.80036 -691.0604007790716 -313.6219726826328
298.15 MN CU 0.09 0.91 -5534.363 5567.348 37.235321 -11101.710956149998 527.8 0.2457 -6295.2025300000005 -749.9816351924776 -302.00124876764124
298.15 MN CU 0.1 0.9 -5457.988 5716.169 37.478306 -11174.1569339 522.0 0.243 -6294.6047 -805.870345271772 -290.5678276193599
298.15 MN CU 0.11 0.89 -5385.666 5857.883 37.711049 -11243.54925935 516.2 0.2403 -6294.00687 -859.000492370776 -279.32290437558953
298.15 MN CU 0.12 0.88 -5317.502 5992.612 37.934308 -11310.1139302 510.4 0.2376 -6293.40904 -909.5953759771999 -268.26771598281533
298.15 MN CU 0.13 0.87 -5253.564 6120.475 38.148714 -11374.039079099999 504.6 0.2349 -6292.81121 -957.840348132521 -257.4035441932757
298.15 MN CU 0.14 0.86 -5193.892 6241.592 38.3548 -11435.483619999999 498.8 0.2322 -6292.21338 -1003.8915915105914 -246.73171885032912
298.15 MN CU 0.15 0.85 -5138.501 6356.083 38.553024 -11494.584105599999 493.0 0.2295 -6291.6155499999995 -1047.882375954332 -236.2536214971058
298.15 MN CU 0.16 0.84 -5087.39 6464.069 38.743783 -11551.45890145 487.2 0.2268 -6291.01772 -1089.9276385420173 -225.9706893486869
298.15 MN CU 0.17 0.83 -5040.542 6565.67 38.927424 -11606.2114656 481.4 0.2241 -6290.419889999999 -1130.1274135160918 -215.88441967426377
298.15 MN CU 0.18 0.82 -4997.927 6661.007 39.104255 -11658.933628249999 475.6 0.2214 -6289.82206 -1168.5694517045056 -205.99637464310814
298.15 MN CU 0.19 0.81 -4959.506 6750.2 39.274549 -11709.706784349999 469.8 0.2187 -6289.22423 -1205.3312553507326 -196.3081866969676
298.15 MN CU 0.2 0.8 -4925.232 6833.373 39.438552 -11758.6042788 464.0 0.216 -6288.6264 -1240.4816826440385 -186.8215645220292
298.15 MN CU 0.21 0.79 -4895.048 6910.644 39.596487 -11805.69259905 458.2 0.2133 -6288.02857 -1274.08222978906 -177.53829970625475
298.15 MN CU 0.22 0.78 -4868.894 6982.138 39.748557 -11851.032269549998 452.4 0.2106 -6287.43074 -1306.188067542519 -168.46027418318286
298.15 MN CU 0.23 0.77 -4846.703 7047.975 39.894947 -11894.67844805 446.6 0.2079 -6286.83291 -1336.8488881016199 -159.58946858190757
298.15 MN CU 0.24 0.76 -4828.403 7108.279 40.035828 -11936.6821182 440.8 0.2052 -6286.23508 -1366.1096036088943 -150.92797162561936
298.15 MN CU 0.25 0.75 -4813.918 7163.172 40.171359 -11977.09068585 435.0 0.2025 -6285.63725 -1394.0109271940482 -142.4779907489894
298.15 MN CU 0.26 0.74 -4803.17 7212.778 40.301689 -12015.94857535 429.2 0.1998 -6285.03942 -1420.5898600324033 -134.24186413906912
