T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 MN FE 0.0 1.0 -6300.583 3888.498 34.174348 -10189.0818562 580.0 0.27 -6300.583 0.0 -413.1990706628121
298.15 MN FE 1.0 0.0 -8133.465 -0.02978849 27.279676 -8133.435399399999 1043.0 2.22 -8133.465 0.0 -5837.568155846089
298.15 MN FE 0.01 0.99 -6410.301 3949.866 34.74817 -10360.166885499999 560.107 0.2451 -6318.911819999999 -138.82602141683572 -349.19929976561843
298.15 MN FE 0.02 0.98 -6487.032 4011.132 35.211013 -10498.16352595 540.288 0.2202 -6337.240639999999 -243.03584172567548 -290.29256298110795
298.15 MN FE 0.03 0.97 -6552.321 4072.045 35.634296 -10624.365352399998 520.543 0.1953 -6355.56946 -334.02154674813943 -236.56053753257183
298.15 MN FE 0.04 0.96 -6610.863 4132.319 36.032809 -10743.182003349999 500.872 0.1704 -6373.898279999999 -416.3281974105132 -188.08011919433235
298.15 MN FE 0.05 0.95 -6664.96 4191.622 36.413154 -10856.581865099999 481.275 0.1455 -6392.227099999999 -492.11297050679866 -144.91991867572634
298.15 MN FE 0.06 0.94 -6716.015 4249.558 36.778711 -10965.57268465 461.752 0.1206 -6410.555919999999 -562.6452650375949 -107.13520514418363
298.15 MN FE 0.07 0.93 -6764.982 4305.646 37.131067 -11070.62762605 442.303 0.0957 -6428.8847399999995 -628.7628773593874 -74.76055242014468
298.15 MN FE 0.08 0.92 -6812.546 4359.285 37.470504 -11171.830767599999 422.928 0.0708 -6447.21356 -691.0604007790716 -47.7990179317557
298.15 MN FE 0.09 0.91 -6859.201 4409.699 37.796077 -11268.900357549997 403.627 0.0459 -6465.54238 -749.9816351924776 -26.205953638602313
298.15 MN FE 0.1 0.9 -6905.28 4455.853 38.105429 -11361.133656349999 384.4 0.021 -6483.8712 -805.870345271772 -9.864226140966135
298.15 MN FE 0.11 0.89 -6954.69 4479.897 38.351791 -11434.586486649998 365.247 0.0039 -6502.20002 -859.000492370776 -1.4492637437700155
298.15 MN FE 0.12 0.88 -7017.711 4423.303 38.373349 -11441.014004349998 346.168 0.0288 -6520.52884 -909.5953759771999 -7.924895890116642
298.15 MN FE 0.13 0.87 -7070.612 4386.736 38.428133 -11457.34785395 327.163 0.0537 -6538.85766 -957.840348132521 -10.362949612714356
298.15 MN FE 0.14 0.86 -7114.887 4374.425 38.53534 -11489.311620999999 308.232 0.0786 -6557.18648 -1003.8915915105914 -10.159237144012382
298.15 MN FE 0.15 0.85 -7152.533 4385.612 38.699128 -11538.145013199999 289.375 0.1035 -6575.515299999999 -1047.882375954332 -9.220846395299231
298.15 MN FE 0.16 0.84 -7184.76 4399.138 38.852586 -11583.8985159 270.592 0.1284 -6593.84412 -1089.9276385420173 -7.974008120621215
298.15 MN FE 0.17 0.83 -7212.107 4416.023 39.000939 -11628.12996285 251.883 0.1533 -6612.1729399999995 -1130.1274135160918 -6.535325170273705
