T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 MN SI 0.0 1.0 34683.41 47000.0 41.310031 -12316.58574265 5.8e-28 2.7e-31 34683.41 0.0 -0.0
298.15 MN SI 1.0 0.0 -6300.583 3888.498 34.174348 -10189.0818562 580.0 0.27 -6300.583 0.0 -413.1990706628121
298.15 MN SI 0.01 0.99 34139.38 46578.95 41.722517 -12439.56844355 5.8 0.0027 34273.57007 -138.82602141683572 -7.949566342301362e-10
298.15 MN SI 0.02 0.98 33629.96 46157.9 42.0189 -12527.935035 11.6 0.0054 33863.73014000001 -243.03584172567548 -5.080881730415275e-08
298.15 MN SI 0.03 0.97 33133.77 45736.85 42.270928 -12603.0771832 17.4 0.0081 33453.890210000005 -334.02154674813943 -5.779677691801049e-07
298.15 MN SI 0.04 0.96 32646.26 45315.8 42.493847 -12669.54048305 23.2 0.0108 33044.05028 -416.3281974105132 -3.2430550467481737e-06
298.15 MN SI 0.05 0.95 32165.26 44894.75 42.694891 -12729.481751649999 29.0 0.0135 32634.210350000005 -492.11297050679866 -1.2354750308033981e-05
298.15 MN SI 0.06 0.94 31689.53 44473.7 42.878318 -12784.170511699998 34.8 0.0162 32224.37042 -562.6452650375949 -3.6841924728628715e-05
298.15 MN SI 0.07 0.93 31218.2 44052.64 43.046937 -12834.44426655 40.6 0.0189 31814.53049 -628.7628773593874 -9.277803973267028e-05
298.15 MN SI 0.08 0.92 30750.7 43631.59 43.202743 -12880.897825449998 46.4 0.0216 31404.690560000003 -691.0604007790716 -0.00020645256985101683
298.15 MN SI 0.09 0.91 30286.57 43210.54 43.347222 -12923.9742393 52.2 0.0243 30994.850630000004 -749.9816351924776 -0.00041798444153455175
298.15 MN SI 0.1 0.9 29825.47 42789.49 43.481527 -12964.017275049999 58.0 0.027 30585.010700000003 -805.870345271772 -0.0007854725500173953
298.15 MN SI 0.11 0.89 29367.13 42368.43 43.606576 -13001.300634399999 63.8 0.0297 30175.170770000004 -859.000492370776 -0.0013896784859037806
298.15 MN SI 0.12 0.88 28911.33 41947.38 43.723113 -13036.046140949999 69.6 0.0324 29765.330840000002 -909.5953759771999 -0.0023392366728987473
298.15 MN SI 0.13 0.87 28457.87 41526.31 43.83176 -13068.439244 75.4 0.0351 29355.490910000004 -957.840348132521 -0.003776387189790107
298.15 MN SI 0.14 0.86 28006.61 41105.25 43.933035 -13098.634385249998 81.2 0.0378 28945.650980000002 -1003.8915915105914 -0.005883226626846072
298.15 MN SI 0.15 0.85 27557.41 40684.17 44.027381 -13126.763645149998 87.0 0.0405 28535.811050000004 -1047.882375954332 -0.00888847241546188
298.15 MN SI 0.16 0.84 27110.15 40263.09 44.115177 -13152.94002255 92.8 0.0432 28125.971120000002 -1089.9276385420173 -0.013074736180954333
298.15 MN SI 0.17 0.83 26664.74 39842.0 44.196754 -13177.262205099998 98.6 0.0459 27716.131190000004 -1130.1274135160918 -0.018786301819692954
298.15 MN SI 0.18 0.82 26221.08 39420.89 44.272395 -13199.81456925 104.4 0.0486 27306.291260000005 -1168.5694517045056 -0.02643740422164525
298.15 MN SI 0.19 0.81 25779.09 38999.76 44.342353 -13220.67254695 110.2 0.0513 26896.451330000007 -1205.3312553507326 -0.03652100489159897
298.15 MN SI 0.2 0.8 25338.71 38578.62 44.406844 -13239.900538599999 116.0 0.054 26486.6114 -1240.4816826440385 -0.04961806123220435
298.15 MN SI 0.21 0.79 24899.88 38157.44 44.466063 -13257.556683449999 121.8 0.0567 26076.771470000003 -1274.08222978906 -0.06640728703504312
298.15 MN SI 0.22 0.78 24462.54 37736.23 44.520179 -13273.691368849999 127.6 0.0594 25666.93154 -1306.188067542519 -0.08767540291856583
298.15 MN SI 0.23 0.77 24026.63 37314.98 44.569339 -13288.348422849998 133.4 0.0621 25257.091610000003 -1336.8488881016199 -0.1143278772450754
298.15 MN SI 0.24 0.76 23592.11 36893.68 44.613673 -13301.566604949998 139.2 0.0648 24847.25168 -1366.1096036088943 -0.14740016070646242
298.15 MN SI 0.25 0.75 23158.94 36472.32 44.653295 -13313.37990425 145.0 0.0675 24437.411750000003 -1394.0109271940482 -0.1880694216482133
